timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,22.44
2016-01-01 01:00:00,2016-01-01 01:00:00,22.44
2016-01-01 02:00:00,2016-01-01 02:00:00,22.194
2016-01-01 03:00:00,2016-01-01 03:00:00,22.693
2016-01-01 04:00:00,2016-01-01 04:00:00,22.283
2016-01-01 05:00:00,2016-01-01 05:00:00,22.729
2016-01-01 06:00:00,2016-01-01 06:00:00,22.592
2016-01-01 07:00:00,2016-01-01 07:00:00,22.363
2016-01-01 08:00:00,2016-01-01 08:00:00,22.015
2016-01-01 09:00:00,2016-01-01 09:00:00,19.966
2016-01-01 10:00:00,2016-01-01 10:00:00,19.847
2016-01-01 11:00:00,2016-01-01 11:00:00,20.171
2016-01-01 12:00:00,2016-01-01 12:00:00,20.434
2016-01-01 13:00:00,2016-01-01 13:00:00,19.405
2016-01-01 14:00:00,2016-01-01 14:00:00,19.737
2016-01-01 15:00:00,2016-01-01 15:00:00,22.398
2016-01-01 16:00:00,2016-01-01 16:00:00,20.671
2016-01-01 17:00:00,2016-01-01 17:00:00,20.281
2016-01-01 18:00:00,2016-01-01 18:00:00,23.81
2016-01-01 19:00:00,2016-01-01 19:00:00,21.028
2016-01-01 20:00:00,2016-01-01 20:00:00,21.611
2016-01-01 21:00:00,2016-01-01 21:00:00,23.282
2016-01-01 22:00:00,2016-01-01 22:00:00,20.768
2016-01-01 23:00:00,2016-01-01 23:00:00,19.423
2016-01-02 00:00:00,2016-01-02 00:00:00,19.271
2016-01-02 01:00:00,2016-01-02 01:00:00,19.304
2016-01-02 02:00:00,2016-01-02 02:00:00,19.279
2016-01-02 03:00:00,2016-01-02 03:00:00,19.21
2016-01-02 04:00:00,2016-01-02 04:00:00,18.981
2016-01-02 05:00:00,2016-01-02 05:00:00,19.082
2016-01-02 06:00:00,2016-01-02 06:00:00,19.958
2016-01-02 07:00:00,2016-01-02 07:00:00,19.947
2016-01-02 08:00:00,2016-01-02 08:00:00,18.998
2016-01-02 09:00:00,2016-01-02 09:00:00,16.964
2016-01-02 10:00:00,2016-01-02 10:00:00,16.777
2016-01-02 11:00:00,2016-01-02 11:00:00,16.635
2016-01-02 12:00:00,2016-01-02 12:00:00,16.155
2016-01-02 13:00:00,2016-01-02 13:00:00,16.178
2016-01-02 14:00:00,2016-01-02 14:00:00,18.677
2016-01-02 15:00:00,2016-01-02 15:00:00,19.492
2016-01-02 16:00:00,2016-01-02 16:00:00,18.512
2016-01-02 17:00:00,2016-01-02 17:00:00,18.245
2016-01-02 18:00:00,2016-01-02 18:00:00,20.011
2016-01-02 19:00:00,2016-01-02 19:00:00,19.381
2016-01-02 20:00:00,2016-01-02 20:00:00,19.181
2016-01-02 21:00:00,2016-01-02 21:00:00,18.922
2016-01-02 22:00:00,2016-01-02 22:00:00,19.05
2016-01-02 23:00:00,2016-01-02 23:00:00,20.355
2016-01-03 00:00:00,2016-01-03 00:00:00,19.588
2016-01-03 01:00:00,2016-01-03 01:00:00,18.879
2016-01-03 02:00:00,2016-01-03 02:00:00,19.189
2016-01-03 03:00:00,2016-01-03 03:00:00,19.011
2016-01-03 04:00:00,2016-01-03 04:00:00,19.096
2016-01-03 05:00:00,2016-01-03 05:00:00,19.11
2016-01-03 06:00:00,2016-01-03 06:00:00,19.022
2016-01-03 07:00:00,2016-01-03 07:00:00,19.105
2016-01-03 08:00:00,2016-01-03 08:00:00,18.901
2016-01-03 09:00:00,2016-01-03 09:00:00,16.675
2016-01-03 10:00:00,2016-01-03 10:00:00,16.309
2016-01-03 11:00:00,2016-01-03 11:00:00,16.586
2016-01-03 12:00:00,2016-01-03 12:00:00,18.816
2016-01-03 13:00:00,2016-01-03 13:00:00,17.163
2016-01-03 14:00:00,2016-01-03 14:00:00,16.954
2016-01-03 15:00:00,2016-01-03 15:00:00,18.042
2016-01-03 16:00:00,2016-01-03 16:00:00,17.781
2016-01-03 17:00:00,2016-01-03 17:00:00,18.185
2016-01-03 18:00:00,2016-01-03 18:00:00,20.573
2016-01-03 19:00:00,2016-01-03 19:00:00,20.624
2016-01-03 20:00:00,2016-01-03 20:00:00,21.229
2016-01-03 21:00:00,2016-01-03 21:00:00,21.984
2016-01-03 22:00:00,2016-01-03 22:00:00,20.837
2016-01-03 23:00:00,2016-01-03 23:00:00,20.345
2016-01-04 00:00:00,2016-01-04 00:00:00,18.077
2016-01-04 01:00:00,2016-01-04 01:00:00,17.47
2016-01-04 02:00:00,2016-01-04 02:00:00,17.23
2016-01-04 03:00:00,2016-01-04 03:00:00,19.136
2016-01-04 04:00:00,2016-01-04 04:00:00,18.313
2016-01-04 05:00:00,2016-01-04 05:00:00,16.998
2016-01-04 06:00:00,2016-01-04 06:00:00,20.302
2016-01-04 07:00:00,2016-01-04 07:00:00,23.615
2016-01-04 08:00:00,2016-01-04 08:00:00,30.296
2016-01-04 09:00:00,2016-01-04 09:00:00,35.009
2016-01-04 10:00:00,2016-01-04 10:00:00,38.181
2016-01-04 11:00:00,2016-01-04 11:00:00,37.634
2016-01-04 12:00:00,2016-01-04 12:00:00,36.591
2016-01-04 13:00:00,2016-01-04 13:00:00,40.919
2016-01-04 14:00:00,2016-01-04 14:00:00,34.714
2016-01-04 15:00:00,2016-01-04 15:00:00,31.977
2016-01-04 16:00:00,2016-01-04 16:00:00,34.536
2016-01-04 17:00:00,2016-01-04 17:00:00,34.9
2016-01-04 18:00:00,2016-01-04 18:00:00,32.415
2016-01-04 19:00:00,2016-01-04 19:00:00,26.902
2016-01-04 20:00:00,2016-01-04 20:00:00,23.726
2016-01-04 21:00:00,2016-01-04 21:00:00,23.108
2016-01-04 22:00:00,2016-01-04 22:00:00,20.374
2016-01-04 23:00:00,2016-01-04 23:00:00,19.653
2016-01-05 00:00:00,2016-01-05 00:00:00,19.873
2016-01-05 01:00:00,2016-01-05 01:00:00,23.207
2016-01-05 02:00:00,2016-01-05 02:00:00,21.191
2016-01-05 03:00:00,2016-01-05 03:00:00,18.789
2016-01-05 04:00:00,2016-01-05 04:00:00,18.29
2016-01-05 05:00:00,2016-01-05 05:00:00,17.619
2016-01-05 06:00:00,2016-01-05 06:00:00,21.056
2016-01-05 07:00:00,2016-01-05 07:00:00,29.327
2016-01-05 08:00:00,2016-01-05 08:00:00,36.875
2016-01-05 09:00:00,2016-01-05 09:00:00,40.877
