timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,50.102
2016-01-01 01:00:00,2016-01-01 01:00:00,50.102
2016-01-01 02:00:00,2016-01-01 02:00:00,50.114
2016-01-01 03:00:00,2016-01-01 03:00:00,49.894
2016-01-01 04:00:00,2016-01-01 04:00:00,49.601
2016-01-01 05:00:00,2016-01-01 05:00:00,49.475
2016-01-01 06:00:00,2016-01-01 06:00:00,48.95
2016-01-01 07:00:00,2016-01-01 07:00:00,49.1
2016-01-01 08:00:00,2016-01-01 08:00:00,49.21
2016-01-01 09:00:00,2016-01-01 09:00:00,47.441
2016-01-01 10:00:00,2016-01-01 10:00:00,46.454
2016-01-01 11:00:00,2016-01-01 11:00:00,47.265
2016-01-01 12:00:00,2016-01-01 12:00:00,52.105
2016-01-01 13:00:00,2016-01-01 13:00:00,53.402
2016-01-01 14:00:00,2016-01-01 14:00:00,52.978
2016-01-01 15:00:00,2016-01-01 15:00:00,52.974
2016-01-01 16:00:00,2016-01-01 16:00:00,47.128
2016-01-01 17:00:00,2016-01-01 17:00:00,47.231
2016-01-01 18:00:00,2016-01-01 18:00:00,53.643
2016-01-01 19:00:00,2016-01-01 19:00:00,51.545
2016-01-01 20:00:00,2016-01-01 20:00:00,52.209
2016-01-01 21:00:00,2016-01-01 21:00:00,52.309
2016-01-01 22:00:00,2016-01-01 22:00:00,50.654
2016-01-01 23:00:00,2016-01-01 23:00:00,48.828
2016-01-02 00:00:00,2016-01-02 00:00:00,48.773
2016-01-02 01:00:00,2016-01-02 01:00:00,51.406
2016-01-02 02:00:00,2016-01-02 02:00:00,52.607
2016-01-02 03:00:00,2016-01-02 03:00:00,48.384
2016-01-02 04:00:00,2016-01-02 04:00:00,48.732
2016-01-02 05:00:00,2016-01-02 05:00:00,49.249
2016-01-02 06:00:00,2016-01-02 06:00:00,48.457
2016-01-02 07:00:00,2016-01-02 07:00:00,55.582
2016-01-02 08:00:00,2016-01-02 08:00:00,58.897
2016-01-02 09:00:00,2016-01-02 09:00:00,57.438
2016-01-02 10:00:00,2016-01-02 10:00:00,56.4
2016-01-02 11:00:00,2016-01-02 11:00:00,55.906
2016-01-02 12:00:00,2016-01-02 12:00:00,56.492
2016-01-02 13:00:00,2016-01-02 13:00:00,56.456
2016-01-02 14:00:00,2016-01-02 14:00:00,56.572
2016-01-02 15:00:00,2016-01-02 15:00:00,44.584
2016-01-02 16:00:00,2016-01-02 16:00:00,42.466
2016-01-02 17:00:00,2016-01-02 17:00:00,45.769
2016-01-02 18:00:00,2016-01-02 18:00:00,49.462
2016-01-02 19:00:00,2016-01-02 19:00:00,50.055
2016-01-02 20:00:00,2016-01-02 20:00:00,50.264
2016-01-02 21:00:00,2016-01-02 21:00:00,49.175
2016-01-02 22:00:00,2016-01-02 22:00:00,49.134
2016-01-02 23:00:00,2016-01-02 23:00:00,49.756
2016-01-03 00:00:00,2016-01-03 00:00:00,49.148
2016-01-03 01:00:00,2016-01-03 01:00:00,49.268
2016-01-03 02:00:00,2016-01-03 02:00:00,49.58
2016-01-03 03:00:00,2016-01-03 03:00:00,49.727
2016-01-03 04:00:00,2016-01-03 04:00:00,49.241
2016-01-03 05:00:00,2016-01-03 05:00:00,49.878
2016-01-03 06:00:00,2016-01-03 06:00:00,49.853
2016-01-03 07:00:00,2016-01-03 07:00:00,49.759
2016-01-03 08:00:00,2016-01-03 08:00:00,49.605
2016-01-03 09:00:00,2016-01-03 09:00:00,43.478
2016-01-03 10:00:00,2016-01-03 10:00:00,41.893
2016-01-03 11:00:00,2016-01-03 11:00:00,42.429
2016-01-03 12:00:00,2016-01-03 12:00:00,42.219
2016-01-03 13:00:00,2016-01-03 13:00:00,45.257
2016-01-03 14:00:00,2016-01-03 14:00:00,46.437
2016-01-03 15:00:00,2016-01-03 15:00:00,46.885
2016-01-03 16:00:00,2016-01-03 16:00:00,47.924
2016-01-03 17:00:00,2016-01-03 17:00:00,46.283
2016-01-03 18:00:00,2016-01-03 18:00:00,49.989
2016-01-03 19:00:00,2016-01-03 19:00:00,50.292
2016-01-03 20:00:00,2016-01-03 20:00:00,48.812
2016-01-03 21:00:00,2016-01-03 21:00:00,49.519
2016-01-03 22:00:00,2016-01-03 22:00:00,49.45
