timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,68.545
2016-01-01 01:00:00,2016-01-01 01:00:00,68.545
2016-01-01 02:00:00,2016-01-01 02:00:00,68.198
2016-01-01 03:00:00,2016-01-01 03:00:00,67.632
2016-01-01 04:00:00,2016-01-01 04:00:00,67.484
2016-01-01 05:00:00,2016-01-01 05:00:00,68.936
2016-01-01 06:00:00,2016-01-01 06:00:00,71.725
2016-01-01 07:00:00,2016-01-01 07:00:00,78.485
2016-01-01 08:00:00,2016-01-01 08:00:00,80.906
2016-01-01 09:00:00,2016-01-01 09:00:00,79.322
2016-01-01 10:00:00,2016-01-01 10:00:00,79.708
2016-01-01 11:00:00,2016-01-01 11:00:00,80.807
2016-01-01 12:00:00,2016-01-01 12:00:00,78.804
2016-01-01 13:00:00,2016-01-01 13:00:00,78.03
2016-01-01 14:00:00,2016-01-01 14:00:00,79.014
2016-01-01 15:00:00,2016-01-01 15:00:00,79.469
2016-01-01 16:00:00,2016-01-01 16:00:00,80.086
2016-01-01 17:00:00,2016-01-01 17:00:00,79.612
2016-01-01 18:00:00,2016-01-01 18:00:00,80.177
2016-01-01 19:00:00,2016-01-01 19:00:00,72.175
2016-01-01 20:00:00,2016-01-01 20:00:00,71.175
2016-01-01 21:00:00,2016-01-01 21:00:00,68.918
2016-01-01 22:00:00,2016-01-01 22:00:00,67.535
2016-01-01 23:00:00,2016-01-01 23:00:00,68.922
2016-01-02 00:00:00,2016-01-02 00:00:00,68.24
2016-01-02 01:00:00,2016-01-02 01:00:00,67.702
2016-01-02 02:00:00,2016-01-02 02:00:00,68.142
2016-01-02 03:00:00,2016-01-02 03:00:00,67.785
2016-01-02 04:00:00,2016-01-02 04:00:00,68.458
2016-01-02 05:00:00,2016-01-02 05:00:00,67.967
2016-01-02 06:00:00,2016-01-02 06:00:00,67.951
2016-01-02 07:00:00,2016-01-02 07:00:00,73.144
2016-01-02 08:00:00,2016-01-02 08:00:00,75.496
2016-01-02 09:00:00,2016-01-02 09:00:00,76.009
2016-01-02 10:00:00,2016-01-02 10:00:00,75.484
2016-01-02 11:00:00,2016-01-02 11:00:00,75.797
2016-01-02 12:00:00,2016-01-02 12:00:00,74.856
2016-01-02 13:00:00,2016-01-02 13:00:00,74.778
2016-01-02 14:00:00,2016-01-02 14:00:00,75.052
2016-01-02 15:00:00,2016-01-02 15:00:00,75.598
2016-01-02 16:00:00,2016-01-02 16:00:00,73.596
2016-01-02 17:00:00,2016-01-02 17:00:00,72.881
2016-01-02 18:00:00,2016-01-02 18:00:00,74.842
2016-01-02 19:00:00,2016-01-02 19:00:00,68.802
2016-01-02 20:00:00,2016-01-02 20:00:00,67.906
2016-01-02 21:00:00,2016-01-02 21:00:00,67.203
2016-01-02 22:00:00,2016-01-02 22:00:00,67.921
2016-01-02 23:00:00,2016-01-02 23:00:00,67.762
