timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,70.58
2016-01-01 01:00:00,2016-01-01 01:00:00,70.58
2016-01-01 02:00:00,2016-01-01 02:00:00,70.517
2016-01-01 03:00:00,2016-01-01 03:00:00,70.716
2016-01-01 04:00:00,2016-01-01 04:00:00,70.602
2016-01-01 05:00:00,2016-01-01 05:00:00,69.623
2016-01-01 06:00:00,2016-01-01 06:00:00,72.622
2016-01-01 07:00:00,2016-01-01 07:00:00,91.179
2016-01-01 08:00:00,2016-01-01 08:00:00,87.733
2016-01-01 09:00:00,2016-01-01 09:00:00,85.144
2016-01-01 10:00:00,2016-01-01 10:00:00,84.344
2016-01-01 11:00:00,2016-01-01 11:00:00,83.161
2016-01-01 12:00:00,2016-01-01 12:00:00,74.754
2016-01-01 13:00:00,2016-01-01 13:00:00,72.608
2016-01-01 14:00:00,2016-01-01 14:00:00,72.912
2016-01-01 15:00:00,2016-01-01 15:00:00,71.493
2016-01-01 16:00:00,2016-01-01 16:00:00,70.637
2016-01-01 17:00:00,2016-01-01 17:00:00,57.457
2016-01-01 18:00:00,2016-01-01 18:00:00,58.344
2016-01-01 19:00:00,2016-01-01 19:00:00,58.172
2016-01-01 20:00:00,2016-01-01 20:00:00,57.872
2016-01-01 21:00:00,2016-01-01 21:00:00,58.563
2016-01-01 22:00:00,2016-01-01 22:00:00,58.311
2016-01-01 23:00:00,2016-01-01 23:00:00,58.179
2016-01-02 00:00:00,2016-01-02 00:00:00,59.227
2016-01-02 01:00:00,2016-01-02 01:00:00,58.75
2016-01-02 02:00:00,2016-01-02 02:00:00,58.108
2016-01-02 03:00:00,2016-01-02 03:00:00,58.091
2016-01-02 04:00:00,2016-01-02 04:00:00,58.805
2016-01-02 05:00:00,2016-01-02 05:00:00,58.318
2016-01-02 06:00:00,2016-01-02 06:00:00,59.019
2016-01-02 07:00:00,2016-01-02 07:00:00,59.774
2016-01-02 08:00:00,2016-01-02 08:00:00,63.176
2016-01-02 09:00:00,2016-01-02 09:00:00,66.015
2016-01-02 10:00:00,2016-01-02 10:00:00,64.726
2016-01-02 11:00:00,2016-01-02 11:00:00,64.676
2016-01-02 12:00:00,2016-01-02 12:00:00,64.268
2016-01-02 13:00:00,2016-01-02 13:00:00,55.812
2016-01-02 14:00:00,2016-01-02 14:00:00,56.508
2016-01-02 15:00:00,2016-01-02 15:00:00,59.482
2016-01-02 16:00:00,2016-01-02 16:00:00,60.158
2016-01-02 17:00:00,2016-01-02 17:00:00,62.169
2016-01-02 18:00:00,2016-01-02 18:00:00,64.079
2016-01-02 19:00:00,2016-01-02 19:00:00,62.277
