timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,184.871
2016-01-01 01:00:00,2016-01-01 01:00:00,184.871
2016-01-01 02:00:00,2016-01-01 02:00:00,184.211
2016-01-01 03:00:00,2016-01-01 03:00:00,183.81
2016-01-01 04:00:00,2016-01-01 04:00:00,184.019
2016-01-01 05:00:00,2016-01-01 05:00:00,183.487
2016-01-01 06:00:00,2016-01-01 06:00:00,183.197
2016-01-01 07:00:00,2016-01-01 07:00:00,187.975
2016-01-01 08:00:00,2016-01-01 08:00:00,192.576
2016-01-01 09:00:00,2016-01-01 09:00:00,191.418
2016-01-01 10:00:00,2016-01-01 10:00:00,191.632
2016-01-01 11:00:00,2016-01-01 11:00:00,196.009
2016-01-01 12:00:00,2016-01-01 12:00:00,194.61
2016-01-01 13:00:00,2016-01-01 13:00:00,190.36
2016-01-01 14:00:00,2016-01-01 14:00:00,191.965
2016-01-01 15:00:00,2016-01-01 15:00:00,193.038
2016-01-01 16:00:00,2016-01-01 16:00:00,194.866
2016-01-01 17:00:00,2016-01-01 17:00:00,200.92
2016-01-01 18:00:00,2016-01-01 18:00:00,206.535
2016-01-01 19:00:00,2016-01-01 19:00:00,206.117
2016-01-01 20:00:00,2016-01-01 20:00:00,198.098
2016-01-01 21:00:00,2016-01-01 21:00:00,193.474
2016-01-01 22:00:00,2016-01-01 22:00:00,191.655
2016-01-01 23:00:00,2016-01-01 23:00:00,191.534
2016-01-02 00:00:00,2016-01-02 00:00:00,190.204
2016-01-02 01:00:00,2016-01-02 01:00:00,189.407
2016-01-02 02:00:00,2016-01-02 02:00:00,188.762
2016-01-02 03:00:00,2016-01-02 03:00:00,189.691
2016-01-02 04:00:00,2016-01-02 04:00:00,189.83
2016-01-02 05:00:00,2016-01-02 05:00:00,189.712
2016-01-02 06:00:00,2016-01-02 06:00:00,190.66
2016-01-02 07:00:00,2016-01-02 07:00:00,193.838
2016-01-02 08:00:00,2016-01-02 08:00:00,199.03
2016-01-02 09:00:00,2016-01-02 09:00:00,198.828
2016-01-02 10:00:00,2016-01-02 10:00:00,198.209
2016-01-02 11:00:00,2016-01-02 11:00:00,200.865
2016-01-02 12:00:00,2016-01-02 12:00:00,200.854
2016-01-02 13:00:00,2016-01-02 13:00:00,200.468
2016-01-02 14:00:00,2016-01-02 14:00:00,202.074
2016-01-02 15:00:00,2016-01-02 15:00:00,201.56
2016-01-02 16:00:00,2016-01-02 16:00:00,201.4
2016-01-02 17:00:00,2016-01-02 17:00:00,202.588
2016-01-02 18:00:00,2016-01-02 18:00:00,190.893
2016-01-02 19:00:00,2016-01-02 19:00:00,188.853
2016-01-02 20:00:00,2016-01-02 20:00:00,183.567
2016-01-02 21:00:00,2016-01-02 21:00:00,185.695
2016-01-02 22:00:00,2016-01-02 22:00:00,196.927
2016-01-02 23:00:00,2016-01-02 23:00:00,199.135
2016-01-03 00:00:00,2016-01-03 00:00:00,195.965
2016-01-03 01:00:00,2016-01-03 01:00:00,194.472
2016-01-03 02:00:00,2016-01-03 02:00:00,191.042
2016-01-03 03:00:00,2016-01-03 03:00:00,190.054
2016-01-03 04:00:00,2016-01-03 04:00:00,190.399
2016-01-03 05:00:00,2016-01-03 05:00:00,190.972
2016-01-03 06:00:00,2016-01-03 06:00:00,191.965
2016-01-03 07:00:00,2016-01-03 07:00:00,195.643
2016-01-03 08:00:00,2016-01-03 08:00:00,199.706
2016-01-03 09:00:00,2016-01-03 09:00:00,200.517
2016-01-03 10:00:00,2016-01-03 10:00:00,198.886
2016-01-03 11:00:00,2016-01-03 11:00:00,202.262
2016-01-03 12:00:00,2016-01-03 12:00:00,201.001
2016-01-03 13:00:00,2016-01-03 13:00:00,201.964
2016-01-03 14:00:00,2016-01-03 14:00:00,202.1
2016-01-03 15:00:00,2016-01-03 15:00:00,203.165
2016-01-03 16:00:00,2016-01-03 16:00:00,201.758
2016-01-03 17:00:00,2016-01-03 17:00:00,203.648
2016-01-03 18:00:00,2016-01-03 18:00:00,195.256
2016-01-03 19:00:00,2016-01-03 19:00:00,195.202
2016-01-03 20:00:00,2016-01-03 20:00:00,191.498
2016-01-03 21:00:00,2016-01-03 21:00:00,188.855
2016-01-03 22:00:00,2016-01-03 22:00:00,198.884
2016-01-03 23:00:00,2016-01-03 23:00:00,194.482
2016-01-04 00:00:00,2016-01-04 00:00:00,191.618
2016-01-04 01:00:00,2016-01-04 01:00:00,206.037
2016-01-04 02:00:00,2016-01-04 02:00:00,209.097
2016-01-04 03:00:00,2016-01-04 03:00:00,195.996
2016-01-04 04:00:00,2016-01-04 04:00:00,178.459
2016-01-04 05:00:00,2016-01-04 05:00:00,181.218
2016-01-04 06:00:00,2016-01-04 06:00:00,190.924
2016-01-04 07:00:00,2016-01-04 07:00:00,216.449
2016-01-04 08:00:00,2016-01-04 08:00:00,220.065
2016-01-04 09:00:00,2016-01-04 09:00:00,222.624
2016-01-04 10:00:00,2016-01-04 10:00:00,227.5
2016-01-04 11:00:00,2016-01-04 11:00:00,234.957
2016-01-04 12:00:00,2016-01-04 12:00:00,235.605
2016-01-04 13:00:00,2016-01-04 13:00:00,237.73
2016-01-04 14:00:00,2016-01-04 14:00:00,237.37
2016-01-04 15:00:00,2016-01-04 15:00:00,237.124
2016-01-04 16:00:00,2016-01-04 16:00:00,237.862
2016-01-04 17:00:00,2016-01-04 17:00:00,239.256
2016-01-04 18:00:00,2016-01-04 18:00:00,241.946
2016-01-04 19:00:00,2016-01-04 19:00:00,222.614
2016-01-04 20:00:00,2016-01-04 20:00:00,198.588
2016-01-04 21:00:00,2016-01-04 21:00:00,195.032
2016-01-04 22:00:00,2016-01-04 22:00:00,189.448
2016-01-04 23:00:00,2016-01-04 23:00:00,188.404
2016-01-05 00:00:00,2016-01-05 00:00:00,174.547
2016-01-05 01:00:00,2016-01-05 01:00:00,196.414
2016-01-05 02:00:00,2016-01-05 02:00:00,201.962
2016-01-05 03:00:00,2016-01-05 03:00:00,202.124
2016-01-05 04:00:00,2016-01-05 04:00:00,183.323
2016-01-05 05:00:00,2016-01-05 05:00:00,173.834
2016-01-05 06:00:00,2016-01-05 06:00:00,174.536
2016-01-05 07:00:00,2016-01-05 07:00:00,206.083
2016-01-05 08:00:00,2016-01-05 08:00:00,214.852
2016-01-05 09:00:00,2016-01-05 09:00:00,219.02
2016-01-05 10:00:00,2016-01-05 10:00:00,224.981
2016-01-05 11:00:00,2016-01-05 11:00:00,229.176
2016-01-05 12:00:00,2016-01-05 12:00:00,235.259
2016-01-05 13:00:00,2016-01-05 13:00:00,233.985
2016-01-05 14:00:00,2016-01-05 14:00:00,235.581
2016-01-05 15:00:00,2016-01-05 15:00:00,236.139
2016-01-05 16:00:00,2016-01-05 16:00:00,235.541
2016-01-05 17:00:00,2016-01-05 17:00:00,238.198
2016-01-05 18:00:00,2016-01-05 18:00:00,239.39
2016-01-05 19:00:00,2016-01-05 19:00:00,224.487
2016-01-05 20:00:00,2016-01-05 20:00:00,200.77
2016-01-05 21:00:00,2016-01-05 21:00:00,197.579
2016-01-05 22:00:00,2016-01-05 22:00:00,193.258
2016-01-05 23:00:00,2016-01-05 23:00:00,188.742
2016-01-06 00:00:00,2016-01-06 00:00:00,184.452
2016-01-06 01:00:00,2016-01-06 01:00:00,182.534
2016-01-06 02:00:00,2016-01-06 02:00:00,180.6
2016-01-06 03:00:00,2016-01-06 03:00:00,179.013
2016-01-06 04:00:00,2016-01-06 04:00:00,180.384
2016-01-06 05:00:00,2016-01-06 05:00:00,193.827
2016-01-06 06:00:00,2016-01-06 06:00:00,212.402
2016-01-06 07:00:00,2016-01-06 07:00:00,216.673
2016-01-06 08:00:00,2016-01-06 08:00:00,226.051
2016-01-06 09:00:00,2016-01-06 09:00:00,226.764
2016-01-06 10:00:00,2016-01-06 10:00:00,229.109
2016-01-06 11:00:00,2016-01-06 11:00:00,233.703
2016-01-06 12:00:00,2016-01-06 12:00:00,234.591
2016-01-06 13:00:00,2016-01-06 13:00:00,233.97
2016-01-06 14:00:00,2016-01-06 14:00:00,225.852
2016-01-06 15:00:00,2016-01-06 15:00:00,228.323
2016-01-06 16:00:00,2016-01-06 16:00:00,228.969
2016-01-06 17:00:00,2016-01-06 17:00:00,230.273
2016-01-06 18:00:00,2016-01-06 18:00:00,227.58
2016-01-06 19:00:00,2016-01-06 19:00:00,211.384
2016-01-06 20:00:00,2016-01-06 20:00:00,192.964
2016-01-06 21:00:00,2016-01-06 21:00:00,181.885
2016-01-06 22:00:00,2016-01-06 22:00:00,175.747
2016-01-06 23:00:00,2016-01-06 23:00:00,181.312
2016-01-07 00:00:00,2016-01-07 00:00:00,183.696
2016-01-07 01:00:00,2016-01-07 01:00:00,179.722
2016-01-07 02:00:00,2016-01-07 02:00:00,178.493
2016-01-07 03:00:00,2016-01-07 03:00:00,176.694
2016-01-07 04:00:00,2016-01-07 04:00:00,176.122
2016-01-07 05:00:00,2016-01-07 05:00:00,180.078
2016-01-07 06:00:00,2016-01-07 06:00:00,180.079
2016-01-07 07:00:00,2016-01-07 07:00:00,203.967
2016-01-07 08:00:00,2016-01-07 08:00:00,210.191
2016-01-07 09:00:00,2016-01-07 09:00:00,214.781
2016-01-07 10:00:00,2016-01-07 10:00:00,215.63
2016-01-07 11:00:00,2016-01-07 11:00:00,221.851
2016-01-07 12:00:00,2016-01-07 12:00:00,225.311
2016-01-07 13:00:00,2016-01-07 13:00:00,226.106
2016-01-07 14:00:00,2016-01-07 14:00:00,228.591
2016-01-07 15:00:00,2016-01-07 15:00:00,229.376
2016-01-07 16:00:00,2016-01-07 16:00:00,228.373
2016-01-07 17:00:00,2016-01-07 17:00:00,229.606
2016-01-07 18:00:00,2016-01-07 18:00:00,231.255
2016-01-07 19:00:00,2016-01-07 19:00:00,212.685
2016-01-07 20:00:00,2016-01-07 20:00:00,191.672
2016-01-07 21:00:00,2016-01-07 21:00:00,184.959
2016-01-07 22:00:00,2016-01-07 22:00:00,181.137
2016-01-07 23:00:00,2016-01-07 23:00:00,177.384
2016-01-08 00:00:00,2016-01-08 00:00:00,170.453
2016-01-08 01:00:00,2016-01-08 01:00:00,171.415
2016-01-08 02:00:00,2016-01-08 02:00:00,169.107
2016-01-08 03:00:00,2016-01-08 03:00:00,168.466
2016-01-08 04:00:00,2016-01-08 04:00:00,168.855
2016-01-08 05:00:00,2016-01-08 05:00:00,170.613
2016-01-08 06:00:00,2016-01-08 06:00:00,170.89
