timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,39.452
2016-01-01 01:00:00,2016-01-01 01:00:00,39.452
2016-01-01 02:00:00,2016-01-01 02:00:00,39.745
2016-01-01 03:00:00,2016-01-01 03:00:00,39.381
2016-01-01 04:00:00,2016-01-01 04:00:00,39.471
2016-01-01 05:00:00,2016-01-01 05:00:00,39.401
2016-01-01 06:00:00,2016-01-01 06:00:00,39.586
2016-01-01 07:00:00,2016-01-01 07:00:00,39.599
2016-01-01 08:00:00,2016-01-01 08:00:00,39.217
2016-01-01 09:00:00,2016-01-01 09:00:00,37.516
2016-01-01 10:00:00,2016-01-01 10:00:00,38.271
2016-01-01 11:00:00,2016-01-01 11:00:00,39.442
2016-01-01 12:00:00,2016-01-01 12:00:00,38.725
2016-01-01 13:00:00,2016-01-01 13:00:00,38.49
2016-01-01 14:00:00,2016-01-01 14:00:00,38.474
2016-01-01 15:00:00,2016-01-01 15:00:00,37.512
2016-01-01 16:00:00,2016-01-01 16:00:00,37.719
2016-01-01 17:00:00,2016-01-01 17:00:00,38.469
2016-01-01 18:00:00,2016-01-01 18:00:00,40.252
2016-01-01 19:00:00,2016-01-01 19:00:00,40.186
2016-01-01 20:00:00,2016-01-01 20:00:00,40.281
2016-01-01 21:00:00,2016-01-01 21:00:00,40.275
2016-01-01 22:00:00,2016-01-01 22:00:00,40.739
2016-01-01 23:00:00,2016-01-01 23:00:00,40.686
2016-01-02 00:00:00,2016-01-02 00:00:00,40.305
2016-01-02 01:00:00,2016-01-02 01:00:00,40.459
2016-01-02 02:00:00,2016-01-02 02:00:00,40.48
2016-01-02 03:00:00,2016-01-02 03:00:00,40.463
2016-01-02 04:00:00,2016-01-02 04:00:00,40.118
2016-01-02 05:00:00,2016-01-02 05:00:00,40.51
2016-01-02 06:00:00,2016-01-02 06:00:00,40.319
2016-01-02 07:00:00,2016-01-02 07:00:00,40.825
2016-01-02 08:00:00,2016-01-02 08:00:00,40.427
2016-01-02 09:00:00,2016-01-02 09:00:00,38.719
2016-01-02 10:00:00,2016-01-02 10:00:00,39.263
2016-01-02 11:00:00,2016-01-02 11:00:00,39.211
2016-01-02 12:00:00,2016-01-02 12:00:00,38.529
2016-01-02 13:00:00,2016-01-02 13:00:00,39.06
2016-01-02 14:00:00,2016-01-02 14:00:00,38.873
2016-01-02 15:00:00,2016-01-02 15:00:00,37.957
2016-01-02 16:00:00,2016-01-02 16:00:00,37.437
2016-01-02 17:00:00,2016-01-02 17:00:00,38.149
2016-01-02 18:00:00,2016-01-02 18:00:00,39.015
2016-01-02 19:00:00,2016-01-02 19:00:00,39.804
2016-01-02 20:00:00,2016-01-02 20:00:00,39.505
2016-01-02 21:00:00,2016-01-02 21:00:00,39.587
2016-01-02 22:00:00,2016-01-02 22:00:00,39.666
2016-01-02 23:00:00,2016-01-02 23:00:00,39.894
2016-01-03 00:00:00,2016-01-03 00:00:00,39.456
