timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,42.19
2016-01-01 01:00:00,2016-01-01 01:00:00,42.19
2016-01-01 02:00:00,2016-01-01 02:00:00,43.695
2016-01-01 03:00:00,2016-01-01 03:00:00,42.769
2016-01-01 04:00:00,2016-01-01 04:00:00,41.967
2016-01-01 05:00:00,2016-01-01 05:00:00,42.79
2016-01-01 06:00:00,2016-01-01 06:00:00,41.984
2016-01-01 07:00:00,2016-01-01 07:00:00,42.451
2016-01-01 08:00:00,2016-01-01 08:00:00,42.334
2016-01-01 09:00:00,2016-01-01 09:00:00,40.275
2016-01-01 10:00:00,2016-01-01 10:00:00,39.762
2016-01-01 11:00:00,2016-01-01 11:00:00,40.147
2016-01-01 12:00:00,2016-01-01 12:00:00,38.89
2016-01-01 13:00:00,2016-01-01 13:00:00,39.721
2016-01-01 14:00:00,2016-01-01 14:00:00,40.034
2016-01-01 15:00:00,2016-01-01 15:00:00,38.976
2016-01-01 16:00:00,2016-01-01 16:00:00,38.604
2016-01-01 17:00:00,2016-01-01 17:00:00,40.183
2016-01-01 18:00:00,2016-01-01 18:00:00,42.642
2016-01-01 19:00:00,2016-01-01 19:00:00,43.429
2016-01-01 20:00:00,2016-01-01 20:00:00,43.165
2016-01-01 21:00:00,2016-01-01 21:00:00,42.112
2016-01-01 22:00:00,2016-01-01 22:00:00,42.404
2016-01-01 23:00:00,2016-01-01 23:00:00,41.586
2016-01-02 00:00:00,2016-01-02 00:00:00,42.513
2016-01-02 01:00:00,2016-01-02 01:00:00,42.455
2016-01-02 02:00:00,2016-01-02 02:00:00,41.789
2016-01-02 03:00:00,2016-01-02 03:00:00,42.16
2016-01-02 04:00:00,2016-01-02 04:00:00,42.158
2016-01-02 05:00:00,2016-01-02 05:00:00,41.854
2016-01-02 06:00:00,2016-01-02 06:00:00,42.437
2016-01-02 07:00:00,2016-01-02 07:00:00,42.539
2016-01-02 08:00:00,2016-01-02 08:00:00,42.949
2016-01-02 09:00:00,2016-01-02 09:00:00,40.765
2016-01-02 10:00:00,2016-01-02 10:00:00,39.235
2016-01-02 11:00:00,2016-01-02 11:00:00,39.861
2016-01-02 12:00:00,2016-01-02 12:00:00,41.183
2016-01-02 13:00:00,2016-01-02 13:00:00,40.73
2016-01-02 14:00:00,2016-01-02 14:00:00,41.177
2016-01-02 15:00:00,2016-01-02 15:00:00,41.6
2016-01-02 16:00:00,2016-01-02 16:00:00,40.333
2016-01-02 17:00:00,2016-01-02 17:00:00,40.682
2016-01-02 18:00:00,2016-01-02 18:00:00,42.404
2016-01-02 19:00:00,2016-01-02 19:00:00,44.197
2016-01-02 20:00:00,2016-01-02 20:00:00,43.165
2016-01-02 21:00:00,2016-01-02 21:00:00,41.783
2016-01-02 22:00:00,2016-01-02 22:00:00,41.391
2016-01-02 23:00:00,2016-01-02 23:00:00,42.147
2016-01-03 00:00:00,2016-01-03 00:00:00,42.942
2016-01-03 01:00:00,2016-01-03 01:00:00,41.86
2016-01-03 02:00:00,2016-01-03 02:00:00,42.116
2016-01-03 03:00:00,2016-01-03 03:00:00,41.578
2016-01-03 04:00:00,2016-01-03 04:00:00,41.314
2016-01-03 05:00:00,2016-01-03 05:00:00,41.56
2016-01-03 06:00:00,2016-01-03 06:00:00,41.865
2016-01-03 07:00:00,2016-01-03 07:00:00,41.498
2016-01-03 08:00:00,2016-01-03 08:00:00,41.462
2016-01-03 09:00:00,2016-01-03 09:00:00,39.922
2016-01-03 10:00:00,2016-01-03 10:00:00,38.351
2016-01-03 11:00:00,2016-01-03 11:00:00,38.705
2016-01-03 12:00:00,2016-01-03 12:00:00,39.734
2016-01-03 13:00:00,2016-01-03 13:00:00,40.317
2016-01-03 14:00:00,2016-01-03 14:00:00,41.03
2016-01-03 15:00:00,2016-01-03 15:00:00,41.347
2016-01-03 16:00:00,2016-01-03 16:00:00,40.661
2016-01-03 17:00:00,2016-01-03 17:00:00,40.994
2016-01-03 18:00:00,2016-01-03 18:00:00,41.104
2016-01-03 19:00:00,2016-01-03 19:00:00,41.847
2016-01-03 20:00:00,2016-01-03 20:00:00,41.778
2016-01-03 21:00:00,2016-01-03 21:00:00,42.443
2016-01-03 22:00:00,2016-01-03 22:00:00,41.78
2016-01-03 23:00:00,2016-01-03 23:00:00,42.116
2016-01-04 00:00:00,2016-01-04 00:00:00,41.746
2016-01-04 01:00:00,2016-01-04 01:00:00,42.18
2016-01-04 02:00:00,2016-01-04 02:00:00,42.939
2016-01-04 03:00:00,2016-01-04 03:00:00,41.915
2016-01-04 04:00:00,2016-01-04 04:00:00,42.592
2016-01-04 05:00:00,2016-01-04 05:00:00,42.537
2016-01-04 06:00:00,2016-01-04 06:00:00,44.449
2016-01-04 07:00:00,2016-01-04 07:00:00,45.951
2016-01-04 08:00:00,2016-01-04 08:00:00,46.5
2016-01-04 09:00:00,2016-01-04 09:00:00,44.932
2016-01-04 10:00:00,2016-01-04 10:00:00,45.099
2016-01-04 11:00:00,2016-01-04 11:00:00,51.456
2016-01-04 12:00:00,2016-01-04 12:00:00,51.251
2016-01-04 13:00:00,2016-01-04 13:00:00,44.871
2016-01-04 14:00:00,2016-01-04 14:00:00,44.473
2016-01-04 15:00:00,2016-01-04 15:00:00,41.809
2016-01-04 16:00:00,2016-01-04 16:00:00,43.713
2016-01-04 17:00:00,2016-01-04 17:00:00,43.742
2016-01-04 18:00:00,2016-01-04 18:00:00,46.07
2016-01-04 19:00:00,2016-01-04 19:00:00,44.792
2016-01-04 20:00:00,2016-01-04 20:00:00,44.431
2016-01-04 21:00:00,2016-01-04 21:00:00,43.916
2016-01-04 22:00:00,2016-01-04 22:00:00,42.187
2016-01-04 23:00:00,2016-01-04 23:00:00,43.88
2016-01-05 00:00:00,2016-01-05 00:00:00,41.918
2016-01-05 01:00:00,2016-01-05 01:00:00,42.009
2016-01-05 02:00:00,2016-01-05 02:00:00,45.613
2016-01-05 03:00:00,2016-01-05 03:00:00,43.78
2016-01-05 04:00:00,2016-01-05 04:00:00,42.227
2016-01-05 05:00:00,2016-01-05 05:00:00,41.535
2016-01-05 06:00:00,2016-01-05 06:00:00,44.196
2016-01-05 07:00:00,2016-01-05 07:00:00,46.767
2016-01-05 08:00:00,2016-01-05 08:00:00,46.698
2016-01-05 09:00:00,2016-01-05 09:00:00,44.016
2016-01-05 10:00:00,2016-01-05 10:00:00,44.841
2016-01-05 11:00:00,2016-01-05 11:00:00,46.463
2016-01-05 12:00:00,2016-01-05 12:00:00,44.755
2016-01-05 13:00:00,2016-01-05 13:00:00,45.54
2016-01-05 14:00:00,2016-01-05 14:00:00,44.086
2016-01-05 15:00:00,2016-01-05 15:00:00,41.113
2016-01-05 16:00:00,2016-01-05 16:00:00,55.232
2016-01-05 17:00:00,2016-01-05 17:00:00,43.336
2016-01-05 18:00:00,2016-01-05 18:00:00,46.285
2016-01-05 19:00:00,2016-01-05 19:00:00,45.327
2016-01-05 20:00:00,2016-01-05 20:00:00,43.699
2016-01-05 21:00:00,2016-01-05 21:00:00,42.03
2016-01-05 22:00:00,2016-01-05 22:00:00,43.175
2016-01-05 23:00:00,2016-01-05 23:00:00,41.216
2016-01-06 00:00:00,2016-01-06 00:00:00,41.077
2016-01-06 01:00:00,2016-01-06 01:00:00,40.916
2016-01-06 02:00:00,2016-01-06 02:00:00,40.435
2016-01-06 03:00:00,2016-01-06 03:00:00,40.152
2016-01-06 04:00:00,2016-01-06 04:00:00,41.065
2016-01-06 05:00:00,2016-01-06 05:00:00,40.519
2016-01-06 06:00:00,2016-01-06 06:00:00,42.665
2016-01-06 07:00:00,2016-01-06 07:00:00,43.731
2016-01-06 08:00:00,2016-01-06 08:00:00,45.471
2016-01-06 09:00:00,2016-01-06 09:00:00,43.565
2016-01-06 10:00:00,2016-01-06 10:00:00,45.61
2016-01-06 11:00:00,2016-01-06 11:00:00,44.759
2016-01-06 12:00:00,2016-01-06 12:00:00,43.462
2016-01-06 13:00:00,2016-01-06 13:00:00,43.888
2016-01-06 14:00:00,2016-01-06 14:00:00,42.656
2016-01-06 15:00:00,2016-01-06 15:00:00,40.358
2016-01-06 16:00:00,2016-01-06 16:00:00,41.625
2016-01-06 17:00:00,2016-01-06 17:00:00,41.244
2016-01-06 18:00:00,2016-01-06 18:00:00,56.483
2016-01-06 19:00:00,2016-01-06 19:00:00,40.484
2016-01-06 20:00:00,2016-01-06 20:00:00,40.833
2016-01-06 21:00:00,2016-01-06 21:00:00,41.64
2016-01-06 22:00:00,2016-01-06 22:00:00,40.336
2016-01-06 23:00:00,2016-01-06 23:00:00,38.487
2016-01-07 00:00:00,2016-01-07 00:00:00,36.703
2016-01-07 01:00:00,2016-01-07 01:00:00,37.104
2016-01-07 02:00:00,2016-01-07 02:00:00,36.81
2016-01-07 03:00:00,2016-01-07 03:00:00,36.929
2016-01-07 04:00:00,2016-01-07 04:00:00,37.091
2016-01-07 05:00:00,2016-01-07 05:00:00,36.917
2016-01-07 06:00:00,2016-01-07 06:00:00,38.817
2016-01-07 07:00:00,2016-01-07 07:00:00,39.847
2016-01-07 08:00:00,2016-01-07 08:00:00,41.644
2016-01-07 09:00:00,2016-01-07 09:00:00,40.405
2016-01-07 10:00:00,2016-01-07 10:00:00,40.788
2016-01-07 11:00:00,2016-01-07 11:00:00,40.322
2016-01-07 12:00:00,2016-01-07 12:00:00,40.633
2016-01-07 13:00:00,2016-01-07 13:00:00,41.262
2016-01-07 14:00:00,2016-01-07 14:00:00,40.853
2016-01-07 15:00:00,2016-01-07 15:00:00,41.523
2016-01-07 16:00:00,2016-01-07 16:00:00,40.899
2016-01-07 17:00:00,2016-01-07 17:00:00,40.476
2016-01-07 18:00:00,2016-01-07 18:00:00,57.618
2016-01-07 19:00:00,2016-01-07 19:00:00,40.716
2016-01-07 20:00:00,2016-01-07 20:00:00,38.254
2016-01-07 21:00:00,2016-01-07 21:00:00,40.073
2016-01-07 22:00:00,2016-01-07 22:00:00,38.122
2016-01-07 23:00:00,2016-01-07 23:00:00,37.646
2016-01-08 00:00:00,2016-01-08 00:00:00,38.106
2016-01-08 01:00:00,2016-01-08 01:00:00,37.506
2016-01-08 02:00:00,2016-01-08 02:00:00,37.546
2016-01-08 03:00:00,2016-01-08 03:00:00,37.261
2016-01-08 04:00:00,2016-01-08 04:00:00,38.487
2016-01-08 05:00:00,2016-01-08 05:00:00,37.178
2016-01-08 06:00:00,2016-01-08 06:00:00,39.369
2016-01-08 07:00:00,2016-01-08 07:00:00,40.703
2016-01-08 08:00:00,2016-01-08 08:00:00,41.97
2016-01-08 09:00:00,2016-01-08 09:00:00,40.337
2016-01-08 10:00:00,2016-01-08 10:00:00,39.571
2016-01-08 11:00:00,2016-01-08 11:00:00,39.478
2016-01-08 12:00:00,2016-01-08 12:00:00,40.239
2016-01-08 13:00:00,2016-01-08 13:00:00,39.58
2016-01-08 14:00:00,2016-01-08 14:00:00,38.989
2016-01-08 15:00:00,2016-01-08 15:00:00,37.012
2016-01-08 16:00:00,2016-01-08 16:00:00,36.356
2016-01-08 17:00:00,2016-01-08 17:00:00,44.684
2016-01-08 18:00:00,2016-01-08 18:00:00,55.885
2016-01-08 19:00:00,2016-01-08 19:00:00,38.31
2016-01-08 20:00:00,2016-01-08 20:00:00,36.193
2016-01-08 21:00:00,2016-01-08 21:00:00,36.294
2016-01-08 22:00:00,2016-01-08 22:00:00,37.827
2016-01-08 23:00:00,2016-01-08 23:00:00,36.547
2016-01-09 00:00:00,2016-01-09 00:00:00,36.06
2016-01-09 01:00:00,2016-01-09 01:00:00,35.446
2016-01-09 02:00:00,2016-01-09 02:00:00,37.257
2016-01-09 03:00:00,2016-01-09 03:00:00,37.553
2016-01-09 04:00:00,2016-01-09 04:00:00,37.83
2016-01-09 05:00:00,2016-01-09 05:00:00,37.723
2016-01-09 06:00:00,2016-01-09 06:00:00,38.099
2016-01-09 07:00:00,2016-01-09 07:00:00,38.649
2016-01-09 08:00:00,2016-01-09 08:00:00,40.991
2016-01-09 09:00:00,2016-01-09 09:00:00,43.248
2016-01-09 10:00:00,2016-01-09 10:00:00,41.522
2016-01-09 11:00:00,2016-01-09 11:00:00,50.476
2016-01-09 12:00:00,2016-01-09 12:00:00,42.228
2016-01-09 13:00:00,2016-01-09 13:00:00,38.02
2016-01-09 14:00:00,2016-01-09 14:00:00,39.377
2016-01-09 15:00:00,2016-01-09 15:00:00,38.331
2016-01-09 16:00:00,2016-01-09 16:00:00,38.948
2016-01-09 17:00:00,2016-01-09 17:00:00,39.769
2016-01-09 18:00:00,2016-01-09 18:00:00,40.559
2016-01-09 19:00:00,2016-01-09 19:00:00,41.395
2016-01-09 20:00:00,2016-01-09 20:00:00,40.19
2016-01-09 21:00:00,2016-01-09 21:00:00,40.724
2016-01-09 22:00:00,2016-01-09 22:00:00,40.416
2016-01-09 23:00:00,2016-01-09 23:00:00,41.03
