timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,177.987
2016-01-01 01:00:00,2016-01-01 01:00:00,177.987
2016-01-01 02:00:00,2016-01-01 02:00:00,177.372
2016-01-01 03:00:00,2016-01-01 03:00:00,178.415
2016-01-01 04:00:00,2016-01-01 04:00:00,177.567
2016-01-01 05:00:00,2016-01-01 05:00:00,179.063
2016-01-01 06:00:00,2016-01-01 06:00:00,177.523
2016-01-01 07:00:00,2016-01-01 07:00:00,177.685
2016-01-01 08:00:00,2016-01-01 08:00:00,179.64
2016-01-01 09:00:00,2016-01-01 09:00:00,176.745
2016-01-01 10:00:00,2016-01-01 10:00:00,174.31
2016-01-01 11:00:00,2016-01-01 11:00:00,174.291
2016-01-01 12:00:00,2016-01-01 12:00:00,173.731
2016-01-01 13:00:00,2016-01-01 13:00:00,170.61
2016-01-01 14:00:00,2016-01-01 14:00:00,171.744
2016-01-01 15:00:00,2016-01-01 15:00:00,171.078
2016-01-01 16:00:00,2016-01-01 16:00:00,170.499
2016-01-01 17:00:00,2016-01-01 17:00:00,171.77
2016-01-01 18:00:00,2016-01-01 18:00:00,174.962
2016-01-01 19:00:00,2016-01-01 19:00:00,176.222
2016-01-01 20:00:00,2016-01-01 20:00:00,176.054
2016-01-01 21:00:00,2016-01-01 21:00:00,177.606
2016-01-01 22:00:00,2016-01-01 22:00:00,175.349
2016-01-01 23:00:00,2016-01-01 23:00:00,176.56
2016-01-02 00:00:00,2016-01-02 00:00:00,174.884
2016-01-02 01:00:00,2016-01-02 01:00:00,178.809
2016-01-02 02:00:00,2016-01-02 02:00:00,175.791
2016-01-02 03:00:00,2016-01-02 03:00:00,178.223
2016-01-02 04:00:00,2016-01-02 04:00:00,177.089
2016-01-02 05:00:00,2016-01-02 05:00:00,179.64
2016-01-02 06:00:00,2016-01-02 06:00:00,176.639
2016-01-02 07:00:00,2016-01-02 07:00:00,178.443
2016-01-02 08:00:00,2016-01-02 08:00:00,177.963
2016-01-02 09:00:00,2016-01-02 09:00:00,174.852
2016-01-02 10:00:00,2016-01-02 10:00:00,173.247
2016-01-02 11:00:00,2016-01-02 11:00:00,170.223
2016-01-02 12:00:00,2016-01-02 12:00:00,170.668
2016-01-02 13:00:00,2016-01-02 13:00:00,168.71
2016-01-02 14:00:00,2016-01-02 14:00:00,171.406
2016-01-02 15:00:00,2016-01-02 15:00:00,169.49
2016-01-02 16:00:00,2016-01-02 16:00:00,171.541
2016-01-02 17:00:00,2016-01-02 17:00:00,168.65
2016-01-02 18:00:00,2016-01-02 18:00:00,175.421
2016-01-02 19:00:00,2016-01-02 19:00:00,173.981
2016-01-02 20:00:00,2016-01-02 20:00:00,176.911
2016-01-02 21:00:00,2016-01-02 21:00:00,172.752
2016-01-02 22:00:00,2016-01-02 22:00:00,177.103
2016-01-02 23:00:00,2016-01-02 23:00:00,174.232
2016-01-03 00:00:00,2016-01-03 00:00:00,176.295
2016-01-03 01:00:00,2016-01-03 01:00:00,174.713
2016-01-03 02:00:00,2016-01-03 02:00:00,175.712
2016-01-03 03:00:00,2016-01-03 03:00:00,173.649
2016-01-03 04:00:00,2016-01-03 04:00:00,174.549
2016-01-03 05:00:00,2016-01-03 05:00:00,173.953
2016-01-03 06:00:00,2016-01-03 06:00:00,175.634
2016-01-03 07:00:00,2016-01-03 07:00:00,171.821
2016-01-03 08:00:00,2016-01-03 08:00:00,173.971
2016-01-03 09:00:00,2016-01-03 09:00:00,171.331
2016-01-03 10:00:00,2016-01-03 10:00:00,169.167
2016-01-03 11:00:00,2016-01-03 11:00:00,168.784
2016-01-03 12:00:00,2016-01-03 12:00:00,169.014
2016-01-03 13:00:00,2016-01-03 13:00:00,169.477
2016-01-03 14:00:00,2016-01-03 14:00:00,168.888
2016-01-03 15:00:00,2016-01-03 15:00:00,169.415
2016-01-03 16:00:00,2016-01-03 16:00:00,168.531
2016-01-03 17:00:00,2016-01-03 17:00:00,170.584
2016-01-03 18:00:00,2016-01-03 18:00:00,171.971
2016-01-03 19:00:00,2016-01-03 19:00:00,174.569
2016-01-03 20:00:00,2016-01-03 20:00:00,173.818
2016-01-03 21:00:00,2016-01-03 21:00:00,175.142
2016-01-03 22:00:00,2016-01-03 22:00:00,172.531
2016-01-03 23:00:00,2016-01-03 23:00:00,176.024
2016-01-04 00:00:00,2016-01-04 00:00:00,174.87
2016-01-04 01:00:00,2016-01-04 01:00:00,175.542
2016-01-04 02:00:00,2016-01-04 02:00:00,176.049
2016-01-04 03:00:00,2016-01-04 03:00:00,176.061
