timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,919.411
2016-01-01 01:00:00,2016-01-01 01:00:00,919.411
2016-01-01 02:00:00,2016-01-01 02:00:00,942.595
2016-01-01 03:00:00,2016-01-01 03:00:00,954.03
2016-01-01 04:00:00,2016-01-01 04:00:00,953.758
2016-01-01 05:00:00,2016-01-01 05:00:00,951.03
2016-01-01 06:00:00,2016-01-01 06:00:00,943.992
2016-01-01 07:00:00,2016-01-01 07:00:00,971.804
2016-01-01 08:00:00,2016-01-01 08:00:00,1016.868
2016-01-01 09:00:00,2016-01-01 09:00:00,1012.896
2016-01-01 10:00:00,2016-01-01 10:00:00,1010.001
2016-01-01 11:00:00,2016-01-01 11:00:00,988.769
2016-01-01 12:00:00,2016-01-01 12:00:00,985.208
2016-01-01 13:00:00,2016-01-01 13:00:00,989.708
2016-01-01 14:00:00,2016-01-01 14:00:00,1000.249
2016-01-01 15:00:00,2016-01-01 15:00:00,1001.647
2016-01-01 16:00:00,2016-01-01 16:00:00,1012.877
2016-01-01 17:00:00,2016-01-01 17:00:00,1013.987
2016-01-01 18:00:00,2016-01-01 18:00:00,1069.39
2016-01-01 19:00:00,2016-01-01 19:00:00,1040.405
2016-01-01 20:00:00,2016-01-01 20:00:00,937.265
2016-01-01 21:00:00,2016-01-01 21:00:00,929.833
2016-01-01 22:00:00,2016-01-01 22:00:00,932.773
2016-01-01 23:00:00,2016-01-01 23:00:00,935.023
2016-01-02 00:00:00,2016-01-02 00:00:00,932.19
2016-01-02 01:00:00,2016-01-02 01:00:00,924.101
2016-01-02 02:00:00,2016-01-02 02:00:00,913.093
2016-01-02 03:00:00,2016-01-02 03:00:00,893.305
2016-01-02 04:00:00,2016-01-02 04:00:00,892.347
2016-01-02 05:00:00,2016-01-02 05:00:00,891.541
2016-01-02 06:00:00,2016-01-02 06:00:00,871.362
2016-01-02 07:00:00,2016-01-02 07:00:00,892.094
2016-01-02 08:00:00,2016-01-02 08:00:00,967.585
2016-01-02 09:00:00,2016-01-02 09:00:00,1017.621
2016-01-02 10:00:00,2016-01-02 10:00:00,1016.315
2016-01-02 11:00:00,2016-01-02 11:00:00,1014.626
2016-01-02 12:00:00,2016-01-02 12:00:00,1022.187
2016-01-02 13:00:00,2016-01-02 13:00:00,1039.6689
2016-01-02 14:00:00,2016-01-02 14:00:00,1045.382
2016-01-02 15:00:00,2016-01-02 15:00:00,1044.219
2016-01-02 16:00:00,2016-01-02 16:00:00,1040.921
2016-01-02 17:00:00,2016-01-02 17:00:00,1059.231
2016-01-02 18:00:00,2016-01-02 18:00:00,1074.037
2016-01-02 19:00:00,2016-01-02 19:00:00,1025.084
2016-01-02 20:00:00,2016-01-02 20:00:00,988.548
2016-01-02 21:00:00,2016-01-02 21:00:00,986.856
