timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,291.8
2016-01-01 01:00:00,2016-01-01 01:00:00,291.8
2016-01-01 02:00:00,2016-01-01 02:00:00,197.22
2016-01-01 03:00:00,2016-01-01 03:00:00,162.82
2016-01-01 04:00:00,2016-01-01 04:00:00,279.82
2016-01-01 05:00:00,2016-01-01 05:00:00,297.82
2016-01-01 06:00:00,2016-01-01 06:00:00,175.22
2016-01-01 07:00:00,2016-01-01 07:00:00,161.62
2016-01-01 08:00:00,2016-01-01 08:00:00,163.82
2016-01-01 09:00:00,2016-01-01 09:00:00,165.0
2016-01-01 10:00:00,2016-01-01 10:00:00,157.82
2016-01-01 11:00:00,2016-01-01 11:00:00,165.02
2016-01-01 12:00:00,2016-01-01 12:00:00,168.8
2016-01-01 13:00:00,2016-01-01 13:00:00,183.84
2016-01-01 14:00:00,2016-01-01 14:00:00,184.8
2016-01-01 15:00:00,2016-01-01 15:00:00,307.82
2016-01-01 16:00:00,2016-01-01 16:00:00,328.04
2016-01-01 17:00:00,2016-01-01 17:00:00,192.0
2016-01-01 18:00:00,2016-01-01 18:00:00,182.82
2016-01-01 19:00:00,2016-01-01 19:00:00,182.8
2016-01-01 20:00:00,2016-01-01 20:00:00,191.84
2016-01-01 21:00:00,2016-01-01 21:00:00,186.2
2016-01-01 22:00:00,2016-01-01 22:00:00,187.82
2016-01-01 23:00:00,2016-01-01 23:00:00,194.6
2016-01-02 00:00:00,2016-01-02 00:00:00,184.04
2016-01-02 01:00:00,2016-01-02 01:00:00,173.8
2016-01-02 02:00:00,2016-01-02 02:00:00,176.02
2016-01-02 03:00:00,2016-01-02 03:00:00,186.8
2016-01-02 04:00:00,2016-01-02 04:00:00,291.04
2016-01-02 05:00:00,2016-01-02 05:00:00,308.02
2016-01-02 06:00:00,2016-01-02 06:00:00,174.82
2016-01-02 07:00:00,2016-01-02 07:00:00,165.6
2016-01-02 08:00:00,2016-01-02 08:00:00,174.22
2016-01-02 09:00:00,2016-01-02 09:00:00,164.62
2016-01-02 10:00:00,2016-01-02 10:00:00,177.82
2016-01-02 11:00:00,2016-01-02 11:00:00,179.2
2016-01-02 12:00:00,2016-01-02 12:00:00,186.82
2016-01-02 13:00:00,2016-01-02 13:00:00,299.8
2016-01-02 14:00:00,2016-01-02 14:00:00,320.82
2016-01-02 15:00:00,2016-01-02 15:00:00,434.04
2016-01-02 16:00:00,2016-01-02 16:00:00,455.04
2016-01-02 17:00:00,2016-01-02 17:00:00,313.8
2016-01-02 18:00:00,2016-01-02 18:00:00,304.8
2016-01-02 19:00:00,2016-01-02 19:00:00,191.02
2016-01-02 20:00:00,2016-01-02 20:00:00,195.02
2016-01-02 21:00:00,2016-01-02 21:00:00,185.8
2016-01-02 22:00:00,2016-01-02 22:00:00,194.02
2016-01-02 23:00:00,2016-01-02 23:00:00,198.8
2016-01-03 00:00:00,2016-01-03 00:00:00,195.84
2016-01-03 01:00:00,2016-01-03 01:00:00,186.2
2016-01-03 02:00:00,2016-01-03 02:00:00,176.62
2016-01-03 03:00:00,2016-01-03 03:00:00,187.04
2016-01-03 04:00:00,2016-01-03 04:00:00,295.62
2016-01-03 05:00:00,2016-01-03 05:00:00,311.24
2016-01-03 06:00:00,2016-01-03 06:00:00,176.84
2016-01-03 07:00:00,2016-01-03 07:00:00,164.8
2016-01-03 08:00:00,2016-01-03 08:00:00,171.82
2016-01-03 09:00:00,2016-01-03 09:00:00,158.0
2016-01-03 10:00:00,2016-01-03 10:00:00,157.04
2016-01-03 11:00:00,2016-01-03 11:00:00,163.82
2016-01-03 12:00:00,2016-01-03 12:00:00,185.8
2016-01-03 13:00:00,2016-01-03 13:00:00,304.02
2016-01-03 14:00:00,2016-01-03 14:00:00,292.82
2016-01-03 15:00:00,2016-01-03 15:00:00,423.02
2016-01-03 16:00:00,2016-01-03 16:00:00,442.04
2016-01-03 17:00:00,2016-01-03 17:00:00,309.82
2016-01-03 18:00:00,2016-01-03 18:00:00,301.0
2016-01-03 19:00:00,2016-01-03 19:00:00,198.82
2016-01-03 20:00:00,2016-01-03 20:00:00,190.82
2016-01-03 21:00:00,2016-01-03 21:00:00,192.04
