timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,142.341
2016-01-01 01:00:00,2016-01-01 01:00:00,142.341
2016-01-01 02:00:00,2016-01-01 02:00:00,135.225
2016-01-01 03:00:00,2016-01-01 03:00:00,135.926
2016-01-01 04:00:00,2016-01-01 04:00:00,134.218
2016-01-01 05:00:00,2016-01-01 05:00:00,140.637
2016-01-01 06:00:00,2016-01-01 06:00:00,138.302
2016-01-01 07:00:00,2016-01-01 07:00:00,146.059
2016-01-01 08:00:00,2016-01-01 08:00:00,149.532
2016-01-01 09:00:00,2016-01-01 09:00:00,156.265
2016-01-01 10:00:00,2016-01-01 10:00:00,150.905
2016-01-01 11:00:00,2016-01-01 11:00:00,150.423
2016-01-01 12:00:00,2016-01-01 12:00:00,146.786
2016-01-01 13:00:00,2016-01-01 13:00:00,148.225
2016-01-01 14:00:00,2016-01-01 14:00:00,147.972
2016-01-01 15:00:00,2016-01-01 15:00:00,148.879
2016-01-01 16:00:00,2016-01-01 16:00:00,144.371
2016-01-01 17:00:00,2016-01-01 17:00:00,148.869
2016-01-01 18:00:00,2016-01-01 18:00:00,143.12
2016-01-01 19:00:00,2016-01-01 19:00:00,137.977
2016-01-01 20:00:00,2016-01-01 20:00:00,134.178
2016-01-01 21:00:00,2016-01-01 21:00:00,134.064
2016-01-01 22:00:00,2016-01-01 22:00:00,134.726
2016-01-01 23:00:00,2016-01-01 23:00:00,144.784
2016-01-02 00:00:00,2016-01-02 00:00:00,132.267
2016-01-02 01:00:00,2016-01-02 01:00:00,135.015
2016-01-02 02:00:00,2016-01-02 02:00:00,140.605
2016-01-02 03:00:00,2016-01-02 03:00:00,135.576
2016-01-02 04:00:00,2016-01-02 04:00:00,131.729
2016-01-02 05:00:00,2016-01-02 05:00:00,134.377
2016-01-02 06:00:00,2016-01-02 06:00:00,137.443
2016-01-02 07:00:00,2016-01-02 07:00:00,142.29
2016-01-02 08:00:00,2016-01-02 08:00:00,145.426
2016-01-02 09:00:00,2016-01-02 09:00:00,144.633
2016-01-02 10:00:00,2016-01-02 10:00:00,178.925
2016-01-02 11:00:00,2016-01-02 11:00:00,174.607
2016-01-02 12:00:00,2016-01-02 12:00:00,171.483
2016-01-02 13:00:00,2016-01-02 13:00:00,171.961
2016-01-02 14:00:00,2016-01-02 14:00:00,174.314
2016-01-02 15:00:00,2016-01-02 15:00:00,179.673
2016-01-02 16:00:00,2016-01-02 16:00:00,170.402
2016-01-02 17:00:00,2016-01-02 17:00:00,177.735
2016-01-02 18:00:00,2016-01-02 18:00:00,170.731
2016-01-02 19:00:00,2016-01-02 19:00:00,140.717
2016-01-02 20:00:00,2016-01-02 20:00:00,135.538
2016-01-02 21:00:00,2016-01-02 21:00:00,134.881
2016-01-02 22:00:00,2016-01-02 22:00:00,136.126
2016-01-02 23:00:00,2016-01-02 23:00:00,135.545
2016-01-03 00:00:00,2016-01-03 00:00:00,132.675
2016-01-03 01:00:00,2016-01-03 01:00:00,139.002
2016-01-03 02:00:00,2016-01-03 02:00:00,135.694
2016-01-03 03:00:00,2016-01-03 03:00:00,136.603
2016-01-03 04:00:00,2016-01-03 04:00:00,132.132
2016-01-03 05:00:00,2016-01-03 05:00:00,136.417
2016-01-03 06:00:00,2016-01-03 06:00:00,138.03
2016-01-03 07:00:00,2016-01-03 07:00:00,142.308
2016-01-03 08:00:00,2016-01-03 08:00:00,145.878
2016-01-03 09:00:00,2016-01-03 09:00:00,142.123
2016-01-03 10:00:00,2016-01-03 10:00:00,143.315
2016-01-03 11:00:00,2016-01-03 11:00:00,142.938
2016-01-03 12:00:00,2016-01-03 12:00:00,143.628
2016-01-03 13:00:00,2016-01-03 13:00:00,180.068
2016-01-03 14:00:00,2016-01-03 14:00:00,175.212
2016-01-03 15:00:00,2016-01-03 15:00:00,175.292
2016-01-03 16:00:00,2016-01-03 16:00:00,169.819
2016-01-03 17:00:00,2016-01-03 17:00:00,182.067
2016-01-03 18:00:00,2016-01-03 18:00:00,172.391
2016-01-03 19:00:00,2016-01-03 19:00:00,170.115
2016-01-03 20:00:00,2016-01-03 20:00:00,165.838
2016-01-03 21:00:00,2016-01-03 21:00:00,135.97
2016-01-03 22:00:00,2016-01-03 22:00:00,141.039
2016-01-03 23:00:00,2016-01-03 23:00:00,134.228
2016-01-04 00:00:00,2016-01-04 00:00:00,131.89
2016-01-04 01:00:00,2016-01-04 01:00:00,153.672
2016-01-04 02:00:00,2016-01-04 02:00:00,163.168
2016-01-04 03:00:00,2016-01-04 03:00:00,159.084
2016-01-04 04:00:00,2016-01-04 04:00:00,143.33
2016-01-04 05:00:00,2016-01-04 05:00:00,144.646
2016-01-04 06:00:00,2016-01-04 06:00:00,158.805
2016-01-04 07:00:00,2016-01-04 07:00:00,182.611
2016-01-04 08:00:00,2016-01-04 08:00:00,220.681
2016-01-04 09:00:00,2016-01-04 09:00:00,242.806
2016-01-04 10:00:00,2016-01-04 10:00:00,254.292
2016-01-04 11:00:00,2016-01-04 11:00:00,259.197
2016-01-04 12:00:00,2016-01-04 12:00:00,260.709
2016-01-04 13:00:00,2016-01-04 13:00:00,258.097
2016-01-04 14:00:00,2016-01-04 14:00:00,259.654
2016-01-04 15:00:00,2016-01-04 15:00:00,256.397
2016-01-04 16:00:00,2016-01-04 16:00:00,254.226
2016-01-04 17:00:00,2016-01-04 17:00:00,245.146
2016-01-04 18:00:00,2016-01-04 18:00:00,224.301
2016-01-04 19:00:00,2016-01-04 19:00:00,215.25
2016-01-04 20:00:00,2016-01-04 20:00:00,204.067
2016-01-04 21:00:00,2016-01-04 21:00:00,183.369
2016-01-04 22:00:00,2016-01-04 22:00:00,188.295
2016-01-04 23:00:00,2016-01-04 23:00:00,181.273
2016-01-05 00:00:00,2016-01-05 00:00:00,178.818
2016-01-05 01:00:00,2016-01-05 01:00:00,170.765
2016-01-05 02:00:00,2016-01-05 02:00:00,164.918
2016-01-05 03:00:00,2016-01-05 03:00:00,164.391
2016-01-05 04:00:00,2016-01-05 04:00:00,148.648
2016-01-05 05:00:00,2016-01-05 05:00:00,149.445
2016-01-05 06:00:00,2016-01-05 06:00:00,162.733
2016-01-05 07:00:00,2016-01-05 07:00:00,186.842
2016-01-05 08:00:00,2016-01-05 08:00:00,225.507
2016-01-05 09:00:00,2016-01-05 09:00:00,239.108
2016-01-05 10:00:00,2016-01-05 10:00:00,254.031
