timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,48.55
2016-01-01 01:00:00,2016-01-01 01:00:00,48.55
2016-01-01 02:00:00,2016-01-01 02:00:00,47.271
2016-01-01 03:00:00,2016-01-01 03:00:00,53.169
2016-01-01 04:00:00,2016-01-01 04:00:00,52.403
2016-01-01 05:00:00,2016-01-01 05:00:00,51.832
2016-01-01 06:00:00,2016-01-01 06:00:00,52.015
2016-01-01 07:00:00,2016-01-01 07:00:00,52.254
2016-01-01 08:00:00,2016-01-01 08:00:00,51.88
2016-01-01 09:00:00,2016-01-01 09:00:00,52.778
2016-01-01 10:00:00,2016-01-01 10:00:00,48.874
2016-01-01 11:00:00,2016-01-01 11:00:00,49.006
2016-01-01 12:00:00,2016-01-01 12:00:00,49.769
2016-01-01 13:00:00,2016-01-01 13:00:00,49.57
2016-01-01 14:00:00,2016-01-01 14:00:00,49.583
2016-01-01 15:00:00,2016-01-01 15:00:00,49.299
2016-01-01 16:00:00,2016-01-01 16:00:00,46.263
2016-01-01 17:00:00,2016-01-01 17:00:00,43.968
2016-01-01 18:00:00,2016-01-01 18:00:00,46.36
2016-01-01 19:00:00,2016-01-01 19:00:00,46.724
2016-01-01 20:00:00,2016-01-01 20:00:00,46.905
2016-01-01 21:00:00,2016-01-01 21:00:00,45.796
2016-01-01 22:00:00,2016-01-01 22:00:00,46.065
2016-01-01 23:00:00,2016-01-01 23:00:00,46.322
2016-01-02 00:00:00,2016-01-02 00:00:00,46.509
2016-01-02 01:00:00,2016-01-02 01:00:00,46.103
2016-01-02 02:00:00,2016-01-02 02:00:00,45.872
2016-01-02 03:00:00,2016-01-02 03:00:00,45.992
2016-01-02 04:00:00,2016-01-02 04:00:00,46.5
2016-01-02 05:00:00,2016-01-02 05:00:00,46.114
2016-01-02 06:00:00,2016-01-02 06:00:00,46.289
2016-01-02 07:00:00,2016-01-02 07:00:00,46.5
2016-01-02 08:00:00,2016-01-02 08:00:00,46.932
2016-01-02 09:00:00,2016-01-02 09:00:00,44.542
2016-01-02 10:00:00,2016-01-02 10:00:00,43.238
2016-01-02 11:00:00,2016-01-02 11:00:00,41.914
2016-01-02 12:00:00,2016-01-02 12:00:00,43.073
2016-01-02 13:00:00,2016-01-02 13:00:00,43.093
2016-01-02 14:00:00,2016-01-02 14:00:00,46.695
2016-01-02 15:00:00,2016-01-02 15:00:00,43.761
2016-01-02 16:00:00,2016-01-02 16:00:00,42.422
