timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,26.502
2016-01-01 01:00:00,2016-01-01 01:00:00,26.502
2016-01-01 02:00:00,2016-01-01 02:00:00,26.461
2016-01-01 03:00:00,2016-01-01 03:00:00,26.446
2016-01-01 04:00:00,2016-01-01 04:00:00,26.548
2016-01-01 05:00:00,2016-01-01 05:00:00,26.487
2016-01-01 06:00:00,2016-01-01 06:00:00,26.343
2016-01-01 07:00:00,2016-01-01 07:00:00,26.332
2016-01-01 08:00:00,2016-01-01 08:00:00,20.487
2016-01-01 09:00:00,2016-01-01 09:00:00,5.458
2016-01-01 10:00:00,2016-01-01 10:00:00,5.416
2016-01-01 11:00:00,2016-01-01 11:00:00,5.403
2016-01-01 12:00:00,2016-01-01 12:00:00,5.288
2016-01-01 13:00:00,2016-01-01 13:00:00,3.586
2016-01-01 14:00:00,2016-01-01 14:00:00,0.444
2016-01-01 15:00:00,2016-01-01 15:00:00,0.446
2016-01-01 16:00:00,2016-01-01 16:00:00,0.443
2016-01-01 17:00:00,2016-01-01 17:00:00,0.439
2016-01-01 18:00:00,2016-01-01 18:00:00,18.473
2016-01-01 19:00:00,2016-01-01 19:00:00,26.743
2016-01-01 20:00:00,2016-01-01 20:00:00,26.781
2016-01-01 21:00:00,2016-01-01 21:00:00,26.543
2016-01-01 22:00:00,2016-01-01 22:00:00,26.576
2016-01-01 23:00:00,2016-01-01 23:00:00,26.581
2016-01-02 00:00:00,2016-01-02 00:00:00,26.668
2016-01-02 01:00:00,2016-01-02 01:00:00,26.659
2016-01-02 02:00:00,2016-01-02 02:00:00,26.568
2016-01-02 03:00:00,2016-01-02 03:00:00,26.599
2016-01-02 04:00:00,2016-01-02 04:00:00,26.546
2016-01-02 05:00:00,2016-01-02 05:00:00,26.689
2016-01-02 06:00:00,2016-01-02 06:00:00,26.876
2016-01-02 07:00:00,2016-01-02 07:00:00,26.701
2016-01-02 08:00:00,2016-01-02 08:00:00,19.642
2016-01-02 09:00:00,2016-01-02 09:00:00,5.419
2016-01-02 10:00:00,2016-01-02 10:00:00,5.402
2016-01-02 11:00:00,2016-01-02 11:00:00,5.232
2016-01-02 12:00:00,2016-01-02 12:00:00,1.845
2016-01-02 13:00:00,2016-01-02 13:00:00,0.438
2016-01-02 14:00:00,2016-01-02 14:00:00,0.441
