timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,33.6
2016-01-01 01:00:00,2016-01-01 01:00:00,67.2
2016-01-01 02:00:00,2016-01-01 02:00:00,72.4
2016-01-01 03:00:00,2016-01-01 03:00:00,67.5
2016-01-01 04:00:00,2016-01-01 04:00:00,62.7
2016-01-01 05:00:00,2016-01-01 05:00:00,62.5
2016-01-01 06:00:00,2016-01-01 06:00:00,58.5
2016-01-01 07:00:00,2016-01-01 07:00:00,59.0
2016-01-01 08:00:00,2016-01-01 08:00:00,60.1
2016-01-01 09:00:00,2016-01-01 09:00:00,57.6
2016-01-01 10:00:00,2016-01-01 10:00:00,56.9
2016-01-01 11:00:00,2016-01-01 11:00:00,61.7
2016-01-01 12:00:00,2016-01-01 12:00:00,62.6
2016-01-01 13:00:00,2016-01-01 13:00:00,65.4
2016-01-01 14:00:00,2016-01-01 14:00:00,67.0
2016-01-01 15:00:00,2016-01-01 15:00:00,68.5
2016-01-01 16:00:00,2016-01-01 16:00:00,65.8
2016-01-01 17:00:00,2016-01-01 17:00:00,63.6
2016-01-01 18:00:00,2016-01-01 18:00:00,53.7
2016-01-01 19:00:00,2016-01-01 19:00:00,52.0
2016-01-01 20:00:00,2016-01-01 20:00:00,51.5
2016-01-01 21:00:00,2016-01-01 21:00:00,48.7
2016-01-01 22:00:00,2016-01-01 22:00:00,45.3
2016-01-01 23:00:00,2016-01-01 23:00:00,44.0
2016-01-02 00:00:00,2016-01-02 00:00:00,43.2
2016-01-02 01:00:00,2016-01-02 01:00:00,42.9
2016-01-02 02:00:00,2016-01-02 02:00:00,43.6
2016-01-02 03:00:00,2016-01-02 03:00:00,39.4
2016-01-02 04:00:00,2016-01-02 04:00:00,39.6
2016-01-02 05:00:00,2016-01-02 05:00:00,41.5
2016-01-02 06:00:00,2016-01-02 06:00:00,43.1
2016-01-02 07:00:00,2016-01-02 07:00:00,46.1
2016-01-02 08:00:00,2016-01-02 08:00:00,55.4
2016-01-02 09:00:00,2016-01-02 09:00:00,64.8
2016-01-02 10:00:00,2016-01-02 10:00:00,83.2
2016-01-02 11:00:00,2016-01-02 11:00:00,93.2
2016-01-02 12:00:00,2016-01-02 12:00:00,89.3
2016-01-02 13:00:00,2016-01-02 13:00:00,86.2
2016-01-02 14:00:00,2016-01-02 14:00:00,88.1
2016-01-02 15:00:00,2016-01-02 15:00:00,86.0
2016-01-02 16:00:00,2016-01-02 16:00:00,82.0
2016-01-02 17:00:00,2016-01-02 17:00:00,68.5
2016-01-02 18:00:00,2016-01-02 18:00:00,53.7
2016-01-02 19:00:00,2016-01-02 19:00:00,47.0
