timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,10.2
2016-01-01 01:00:00,2016-01-01 01:00:00,19.7
2016-01-01 02:00:00,2016-01-01 02:00:00,19.9
2016-01-01 03:00:00,2016-01-01 03:00:00,19.6
2016-01-01 04:00:00,2016-01-01 04:00:00,20.6
2016-01-01 05:00:00,2016-01-01 05:00:00,20.2
2016-01-01 06:00:00,2016-01-01 06:00:00,20.5
2016-01-01 07:00:00,2016-01-01 07:00:00,22.2
2016-01-01 08:00:00,2016-01-01 08:00:00,22.2
2016-01-01 09:00:00,2016-01-01 09:00:00,22.0
2016-01-01 10:00:00,2016-01-01 10:00:00,26.5
2016-01-01 11:00:00,2016-01-01 11:00:00,296.6
2016-01-01 12:00:00,2016-01-01 12:00:00,479.5
2016-01-01 13:00:00,2016-01-01 13:00:00,510.5
2016-01-01 14:00:00,2016-01-01 14:00:00,775.6
2016-01-01 15:00:00,2016-01-01 15:00:00,603.4
2016-01-01 16:00:00,2016-01-01 16:00:00,29.3
2016-01-01 17:00:00,2016-01-01 17:00:00,25.2
2016-01-01 18:00:00,2016-01-01 18:00:00,24.5
2016-01-01 19:00:00,2016-01-01 19:00:00,24.4
2016-01-01 20:00:00,2016-01-01 20:00:00,24.5
2016-01-01 21:00:00,2016-01-01 21:00:00,24.1
2016-01-01 22:00:00,2016-01-01 22:00:00,23.9
2016-01-01 23:00:00,2016-01-01 23:00:00,23.6
2016-01-02 00:00:00,2016-01-02 00:00:00,22.3
2016-01-02 01:00:00,2016-01-02 01:00:00,21.7
2016-01-02 02:00:00,2016-01-02 02:00:00,22.0
2016-01-02 03:00:00,2016-01-02 03:00:00,21.6
2016-01-02 04:00:00,2016-01-02 04:00:00,21.4
2016-01-02 05:00:00,2016-01-02 05:00:00,21.9
2016-01-02 06:00:00,2016-01-02 06:00:00,24.5
2016-01-02 07:00:00,2016-01-02 07:00:00,27.4
2016-01-02 08:00:00,2016-01-02 08:00:00,29.0
2016-01-02 09:00:00,2016-01-02 09:00:00,28.3
2016-01-02 10:00:00,2016-01-02 10:00:00,186.9
2016-01-02 11:00:00,2016-01-02 11:00:00,205.6
2016-01-02 12:00:00,2016-01-02 12:00:00,293.0
2016-01-02 13:00:00,2016-01-02 13:00:00,642.6
2016-01-02 14:00:00,2016-01-02 14:00:00,776.7
2016-01-02 15:00:00,2016-01-02 15:00:00,781.9
2016-01-02 16:00:00,2016-01-02 16:00:00,604.1
2016-01-02 17:00:00,2016-01-02 17:00:00,61.5
2016-01-02 18:00:00,2016-01-02 18:00:00,25.1
2016-01-02 19:00:00,2016-01-02 19:00:00,24.5
2016-01-02 20:00:00,2016-01-02 20:00:00,24.6
2016-01-02 21:00:00,2016-01-02 21:00:00,24.5
2016-01-02 22:00:00,2016-01-02 22:00:00,24.2
2016-01-02 23:00:00,2016-01-02 23:00:00,23.3
2016-01-03 00:00:00,2016-01-03 00:00:00,20.9
2016-01-03 01:00:00,2016-01-03 01:00:00,22.1
2016-01-03 02:00:00,2016-01-03 02:00:00,21.9
2016-01-03 03:00:00,2016-01-03 03:00:00,21.8
2016-01-03 04:00:00,2016-01-03 04:00:00,21.5
2016-01-03 05:00:00,2016-01-03 05:00:00,22.9
2016-01-03 06:00:00,2016-01-03 06:00:00,24.2
2016-01-03 07:00:00,2016-01-03 07:00:00,28.2
2016-01-03 08:00:00,2016-01-03 08:00:00,28.6
2016-01-03 09:00:00,2016-01-03 09:00:00,29.8
2016-01-03 10:00:00,2016-01-03 10:00:00,183.4
2016-01-03 11:00:00,2016-01-03 11:00:00,303.0
2016-01-03 12:00:00,2016-01-03 12:00:00,483.3
2016-01-03 13:00:00,2016-01-03 13:00:00,577.8
2016-01-03 14:00:00,2016-01-03 14:00:00,612.9
2016-01-03 15:00:00,2016-01-03 15:00:00,634.9
2016-01-03 16:00:00,2016-01-03 16:00:00,383.7
2016-01-03 17:00:00,2016-01-03 17:00:00,202.0
2016-01-03 18:00:00,2016-01-03 18:00:00,28.3
2016-01-03 19:00:00,2016-01-03 19:00:00,24.0
2016-01-03 20:00:00,2016-01-03 20:00:00,23.6
2016-01-03 21:00:00,2016-01-03 21:00:00,23.5
2016-01-03 22:00:00,2016-01-03 22:00:00,23.2
2016-01-03 23:00:00,2016-01-03 23:00:00,22.3
2016-01-04 00:00:00,2016-01-04 00:00:00,15.1257
2016-01-04 01:00:00,2016-01-04 01:00:00,8.9515
2016-01-04 02:00:00,2016-01-04 02:00:00,8.9515
2016-01-04 03:00:00,2016-01-04 03:00:00,8.9515
2016-01-04 04:00:00,2016-01-04 04:00:00,9.0515
2016-01-04 05:00:00,2016-01-04 05:00:00,9.0515
2016-01-04 06:00:00,2016-01-04 06:00:00,9.0515
2016-01-04 07:00:00,2016-01-04 07:00:00,9.2515
2016-01-04 08:00:00,2016-01-04 08:00:00,9.3515
2016-01-04 09:00:00,2016-01-04 09:00:00,8.5515
2016-01-04 10:00:00,2016-01-04 10:00:00,8.4515
2016-01-04 11:00:00,2016-01-04 11:00:00,9.5515
2016-01-04 12:00:00,2016-01-04 12:00:00,8.6515
2016-01-04 13:00:00,2016-01-04 13:00:00,173.5515
2016-01-04 14:00:00,2016-01-04 14:00:00,180.4515
2016-01-04 15:00:00,2016-01-04 15:00:00,39.5515
2016-01-04 16:00:00,2016-01-04 16:00:00,11.7515
2016-01-04 17:00:00,2016-01-04 17:00:00,8.9515
2016-01-04 18:00:00,2016-01-04 18:00:00,9.1515
2016-01-04 19:00:00,2016-01-04 19:00:00,9.2515
2016-01-04 20:00:00,2016-01-04 20:00:00,9.3515
2016-01-04 21:00:00,2016-01-04 21:00:00,9.4515
2016-01-04 22:00:00,2016-01-04 22:00:00,9.3515
2016-01-04 23:00:00,2016-01-04 23:00:00,9.2515
2016-01-05 00:00:00,2016-01-05 00:00:00,8.9515
2016-01-05 01:00:00,2016-01-05 01:00:00,8.4515
2016-01-05 02:00:00,2016-01-05 02:00:00,8.5515
2016-01-05 03:00:00,2016-01-05 03:00:00,8.4515
2016-01-05 04:00:00,2016-01-05 04:00:00,8.7515
2016-01-05 05:00:00,2016-01-05 05:00:00,8.2515
2016-01-05 06:00:00,2016-01-05 06:00:00,9.6515
2016-01-05 07:00:00,2016-01-05 07:00:00,9.5515
2016-01-05 08:00:00,2016-01-05 08:00:00,9.4515
2016-01-05 09:00:00,2016-01-05 09:00:00,8.9515
2016-01-05 10:00:00,2016-01-05 10:00:00,8.8515
2016-01-05 11:00:00,2016-01-05 11:00:00,8.5515
