timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,3.135
2016-01-01 01:00:00,2016-01-01 01:00:00,7.332
2016-01-01 02:00:00,2016-01-01 02:00:00,7.209
2016-01-01 03:00:00,2016-01-01 03:00:00,7.536
2016-01-01 04:00:00,2016-01-01 04:00:00,8.126
2016-01-01 05:00:00,2016-01-01 05:00:00,7.795
2016-01-01 06:00:00,2016-01-01 06:00:00,8.125
2016-01-01 07:00:00,2016-01-01 07:00:00,7.749
2016-01-01 08:00:00,2016-01-01 08:00:00,7.514
2016-01-01 09:00:00,2016-01-01 09:00:00,7.399
2016-01-01 10:00:00,2016-01-01 10:00:00,7.217
2016-01-01 11:00:00,2016-01-01 11:00:00,7.315
2016-01-01 12:00:00,2016-01-01 12:00:00,7.179
2016-01-01 13:00:00,2016-01-01 13:00:00,7.685
2016-01-01 14:00:00,2016-01-01 14:00:00,7.254
2016-01-01 15:00:00,2016-01-01 15:00:00,6.729
2016-01-01 16:00:00,2016-01-01 16:00:00,6.703
2016-01-01 17:00:00,2016-01-01 17:00:00,5.968
2016-01-01 18:00:00,2016-01-01 18:00:00,7.107
2016-01-01 19:00:00,2016-01-01 19:00:00,6.66
2016-01-01 20:00:00,2016-01-01 20:00:00,7.828
2016-01-01 21:00:00,2016-01-01 21:00:00,7.484
2016-01-01 22:00:00,2016-01-01 22:00:00,7.153
2016-01-01 23:00:00,2016-01-01 23:00:00,7.101
2016-01-02 00:00:00,2016-01-02 00:00:00,7.041
2016-01-02 01:00:00,2016-01-02 01:00:00,6.997
2016-01-02 02:00:00,2016-01-02 02:00:00,6.965
2016-01-02 03:00:00,2016-01-02 03:00:00,7.604
2016-01-02 04:00:00,2016-01-02 04:00:00,6.775
2016-01-02 05:00:00,2016-01-02 05:00:00,6.681
2016-01-02 06:00:00,2016-01-02 06:00:00,7.281
2016-01-02 07:00:00,2016-01-02 07:00:00,6.435
2016-01-02 08:00:00,2016-01-02 08:00:00,6.659
2016-01-02 09:00:00,2016-01-02 09:00:00,6.271
2016-01-02 10:00:00,2016-01-02 10:00:00,6.395
2016-01-02 11:00:00,2016-01-02 11:00:00,6.342
2016-01-02 12:00:00,2016-01-02 12:00:00,5.733
2016-01-02 13:00:00,2016-01-02 13:00:00,5.681
2016-01-02 14:00:00,2016-01-02 14:00:00,5.555
2016-01-02 15:00:00,2016-01-02 15:00:00,5.605
2016-01-02 16:00:00,2016-01-02 16:00:00,5.215
2016-01-02 17:00:00,2016-01-02 17:00:00,5.31
2016-01-02 18:00:00,2016-01-02 18:00:00,5.14
2016-01-02 19:00:00,2016-01-02 19:00:00,5.519
2016-01-02 20:00:00,2016-01-02 20:00:00,6.429
2016-01-02 21:00:00,2016-01-02 21:00:00,6.634
2016-01-02 22:00:00,2016-01-02 22:00:00,6.324
2016-01-02 23:00:00,2016-01-02 23:00:00,6.762
2016-01-03 00:00:00,2016-01-03 00:00:00,6.857
2016-01-03 01:00:00,2016-01-03 01:00:00,6.304
2016-01-03 02:00:00,2016-01-03 02:00:00,6.708
2016-01-03 03:00:00,2016-01-03 03:00:00,6.771
2016-01-03 04:00:00,2016-01-03 04:00:00,6.729
2016-01-03 05:00:00,2016-01-03 05:00:00,6.662
2016-01-03 06:00:00,2016-01-03 06:00:00,6.681
2016-01-03 07:00:00,2016-01-03 07:00:00,7.067
2016-01-03 08:00:00,2016-01-03 08:00:00,7.783
2016-01-03 09:00:00,2016-01-03 09:00:00,6.649
2016-01-03 10:00:00,2016-01-03 10:00:00,6.901
2016-01-03 11:00:00,2016-01-03 11:00:00,6.623
2016-01-03 12:00:00,2016-01-03 12:00:00,7.021
2016-01-03 13:00:00,2016-01-03 13:00:00,7.037
2016-01-03 14:00:00,2016-01-03 14:00:00,6.012
2016-01-03 15:00:00,2016-01-03 15:00:00,5.541
2016-01-03 16:00:00,2016-01-03 16:00:00,5.51
2016-01-03 17:00:00,2016-01-03 17:00:00,5.332
2016-01-03 18:00:00,2016-01-03 18:00:00,5.316
2016-01-03 19:00:00,2016-01-03 19:00:00,5.686
2016-01-03 20:00:00,2016-01-03 20:00:00,6.771
2016-01-03 21:00:00,2016-01-03 21:00:00,6.679
2016-01-03 22:00:00,2016-01-03 22:00:00,6.842
2016-01-03 23:00:00,2016-01-03 23:00:00,6.341
2016-01-04 00:00:00,2016-01-04 00:00:00,6.22
2016-01-04 01:00:00,2016-01-04 01:00:00,6.376
2016-01-04 02:00:00,2016-01-04 02:00:00,6.792
