timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,1.764
2016-01-01 01:00:00,2016-01-01 01:00:00,4.145
2016-01-01 02:00:00,2016-01-01 02:00:00,4.382
2016-01-01 03:00:00,2016-01-01 03:00:00,4.414
2016-01-01 04:00:00,2016-01-01 04:00:00,4.405
2016-01-01 05:00:00,2016-01-01 05:00:00,4.509
2016-01-01 06:00:00,2016-01-01 06:00:00,4.467
2016-01-01 07:00:00,2016-01-01 07:00:00,4.552
2016-01-01 08:00:00,2016-01-01 08:00:00,4.421
2016-01-01 09:00:00,2016-01-01 09:00:00,3.223
2016-01-01 10:00:00,2016-01-01 10:00:00,3.578
2016-01-01 11:00:00,2016-01-01 11:00:00,2.985
2016-01-01 12:00:00,2016-01-01 12:00:00,2.972
2016-01-01 13:00:00,2016-01-01 13:00:00,3.173
2016-01-01 14:00:00,2016-01-01 14:00:00,3.096
2016-01-01 15:00:00,2016-01-01 15:00:00,3.006
2016-01-01 16:00:00,2016-01-01 16:00:00,3.065
2016-01-01 17:00:00,2016-01-01 17:00:00,3.556
2016-01-01 18:00:00,2016-01-01 18:00:00,3.644
2016-01-01 19:00:00,2016-01-01 19:00:00,3.523
2016-01-01 20:00:00,2016-01-01 20:00:00,3.656
2016-01-01 21:00:00,2016-01-01 21:00:00,3.969
2016-01-01 22:00:00,2016-01-01 22:00:00,3.623
2016-01-01 23:00:00,2016-01-01 23:00:00,3.603
2016-01-02 00:00:00,2016-01-02 00:00:00,3.734
2016-01-02 01:00:00,2016-01-02 01:00:00,3.579
2016-01-02 02:00:00,2016-01-02 02:00:00,3.646
2016-01-02 03:00:00,2016-01-02 03:00:00,3.709
2016-01-02 04:00:00,2016-01-02 04:00:00,3.731
2016-01-02 05:00:00,2016-01-02 05:00:00,3.726
2016-01-02 06:00:00,2016-01-02 06:00:00,3.589
2016-01-02 07:00:00,2016-01-02 07:00:00,3.529
2016-01-02 08:00:00,2016-01-02 08:00:00,3.633
2016-01-02 09:00:00,2016-01-02 09:00:00,3.739
2016-01-02 10:00:00,2016-01-02 10:00:00,3.098
2016-01-02 11:00:00,2016-01-02 11:00:00,3.025
2016-01-02 12:00:00,2016-01-02 12:00:00,3.043
2016-01-02 13:00:00,2016-01-02 13:00:00,2.977
2016-01-02 14:00:00,2016-01-02 14:00:00,2.986
