timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,1.542
2016-01-01 01:00:00,2016-01-01 01:00:00,3.067
2016-01-01 02:00:00,2016-01-01 02:00:00,3.146
2016-01-01 03:00:00,2016-01-01 03:00:00,3.001
2016-01-01 04:00:00,2016-01-01 04:00:00,2.956
2016-01-01 05:00:00,2016-01-01 05:00:00,3.502
2016-01-01 06:00:00,2016-01-01 06:00:00,3.012
2016-01-01 07:00:00,2016-01-01 07:00:00,2.502
2016-01-01 08:00:00,2016-01-01 08:00:00,2.474
2016-01-01 09:00:00,2016-01-01 09:00:00,2.457
2016-01-01 10:00:00,2016-01-01 10:00:00,2.478
2016-01-01 11:00:00,2016-01-01 11:00:00,2.428
2016-01-01 12:00:00,2016-01-01 12:00:00,2.479
2016-01-01 13:00:00,2016-01-01 13:00:00,2.56
2016-01-01 14:00:00,2016-01-01 14:00:00,2.568
2016-01-01 15:00:00,2016-01-01 15:00:00,2.254
2016-01-01 16:00:00,2016-01-01 16:00:00,2.575
2016-01-01 17:00:00,2016-01-01 17:00:00,2.28
2016-01-01 18:00:00,2016-01-01 18:00:00,2.76
2016-01-01 19:00:00,2016-01-01 19:00:00,2.709
2016-01-01 20:00:00,2016-01-01 20:00:00,3.114
2016-01-01 21:00:00,2016-01-01 21:00:00,2.82
2016-01-01 22:00:00,2016-01-01 22:00:00,3.216
2016-01-01 23:00:00,2016-01-01 23:00:00,2.894
2016-01-02 00:00:00,2016-01-02 00:00:00,2.647
2016-01-02 01:00:00,2016-01-02 01:00:00,2.677
2016-01-02 02:00:00,2016-01-02 02:00:00,2.973
2016-01-02 03:00:00,2016-01-02 03:00:00,2.369
2016-01-02 04:00:00,2016-01-02 04:00:00,2.829
2016-01-02 05:00:00,2016-01-02 05:00:00,2.471
2016-01-02 06:00:00,2016-01-02 06:00:00,2.278
2016-01-02 07:00:00,2016-01-02 07:00:00,3.019
2016-01-02 08:00:00,2016-01-02 08:00:00,2.374
2016-01-02 09:00:00,2016-01-02 09:00:00,2.0
2016-01-02 10:00:00,2016-01-02 10:00:00,2.38
2016-01-02 11:00:00,2016-01-02 11:00:00,2.23
2016-01-02 12:00:00,2016-01-02 12:00:00,2.389
2016-01-02 13:00:00,2016-01-02 13:00:00,1.963
2016-01-02 14:00:00,2016-01-02 14:00:00,2.315
2016-01-02 15:00:00,2016-01-02 15:00:00,3.024
2016-01-02 16:00:00,2016-01-02 16:00:00,2.194
2016-01-02 17:00:00,2016-01-02 17:00:00,2.006
2016-01-02 18:00:00,2016-01-02 18:00:00,2.316
2016-01-02 19:00:00,2016-01-02 19:00:00,2.612
2016-01-02 20:00:00,2016-01-02 20:00:00,2.307
2016-01-02 21:00:00,2016-01-02 21:00:00,2.505
2016-01-02 22:00:00,2016-01-02 22:00:00,2.739
2016-01-02 23:00:00,2016-01-02 23:00:00,2.275
2016-01-03 00:00:00,2016-01-03 00:00:00,2.482
2016-01-03 01:00:00,2016-01-03 01:00:00,2.94
2016-01-03 02:00:00,2016-01-03 02:00:00,2.26
2016-01-03 03:00:00,2016-01-03 03:00:00,2.409
2016-01-03 04:00:00,2016-01-03 04:00:00,2.526
2016-01-03 05:00:00,2016-01-03 05:00:00,2.507
2016-01-03 06:00:00,2016-01-03 06:00:00,2.321
2016-01-03 07:00:00,2016-01-03 07:00:00,2.476
2016-01-03 08:00:00,2016-01-03 08:00:00,2.121
2016-01-03 09:00:00,2016-01-03 09:00:00,2.214
2016-01-03 10:00:00,2016-01-03 10:00:00,2.34
2016-01-03 11:00:00,2016-01-03 11:00:00,2.864
2016-01-03 12:00:00,2016-01-03 12:00:00,2.442
2016-01-03 13:00:00,2016-01-03 13:00:00,2.305
2016-01-03 14:00:00,2016-01-03 14:00:00,2.03
2016-01-03 15:00:00,2016-01-03 15:00:00,2.374
2016-01-03 16:00:00,2016-01-03 16:00:00,2.164
2016-01-03 17:00:00,2016-01-03 17:00:00,2.281
2016-01-03 18:00:00,2016-01-03 18:00:00,2.145
2016-01-03 19:00:00,2016-01-03 19:00:00,2.275
2016-01-03 20:00:00,2016-01-03 20:00:00,2.039
2016-01-03 21:00:00,2016-01-03 21:00:00,3.067
2016-01-03 22:00:00,2016-01-03 22:00:00,2.037
2016-01-03 23:00:00,2016-01-03 23:00:00,2.287
2016-01-04 00:00:00,2016-01-04 00:00:00,2.581
2016-01-04 01:00:00,2016-01-04 01:00:00,2.299
2016-01-04 02:00:00,2016-01-04 02:00:00,2.508
2016-01-04 03:00:00,2016-01-04 03:00:00,2.309
2016-01-04 04:00:00,2016-01-04 04:00:00,3.014
2016-01-04 05:00:00,2016-01-04 05:00:00,2.906
2016-01-04 06:00:00,2016-01-04 06:00:00,2.553
2016-01-04 07:00:00,2016-01-04 07:00:00,3.108
2016-01-04 08:00:00,2016-01-04 08:00:00,9.89
2016-01-04 09:00:00,2016-01-04 09:00:00,18.648
2016-01-04 10:00:00,2016-01-04 10:00:00,19.785
2016-01-04 11:00:00,2016-01-04 11:00:00,20.134
2016-01-04 12:00:00,2016-01-04 12:00:00,18.913
2016-01-04 13:00:00,2016-01-04 13:00:00,21.895
2016-01-04 14:00:00,2016-01-04 14:00:00,16.851
2016-01-04 15:00:00,2016-01-04 15:00:00,16.65
2016-01-04 16:00:00,2016-01-04 16:00:00,18.232
2016-01-04 17:00:00,2016-01-04 17:00:00,11.447
2016-01-04 18:00:00,2016-01-04 18:00:00,7.16
2016-01-04 19:00:00,2016-01-04 19:00:00,4.124
2016-01-04 20:00:00,2016-01-04 20:00:00,3.605
2016-01-04 21:00:00,2016-01-04 21:00:00,3.297
2016-01-04 22:00:00,2016-01-04 22:00:00,3.568
2016-01-04 23:00:00,2016-01-04 23:00:00,3.565
2016-01-05 00:00:00,2016-01-05 00:00:00,3.132
2016-01-05 01:00:00,2016-01-05 01:00:00,2.881
2016-01-05 02:00:00,2016-01-05 02:00:00,3.416
2016-01-05 03:00:00,2016-01-05 03:00:00,2.888
2016-01-05 04:00:00,2016-01-05 04:00:00,3.614
2016-01-05 05:00:00,2016-01-05 05:00:00,3.47
2016-01-05 06:00:00,2016-01-05 06:00:00,3.821
2016-01-05 07:00:00,2016-01-05 07:00:00,5.185
2016-01-05 08:00:00,2016-01-05 08:00:00,12.153
2016-01-05 09:00:00,2016-01-05 09:00:00,21.557
2016-01-05 10:00:00,2016-01-05 10:00:00,26.156
2016-01-05 11:00:00,2016-01-05 11:00:00,24.886
2016-01-05 12:00:00,2016-01-05 12:00:00,25.177
2016-01-05 13:00:00,2016-01-05 13:00:00,20.819
2016-01-05 14:00:00,2016-01-05 14:00:00,23.411
2016-01-05 15:00:00,2016-01-05 15:00:00,24.119
2016-01-05 16:00:00,2016-01-05 16:00:00,21.38
2016-01-05 17:00:00,2016-01-05 17:00:00,18.369
2016-01-05 18:00:00,2016-01-05 18:00:00,13.152
2016-01-05 19:00:00,2016-01-05 19:00:00,8.753
2016-01-05 20:00:00,2016-01-05 20:00:00,3.793
2016-01-05 21:00:00,2016-01-05 21:00:00,3.902
2016-01-05 22:00:00,2016-01-05 22:00:00,3.435
2016-01-05 23:00:00,2016-01-05 23:00:00,3.592
2016-01-06 00:00:00,2016-01-06 00:00:00,3.407
2016-01-06 01:00:00,2016-01-06 01:00:00,3.284
2016-01-06 02:00:00,2016-01-06 02:00:00,3.244
2016-01-06 03:00:00,2016-01-06 03:00:00,3.415
2016-01-06 04:00:00,2016-01-06 04:00:00,3.051
2016-01-06 05:00:00,2016-01-06 05:00:00,3.469
2016-01-06 06:00:00,2016-01-06 06:00:00,3.674
2016-01-06 07:00:00,2016-01-06 07:00:00,4.473
2016-01-06 08:00:00,2016-01-06 08:00:00,13.372
2016-01-06 09:00:00,2016-01-06 09:00:00,20.842
2016-01-06 10:00:00,2016-01-06 10:00:00,24.602
2016-01-06 11:00:00,2016-01-06 11:00:00,24.585
2016-01-06 12:00:00,2016-01-06 12:00:00,22.813
2016-01-06 13:00:00,2016-01-06 13:00:00,20.16
2016-01-06 14:00:00,2016-01-06 14:00:00,19.483
2016-01-06 15:00:00,2016-01-06 15:00:00,19.457
2016-01-06 16:00:00,2016-01-06 16:00:00,20.239
2016-01-06 17:00:00,2016-01-06 17:00:00,19.733
2016-01-06 18:00:00,2016-01-06 18:00:00,14.38
2016-01-06 19:00:00,2016-01-06 19:00:00,10.467
2016-01-06 20:00:00,2016-01-06 20:00:00,4.1
2016-01-06 21:00:00,2016-01-06 21:00:00,3.419
2016-01-06 22:00:00,2016-01-06 22:00:00,3.992
2016-01-06 23:00:00,2016-01-06 23:00:00,3.95
2016-01-07 00:00:00,2016-01-07 00:00:00,4.142
2016-01-07 01:00:00,2016-01-07 01:00:00,3.694
2016-01-07 02:00:00,2016-01-07 02:00:00,4.107
2016-01-07 03:00:00,2016-01-07 03:00:00,3.302
2016-01-07 04:00:00,2016-01-07 04:00:00,3.817
2016-01-07 05:00:00,2016-01-07 05:00:00,3.881
2016-01-07 06:00:00,2016-01-07 06:00:00,3.257
2016-01-07 07:00:00,2016-01-07 07:00:00,5.269
2016-01-07 08:00:00,2016-01-07 08:00:00,11.312
2016-01-07 09:00:00,2016-01-07 09:00:00,21.447
2016-01-07 10:00:00,2016-01-07 10:00:00,23.495
2016-01-07 11:00:00,2016-01-07 11:00:00,26.16
2016-01-07 12:00:00,2016-01-07 12:00:00,24.938
2016-01-07 13:00:00,2016-01-07 13:00:00,21.268
2016-01-07 14:00:00,2016-01-07 14:00:00,23.05
2016-01-07 15:00:00,2016-01-07 15:00:00,19.967
2016-01-07 16:00:00,2016-01-07 16:00:00,19.329
2016-01-07 17:00:00,2016-01-07 17:00:00,18.269
2016-01-07 18:00:00,2016-01-07 18:00:00,14.526
2016-01-07 19:00:00,2016-01-07 19:00:00,9.132
2016-01-07 20:00:00,2016-01-07 20:00:00,4.676
2016-01-07 21:00:00,2016-01-07 21:00:00,4.145
2016-01-07 22:00:00,2016-01-07 22:00:00,4.752
2016-01-07 23:00:00,2016-01-07 23:00:00,3.977
2016-01-08 00:00:00,2016-01-08 00:00:00,3.833
2016-01-08 01:00:00,2016-01-08 01:00:00,4.096
2016-01-08 02:00:00,2016-01-08 02:00:00,4.269
2016-01-08 03:00:00,2016-01-08 03:00:00,4.107
2016-01-08 04:00:00,2016-01-08 04:00:00,4.102
2016-01-08 05:00:00,2016-01-08 05:00:00,4.717
2016-01-08 06:00:00,2016-01-08 06:00:00,4.174
2016-01-08 07:00:00,2016-01-08 07:00:00,5.602
2016-01-08 08:00:00,2016-01-08 08:00:00,11.402
2016-01-08 09:00:00,2016-01-08 09:00:00,19.72
2016-01-08 10:00:00,2016-01-08 10:00:00,21.948
2016-01-08 11:00:00,2016-01-08 11:00:00,22.527
2016-01-08 12:00:00,2016-01-08 12:00:00,23.044
2016-01-08 13:00:00,2016-01-08 13:00:00,20.636
2016-01-08 14:00:00,2016-01-08 14:00:00,19.96
2016-01-08 15:00:00,2016-01-08 15:00:00,19.218
