timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,2.265
2016-01-01 01:00:00,2016-01-01 01:00:00,4.534
2016-01-01 02:00:00,2016-01-01 02:00:00,4.924
2016-01-01 03:00:00,2016-01-01 03:00:00,4.777
2016-01-01 04:00:00,2016-01-01 04:00:00,4.734
2016-01-01 05:00:00,2016-01-01 05:00:00,4.724
2016-01-01 06:00:00,2016-01-01 06:00:00,5.339
2016-01-01 07:00:00,2016-01-01 07:00:00,4.93
2016-01-01 08:00:00,2016-01-01 08:00:00,5.637
2016-01-01 09:00:00,2016-01-01 09:00:00,5.117
2016-01-01 10:00:00,2016-01-01 10:00:00,4.627
2016-01-01 11:00:00,2016-01-01 11:00:00,4.687
2016-01-01 12:00:00,2016-01-01 12:00:00,4.596
2016-01-01 13:00:00,2016-01-01 13:00:00,4.781
2016-01-01 14:00:00,2016-01-01 14:00:00,4.076
2016-01-01 15:00:00,2016-01-01 15:00:00,4.282
2016-01-01 16:00:00,2016-01-01 16:00:00,5.081
2016-01-01 17:00:00,2016-01-01 17:00:00,4.976
2016-01-01 18:00:00,2016-01-01 18:00:00,4.192
2016-01-01 19:00:00,2016-01-01 19:00:00,4.073
2016-01-01 20:00:00,2016-01-01 20:00:00,4.499
2016-01-01 21:00:00,2016-01-01 21:00:00,3.991
2016-01-01 22:00:00,2016-01-01 22:00:00,4.482
2016-01-01 23:00:00,2016-01-01 23:00:00,4.083
2016-01-02 00:00:00,2016-01-02 00:00:00,4.09
2016-01-02 01:00:00,2016-01-02 01:00:00,5.387
2016-01-02 02:00:00,2016-01-02 02:00:00,4.5
2016-01-02 03:00:00,2016-01-02 03:00:00,4.09
2016-01-02 04:00:00,2016-01-02 04:00:00,4.289
2016-01-02 05:00:00,2016-01-02 05:00:00,4.99
2016-01-02 06:00:00,2016-01-02 06:00:00,4.285
2016-01-02 07:00:00,2016-01-02 07:00:00,4.283
2016-01-02 08:00:00,2016-01-02 08:00:00,4.404
