timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,24.7
2016-01-01 01:00:00,2016-01-01 01:00:00,48.8
2016-01-01 02:00:00,2016-01-01 02:00:00,47.4
2016-01-01 03:00:00,2016-01-01 03:00:00,46.8
2016-01-01 04:00:00,2016-01-01 04:00:00,46.8
2016-01-01 05:00:00,2016-01-01 05:00:00,50.5
2016-01-01 06:00:00,2016-01-01 06:00:00,55.2
2016-01-01 07:00:00,2016-01-01 07:00:00,56.0
2016-01-01 08:00:00,2016-01-01 08:00:00,54.4
2016-01-01 09:00:00,2016-01-01 09:00:00,51.4
2016-01-01 10:00:00,2016-01-01 10:00:00,51.2
2016-01-01 11:00:00,2016-01-01 11:00:00,51.1
2016-01-01 12:00:00,2016-01-01 12:00:00,51.4
2016-01-01 13:00:00,2016-01-01 13:00:00,50.4
2016-01-01 14:00:00,2016-01-01 14:00:00,48.1
2016-01-01 15:00:00,2016-01-01 15:00:00,46.2
2016-01-01 16:00:00,2016-01-01 16:00:00,45.2
2016-01-01 17:00:00,2016-01-01 17:00:00,53.1
2016-01-01 18:00:00,2016-01-01 18:00:00,53.9
2016-01-01 19:00:00,2016-01-01 19:00:00,52.7
2016-01-01 20:00:00,2016-01-01 20:00:00,54.1
2016-01-01 21:00:00,2016-01-01 21:00:00,53.8
2016-01-01 22:00:00,2016-01-01 22:00:00,47.5
2016-01-01 23:00:00,2016-01-01 23:00:00,43.8
2016-01-02 00:00:00,2016-01-02 00:00:00,44.1
2016-01-02 01:00:00,2016-01-02 01:00:00,46.8
2016-01-02 02:00:00,2016-01-02 02:00:00,43.4
2016-01-02 03:00:00,2016-01-02 03:00:00,42.7
2016-01-02 04:00:00,2016-01-02 04:00:00,42.2
2016-01-02 05:00:00,2016-01-02 05:00:00,42.2
2016-01-02 06:00:00,2016-01-02 06:00:00,43.5
2016-01-02 07:00:00,2016-01-02 07:00:00,43.8
2016-01-02 08:00:00,2016-01-02 08:00:00,44.5
2016-01-02 09:00:00,2016-01-02 09:00:00,43.4
2016-01-02 10:00:00,2016-01-02 10:00:00,43.6
2016-01-02 11:00:00,2016-01-02 11:00:00,44.4
2016-01-02 12:00:00,2016-01-02 12:00:00,43.3
2016-01-02 13:00:00,2016-01-02 13:00:00,43.9
2016-01-02 14:00:00,2016-01-02 14:00:00,43.9
2016-01-02 15:00:00,2016-01-02 15:00:00,42.9
2016-01-02 16:00:00,2016-01-02 16:00:00,43.2
2016-01-02 17:00:00,2016-01-02 17:00:00,43.9
2016-01-02 18:00:00,2016-01-02 18:00:00,44.4
2016-01-02 19:00:00,2016-01-02 19:00:00,44.5
2016-01-02 20:00:00,2016-01-02 20:00:00,44.4
2016-01-02 21:00:00,2016-01-02 21:00:00,45.2
2016-01-02 22:00:00,2016-01-02 22:00:00,43.8
2016-01-02 23:00:00,2016-01-02 23:00:00,42.9
2016-01-03 00:00:00,2016-01-03 00:00:00,42.5
2016-01-03 01:00:00,2016-01-03 01:00:00,45.7
2016-01-03 02:00:00,2016-01-03 02:00:00,43.4
2016-01-03 03:00:00,2016-01-03 03:00:00,42.5
2016-01-03 04:00:00,2016-01-03 04:00:00,42.7
2016-01-03 05:00:00,2016-01-03 05:00:00,42.9
2016-01-03 06:00:00,2016-01-03 06:00:00,44.5
2016-01-03 07:00:00,2016-01-03 07:00:00,45.4
2016-01-03 08:00:00,2016-01-03 08:00:00,44.3
2016-01-03 09:00:00,2016-01-03 09:00:00,43.2
2016-01-03 10:00:00,2016-01-03 10:00:00,43.6
2016-01-03 11:00:00,2016-01-03 11:00:00,43.3
2016-01-03 12:00:00,2016-01-03 12:00:00,43.4
2016-01-03 13:00:00,2016-01-03 13:00:00,44.0
2016-01-03 14:00:00,2016-01-03 14:00:00,43.6
2016-01-03 15:00:00,2016-01-03 15:00:00,43.5
2016-01-03 16:00:00,2016-01-03 16:00:00,43.6
2016-01-03 17:00:00,2016-01-03 17:00:00,43.9
2016-01-03 18:00:00,2016-01-03 18:00:00,45.0
2016-01-03 19:00:00,2016-01-03 19:00:00,45.4
2016-01-03 20:00:00,2016-01-03 20:00:00,45.5
2016-01-03 21:00:00,2016-01-03 21:00:00,45.5
2016-01-03 22:00:00,2016-01-03 22:00:00,43.7
2016-01-03 23:00:00,2016-01-03 23:00:00,42.6
2016-01-04 00:00:00,2016-01-04 00:00:00,49.4
2016-01-04 01:00:00,2016-01-04 01:00:00,45.3
2016-01-04 02:00:00,2016-01-04 02:00:00,43.6
2016-01-04 03:00:00,2016-01-04 03:00:00,43.5
2016-01-04 04:00:00,2016-01-04 04:00:00,43.2
2016-01-04 05:00:00,2016-01-04 05:00:00,43.5
2016-01-04 06:00:00,2016-01-04 06:00:00,53.2
2016-01-04 07:00:00,2016-01-04 07:00:00,65.0
2016-01-04 08:00:00,2016-01-04 08:00:00,95.1
2016-01-04 09:00:00,2016-01-04 09:00:00,148.2
2016-01-04 10:00:00,2016-01-04 10:00:00,177.9
2016-01-04 11:00:00,2016-01-04 11:00:00,181.0
2016-01-04 12:00:00,2016-01-04 12:00:00,180.6
2016-01-04 13:00:00,2016-01-04 13:00:00,172.2
2016-01-04 14:00:00,2016-01-04 14:00:00,169.2
2016-01-04 15:00:00,2016-01-04 15:00:00,155.0
2016-01-04 16:00:00,2016-01-04 16:00:00,140.2
2016-01-04 17:00:00,2016-01-04 17:00:00,122.4
2016-01-04 18:00:00,2016-01-04 18:00:00,110.9
2016-01-04 19:00:00,2016-01-04 19:00:00,96.6
2016-01-04 20:00:00,2016-01-04 20:00:00,79.2
2016-01-04 21:00:00,2016-01-04 21:00:00,66.5
2016-01-04 22:00:00,2016-01-04 22:00:00,63.8
2016-01-04 23:00:00,2016-01-04 23:00:00,57.1
2016-01-05 00:00:00,2016-01-05 00:00:00,52.8
2016-01-05 01:00:00,2016-01-05 01:00:00,61.1
2016-01-05 02:00:00,2016-01-05 02:00:00,60.1
2016-01-05 03:00:00,2016-01-05 03:00:00,59.4
2016-01-05 04:00:00,2016-01-05 04:00:00,59.1
2016-01-05 05:00:00,2016-01-05 05:00:00,59.2
2016-01-05 06:00:00,2016-01-05 06:00:00,72.1
2016-01-05 07:00:00,2016-01-05 07:00:00,88.9
2016-01-05 08:00:00,2016-01-05 08:00:00,110.1
2016-01-05 09:00:00,2016-01-05 09:00:00,151.3
2016-01-05 10:00:00,2016-01-05 10:00:00,174.9
2016-01-05 11:00:00,2016-01-05 11:00:00,179.6
2016-01-05 12:00:00,2016-01-05 12:00:00,168.6
2016-01-05 13:00:00,2016-01-05 13:00:00,156.5
2016-01-05 14:00:00,2016-01-05 14:00:00,157.0
2016-01-05 15:00:00,2016-01-05 15:00:00,146.4
2016-01-05 16:00:00,2016-01-05 16:00:00,120.2
2016-01-05 17:00:00,2016-01-05 17:00:00,110.3
2016-01-05 18:00:00,2016-01-05 18:00:00,96.5
2016-01-05 19:00:00,2016-01-05 19:00:00,86.6
2016-01-05 20:00:00,2016-01-05 20:00:00,79.1
2016-01-05 21:00:00,2016-01-05 21:00:00,68.2
2016-01-05 22:00:00,2016-01-05 22:00:00,57.1
2016-01-05 23:00:00,2016-01-05 23:00:00,50.7
2016-01-06 00:00:00,2016-01-06 00:00:00,52.2
2016-01-06 01:00:00,2016-01-06 01:00:00,54.3
2016-01-06 02:00:00,2016-01-06 02:00:00,52.3
2016-01-06 03:00:00,2016-01-06 03:00:00,52.3
2016-01-06 04:00:00,2016-01-06 04:00:00,52.1
2016-01-06 05:00:00,2016-01-06 05:00:00,52.0
2016-01-06 06:00:00,2016-01-06 06:00:00,61.6
2016-01-06 07:00:00,2016-01-06 07:00:00,79.3
2016-01-06 08:00:00,2016-01-06 08:00:00,102.2
2016-01-06 09:00:00,2016-01-06 09:00:00,154.2
2016-01-06 10:00:00,2016-01-06 10:00:00,184.8
2016-01-06 11:00:00,2016-01-06 11:00:00,191.8
2016-01-06 12:00:00,2016-01-06 12:00:00,185.1
2016-01-06 13:00:00,2016-01-06 13:00:00,173.4
2016-01-06 14:00:00,2016-01-06 14:00:00,154.4
2016-01-06 15:00:00,2016-01-06 15:00:00,149.4
2016-01-06 16:00:00,2016-01-06 16:00:00,129.2
2016-01-06 17:00:00,2016-01-06 17:00:00,122.2
2016-01-06 18:00:00,2016-01-06 18:00:00,136.0
2016-01-06 19:00:00,2016-01-06 19:00:00,122.1
2016-01-06 20:00:00,2016-01-06 20:00:00,109.2
2016-01-06 21:00:00,2016-01-06 21:00:00,71.4
2016-01-06 22:00:00,2016-01-06 22:00:00,62.2
2016-01-06 23:00:00,2016-01-06 23:00:00,55.7
2016-01-07 00:00:00,2016-01-07 00:00:00,53.8
2016-01-07 01:00:00,2016-01-07 01:00:00,59.6
2016-01-07 02:00:00,2016-01-07 02:00:00,57.4
2016-01-07 03:00:00,2016-01-07 03:00:00,56.7
2016-01-07 04:00:00,2016-01-07 04:00:00,56.6
2016-01-07 05:00:00,2016-01-07 05:00:00,56.7
2016-01-07 06:00:00,2016-01-07 06:00:00,65.9
2016-01-07 07:00:00,2016-01-07 07:00:00,81.0
2016-01-07 08:00:00,2016-01-07 08:00:00,98.6
2016-01-07 09:00:00,2016-01-07 09:00:00,142.8
2016-01-07 10:00:00,2016-01-07 10:00:00,177.3
2016-01-07 11:00:00,2016-01-07 11:00:00,186.0
2016-01-07 12:00:00,2016-01-07 12:00:00,175.5
2016-01-07 13:00:00,2016-01-07 13:00:00,164.0
2016-01-07 14:00:00,2016-01-07 14:00:00,157.5
2016-01-07 15:00:00,2016-01-07 15:00:00,152.2
2016-01-07 16:00:00,2016-01-07 16:00:00,145.3
2016-01-07 17:00:00,2016-01-07 17:00:00,143.8
2016-01-07 18:00:00,2016-01-07 18:00:00,133.7
2016-01-07 19:00:00,2016-01-07 19:00:00,121.9
2016-01-07 20:00:00,2016-01-07 20:00:00,110.2
2016-01-07 21:00:00,2016-01-07 21:00:00,103.4
2016-01-07 22:00:00,2016-01-07 22:00:00,62.8
2016-01-07 23:00:00,2016-01-07 23:00:00,54.3
2016-01-08 00:00:00,2016-01-08 00:00:00,54.8
2016-01-08 01:00:00,2016-01-08 01:00:00,56.8
2016-01-08 02:00:00,2016-01-08 02:00:00,55.4
2016-01-08 03:00:00,2016-01-08 03:00:00,54.5
2016-01-08 04:00:00,2016-01-08 04:00:00,54.7
2016-01-08 05:00:00,2016-01-08 05:00:00,54.7
2016-01-08 06:00:00,2016-01-08 06:00:00,68.4
2016-01-08 07:00:00,2016-01-08 07:00:00,81.1
2016-01-08 08:00:00,2016-01-08 08:00:00,106.3
2016-01-08 09:00:00,2016-01-08 09:00:00,147.1
2016-01-08 10:00:00,2016-01-08 10:00:00,184.7
2016-01-08 11:00:00,2016-01-08 11:00:00,190.1
2016-01-08 12:00:00,2016-01-08 12:00:00,182.8
2016-01-08 13:00:00,2016-01-08 13:00:00,179.3
2016-01-08 14:00:00,2016-01-08 14:00:00,164.3
2016-01-08 15:00:00,2016-01-08 15:00:00,156.0
2016-01-08 16:00:00,2016-01-08 16:00:00,126.5
2016-01-08 17:00:00,2016-01-08 17:00:00,111.6
2016-01-08 18:00:00,2016-01-08 18:00:00,91.1
2016-01-08 19:00:00,2016-01-08 19:00:00,73.2
2016-01-08 20:00:00,2016-01-08 20:00:00,63.5
2016-01-08 21:00:00,2016-01-08 21:00:00,63.9
2016-01-08 22:00:00,2016-01-08 22:00:00,62.1
2016-01-08 23:00:00,2016-01-08 23:00:00,56.0
2016-01-09 00:00:00,2016-01-09 00:00:00,54.2
2016-01-09 01:00:00,2016-01-09 01:00:00,70.3
2016-01-09 02:00:00,2016-01-09 02:00:00,58.6
2016-01-09 03:00:00,2016-01-09 03:00:00,55.5
2016-01-09 04:00:00,2016-01-09 04:00:00,55.2
2016-01-09 05:00:00,2016-01-09 05:00:00,54.8
2016-01-09 06:00:00,2016-01-09 06:00:00,57.6
2016-01-09 07:00:00,2016-01-09 07:00:00,56.8
2016-01-09 08:00:00,2016-01-09 08:00:00,57.9
2016-01-09 09:00:00,2016-01-09 09:00:00,57.8
2016-01-09 10:00:00,2016-01-09 10:00:00,57.9
2016-01-09 11:00:00,2016-01-09 11:00:00,57.8
2016-01-09 12:00:00,2016-01-09 12:00:00,56.6
2016-01-09 13:00:00,2016-01-09 13:00:00,56.2
2016-01-09 14:00:00,2016-01-09 14:00:00,55.8
2016-01-09 15:00:00,2016-01-09 15:00:00,55.3
2016-01-09 16:00:00,2016-01-09 16:00:00,52.7
2016-01-09 17:00:00,2016-01-09 17:00:00,53.2
2016-01-09 18:00:00,2016-01-09 18:00:00,53.6
2016-01-09 19:00:00,2016-01-09 19:00:00,54.2
2016-01-09 20:00:00,2016-01-09 20:00:00,53.9
2016-01-09 21:00:00,2016-01-09 21:00:00,54.3
2016-01-09 22:00:00,2016-01-09 22:00:00,52.9
2016-01-09 23:00:00,2016-01-09 23:00:00,52.1
2016-01-10 00:00:00,2016-01-10 00:00:00,51.9
2016-01-10 01:00:00,2016-01-10 01:00:00,56.3
2016-01-10 02:00:00,2016-01-10 02:00:00,53.4
2016-01-10 03:00:00,2016-01-10 03:00:00,53.0
2016-01-10 04:00:00,2016-01-10 04:00:00,53.0
2016-01-10 05:00:00,2016-01-10 05:00:00,52.3
2016-01-10 06:00:00,2016-01-10 06:00:00,54.8
2016-01-10 07:00:00,2016-01-10 07:00:00,54.6
2016-01-10 08:00:00,2016-01-10 08:00:00,53.7
2016-01-10 09:00:00,2016-01-10 09:00:00,52.9
2016-01-10 10:00:00,2016-01-10 10:00:00,53.0
2016-01-10 11:00:00,2016-01-10 11:00:00,52.7
2016-01-10 12:00:00,2016-01-10 12:00:00,52.8
2016-01-10 13:00:00,2016-01-10 13:00:00,52.8
2016-01-10 14:00:00,2016-01-10 14:00:00,53.1
2016-01-10 15:00:00,2016-01-10 15:00:00,53.3
2016-01-10 16:00:00,2016-01-10 16:00:00,53.3
2016-01-10 17:00:00,2016-01-10 17:00:00,53.2
2016-01-10 18:00:00,2016-01-10 18:00:00,54.3
2016-01-10 19:00:00,2016-01-10 19:00:00,54.7
2016-01-10 20:00:00,2016-01-10 20:00:00,54.8
2016-01-10 21:00:00,2016-01-10 21:00:00,54.8
2016-01-10 22:00:00,2016-01-10 22:00:00,53.1
2016-01-10 23:00:00,2016-01-10 23:00:00,51.9
2016-01-11 00:00:00,2016-01-11 00:00:00,55.0
2016-01-11 01:00:00,2016-01-11 01:00:00,55.8
2016-01-11 02:00:00,2016-01-11 02:00:00,53.7
2016-01-11 03:00:00,2016-01-11 03:00:00,52.0
2016-01-11 04:00:00,2016-01-11 04:00:00,52.8
2016-01-11 05:00:00,2016-01-11 05:00:00,53.3
2016-01-11 06:00:00,2016-01-11 06:00:00,65.2
2016-01-11 07:00:00,2016-01-11 07:00:00,80.5
2016-01-11 08:00:00,2016-01-11 08:00:00,113.6
2016-01-11 09:00:00,2016-01-11 09:00:00,160.9
2016-01-11 10:00:00,2016-01-11 10:00:00,181.8
2016-01-11 11:00:00,2016-01-11 11:00:00,192.5
2016-01-11 12:00:00,2016-01-11 12:00:00,191.5
2016-01-11 13:00:00,2016-01-11 13:00:00,178.1
2016-01-11 14:00:00,2016-01-11 14:00:00,168.1
2016-01-11 15:00:00,2016-01-11 15:00:00,159.4
2016-01-11 16:00:00,2016-01-11 16:00:00,162.0
2016-01-11 17:00:00,2016-01-11 17:00:00,158.4
2016-01-11 18:00:00,2016-01-11 18:00:00,149.4
2016-01-11 19:00:00,2016-01-11 19:00:00,133.1
2016-01-11 20:00:00,2016-01-11 20:00:00,116.0
2016-01-11 21:00:00,2016-01-11 21:00:00,69.8
2016-01-11 22:00:00,2016-01-11 22:00:00,64.9
2016-01-11 23:00:00,2016-01-11 23:00:00,58.7
2016-01-12 00:00:00,2016-01-12 00:00:00,55.6
2016-01-12 01:00:00,2016-01-12 01:00:00,63.9
2016-01-12 02:00:00,2016-01-12 02:00:00,62.8
2016-01-12 03:00:00,2016-01-12 03:00:00,62.0
2016-01-12 04:00:00,2016-01-12 04:00:00,62.4
2016-01-12 05:00:00,2016-01-12 05:00:00,62.2
2016-01-12 06:00:00,2016-01-12 06:00:00,74.5
2016-01-12 07:00:00,2016-01-12 07:00:00,84.6
2016-01-12 08:00:00,2016-01-12 08:00:00,111.3
2016-01-12 09:00:00,2016-01-12 09:00:00,147.3
2016-01-12 10:00:00,2016-01-12 10:00:00,184.4
2016-01-12 11:00:00,2016-01-12 11:00:00,190.2
2016-01-12 12:00:00,2016-01-12 12:00:00,179.6
2016-01-12 13:00:00,2016-01-12 13:00:00,166.4
2016-01-12 14:00:00,2016-01-12 14:00:00,169.2
2016-01-12 15:00:00,2016-01-12 15:00:00,151.8
2016-01-12 16:00:00,2016-01-12 16:00:00,119.2
2016-01-12 17:00:00,2016-01-12 17:00:00,124.5
2016-01-12 18:00:00,2016-01-12 18:00:00,121.2
2016-01-12 19:00:00,2016-01-12 19:00:00,125.1
2016-01-12 20:00:00,2016-01-12 20:00:00,117.3
2016-01-12 21:00:00,2016-01-12 21:00:00,105.8
2016-01-12 22:00:00,2016-01-12 22:00:00,61.4
2016-01-12 23:00:00,2016-01-12 23:00:00,54.2
2016-01-13 00:00:00,2016-01-13 00:00:00,54.6
2016-01-13 01:00:00,2016-01-13 01:00:00,57.4
2016-01-13 02:00:00,2016-01-13 02:00:00,55.8
2016-01-13 03:00:00,2016-01-13 03:00:00,55.2
2016-01-13 04:00:00,2016-01-13 04:00:00,55.5
2016-01-13 05:00:00,2016-01-13 05:00:00,58.2
2016-01-13 06:00:00,2016-01-13 06:00:00,68.2
2016-01-13 07:00:00,2016-01-13 07:00:00,81.1
2016-01-13 08:00:00,2016-01-13 08:00:00,108.9
2016-01-13 09:00:00,2016-01-13 09:00:00,152.8
2016-01-13 10:00:00,2016-01-13 10:00:00,183.9
2016-01-13 11:00:00,2016-01-13 11:00:00,185.6
2016-01-13 12:00:00,2016-01-13 12:00:00,184.7
2016-01-13 13:00:00,2016-01-13 13:00:00,177.8
2016-01-13 14:00:00,2016-01-13 14:00:00,163.6
2016-01-13 15:00:00,2016-01-13 15:00:00,157.7
2016-01-13 16:00:00,2016-01-13 16:00:00,138.0
2016-01-13 17:00:00,2016-01-13 17:00:00,128.9
2016-01-13 18:00:00,2016-01-13 18:00:00,143.6
2016-01-13 19:00:00,2016-01-13 19:00:00,125.2
2016-01-13 20:00:00,2016-01-13 20:00:00,115.1
2016-01-13 21:00:00,2016-01-13 21:00:00,68.2
2016-01-13 22:00:00,2016-01-13 22:00:00,64.0
2016-01-13 23:00:00,2016-01-13 23:00:00,57.5
2016-01-14 00:00:00,2016-01-14 00:00:00,56.5
2016-01-14 01:00:00,2016-01-14 01:00:00,61.1
2016-01-14 02:00:00,2016-01-14 02:00:00,59.4
2016-01-14 03:00:00,2016-01-14 03:00:00,58.7
2016-01-14 04:00:00,2016-01-14 04:00:00,58.6
2016-01-14 05:00:00,2016-01-14 05:00:00,60.8
2016-01-14 06:00:00,2016-01-14 06:00:00,74.0
2016-01-14 07:00:00,2016-01-14 07:00:00,87.4
2016-01-14 08:00:00,2016-01-14 08:00:00,110.8
2016-01-14 09:00:00,2016-01-14 09:00:00,157.1
2016-01-14 10:00:00,2016-01-14 10:00:00,187.2
2016-01-14 11:00:00,2016-01-14 11:00:00,188.0
2016-01-14 12:00:00,2016-01-14 12:00:00,182.5
2016-01-14 13:00:00,2016-01-14 13:00:00,173.1
2016-01-14 14:00:00,2016-01-14 14:00:00,176.6
