timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,14.6
2016-01-01 01:00:00,2016-01-01 01:00:00,28.5
2016-01-01 02:00:00,2016-01-01 02:00:00,29.5
2016-01-01 03:00:00,2016-01-01 03:00:00,30.4
2016-01-01 04:00:00,2016-01-01 04:00:00,29.8
2016-01-01 05:00:00,2016-01-01 05:00:00,28.4
2016-01-01 06:00:00,2016-01-01 06:00:00,29.4
2016-01-01 07:00:00,2016-01-01 07:00:00,30.9
2016-01-01 08:00:00,2016-01-01 08:00:00,28.8
2016-01-01 09:00:00,2016-01-01 09:00:00,26.5
2016-01-01 10:00:00,2016-01-01 10:00:00,24.3
2016-01-01 11:00:00,2016-01-01 11:00:00,24.4
2016-01-01 12:00:00,2016-01-01 12:00:00,25.2
2016-01-01 13:00:00,2016-01-01 13:00:00,24.4
2016-01-01 14:00:00,2016-01-01 14:00:00,24.1
2016-01-01 15:00:00,2016-01-01 15:00:00,25.5
2016-01-01 16:00:00,2016-01-01 16:00:00,27.1
2016-01-01 17:00:00,2016-01-01 17:00:00,27.7
2016-01-01 18:00:00,2016-01-01 18:00:00,27.2
2016-01-01 19:00:00,2016-01-01 19:00:00,27.6
2016-01-01 20:00:00,2016-01-01 20:00:00,28.8
2016-01-01 21:00:00,2016-01-01 21:00:00,28.8
2016-01-01 22:00:00,2016-01-01 22:00:00,30.8
2016-01-01 23:00:00,2016-01-01 23:00:00,30.0
2016-01-02 00:00:00,2016-01-02 00:00:00,28.7
2016-01-02 01:00:00,2016-01-02 01:00:00,28.4
2016-01-02 02:00:00,2016-01-02 02:00:00,28.5
2016-01-02 03:00:00,2016-01-02 03:00:00,29.0
2016-01-02 04:00:00,2016-01-02 04:00:00,29.0
2016-01-02 05:00:00,2016-01-02 05:00:00,29.5
2016-01-02 06:00:00,2016-01-02 06:00:00,28.1
2016-01-02 07:00:00,2016-01-02 07:00:00,28.5
2016-01-02 08:00:00,2016-01-02 08:00:00,28.0
2016-01-02 09:00:00,2016-01-02 09:00:00,29.3
2016-01-02 10:00:00,2016-01-02 10:00:00,27.0
2016-01-02 11:00:00,2016-01-02 11:00:00,24.3
2016-01-02 12:00:00,2016-01-02 12:00:00,24.3
2016-01-02 13:00:00,2016-01-02 13:00:00,24.6
2016-01-02 14:00:00,2016-01-02 14:00:00,25.8
2016-01-02 15:00:00,2016-01-02 15:00:00,28.6
2016-01-02 16:00:00,2016-01-02 16:00:00,28.4
2016-01-02 17:00:00,2016-01-02 17:00:00,29.1
2016-01-02 18:00:00,2016-01-02 18:00:00,27.9
2016-01-02 19:00:00,2016-01-02 19:00:00,27.7
2016-01-02 20:00:00,2016-01-02 20:00:00,27.7
2016-01-02 21:00:00,2016-01-02 21:00:00,28.4
2016-01-02 22:00:00,2016-01-02 22:00:00,28.0
2016-01-02 23:00:00,2016-01-02 23:00:00,28.7
2016-01-03 00:00:00,2016-01-03 00:00:00,29.2
2016-01-03 01:00:00,2016-01-03 01:00:00,28.1
2016-01-03 02:00:00,2016-01-03 02:00:00,27.7
2016-01-03 03:00:00,2016-01-03 03:00:00,28.9
2016-01-03 04:00:00,2016-01-03 04:00:00,28.8
2016-01-03 05:00:00,2016-01-03 05:00:00,27.8
2016-01-03 06:00:00,2016-01-03 06:00:00,28.1
2016-01-03 07:00:00,2016-01-03 07:00:00,29.3
2016-01-03 08:00:00,2016-01-03 08:00:00,27.4
2016-01-03 09:00:00,2016-01-03 09:00:00,28.1
2016-01-03 10:00:00,2016-01-03 10:00:00,27.5
2016-01-03 11:00:00,2016-01-03 11:00:00,28.1
2016-01-03 12:00:00,2016-01-03 12:00:00,24.7
2016-01-03 13:00:00,2016-01-03 13:00:00,23.6
2016-01-03 14:00:00,2016-01-03 14:00:00,24.2
2016-01-03 15:00:00,2016-01-03 15:00:00,24.2
2016-01-03 16:00:00,2016-01-03 16:00:00,31.2
2016-01-03 17:00:00,2016-01-03 17:00:00,36.3
2016-01-03 18:00:00,2016-01-03 18:00:00,33.8
2016-01-03 19:00:00,2016-01-03 19:00:00,30.6
2016-01-03 20:00:00,2016-01-03 20:00:00,29.5
2016-01-03 21:00:00,2016-01-03 21:00:00,29.2
2016-01-03 22:00:00,2016-01-03 22:00:00,28.8
2016-01-03 23:00:00,2016-01-03 23:00:00,29.4
2016-01-04 00:00:00,2016-01-04 00:00:00,30.1
2016-01-04 01:00:00,2016-01-04 01:00:00,30.7
2016-01-04 02:00:00,2016-01-04 02:00:00,30.6
2016-01-04 03:00:00,2016-01-04 03:00:00,30.4
2016-01-04 04:00:00,2016-01-04 04:00:00,29.5
2016-01-04 05:00:00,2016-01-04 05:00:00,29.7
2016-01-04 06:00:00,2016-01-04 06:00:00,32.7
2016-01-04 07:00:00,2016-01-04 07:00:00,70.8
2016-01-04 08:00:00,2016-01-04 08:00:00,80.0
2016-01-04 09:00:00,2016-01-04 09:00:00,92.4
2016-01-04 10:00:00,2016-01-04 10:00:00,92.2
2016-01-04 11:00:00,2016-01-04 11:00:00,103.6
2016-01-04 12:00:00,2016-01-04 12:00:00,103.8
2016-01-04 13:00:00,2016-01-04 13:00:00,102.0
2016-01-04 14:00:00,2016-01-04 14:00:00,94.4
2016-01-04 15:00:00,2016-01-04 15:00:00,83.0
2016-01-04 16:00:00,2016-01-04 16:00:00,84.1
2016-01-04 17:00:00,2016-01-04 17:00:00,76.6
2016-01-04 18:00:00,2016-01-04 18:00:00,70.9
2016-01-04 19:00:00,2016-01-04 19:00:00,54.1
2016-01-04 20:00:00,2016-01-04 20:00:00,34.2
2016-01-04 21:00:00,2016-01-04 21:00:00,32.9
2016-01-04 22:00:00,2016-01-04 22:00:00,29.6
2016-01-04 23:00:00,2016-01-04 23:00:00,28.5
2016-01-05 00:00:00,2016-01-05 00:00:00,30.1
2016-01-05 01:00:00,2016-01-05 01:00:00,29.9
2016-01-05 02:00:00,2016-01-05 02:00:00,30.4
2016-01-05 03:00:00,2016-01-05 03:00:00,30.7
2016-01-05 04:00:00,2016-01-05 04:00:00,29.8
2016-01-05 05:00:00,2016-01-05 05:00:00,28.3
2016-01-05 06:00:00,2016-01-05 06:00:00,32.2
2016-01-05 07:00:00,2016-01-05 07:00:00,75.0
2016-01-05 08:00:00,2016-01-05 08:00:00,82.2
2016-01-05 09:00:00,2016-01-05 09:00:00,89.3
2016-01-05 10:00:00,2016-01-05 10:00:00,94.0
