timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,49.1
2016-01-01 01:00:00,2016-01-01 01:00:00,95.4
2016-01-01 02:00:00,2016-01-01 02:00:00,93.5
2016-01-01 03:00:00,2016-01-01 03:00:00,93.2
2016-01-01 04:00:00,2016-01-01 04:00:00,93.7
2016-01-01 05:00:00,2016-01-01 05:00:00,95.2
2016-01-01 06:00:00,2016-01-01 06:00:00,95.9
2016-01-01 07:00:00,2016-01-01 07:00:00,96.6
2016-01-01 08:00:00,2016-01-01 08:00:00,95.8
2016-01-01 09:00:00,2016-01-01 09:00:00,95.0
2016-01-01 10:00:00,2016-01-01 10:00:00,94.6
2016-01-01 11:00:00,2016-01-01 11:00:00,93.4
2016-01-01 12:00:00,2016-01-01 12:00:00,93.1
2016-01-01 13:00:00,2016-01-01 13:00:00,93.6
2016-01-01 14:00:00,2016-01-01 14:00:00,94.5
2016-01-01 15:00:00,2016-01-01 15:00:00,95.4
2016-01-01 16:00:00,2016-01-01 16:00:00,96.4
2016-01-01 17:00:00,2016-01-01 17:00:00,97.3
2016-01-01 18:00:00,2016-01-01 18:00:00,97.0
2016-01-01 19:00:00,2016-01-01 19:00:00,97.6
2016-01-01 20:00:00,2016-01-01 20:00:00,98.1
2016-01-01 21:00:00,2016-01-01 21:00:00,97.2
2016-01-01 22:00:00,2016-01-01 22:00:00,97.0
2016-01-01 23:00:00,2016-01-01 23:00:00,94.7
2016-01-02 00:00:00,2016-01-02 00:00:00,93.7
2016-01-02 01:00:00,2016-01-02 01:00:00,97.5
2016-01-02 02:00:00,2016-01-02 02:00:00,94.4
2016-01-02 03:00:00,2016-01-02 03:00:00,94.1
2016-01-02 04:00:00,2016-01-02 04:00:00,93.5
2016-01-02 05:00:00,2016-01-02 05:00:00,93.8
2016-01-02 06:00:00,2016-01-02 06:00:00,95.3
2016-01-02 07:00:00,2016-01-02 07:00:00,94.8
2016-01-02 08:00:00,2016-01-02 08:00:00,95.1
2016-01-02 09:00:00,2016-01-02 09:00:00,93.4
2016-01-02 10:00:00,2016-01-02 10:00:00,93.3
2016-01-02 11:00:00,2016-01-02 11:00:00,93.8
2016-01-02 12:00:00,2016-01-02 12:00:00,93.2
2016-01-02 13:00:00,2016-01-02 13:00:00,92.7
2016-01-02 14:00:00,2016-01-02 14:00:00,92.8
2016-01-02 15:00:00,2016-01-02 15:00:00,92.6
2016-01-02 16:00:00,2016-01-02 16:00:00,91.7
2016-01-02 17:00:00,2016-01-02 17:00:00,93.7
2016-01-02 18:00:00,2016-01-02 18:00:00,96.3
2016-01-02 19:00:00,2016-01-02 19:00:00,96.5
2016-01-02 20:00:00,2016-01-02 20:00:00,98.1
2016-01-02 21:00:00,2016-01-02 21:00:00,97.0
2016-01-02 22:00:00,2016-01-02 22:00:00,97.6
2016-01-02 23:00:00,2016-01-02 23:00:00,96.8
2016-01-03 00:00:00,2016-01-03 00:00:00,90.7
2016-01-03 01:00:00,2016-01-03 01:00:00,97.9
2016-01-03 02:00:00,2016-01-03 02:00:00,93.5
2016-01-03 03:00:00,2016-01-03 03:00:00,92.4
2016-01-03 04:00:00,2016-01-03 04:00:00,92.3
2016-01-03 05:00:00,2016-01-03 05:00:00,93.2
2016-01-03 06:00:00,2016-01-03 06:00:00,94.0
2016-01-03 07:00:00,2016-01-03 07:00:00,95.8
2016-01-03 08:00:00,2016-01-03 08:00:00,99.9
2016-01-03 09:00:00,2016-01-03 09:00:00,96.1
2016-01-03 10:00:00,2016-01-03 10:00:00,96.1
2016-01-03 11:00:00,2016-01-03 11:00:00,96.0
2016-01-03 12:00:00,2016-01-03 12:00:00,92.5
2016-01-03 13:00:00,2016-01-03 13:00:00,92.7
2016-01-03 14:00:00,2016-01-03 14:00:00,92.9
2016-01-03 15:00:00,2016-01-03 15:00:00,94.2
2016-01-03 16:00:00,2016-01-03 16:00:00,93.6
2016-01-03 17:00:00,2016-01-03 17:00:00,94.4
2016-01-03 18:00:00,2016-01-03 18:00:00,95.6
2016-01-03 19:00:00,2016-01-03 19:00:00,94.9
