timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,41.7
2016-01-01 01:00:00,2016-01-01 01:00:00,83.4
2016-01-01 02:00:00,2016-01-01 02:00:00,83.4
2016-01-01 03:00:00,2016-01-01 03:00:00,82.1
2016-01-01 04:00:00,2016-01-01 04:00:00,82.5
2016-01-01 05:00:00,2016-01-01 05:00:00,84.8
2016-01-01 06:00:00,2016-01-01 06:00:00,90.5
2016-01-01 07:00:00,2016-01-01 07:00:00,90.3
2016-01-01 08:00:00,2016-01-01 08:00:00,84.6
2016-01-01 09:00:00,2016-01-01 09:00:00,69.9
2016-01-01 10:00:00,2016-01-01 10:00:00,66.2
2016-01-01 11:00:00,2016-01-01 11:00:00,62.5
2016-01-01 12:00:00,2016-01-01 12:00:00,66.0
2016-01-01 13:00:00,2016-01-01 13:00:00,66.6
2016-01-01 14:00:00,2016-01-01 14:00:00,67.3
2016-01-01 15:00:00,2016-01-01 15:00:00,65.9
2016-01-01 16:00:00,2016-01-01 16:00:00,75.4
2016-01-01 17:00:00,2016-01-01 17:00:00,82.2
2016-01-01 18:00:00,2016-01-01 18:00:00,80.9
2016-01-01 19:00:00,2016-01-01 19:00:00,83.2
2016-01-01 20:00:00,2016-01-01 20:00:00,82.8
2016-01-01 21:00:00,2016-01-01 21:00:00,82.7
2016-01-01 22:00:00,2016-01-01 22:00:00,82.5
2016-01-01 23:00:00,2016-01-01 23:00:00,78.7
2016-01-02 00:00:00,2016-01-02 00:00:00,107.7
2016-01-02 01:00:00,2016-01-02 01:00:00,79.1
2016-01-02 02:00:00,2016-01-02 02:00:00,81.0
2016-01-02 03:00:00,2016-01-02 03:00:00,81.2
2016-01-02 04:00:00,2016-01-02 04:00:00,80.8
2016-01-02 05:00:00,2016-01-02 05:00:00,83.2
2016-01-02 06:00:00,2016-01-02 06:00:00,99.7
2016-01-02 07:00:00,2016-01-02 07:00:00,266.0
2016-01-02 08:00:00,2016-01-02 08:00:00,280.1
2016-01-02 09:00:00,2016-01-02 09:00:00,309.3
2016-01-02 10:00:00,2016-01-02 10:00:00,131.0
2016-01-02 11:00:00,2016-01-02 11:00:00,250.8
2016-01-02 12:00:00,2016-01-02 12:00:00,267.0
2016-01-02 13:00:00,2016-01-02 13:00:00,273.9
2016-01-02 14:00:00,2016-01-02 14:00:00,86.3
2016-01-02 15:00:00,2016-01-02 15:00:00,252.9
2016-01-02 16:00:00,2016-01-02 16:00:00,267.0
2016-01-02 17:00:00,2016-01-02 17:00:00,273.8
2016-01-02 18:00:00,2016-01-02 18:00:00,193.9
2016-01-02 19:00:00,2016-01-02 19:00:00,287.3
2016-01-02 20:00:00,2016-01-02 20:00:00,174.5
2016-01-02 21:00:00,2016-01-02 21:00:00,255.6
2016-01-02 22:00:00,2016-01-02 22:00:00,281.6
2016-01-02 23:00:00,2016-01-02 23:00:00,265.6
2016-01-03 00:00:00,2016-01-03 00:00:00,215.0
2016-01-03 01:00:00,2016-01-03 01:00:00,262.5
2016-01-03 02:00:00,2016-01-03 02:00:00,287.2
2016-01-03 03:00:00,2016-01-03 03:00:00,282.1
2016-01-03 04:00:00,2016-01-03 04:00:00,131.3
2016-01-03 05:00:00,2016-01-03 05:00:00,272.8
2016-01-03 06:00:00,2016-01-03 06:00:00,127.5
2016-01-03 07:00:00,2016-01-03 07:00:00,120.8
2016-01-03 08:00:00,2016-01-03 08:00:00,132.7
2016-01-03 09:00:00,2016-01-03 09:00:00,117.2
2016-01-03 10:00:00,2016-01-03 10:00:00,105.5
2016-01-03 11:00:00,2016-01-03 11:00:00,105.9
2016-01-03 12:00:00,2016-01-03 12:00:00,103.5
2016-01-03 13:00:00,2016-01-03 13:00:00,83.1
2016-01-03 14:00:00,2016-01-03 14:00:00,221.7
2016-01-03 15:00:00,2016-01-03 15:00:00,248.2
2016-01-03 16:00:00,2016-01-03 16:00:00,258.3
2016-01-03 17:00:00,2016-01-03 17:00:00,195.7
2016-01-03 18:00:00,2016-01-03 18:00:00,270.8
2016-01-03 19:00:00,2016-01-03 19:00:00,119.3
2016-01-03 20:00:00,2016-01-03 20:00:00,243.9
2016-01-03 21:00:00,2016-01-03 21:00:00,271.7
2016-01-03 22:00:00,2016-01-03 22:00:00,152.5
2016-01-03 23:00:00,2016-01-03 23:00:00,259.8
2016-01-04 00:00:00,2016-01-04 00:00:00,277.6
2016-01-04 01:00:00,2016-01-04 01:00:00,273.4
2016-01-04 02:00:00,2016-01-04 02:00:00,152.1
2016-01-04 03:00:00,2016-01-04 03:00:00,249.6
2016-01-04 04:00:00,2016-01-04 04:00:00,290.7
2016-01-04 05:00:00,2016-01-04 05:00:00,218.8
2016-01-04 06:00:00,2016-01-04 06:00:00,114.1
2016-01-04 07:00:00,2016-01-04 07:00:00,286.0
2016-01-04 08:00:00,2016-01-04 08:00:00,323.8
2016-01-04 09:00:00,2016-01-04 09:00:00,301.5
2016-01-04 10:00:00,2016-01-04 10:00:00,148.6
2016-01-04 11:00:00,2016-01-04 11:00:00,305.3
2016-01-04 12:00:00,2016-01-04 12:00:00,315.6
2016-01-04 13:00:00,2016-01-04 13:00:00,297.0
2016-01-04 14:00:00,2016-01-04 14:00:00,117.4
2016-01-04 15:00:00,2016-01-04 15:00:00,180.7
2016-01-04 16:00:00,2016-01-04 16:00:00,291.0
2016-01-04 17:00:00,2016-01-04 17:00:00,306.1
2016-01-04 18:00:00,2016-01-04 18:00:00,223.9
2016-01-04 19:00:00,2016-01-04 19:00:00,293.6
2016-01-04 20:00:00,2016-01-04 20:00:00,301.0
2016-01-04 21:00:00,2016-01-04 21:00:00,284.9
2016-01-04 22:00:00,2016-01-04 22:00:00,143.2
2016-01-04 23:00:00,2016-01-04 23:00:00,271.3
2016-01-05 00:00:00,2016-01-05 00:00:00,282.5
2016-01-05 01:00:00,2016-01-05 01:00:00,294.3
2016-01-05 02:00:00,2016-01-05 02:00:00,213.1
2016-01-05 03:00:00,2016-01-05 03:00:00,283.0
2016-01-05 04:00:00,2016-01-05 04:00:00,297.9
2016-01-05 05:00:00,2016-01-05 05:00:00,271.8
2016-01-05 06:00:00,2016-01-05 06:00:00,126.3
2016-01-05 07:00:00,2016-01-05 07:00:00,276.8
2016-01-05 08:00:00,2016-01-05 08:00:00,317.6
2016-01-05 09:00:00,2016-01-05 09:00:00,292.6
2016-01-05 10:00:00,2016-01-05 10:00:00,160.1
2016-01-05 11:00:00,2016-01-05 11:00:00,285.5
2016-01-05 12:00:00,2016-01-05 12:00:00,295.1
2016-01-05 13:00:00,2016-01-05 13:00:00,284.8
2016-01-05 14:00:00,2016-01-05 14:00:00,136.6
2016-01-05 15:00:00,2016-01-05 15:00:00,292.4
2016-01-05 16:00:00,2016-01-05 16:00:00,289.4
2016-01-05 17:00:00,2016-01-05 17:00:00,250.6
2016-01-05 18:00:00,2016-01-05 18:00:00,203.5
2016-01-05 19:00:00,2016-01-05 19:00:00,282.6
2016-01-05 20:00:00,2016-01-05 20:00:00,286.3
2016-01-05 21:00:00,2016-01-05 21:00:00,279.0
2016-01-05 22:00:00,2016-01-05 22:00:00,125.3
2016-01-05 23:00:00,2016-01-05 23:00:00,262.8
2016-01-06 00:00:00,2016-01-06 00:00:00,278.3
2016-01-06 01:00:00,2016-01-06 01:00:00,290.3
2016-01-06 02:00:00,2016-01-06 02:00:00,203.0
2016-01-06 03:00:00,2016-01-06 03:00:00,295.8
2016-01-06 04:00:00,2016-01-06 04:00:00,293.4
2016-01-06 05:00:00,2016-01-06 05:00:00,251.1
2016-01-06 06:00:00,2016-01-06 06:00:00,125.2
2016-01-06 07:00:00,2016-01-06 07:00:00,267.0
2016-01-06 08:00:00,2016-01-06 08:00:00,332.2
