timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,3.952
2016-01-01 01:00:00,2016-01-01 01:00:00,7.691
2016-01-01 02:00:00,2016-01-01 02:00:00,7.853
2016-01-01 03:00:00,2016-01-01 03:00:00,7.779
2016-01-01 04:00:00,2016-01-01 04:00:00,7.725
2016-01-01 05:00:00,2016-01-01 05:00:00,8.078
2016-01-01 06:00:00,2016-01-01 06:00:00,8.408
2016-01-01 07:00:00,2016-01-01 07:00:00,8.946
2016-01-01 08:00:00,2016-01-01 08:00:00,13.652
2016-01-01 09:00:00,2016-01-01 09:00:00,12.101
2016-01-01 10:00:00,2016-01-01 10:00:00,10.635
2016-01-01 11:00:00,2016-01-01 11:00:00,11.253
2016-01-01 12:00:00,2016-01-01 12:00:00,12.222
2016-01-01 13:00:00,2016-01-01 13:00:00,12.728
2016-01-01 14:00:00,2016-01-01 14:00:00,10.288
2016-01-01 15:00:00,2016-01-01 15:00:00,7.903
2016-01-01 16:00:00,2016-01-01 16:00:00,8.031
2016-01-01 17:00:00,2016-01-01 17:00:00,7.87
2016-01-01 18:00:00,2016-01-01 18:00:00,7.992
2016-01-01 19:00:00,2016-01-01 19:00:00,7.785
2016-01-01 20:00:00,2016-01-01 20:00:00,7.933
2016-01-01 21:00:00,2016-01-01 21:00:00,7.866
2016-01-01 22:00:00,2016-01-01 22:00:00,7.687
2016-01-01 23:00:00,2016-01-01 23:00:00,7.628
2016-01-02 00:00:00,2016-01-02 00:00:00,7.697
2016-01-02 01:00:00,2016-01-02 01:00:00,7.553
2016-01-02 02:00:00,2016-01-02 02:00:00,7.702
2016-01-02 03:00:00,2016-01-02 03:00:00,7.69
2016-01-02 04:00:00,2016-01-02 04:00:00,7.669
2016-01-02 05:00:00,2016-01-02 05:00:00,7.749
2016-01-02 06:00:00,2016-01-02 06:00:00,7.999
2016-01-02 07:00:00,2016-01-02 07:00:00,9.112
2016-01-02 08:00:00,2016-01-02 08:00:00,13.193
2016-01-02 09:00:00,2016-01-02 09:00:00,11.464
2016-01-02 10:00:00,2016-01-02 10:00:00,12.207
2016-01-02 11:00:00,2016-01-02 11:00:00,10.294
2016-01-02 12:00:00,2016-01-02 12:00:00,11.274
2016-01-02 13:00:00,2016-01-02 13:00:00,10.86
2016-01-02 14:00:00,2016-01-02 14:00:00,10.901
2016-01-02 15:00:00,2016-01-02 15:00:00,10.769
2016-01-02 16:00:00,2016-01-02 16:00:00,8.188
2016-01-02 17:00:00,2016-01-02 17:00:00,7.755
2016-01-02 18:00:00,2016-01-02 18:00:00,7.839
2016-01-02 19:00:00,2016-01-02 19:00:00,7.919
2016-01-02 20:00:00,2016-01-02 20:00:00,7.817
2016-01-02 21:00:00,2016-01-02 21:00:00,7.948
2016-01-02 22:00:00,2016-01-02 22:00:00,7.796
2016-01-02 23:00:00,2016-01-02 23:00:00,7.764
2016-01-03 00:00:00,2016-01-03 00:00:00,7.801
2016-01-03 01:00:00,2016-01-03 01:00:00,7.706
2016-01-03 02:00:00,2016-01-03 02:00:00,7.574
2016-01-03 03:00:00,2016-01-03 03:00:00,7.866
2016-01-03 04:00:00,2016-01-03 04:00:00,7.709
2016-01-03 05:00:00,2016-01-03 05:00:00,7.988
2016-01-03 06:00:00,2016-01-03 06:00:00,8.236
2016-01-03 07:00:00,2016-01-03 07:00:00,8.317
2016-01-03 08:00:00,2016-01-03 08:00:00,11.6
2016-01-03 09:00:00,2016-01-03 09:00:00,12.972
2016-01-03 10:00:00,2016-01-03 10:00:00,11.601
2016-01-03 11:00:00,2016-01-03 11:00:00,11.594
2016-01-03 12:00:00,2016-01-03 12:00:00,11.313
2016-01-03 13:00:00,2016-01-03 13:00:00,10.547
2016-01-03 14:00:00,2016-01-03 14:00:00,10.739
2016-01-03 15:00:00,2016-01-03 15:00:00,10.325
2016-01-03 16:00:00,2016-01-03 16:00:00,8.758
2016-01-03 17:00:00,2016-01-03 17:00:00,7.748
2016-01-03 18:00:00,2016-01-03 18:00:00,7.835
2016-01-03 19:00:00,2016-01-03 19:00:00,7.77
2016-01-03 20:00:00,2016-01-03 20:00:00,7.741
2016-01-03 21:00:00,2016-01-03 21:00:00,7.678
2016-01-03 22:00:00,2016-01-03 22:00:00,7.709
2016-01-03 23:00:00,2016-01-03 23:00:00,7.707
2016-01-04 00:00:00,2016-01-04 00:00:00,7.504
2016-01-04 01:00:00,2016-01-04 01:00:00,7.538
2016-01-04 02:00:00,2016-01-04 02:00:00,7.568
2016-01-04 03:00:00,2016-01-04 03:00:00,7.593
2016-01-04 04:00:00,2016-01-04 04:00:00,7.658
2016-01-04 05:00:00,2016-01-04 05:00:00,7.878
2016-01-04 06:00:00,2016-01-04 06:00:00,8.24
2016-01-04 07:00:00,2016-01-04 07:00:00,8.724
2016-01-04 08:00:00,2016-01-04 08:00:00,13.554
2016-01-04 09:00:00,2016-01-04 09:00:00,12.412
2016-01-04 10:00:00,2016-01-04 10:00:00,13.297
