timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,249.5308
2016-01-01 01:00:00,2016-01-01 01:00:00,252.8696
2016-01-01 02:00:00,2016-01-01 02:00:00,251.0474
2016-01-01 03:00:00,2016-01-01 03:00:00,252.8113
2016-01-01 04:00:00,2016-01-01 04:00:00,253.8113
2016-01-01 05:00:00,2016-01-01 05:00:00,248.2169
2016-01-01 06:00:00,2016-01-01 06:00:00,261.1863
2016-01-01 07:00:00,2016-01-01 07:00:00,262.553
2016-01-01 08:00:00,2016-01-01 08:00:00,260.4252
2016-01-01 09:00:00,2016-01-01 09:00:00,242.3085
2016-01-01 10:00:00,2016-01-01 10:00:00,236.8502
2016-01-01 11:00:00,2016-01-01 11:00:00,235.503
2016-01-01 12:00:00,2016-01-01 12:00:00,241.7724
2016-01-01 13:00:00,2016-01-01 13:00:00,232.778
2016-01-01 14:00:00,2016-01-01 14:00:00,235.6807
2016-01-01 15:00:00,2016-01-01 15:00:00,235.8002
2016-01-01 16:00:00,2016-01-01 16:00:00,237.4307
2016-01-01 17:00:00,2016-01-01 17:00:00,249.7252
2016-01-01 18:00:00,2016-01-01 18:00:00,261.728
2016-01-01 19:00:00,2016-01-01 19:00:00,261.1197
2016-01-01 20:00:00,2016-01-01 20:00:00,259.1974
2016-01-01 21:00:00,2016-01-01 21:00:00,255.928
2016-01-01 22:00:00,2016-01-01 22:00:00,260.0863
2016-01-01 23:00:00,2016-01-01 23:00:00,254.9946
2016-01-02 00:00:00,2016-01-02 00:00:00,260.5252
2016-01-02 01:00:00,2016-01-02 01:00:00,260.8308
2016-01-02 02:00:00,2016-01-02 02:00:00,259.9947
2016-01-02 03:00:00,2016-01-02 03:00:00,261.1085
2016-01-02 04:00:00,2016-01-02 04:00:00,261.2863
2016-01-02 05:00:00,2016-01-02 05:00:00,266.0113
2016-01-02 06:00:00,2016-01-02 06:00:00,268.0558
2016-01-02 07:00:00,2016-01-02 07:00:00,262.1919
2016-01-02 08:00:00,2016-01-02 08:00:00,260.8447
