timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,286.6363
2016-01-01 01:00:00,2016-01-01 01:00:00,283.8169
2016-01-01 02:00:00,2016-01-01 02:00:00,277.2586
2016-01-01 03:00:00,2016-01-01 03:00:00,284.0697
2016-01-01 04:00:00,2016-01-01 04:00:00,275.5447
2016-01-01 05:00:00,2016-01-01 05:00:00,287.3669
2016-01-01 06:00:00,2016-01-01 06:00:00,409.7503
2016-01-01 07:00:00,2016-01-01 07:00:00,471.2837
2016-01-01 08:00:00,2016-01-01 08:00:00,475.7226
2016-01-01 09:00:00,2016-01-01 09:00:00,473.9726
2016-01-01 10:00:00,2016-01-01 10:00:00,476.2782
2016-01-01 11:00:00,2016-01-01 11:00:00,478.2643
2016-01-01 12:00:00,2016-01-01 12:00:00,476.0087
2016-01-01 13:00:00,2016-01-01 13:00:00,475.5059
2016-01-01 14:00:00,2016-01-01 14:00:00,470.0532
2016-01-01 15:00:00,2016-01-01 15:00:00,463.7698
2016-01-01 16:00:00,2016-01-01 16:00:00,458.9531
2016-01-01 17:00:00,2016-01-01 17:00:00,457.1587
2016-01-01 18:00:00,2016-01-01 18:00:00,363.5392
2016-01-01 19:00:00,2016-01-01 19:00:00,304.8114
2016-01-01 20:00:00,2016-01-01 20:00:00,307.2114
2016-01-01 21:00:00,2016-01-01 21:00:00,329.9503
2016-01-01 22:00:00,2016-01-01 22:00:00,345.3419
2016-01-01 23:00:00,2016-01-01 23:00:00,301.328
2016-01-02 00:00:00,2016-01-02 00:00:00,292.1447
2016-01-02 01:00:00,2016-01-02 01:00:00,285.1502
2016-01-02 02:00:00,2016-01-02 02:00:00,282.703
2016-01-02 03:00:00,2016-01-02 03:00:00,286.2863
2016-01-02 04:00:00,2016-01-02 04:00:00,282.9474
2016-01-02 05:00:00,2016-01-02 05:00:00,285.5225
2016-01-02 06:00:00,2016-01-02 06:00:00,294.0641
2016-01-02 07:00:00,2016-01-02 07:00:00,304.4086
2016-01-02 08:00:00,2016-01-02 08:00:00,309.1086
2016-01-02 09:00:00,2016-01-02 09:00:00,304.9058
2016-01-02 10:00:00,2016-01-02 10:00:00,307.0614
2016-01-02 11:00:00,2016-01-02 11:00:00,303.6808
2016-01-02 12:00:00,2016-01-02 12:00:00,301.4447
2016-01-02 13:00:00,2016-01-02 13:00:00,305.778
2016-01-02 14:00:00,2016-01-02 14:00:00,304.6975
2016-01-02 15:00:00,2016-01-02 15:00:00,295.4058
2016-01-02 16:00:00,2016-01-02 16:00:00,291.8752
2016-01-02 17:00:00,2016-01-02 17:00:00,293.9863
2016-01-02 18:00:00,2016-01-02 18:00:00,284.2447
2016-01-02 19:00:00,2016-01-02 19:00:00,279.7169
