timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,282.9965
2016-01-01 01:00:00,2016-01-01 01:00:00,574.9265
2016-01-01 02:00:00,2016-01-01 02:00:00,570.278
2016-01-01 03:00:00,2016-01-01 03:00:00,561.147
2016-01-01 04:00:00,2016-01-01 04:00:00,564.3695
2016-01-01 05:00:00,2016-01-01 05:00:00,561.3225
2016-01-01 06:00:00,2016-01-01 06:00:00,556.044
2016-01-01 07:00:00,2016-01-01 07:00:00,596.2065
2016-01-01 08:00:00,2016-01-01 08:00:00,654.3635
2016-01-01 09:00:00,2016-01-01 09:00:00,670.897
2016-01-01 10:00:00,2016-01-01 10:00:00,686.0335
2016-01-01 11:00:00,2016-01-01 11:00:00,701.5365
2016-01-01 12:00:00,2016-01-01 12:00:00,696.8865
2016-01-01 13:00:00,2016-01-01 13:00:00,695.811
2016-01-01 14:00:00,2016-01-01 14:00:00,697.373
2016-01-01 15:00:00,2016-01-01 15:00:00,702.2495
2016-01-01 16:00:00,2016-01-01 16:00:00,689.7565
2016-01-01 17:00:00,2016-01-01 17:00:00,654.4835
2016-01-01 18:00:00,2016-01-01 18:00:00,629.5195
2016-01-01 19:00:00,2016-01-01 19:00:00,623.43
2016-01-01 20:00:00,2016-01-01 20:00:00,617.648
2016-01-01 21:00:00,2016-01-01 21:00:00,605.0515
2016-01-01 22:00:00,2016-01-01 22:00:00,580.0885
2016-01-01 23:00:00,2016-01-01 23:00:00,568.553
2016-01-02 00:00:00,2016-01-02 00:00:00,600.2
2016-01-02 01:00:00,2016-01-02 01:00:00,585.789
2016-01-02 02:00:00,2016-01-02 02:00:00,587.673
2016-01-02 03:00:00,2016-01-02 03:00:00,581.835
2016-01-02 04:00:00,2016-01-02 04:00:00,586.382
2016-01-02 05:00:00,2016-01-02 05:00:00,592.599
2016-01-02 06:00:00,2016-01-02 06:00:00,596.458
2016-01-02 07:00:00,2016-01-02 07:00:00,593.893
2016-01-02 08:00:00,2016-01-02 08:00:00,652.419
2016-01-02 09:00:00,2016-01-02 09:00:00,698.181
2016-01-02 10:00:00,2016-01-02 10:00:00,730.543
2016-01-02 11:00:00,2016-01-02 11:00:00,745.231
2016-01-02 12:00:00,2016-01-02 12:00:00,767.65
2016-01-02 13:00:00,2016-01-02 13:00:00,760.652
2016-01-02 14:00:00,2016-01-02 14:00:00,747.526
2016-01-02 15:00:00,2016-01-02 15:00:00,748.636
2016-01-02 16:00:00,2016-01-02 16:00:00,752.168
2016-01-02 17:00:00,2016-01-02 17:00:00,735.533
2016-01-02 18:00:00,2016-01-02 18:00:00,706.935
2016-01-02 19:00:00,2016-01-02 19:00:00,683.437
2016-01-02 20:00:00,2016-01-02 20:00:00,680.654
2016-01-02 21:00:00,2016-01-02 21:00:00,650.47
2016-01-02 22:00:00,2016-01-02 22:00:00,630.303
2016-01-02 23:00:00,2016-01-02 23:00:00,630.377
2016-01-03 00:00:00,2016-01-03 00:00:00,602.815
2016-01-03 01:00:00,2016-01-03 01:00:00,625.443
2016-01-03 02:00:00,2016-01-03 02:00:00,594.542
2016-01-03 03:00:00,2016-01-03 03:00:00,593.241
2016-01-03 04:00:00,2016-01-03 04:00:00,580.721
2016-01-03 05:00:00,2016-01-03 05:00:00,572.652
2016-01-03 06:00:00,2016-01-03 06:00:00,569.354
2016-01-03 07:00:00,2016-01-03 07:00:00,577.12
2016-01-03 08:00:00,2016-01-03 08:00:00,617.162
2016-01-03 09:00:00,2016-01-03 09:00:00,678.44
2016-01-03 10:00:00,2016-01-03 10:00:00,716.953
2016-01-03 11:00:00,2016-01-03 11:00:00,718.568
2016-01-03 12:00:00,2016-01-03 12:00:00,729.809
2016-01-03 13:00:00,2016-01-03 13:00:00,708.468
2016-01-03 14:00:00,2016-01-03 14:00:00,691.595
2016-01-03 15:00:00,2016-01-03 15:00:00,702.606
2016-01-03 16:00:00,2016-01-03 16:00:00,724.562
2016-01-03 17:00:00,2016-01-03 17:00:00,702.69
2016-01-03 18:00:00,2016-01-03 18:00:00,654.849
2016-01-03 19:00:00,2016-01-03 19:00:00,640.29
2016-01-03 20:00:00,2016-01-03 20:00:00,635.187
2016-01-03 21:00:00,2016-01-03 21:00:00,611.294
2016-01-03 22:00:00,2016-01-03 22:00:00,597.606
2016-01-03 23:00:00,2016-01-03 23:00:00,600.52
2016-01-04 00:00:00,2016-01-04 00:00:00,616.607
2016-01-04 01:00:00,2016-01-04 01:00:00,579.775
2016-01-04 02:00:00,2016-01-04 02:00:00,590.923
2016-01-04 03:00:00,2016-01-04 03:00:00,571.034
2016-01-04 04:00:00,2016-01-04 04:00:00,571.889
2016-01-04 05:00:00,2016-01-04 05:00:00,566.079
2016-01-04 06:00:00,2016-01-04 06:00:00,565.942
2016-01-04 07:00:00,2016-01-04 07:00:00,597.021
2016-01-04 08:00:00,2016-01-04 08:00:00,684.073
2016-01-04 09:00:00,2016-01-04 09:00:00,735.464
2016-01-04 10:00:00,2016-01-04 10:00:00,789.357
2016-01-04 11:00:00,2016-01-04 11:00:00,820.37
2016-01-04 12:00:00,2016-01-04 12:00:00,881.102
2016-01-04 13:00:00,2016-01-04 13:00:00,872.814
2016-01-04 14:00:00,2016-01-04 14:00:00,861.5
2016-01-04 15:00:00,2016-01-04 15:00:00,853.734
2016-01-04 16:00:00,2016-01-04 16:00:00,867.14
2016-01-04 17:00:00,2016-01-04 17:00:00,833.944
2016-01-04 18:00:00,2016-01-04 18:00:00,784.984
2016-01-04 19:00:00,2016-01-04 19:00:00,733.998
2016-01-04 20:00:00,2016-01-04 20:00:00,708.381
2016-01-04 21:00:00,2016-01-04 21:00:00,656.347
2016-01-04 22:00:00,2016-01-04 22:00:00,633.97
2016-01-04 23:00:00,2016-01-04 23:00:00,642.663
2016-01-05 00:00:00,2016-01-05 00:00:00,649.856
2016-01-05 01:00:00,2016-01-05 01:00:00,639.255
2016-01-05 02:00:00,2016-01-05 02:00:00,639.344
2016-01-05 03:00:00,2016-01-05 03:00:00,627.393
2016-01-05 04:00:00,2016-01-05 04:00:00,624.617
2016-01-05 05:00:00,2016-01-05 05:00:00,622.813
2016-01-05 06:00:00,2016-01-05 06:00:00,617.547
2016-01-05 07:00:00,2016-01-05 07:00:00,638.258
2016-01-05 08:00:00,2016-01-05 08:00:00,729.771
2016-01-05 09:00:00,2016-01-05 09:00:00,787.934
2016-01-05 10:00:00,2016-01-05 10:00:00,731.101
2016-01-05 11:00:00,2016-01-05 11:00:00,691.467
2016-01-05 12:00:00,2016-01-05 12:00:00,702.027
2016-01-05 13:00:00,2016-01-05 13:00:00,707.224
2016-01-05 14:00:00,2016-01-05 14:00:00,716.508
2016-01-05 15:00:00,2016-01-05 15:00:00,847.441
2016-01-05 16:00:00,2016-01-05 16:00:00,815.101
2016-01-05 17:00:00,2016-01-05 17:00:00,772.929
2016-01-05 18:00:00,2016-01-05 18:00:00,788.369
2016-01-05 19:00:00,2016-01-05 19:00:00,740.355
2016-01-05 20:00:00,2016-01-05 20:00:00,703.7
2016-01-05 21:00:00,2016-01-05 21:00:00,687.351
2016-01-05 22:00:00,2016-01-05 22:00:00,671.223
2016-01-05 23:00:00,2016-01-05 23:00:00,650.225
2016-01-06 00:00:00,2016-01-06 00:00:00,653.6618
2016-01-06 01:00:00,2016-01-06 01:00:00,663.3426
2016-01-06 02:00:00,2016-01-06 02:00:00,663.3426
2016-01-06 03:00:00,2016-01-06 03:00:00,663.3426
2016-01-06 04:00:00,2016-01-06 04:00:00,663.3426
2016-01-06 05:00:00,2016-01-06 05:00:00,663.3426
2016-01-06 06:00:00,2016-01-06 06:00:00,663.3426
2016-01-06 07:00:00,2016-01-06 07:00:00,663.3426
2016-01-06 08:00:00,2016-01-06 08:00:00,663.3426
2016-01-06 09:00:00,2016-01-06 09:00:00,663.3426
2016-01-06 10:00:00,2016-01-06 10:00:00,663.3426
2016-01-06 11:00:00,2016-01-06 11:00:00,663.3426
2016-01-06 12:00:00,2016-01-06 12:00:00,663.3426
2016-01-06 13:00:00,2016-01-06 13:00:00,663.3426
2016-01-06 14:00:00,2016-01-06 14:00:00,663.3426
2016-01-06 15:00:00,2016-01-06 15:00:00,663.3426
2016-01-06 16:00:00,2016-01-06 16:00:00,663.3426
2016-01-06 17:00:00,2016-01-06 17:00:00,663.3426
2016-01-06 18:00:00,2016-01-06 18:00:00,663.3426
2016-01-06 19:00:00,2016-01-06 19:00:00,663.3426
2016-01-06 20:00:00,2016-01-06 20:00:00,663.3426
2016-01-06 21:00:00,2016-01-06 21:00:00,663.3426
2016-01-06 22:00:00,2016-01-06 22:00:00,663.3426
2016-01-06 23:00:00,2016-01-06 23:00:00,663.3426
2016-01-07 00:00:00,2016-01-07 00:00:00,663.3426
2016-01-07 01:00:00,2016-01-07 01:00:00,663.3426
2016-01-07 02:00:00,2016-01-07 02:00:00,663.3426
2016-01-07 03:00:00,2016-01-07 03:00:00,663.3426
2016-01-07 04:00:00,2016-01-07 04:00:00,663.3426
2016-01-07 05:00:00,2016-01-07 05:00:00,663.3426
2016-01-07 06:00:00,2016-01-07 06:00:00,663.3426
2016-01-07 07:00:00,2016-01-07 07:00:00,663.3426
