timestamp,timestamp,meter_reading
2016-01-30 17:00:00,2016-01-30 17:00:00,1.4543
2016-01-31 05:00:00,2016-01-31 05:00:00,0.6461
2016-01-31 21:00:00,2016-01-31 21:00:00,1.7333
2016-02-20 13:00:00,2016-02-20 13:00:00,1.1552
2016-03-12 21:00:00,2016-03-12 21:00:00,0.9552
2016-03-13 02:00:00,2016-03-13 02:00:00,0.9552
2016-03-27 16:00:00,2016-03-27 16:00:00,2.0404
2016-05-01 19:00:00,2016-05-01 19:00:00,11.1367
2016-05-20 18:00:00,2016-05-20 18:00:00,3.8578
2016-05-20 19:00:00,2016-05-20 19:00:00,4.0178
2016-05-20 20:00:00,2016-05-20 20:00:00,3.6267
2016-05-20 21:00:00,2016-05-20 21:00:00,3.5557
2016-05-20 22:00:00,2016-05-20 22:00:00,3.2556
2016-05-20 23:00:00,2016-05-20 23:00:00,3.3126
2016-05-21 00:00:00,2016-05-21 00:00:00,3.0556
2016-05-21 01:00:00,2016-05-21 01:00:00,3.0826
2016-05-21 02:00:00,2016-05-21 02:00:00,3.1586
2016-05-21 03:00:00,2016-05-21 03:00:00,2.8145
2016-05-21 04:00:00,2016-05-21 04:00:00,2.7785
2016-05-21 05:00:00,2016-05-21 05:00:00,2.4885
2016-05-21 06:00:00,2016-05-21 06:00:00,2.6725
2016-05-21 07:00:00,2016-05-21 07:00:00,1.9924
2016-05-21 08:00:00,2016-05-21 08:00:00,3.0926
2016-05-21 09:00:00,2016-05-21 09:00:00,4.4559
2016-05-21 10:00:00,2016-05-21 10:00:00,6.1102
2016-05-21 11:00:00,2016-05-21 11:00:00,7.8935
2016-05-21 12:00:00,2016-05-21 12:00:00,9.3348
2016-05-21 13:00:00,2016-05-21 13:00:00,10.285
2016-05-21 14:00:00,2016-05-21 14:00:00,7.9705
2016-05-21 15:00:00,2016-05-21 15:00:00,9.9979
2016-05-21 16:00:00,2016-05-21 16:00:00,10.0479
2016-05-21 17:00:00,2016-05-21 17:00:00,10.7731
2016-05-21 18:00:00,2016-05-21 18:00:00,10.0979
2016-05-21 19:00:00,2016-05-21 19:00:00,8.6127
2016-05-21 20:00:00,2016-05-21 20:00:00,5.345
2016-05-21 21:00:00,2016-05-21 21:00:00,3.9628
2016-05-21 22:00:00,2016-05-21 22:00:00,3.7237
2016-05-21 23:00:00,2016-05-21 23:00:00,3.2766
2016-05-22 00:00:00,2016-05-22 00:00:00,2.8625
2016-05-22 01:00:00,2016-05-22 01:00:00,3.2346
2016-05-22 02:00:00,2016-05-22 02:00:00,2.8395
2016-05-22 03:00:00,2016-05-22 03:00:00,3.2456
2016-05-22 04:00:00,2016-05-22 04:00:00,2.7315
2016-05-22 05:00:00,2016-05-22 05:00:00,2.8075
2016-05-22 06:00:00,2016-05-22 06:00:00,2.6125
2016-05-22 07:00:00,2016-05-22 07:00:00,2.5355
2016-05-22 08:00:00,2016-05-22 08:00:00,3.1446
2016-05-22 09:00:00,2016-05-22 09:00:00,4.4049
2016-05-22 10:00:00,2016-05-22 10:00:00,5.4691
2016-05-22 11:00:00,2016-05-22 11:00:00,5.7851
2016-05-22 12:00:00,2016-05-22 12:00:00,6.1102
2016-05-22 13:00:00,2016-05-22 13:00:00,7.0684
2016-05-22 14:00:00,2016-05-22 14:00:00,5.9032
2016-05-22 15:00:00,2016-05-22 15:00:00,6.6153
2016-05-22 16:00:00,2016-05-22 16:00:00,6.2102
2016-05-22 17:00:00,2016-05-22 17:00:00,6.1342
2016-05-22 18:00:00,2016-05-22 18:00:00,5.5651
2016-05-22 19:00:00,2016-05-22 19:00:00,4.5469
2016-05-22 20:00:00,2016-05-22 20:00:00,4.1518
2016-05-22 21:00:00,2016-05-22 21:00:00,3.7547
2016-05-22 22:00:00,2016-05-22 22:00:00,3.8157
2016-05-22 23:00:00,2016-05-22 23:00:00,3.4317
2016-05-23 00:00:00,2016-05-23 00:00:00,3.2256
2016-05-23 01:00:00,2016-05-23 01:00:00,3.0386
2016-05-23 02:00:00,2016-05-23 02:00:00,2.7435
2016-05-23 03:00:00,2016-05-23 03:00:00,2.9326
2016-05-23 04:00:00,2016-05-23 04:00:00,2.6825
2016-05-23 05:00:00,2016-05-23 05:00:00,2.6395
2016-05-23 06:00:00,2016-05-23 06:00:00,2.5345
2016-05-23 07:00:00,2016-05-23 07:00:00,2.2264
2016-05-23 08:00:00,2016-05-23 08:00:00,2.8395
2016-05-23 09:00:00,2016-05-23 09:00:00,3.9337
2016-05-23 10:00:00,2016-05-23 10:00:00,4.4499
2016-05-23 11:00:00,2016-05-23 11:00:00,4.975
2016-05-23 12:00:00,2016-05-23 12:00:00,5.5201
2016-05-23 13:00:00,2016-05-23 13:00:00,5.7711
2016-05-23 14:00:00,2016-05-23 14:00:00,7.2274
2016-05-23 15:00:00,2016-05-23 15:00:00,7.2154
2016-05-23 16:00:00,2016-05-23 16:00:00,6.7393
2016-05-23 17:00:00,2016-05-23 17:00:00,8.4576
2016-05-23 18:00:00,2016-05-23 18:00:00,7.1784
