timestamp,timestamp,meter_reading
2016-01-01 01:00:00,2016-01-01 01:00:00,26.9592
2016-01-01 09:00:00,2016-01-01 09:00:00,24.9648
2016-01-02 01:00:00,2016-01-02 01:00:00,24.9648
2016-01-02 19:00:00,2016-01-02 19:00:00,30.966
2016-01-03 15:00:00,2016-01-03 15:00:00,0.5031
2016-01-10 11:00:00,2016-01-10 11:00:00,0.7061
2016-01-11 05:00:00,2016-01-11 05:00:00,0.7251
2016-01-11 07:00:00,2016-01-11 07:00:00,5.094
2016-01-11 17:00:00,2016-01-11 17:00:00,3.7907
2016-01-12 13:00:00,2016-01-12 13:00:00,3.5457
2016-01-12 17:00:00,2016-01-12 17:00:00,3.2486
2016-01-13 13:00:00,2016-01-13 13:00:00,3.5137
2016-01-13 19:00:00,2016-01-13 19:00:00,1.6493
2016-01-14 03:00:00,2016-01-14 03:00:00,0.8492
2016-01-15 03:00:00,2016-01-15 03:00:00,31.6861
2016-01-16 09:00:00,2016-01-16 09:00:00,34.0866
2016-01-17 07:00:00,2016-01-17 07:00:00,0.8122
2016-01-17 13:00:00,2016-01-17 13:00:00,0.7281
2016-01-17 19:00:00,2016-01-17 19:00:00,29.0456
2016-01-18 01:00:00,2016-01-18 01:00:00,0.6971
2016-01-18 17:00:00,2016-01-18 17:00:00,0.7862
2016-01-19 09:00:00,2016-01-19 09:00:00,3.6807
2016-01-20 01:00:00,2016-01-20 01:00:00,0.6831
2016-01-20 19:00:00,2016-01-20 19:00:00,0.8622
2016-01-21 01:00:00,2016-01-21 01:00:00,33.3664
2016-01-21 21:00:00,2016-01-21 21:00:00,0.8302
2016-01-22 03:00:00,2016-01-22 03:00:00,0.6991
2016-01-22 19:00:00,2016-01-22 19:00:00,35.5269
2016-01-23 01:00:00,2016-01-23 01:00:00,30.2458
2016-01-23 23:00:00,2016-01-23 23:00:00,0.8022
2016-01-24 03:00:00,2016-01-24 03:00:00,1.0202
2016-01-26 14:00:00,2016-01-26 14:00:00,3.9968
2016-01-26 23:00:00,2016-01-26 23:00:00,0.8512
2016-01-27 07:00:00,2016-01-27 07:00:00,3.5757
2016-01-27 15:00:00,2016-01-27 15:00:00,51.3699
2016-01-29 09:00:00,2016-01-29 09:00:00,3.9568
2016-01-30 06:00:00,2016-01-30 06:00:00,32.4063
2016-01-30 07:00:00,2016-01-30 07:00:00,30.7259
2016-01-30 13:00:00,2016-01-30 13:00:00,3.0686
2016-01-31 01:00:00,2016-01-31 01:00:00,25.2049
2016-01-31 09:00:00,2016-01-31 09:00:00,31.206
2016-02-01 05:00:00,2016-02-01 05:00:00,0.5351
2016-05-01 19:00:00,2016-05-01 19:00:00,328.5326
2016-05-20 18:00:00,2016-05-20 18:00:00,119.6781
2016-05-20 19:00:00,2016-05-20 19:00:00,146.3102
2016-05-20 20:00:00,2016-05-20 20:00:00,147.5345
2016-05-20 21:00:00,2016-05-20 21:00:00,143.2056
2016-05-20 22:00:00,2016-05-20 22:00:00,136.6874
2016-05-20 23:00:00,2016-05-20 23:00:00,139.3349
2016-05-21 00:00:00,2016-05-21 00:00:00,139.848
2016-05-21 01:00:00,2016-05-21 01:00:00,137.1575
2016-05-21 02:00:00,2016-05-21 02:00:00,138.0336
2016-05-21 03:00:00,2016-05-21 03:00:00,139.4349
2016-05-21 04:00:00,2016-05-21 04:00:00,137.1695
2016-05-21 05:00:00,2016-05-21 05:00:00,136.0353
2016-05-21 06:00:00,2016-05-21 06:00:00,135.2941
2016-05-21 07:00:00,2016-05-21 07:00:00,143.5397
2016-05-21 08:00:00,2016-05-21 08:00:00,144.1028
2016-05-21 09:00:00,2016-05-21 09:00:00,148.1276
2016-05-21 10:00:00,2016-05-21 10:00:00,152.4544
2016-05-21 11:00:00,2016-05-21 11:00:00,152.1024
2016-05-21 12:00:00,2016-05-21 12:00:00,150.458
2016-05-21 13:00:00,2016-05-21 13:00:00,152.3214
2016-05-21 14:00:00,2016-05-21 14:00:00,148.4236
2016-05-21 15:00:00,2016-05-21 15:00:00,146.1182
2016-05-21 16:00:00,2016-05-21 16:00:00,151.5683
2016-05-21 17:00:00,2016-05-21 17:00:00,156.7833
2016-05-21 18:00:00,2016-05-21 18:00:00,157.0043
2016-05-21 19:00:00,2016-05-21 19:00:00,153.1455
2016-05-21 20:00:00,2016-05-21 20:00:00,157.6714
2016-05-21 21:00:00,2016-05-21 21:00:00,151.6973
2016-05-21 22:00:00,2016-05-21 22:00:00,136.4823
2016-05-21 23:00:00,2016-05-21 23:00:00,133.7358
2016-05-22 00:00:00,2016-05-22 00:00:00,137.7516
2016-05-22 01:00:00,2016-05-22 01:00:00,136.5694
2016-05-22 02:00:00,2016-05-22 02:00:00,135.8642
2016-05-22 03:00:00,2016-05-22 03:00:00,135.8932
2016-05-22 04:00:00,2016-05-22 04:00:00,136.5073
2016-05-22 05:00:00,2016-05-22 05:00:00,134.825
2016-05-22 06:00:00,2016-05-22 06:00:00,134.9651
2016-05-22 07:00:00,2016-05-22 07:00:00,144.5739
2016-05-22 08:00:00,2016-05-22 08:00:00,148.5987
2016-05-22 09:00:00,2016-05-22 09:00:00,150.6011
2016-05-22 10:00:00,2016-05-22 10:00:00,151.3782
2016-05-22 11:00:00,2016-05-22 11:00:00,150.6251
2016-05-22 12:00:00,2016-05-22 12:00:00,153.0635
2016-05-22 13:00:00,2016-05-22 13:00:00,155.0529
2016-05-22 14:00:00,2016-05-22 14:00:00,152.0263
2016-05-22 15:00:00,2016-05-22 15:00:00,151.5422
2016-05-22 16:00:00,2016-05-22 16:00:00,155.317
2016-05-22 17:00:00,2016-05-22 17:00:00,156.3202
2016-05-22 18:00:00,2016-05-22 18:00:00,153.5476
2016-05-22 19:00:00,2016-05-22 19:00:00,149.3718
2016-05-22 20:00:00,2016-05-22 20:00:00,147.3164
2016-05-22 21:00:00,2016-05-22 21:00:00,137.9936
2016-05-22 22:00:00,2016-05-22 22:00:00,134.867
2016-05-22 23:00:00,2016-05-22 23:00:00,134.605
2016-05-23 00:00:00,2016-05-23 00:00:00,134.9
2016-05-23 01:00:00,2016-05-23 01:00:00,135.7352
2016-05-23 02:00:00,2016-05-23 02:00:00,136.9794
2016-05-23 03:00:00,2016-05-23 03:00:00,135.2581
2016-05-23 04:00:00,2016-05-23 04:00:00,134.795
2016-05-23 05:00:00,2016-05-23 05:00:00,133.4758
2016-05-23 06:00:00,2016-05-23 06:00:00,132.9867
2016-05-23 07:00:00,2016-05-23 07:00:00,151.9233
2016-05-23 08:00:00,2016-05-23 08:00:00,182.8633
2016-05-23 09:00:00,2016-05-23 09:00:00,186.877
2016-05-23 10:00:00,2016-05-23 10:00:00,185.1877
2016-05-23 11:00:00,2016-05-23 11:00:00,191.792
2016-05-23 12:00:00,2016-05-23 12:00:00,200.5377
2016-05-23 13:00:00,2016-05-23 13:00:00,198.5263
2016-05-23 14:00:00,2016-05-23 14:00:00,196.2739
2016-05-23 15:00:00,2016-05-23 15:00:00,198.3493
2016-05-23 16:00:00,2016-05-23 16:00:00,197.9062
2016-05-23 17:00:00,2016-05-23 17:00:00,180.5358
2016-05-23 18:00:00,2016-05-23 18:00:00,167.0372
2016-05-23 19:00:00,2016-05-23 19:00:00,142.6275
2016-05-23 20:00:00,2016-05-23 20:00:00,138.4847
2016-05-23 21:00:00,2016-05-23 21:00:00,131.1343
2016-05-23 22:00:00,2016-05-23 22:00:00,133.2427
2016-05-23 23:00:00,2016-05-23 23:00:00,128.7879
2016-05-24 00:00:00,2016-05-24 00:00:00,127.7206
2016-05-24 01:00:00,2016-05-24 01:00:00,127.9907
2016-05-24 02:00:00,2016-05-24 02:00:00,128.9679
2016-05-24 03:00:00,2016-05-24 03:00:00,129.1249
2016-05-24 04:00:00,2016-05-24 04:00:00,123.3688
2016-05-24 05:00:00,2016-05-24 05:00:00,120.3882
2016-05-24 06:00:00,2016-05-24 06:00:00,123.4718
2016-05-24 07:00:00,2016-05-24 07:00:00,141.6773
2016-05-24 08:00:00,2016-05-24 08:00:00,171.5681
2016-05-24 09:00:00,2016-05-24 09:00:00,183.6024
2016-05-24 10:00:00,2016-05-24 10:00:00,187.8693
