timestamp,timestamp,meter_reading
2016-05-01 19:00:00,2016-05-01 19:00:00,490.6009
2016-05-20 18:00:00,2016-05-20 18:00:00,219.1423
2016-05-20 19:00:00,2016-05-20 19:00:00,274.853
2016-05-20 20:00:00,2016-05-20 20:00:00,154.8299
2016-05-20 21:00:00,2016-05-20 21:00:00,287.0554
2016-05-20 22:00:00,2016-05-20 22:00:00,394.1761
2016-05-20 23:00:00,2016-05-20 23:00:00,337.4651
2016-05-21 00:00:00,2016-05-21 00:00:00,341.966
2016-05-21 01:00:00,2016-05-21 01:00:00,341.3659
2016-05-21 02:00:00,2016-05-21 02:00:00,345.5667
2016-05-21 03:00:00,2016-05-21 03:00:00,346.8669
2016-05-21 04:00:00,2016-05-21 04:00:00,291.7563
2016-05-21 05:00:00,2016-05-21 05:00:00,103.0199
2016-05-21 06:00:00,2016-05-21 06:00:00,109.4211
2016-05-21 07:00:00,2016-05-21 07:00:00,154.0297
2016-05-21 08:00:00,2016-05-21 08:00:00,157.1303
2016-05-21 09:00:00,2016-05-21 09:00:00,149.4288
2016-05-21 10:00:00,2016-05-21 10:00:00,139.927
2016-05-21 11:00:00,2016-05-21 11:00:00,138.6267
2016-05-21 12:00:00,2016-05-21 12:00:00,142.2274
2016-05-21 13:00:00,2016-05-21 13:00:00,138.5267
2016-05-21 14:00:00,2016-05-21 14:00:00,137.5265
2016-05-21 15:00:00,2016-05-21 15:00:00,133.4258
2016-05-21 16:00:00,2016-05-21 16:00:00,132.4255
2016-05-21 17:00:00,2016-05-21 17:00:00,133.2257
2016-05-21 18:00:00,2016-05-21 18:00:00,122.1236
2016-05-21 19:00:00,2016-05-21 19:00:00,141.3273
2016-05-21 20:00:00,2016-05-21 20:00:00,143.9278
2016-05-21 21:00:00,2016-05-21 21:00:00,158.2305
2016-05-21 22:00:00,2016-05-21 22:00:00,134.2259
2016-05-21 23:00:00,2016-05-21 23:00:00,103.1199
2016-05-22 00:00:00,2016-05-22 00:00:00,105.5204
2016-05-22 01:00:00,2016-05-22 01:00:00,105.8204
2016-05-22 02:00:00,2016-05-22 02:00:00,106.6206
2016-05-22 03:00:00,2016-05-22 03:00:00,103.72
2016-05-22 04:00:00,2016-05-22 04:00:00,104.9202
2016-05-22 05:00:00,2016-05-22 05:00:00,102.4198
2016-05-22 06:00:00,2016-05-22 06:00:00,108.821
2016-05-22 07:00:00,2016-05-22 07:00:00,149.1288
2016-05-22 08:00:00,2016-05-22 08:00:00,158.7306
2016-05-22 09:00:00,2016-05-22 09:00:00,150.8291
2016-05-22 10:00:00,2016-05-22 10:00:00,141.0272
2016-05-22 11:00:00,2016-05-22 11:00:00,144.7279
2016-05-22 12:00:00,2016-05-22 12:00:00,144.7279
2016-05-22 13:00:00,2016-05-22 13:00:00,134.3259
2016-05-22 14:00:00,2016-05-22 14:00:00,140.3271
2016-05-22 15:00:00,2016-05-22 15:00:00,139.1268
2016-05-22 16:00:00,2016-05-22 16:00:00,123.8239
2016-05-22 17:00:00,2016-05-22 17:00:00,133.5258
2016-05-22 18:00:00,2016-05-22 18:00:00,137.2265
2016-05-22 19:00:00,2016-05-22 19:00:00,127.7246
2016-05-22 20:00:00,2016-05-22 20:00:00,143.2276
2016-05-22 21:00:00,2016-05-22 21:00:00,153.0295
2016-05-22 22:00:00,2016-05-22 22:00:00,137.5265
2016-05-22 23:00:00,2016-05-22 23:00:00,103.2199
2016-05-23 00:00:00,2016-05-23 00:00:00,104.5202
2016-05-23 01:00:00,2016-05-23 01:00:00,102.9199
2016-05-23 02:00:00,2016-05-23 02:00:00,103.4199
2016-05-23 03:00:00,2016-05-23 03:00:00,102.3197
2016-05-23 04:00:00,2016-05-23 04:00:00,104.1201
2016-05-23 05:00:00,2016-05-23 05:00:00,104.3201
2016-05-23 06:00:00,2016-05-23 06:00:00,110.8214
2016-05-23 07:00:00,2016-05-23 07:00:00,156.7302
2016-05-23 08:00:00,2016-05-23 08:00:00,155.2299
2016-05-23 09:00:00,2016-05-23 09:00:00,153.0295
2016-05-23 10:00:00,2016-05-23 10:00:00,164.7318
2016-05-23 11:00:00,2016-05-23 11:00:00,187.7362
2016-05-23 12:00:00,2016-05-23 12:00:00,371.9718
2016-05-23 13:00:00,2016-05-23 13:00:00,359.6694
2016-05-23 14:00:00,2016-05-23 14:00:00,383.574
2016-05-23 15:00:00,2016-05-23 15:00:00,394.9762
2016-05-23 16:00:00,2016-05-23 16:00:00,368.5711
2016-05-23 17:00:00,2016-05-23 17:00:00,350.1676
2016-05-23 18:00:00,2016-05-23 18:00:00,323.4624
2016-05-23 19:00:00,2016-05-23 19:00:00,311.16
2016-05-23 20:00:00,2016-05-23 20:00:00,143.7277
2016-05-23 21:00:00,2016-05-23 21:00:00,279.1539
2016-05-23 22:00:00,2016-05-23 22:00:00,383.9741
2016-05-23 23:00:00,2016-05-23 23:00:00,342.166
2016-05-24 00:00:00,2016-05-24 00:00:00,342.166
2016-05-24 01:00:00,2016-05-24 01:00:00,341.966
2016-05-24 02:00:00,2016-05-24 02:00:00,342.6661
2016-05-24 03:00:00,2016-05-24 03:00:00,341.1658
2016-05-24 04:00:00,2016-05-24 04:00:00,181.535
2016-05-24 05:00:00,2016-05-24 05:00:00,100.1193
2016-05-24 06:00:00,2016-05-24 06:00:00,107.3207
2016-05-24 07:00:00,2016-05-24 07:00:00,145.5281
2016-05-24 08:00:00,2016-05-24 08:00:00,149.7289
2016-05-24 09:00:00,2016-05-24 09:00:00,154.5298
2016-05-24 10:00:00,2016-05-24 10:00:00,145.228
2016-05-24 11:00:00,2016-05-24 11:00:00,175.0338
2016-05-24 12:00:00,2016-05-24 12:00:00,366.1707
