timestamp,timestamp,meter_reading
2016-01-07 16:00:00,2016-01-07 16:00:00,84.6163
2016-01-07 21:00:00,2016-01-07 21:00:00,84.6163
2016-04-26 09:00:00,2016-04-26 09:00:00,80.6156
2016-05-23 17:00:00,2016-05-23 17:00:00,48.7094
2016-05-23 21:00:00,2016-05-23 21:00:00,48.7094
2016-06-02 16:00:00,2016-06-02 16:00:00,48.2093
2016-06-02 17:00:00,2016-06-02 17:00:00,16.3032
2016-06-03 14:00:00,2016-06-03 14:00:00,48.5094
2016-06-03 15:00:00,2016-06-03 15:00:00,16.1031
2016-06-13 09:00:00,2016-06-13 09:00:00,32.7063
2016-06-13 10:00:00,2016-06-13 10:00:00,31.006
2016-06-14 23:00:00,2016-06-14 23:00:00,22.2043
2016-06-15 00:00:00,2016-06-15 00:00:00,10.8021
2016-06-16 10:00:00,2016-06-16 10:00:00,14.5028
2016-06-16 11:00:00,2016-06-16 11:00:00,45.1087
2016-06-17 15:00:00,2016-06-17 15:00:00,31.4061
2016-06-17 16:00:00,2016-06-17 16:00:00,30.6059
2016-06-17 20:00:00,2016-06-17 20:00:00,15.403
2016-07-17 21:00:00,2016-07-17 21:00:00,44.4086
2016-07-17 22:00:00,2016-07-17 22:00:00,15.703
2016-07-18 19:00:00,2016-07-18 19:00:00,44.6086
2016-07-18 20:00:00,2016-07-18 20:00:00,16.1031
2016-07-26 10:00:00,2016-07-26 10:00:00,14.7028
2016-07-26 11:00:00,2016-07-26 11:00:00,60.9118
2016-07-26 12:00:00,2016-07-26 12:00:00,47.6092
2016-08-10 00:00:00,2016-08-10 00:00:00,133.4258
2016-08-10 01:00:00,2016-08-10 01:00:00,120.2232
2016-08-10 02:00:00,2016-08-10 02:00:00,107.6208
2016-08-10 03:00:00,2016-08-10 03:00:00,109.9212
2016-08-10 04:00:00,2016-08-10 04:00:00,110.4213
2016-08-10 05:00:00,2016-08-10 05:00:00,109.7212
2016-08-10 06:00:00,2016-08-10 06:00:00,121.3234
2016-08-10 07:00:00,2016-08-10 07:00:00,132.2255
2016-08-10 08:00:00,2016-08-10 08:00:00,156.5302
2016-08-10 09:00:00,2016-08-10 09:00:00,205.8397
2016-08-10 10:00:00,2016-08-10 10:00:00,248.1479
2016-08-10 11:00:00,2016-08-10 11:00:00,270.2521
2016-08-10 12:00:00,2016-08-10 12:00:00,277.3535
2016-08-10 13:00:00,2016-08-10 13:00:00,286.0552
2016-08-10 14:00:00,2016-08-10 14:00:00,290.256
2016-08-10 15:00:00,2016-08-10 15:00:00,295.357
2016-08-10 16:00:00,2016-08-10 16:00:00,304.1587
2016-08-10 17:00:00,2016-08-10 17:00:00,298.9577
2016-08-10 18:00:00,2016-08-10 18:00:00,310.96
2016-08-10 19:00:00,2016-08-10 19:00:00,292.0564
2016-08-10 20:00:00,2016-08-10 20:00:00,308.5595
2016-08-10 21:00:00,2016-08-10 21:00:00,308.8596
2016-08-10 22:00:00,2016-08-10 22:00:00,274.9531
2016-08-10 23:00:00,2016-08-10 23:00:00,216.0417
2016-08-11 00:00:00,2016-08-11 00:00:00,188.7364
2016-08-11 01:00:00,2016-08-11 01:00:00,174.6337
2016-08-11 02:00:00,2016-08-11 02:00:00,154.9299
2016-08-11 03:00:00,2016-08-11 03:00:00,152.7295
2016-08-11 04:00:00,2016-08-11 04:00:00,154.1297
2016-08-11 05:00:00,2016-08-11 05:00:00,154.0297
2016-08-11 06:00:00,2016-08-11 06:00:00,213.8413
2016-08-11 07:00:00,2016-08-11 07:00:00,280.8542
2016-08-11 08:00:00,2016-08-11 08:00:00,291.6563
2016-08-11 09:00:00,2016-08-11 09:00:00,296.9573
2016-08-11 10:00:00,2016-08-11 10:00:00,299.3578
2016-08-11 11:00:00,2016-08-11 11:00:00,290.456
2016-08-11 12:00:00,2016-08-11 12:00:00,282.9546
2016-08-11 13:00:00,2016-08-11 13:00:00,309.9598
2016-08-11 14:00:00,2016-08-11 14:00:00,311.9602
2016-08-11 15:00:00,2016-08-11 15:00:00,305.3589
2016-08-11 16:00:00,2016-08-11 16:00:00,308.2595
2016-08-11 17:00:00,2016-08-11 17:00:00,300.858
2016-08-11 18:00:00,2016-08-11 18:00:00,307.2593
2016-08-11 19:00:00,2016-08-11 19:00:00,303.0585
2016-08-11 20:00:00,2016-08-11 20:00:00,324.1626
2016-08-11 21:00:00,2016-08-11 21:00:00,309.8598
2016-08-11 22:00:00,2016-08-11 22:00:00,289.9559
2016-08-11 23:00:00,2016-08-11 23:00:00,226.4437
2016-08-12 00:00:00,2016-08-12 00:00:00,198.6383
2016-08-12 01:00:00,2016-08-12 01:00:00,183.1353
2016-08-12 02:00:00,2016-08-12 02:00:00,164.6318
2016-08-12 03:00:00,2016-08-12 03:00:00,165.6319
2016-08-12 04:00:00,2016-08-12 04:00:00,165.532
2016-08-12 05:00:00,2016-08-12 05:00:00,160.431
2016-08-12 06:00:00,2016-08-12 06:00:00,228.5441
2016-08-12 07:00:00,2016-08-12 07:00:00,306.5592
2016-08-12 08:00:00,2016-08-12 08:00:00,328.9635
2016-08-12 09:00:00,2016-08-12 09:00:00,313.9606
2016-08-12 10:00:00,2016-08-12 10:00:00,310.0598
2016-08-12 11:00:00,2016-08-12 11:00:00,304.7588
2016-08-12 12:00:00,2016-08-12 12:00:00,310.1599
2016-08-12 13:00:00,2016-08-12 13:00:00,306.2591
2016-08-12 14:00:00,2016-08-12 14:00:00,306.9592
2016-08-12 15:00:00,2016-08-12 15:00:00,310.5599
2016-08-12 16:00:00,2016-08-12 16:00:00,303.7586
2016-08-12 17:00:00,2016-08-12 17:00:00,301.7582
2016-08-12 18:00:00,2016-08-12 18:00:00,311.7602
2016-08-12 19:00:00,2016-08-12 19:00:00,323.9625
2016-08-12 20:00:00,2016-08-12 20:00:00,325.6628
2016-08-12 21:00:00,2016-08-12 21:00:00,315.4609
2016-08-12 22:00:00,2016-08-12 22:00:00,310.5599
2016-08-12 23:00:00,2016-08-12 23:00:00,227.2439
2016-08-13 00:00:00,2016-08-13 00:00:00,197.4381
2016-08-13 01:00:00,2016-08-13 01:00:00,181.9351
2016-08-13 02:00:00,2016-08-13 02:00:00,160.9311
2016-08-13 03:00:00,2016-08-13 03:00:00,159.4308
2016-08-13 04:00:00,2016-08-13 04:00:00,160.831
2016-08-13 05:00:00,2016-08-13 05:00:00,158.9307
2016-08-13 06:00:00,2016-08-13 06:00:00,225.2435
2016-08-13 07:00:00,2016-08-13 07:00:00,312.0602
2016-08-13 08:00:00,2016-08-13 08:00:00,306.7592
2016-08-13 09:00:00,2016-08-13 09:00:00,283.4547
2016-08-13 10:00:00,2016-08-13 10:00:00,278.6538
2016-08-13 11:00:00,2016-08-13 11:00:00,272.6526
2016-08-13 12:00:00,2016-08-13 12:00:00,260.4503
2016-08-13 13:00:00,2016-08-13 13:00:00,273.6528
2016-08-13 14:00:00,2016-08-13 14:00:00,279.0539
2016-08-13 15:00:00,2016-08-13 15:00:00,274.9531
2016-08-13 16:00:00,2016-08-13 16:00:00,277.4535
2016-08-13 17:00:00,2016-08-13 17:00:00,285.3551
2016-08-13 18:00:00,2016-08-13 18:00:00,290.5561
2016-08-13 19:00:00,2016-08-13 19:00:00,300.658
2016-08-13 20:00:00,2016-08-13 20:00:00,323.1624
2016-08-13 21:00:00,2016-08-13 21:00:00,316.3611
2016-08-13 22:00:00,2016-08-13 22:00:00,297.4574
2016-08-13 23:00:00,2016-08-13 23:00:00,220.9426
2016-08-14 00:00:00,2016-08-14 00:00:00,192.4371
2016-08-14 01:00:00,2016-08-14 01:00:00,176.9341
2016-08-14 02:00:00,2016-08-14 02:00:00,155.53
2016-08-14 03:00:00,2016-08-14 03:00:00,157.9305
2016-08-14 04:00:00,2016-08-14 04:00:00,155.9301
2016-08-14 05:00:00,2016-08-14 05:00:00,157.1303
2016-08-14 06:00:00,2016-08-14 06:00:00,217.742
2016-08-14 07:00:00,2016-08-14 07:00:00,307.2593
2016-08-14 08:00:00,2016-08-14 08:00:00,300.358
2016-08-14 09:00:00,2016-08-14 09:00:00,311.26
2016-08-14 10:00:00,2016-08-14 10:00:00,303.9586
2016-08-14 11:00:00,2016-08-14 11:00:00,284.3549
2016-08-14 12:00:00,2016-08-14 12:00:00,289.0558
2016-08-14 13:00:00,2016-08-14 13:00:00,269.9521
2016-08-14 14:00:00,2016-08-14 14:00:00,280.4541
