timestamp,timestamp,meter_reading
2016-05-01 19:00:00,2016-05-01 19:00:00,307.4315
2016-05-20 18:00:00,2016-05-20 18:00:00,100.5884
2016-05-20 19:00:00,2016-05-20 19:00:00,132.6356
2016-05-20 20:00:00,2016-05-20 20:00:00,139.833
2016-05-20 21:00:00,2016-05-20 21:00:00,146.4883
2016-05-20 22:00:00,2016-05-20 22:00:00,138.4697
2016-05-20 23:00:00,2016-05-20 23:00:00,100.4704
2016-05-21 00:00:00,2016-05-21 00:00:00,98.732
2016-05-21 01:00:00,2016-05-21 01:00:00,95.6785
2016-05-21 02:00:00,2016-05-21 02:00:00,95.2524
2016-05-21 03:00:00,2016-05-21 03:00:00,96.6247
2016-05-21 04:00:00,2016-05-21 04:00:00,94.2942
2016-05-21 05:00:00,2016-05-21 05:00:00,111.9706
2016-05-21 06:00:00,2016-05-21 06:00:00,141.3393
2016-05-21 07:00:00,2016-05-21 07:00:00,139.76
2016-05-21 08:00:00,2016-05-21 08:00:00,129.0909
2016-05-21 09:00:00,2016-05-21 09:00:00,131.4964
2016-05-21 10:00:00,2016-05-21 10:00:00,140.9902
2016-05-21 11:00:00,2016-05-21 11:00:00,142.6785
2016-05-21 12:00:00,2016-05-21 12:00:00,143.7027
2016-05-21 13:00:00,2016-05-21 13:00:00,147.3954
2016-05-21 14:00:00,2016-05-21 14:00:00,133.8038
2016-05-21 15:00:00,2016-05-21 15:00:00,146.6023
2016-05-21 16:00:00,2016-05-21 16:00:00,139.2809
2016-05-21 17:00:00,2016-05-21 17:00:00,138.5707
2016-05-21 18:00:00,2016-05-21 18:00:00,137.2185
2016-05-21 19:00:00,2016-05-21 19:00:00,138.9228
2016-05-21 20:00:00,2016-05-21 20:00:00,141.0122
2016-05-21 21:00:00,2016-05-21 21:00:00,151.0201
2016-05-21 22:00:00,2016-05-21 22:00:00,142.1514
2016-05-21 23:00:00,2016-05-21 23:00:00,98.335
2016-05-22 00:00:00,2016-05-22 00:00:00,99.8833
2016-05-22 01:00:00,2016-05-22 01:00:00,97.4878
2016-05-22 02:00:00,2016-05-22 02:00:00,95.3794
2016-05-22 03:00:00,2016-05-22 03:00:00,99.9083
2016-05-22 04:00:00,2016-05-22 04:00:00,96.7817
2016-05-22 05:00:00,2016-05-22 05:00:00,117.2226
2016-05-22 06:00:00,2016-05-22 06:00:00,140.9942
2016-05-22 07:00:00,2016-05-22 07:00:00,134.699
2016-05-22 08:00:00,2016-05-22 08:00:00,131.3103
2016-05-22 09:00:00,2016-05-22 09:00:00,140.2961
2016-05-22 10:00:00,2016-05-22 10:00:00,143.0976
2016-05-22 11:00:00,2016-05-22 11:00:00,139.711
2016-05-22 12:00:00,2016-05-22 12:00:00,143.5337
2016-05-22 13:00:00,2016-05-22 13:00:00,144.2768
2016-05-22 14:00:00,2016-05-22 14:00:00,136.7114
2016-05-22 15:00:00,2016-05-22 15:00:00,144.6229
2016-05-22 16:00:00,2016-05-22 16:00:00,138.4897
2016-05-22 17:00:00,2016-05-22 17:00:00,139.2499
2016-05-22 18:00:00,2016-05-22 18:00:00,145.7971
2016-05-22 19:00:00,2016-05-22 19:00:00,136.9134
2016-05-22 20:00:00,2016-05-22 20:00:00,145.19
2016-05-22 21:00:00,2016-05-22 21:00:00,148.4386
2016-05-22 22:00:00,2016-05-22 22:00:00,150.402
2016-05-22 23:00:00,2016-05-22 23:00:00,105.8704
2016-05-23 00:00:00,2016-05-23 00:00:00,104.1541
2016-05-23 01:00:00,2016-05-23 01:00:00,100.9905
2016-05-23 02:00:00,2016-05-23 02:00:00,98.0309
2016-05-23 03:00:00,2016-05-23 03:00:00,99.9633
2016-05-23 04:00:00,2016-05-23 04:00:00,98.8921
2016-05-23 05:00:00,2016-05-23 05:00:00,117.8577
2016-05-23 06:00:00,2016-05-23 06:00:00,141.8044
2016-05-23 07:00:00,2016-05-23 07:00:00,149.2108
2016-05-23 08:00:00,2016-05-23 08:00:00,148.3126
2016-05-23 09:00:00,2016-05-23 09:00:00,168.3475
2016-05-23 10:00:00,2016-05-23 10:00:00,182.5852
2016-05-23 11:00:00,2016-05-23 11:00:00,177.8853
2016-05-23 12:00:00,2016-05-23 12:00:00,180.1388
2016-05-23 13:00:00,2016-05-23 13:00:00,172.9384
2016-05-23 14:00:00,2016-05-23 14:00:00,175.3148
2016-05-23 15:00:00,2016-05-23 15:00:00,170.1708
2016-05-23 16:00:00,2016-05-23 16:00:00,175.4058
2016-05-23 17:00:00,2016-05-23 17:00:00,148.1716
2016-05-23 18:00:00,2016-05-23 18:00:00,139.0318
2016-05-23 19:00:00,2016-05-23 19:00:00,141.6493
2016-05-23 20:00:00,2016-05-23 20:00:00,142.3575
2016-05-23 21:00:00,2016-05-23 21:00:00,154.5148
2016-05-23 22:00:00,2016-05-23 22:00:00,140.142
2016-05-23 23:00:00,2016-05-23 23:00:00,107.5878
2016-05-24 00:00:00,2016-05-24 00:00:00,103.726
2016-05-24 01:00:00,2016-05-24 01:00:00,103.498
2016-05-24 02:00:00,2016-05-24 02:00:00,100.4364
2016-05-24 03:00:00,2016-05-24 03:00:00,101.0595
2016-05-24 04:00:00,2016-05-24 04:00:00,104.2611
2016-05-24 05:00:00,2016-05-24 05:00:00,119.4861
2016-05-24 06:00:00,2016-05-24 06:00:00,142.2124
2016-05-24 07:00:00,2016-05-24 07:00:00,159.3288
2016-05-24 08:00:00,2016-05-24 08:00:00,167.9384
2016-05-24 09:00:00,2016-05-24 09:00:00,176.087
2016-05-24 10:00:00,2016-05-24 10:00:00,187.1761
2016-05-24 11:00:00,2016-05-24 11:00:00,186.8551
2016-05-24 12:00:00,2016-05-24 12:00:00,196.638
2016-05-24 13:00:00,2016-05-24 13:00:00,190.5058
2016-05-24 14:00:00,2016-05-24 14:00:00,191.0739
2016-05-24 15:00:00,2016-05-24 15:00:00,182.7203
2016-05-24 16:00:00,2016-05-24 16:00:00,172.1892
2016-05-24 17:00:00,2016-05-24 17:00:00,151.4772
2016-05-24 18:00:00,2016-05-24 18:00:00,138.4357
2016-05-24 19:00:00,2016-05-24 19:00:00,137.2725
2016-05-24 20:00:00,2016-05-24 20:00:00,136.3643
2016-05-24 21:00:00,2016-05-24 21:00:00,149.9659
2016-05-24 22:00:00,2016-05-24 22:00:00,135.2631
2016-05-24 23:00:00,2016-05-24 23:00:00,99.8373
2016-05-25 00:00:00,2016-05-25 00:00:00,101.5046
2016-05-25 01:00:00,2016-05-25 01:00:00,100.0313
2016-05-25 02:00:00,2016-05-25 02:00:00,101.4946
2016-05-25 03:00:00,2016-05-25 03:00:00,99.6222
2016-05-25 04:00:00,2016-05-25 04:00:00,100.7094
2016-05-25 05:00:00,2016-05-25 05:00:00,112.4817
2016-05-25 06:00:00,2016-05-25 06:00:00,143.2416
2016-05-25 07:00:00,2016-05-25 07:00:00,153.8257
2016-05-25 08:00:00,2016-05-25 08:00:00,163.4255
2016-05-25 09:00:00,2016-05-25 09:00:00,174.7827
2016-05-25 10:00:00,2016-05-25 10:00:00,186.1029
2016-05-25 11:00:00,2016-05-25 11:00:00,179.1176
2016-05-25 12:00:00,2016-05-25 12:00:00,177.5523
2016-05-25 13:00:00,2016-05-25 13:00:00,180.1488
2016-05-25 14:00:00,2016-05-25 14:00:00,175.3018
2016-05-25 15:00:00,2016-05-25 15:00:00,174.0646
2016-05-25 16:00:00,2016-05-25 16:00:00,166.016
2016-05-25 17:00:00,2016-05-25 17:00:00,146.9403
2016-05-25 18:00:00,2016-05-25 18:00:00,131.1303
2016-05-25 19:00:00,2016-05-25 19:00:00,136.4373
2016-05-25 20:00:00,2016-05-25 20:00:00,138.7038
2016-05-25 21:00:00,2016-05-25 21:00:00,152.9985
2016-05-25 22:00:00,2016-05-25 22:00:00,128.2788
2016-05-25 23:00:00,2016-05-25 23:00:00,94.8203
2016-05-26 00:00:00,2016-05-26 00:00:00,93.439
2016-05-26 01:00:00,2016-05-26 01:00:00,94.5092
2016-05-26 02:00:00,2016-05-26 02:00:00,91.5927
2016-05-26 03:00:00,2016-05-26 03:00:00,91.1786
2016-05-26 04:00:00,2016-05-26 04:00:00,91.4357
2016-05-26 05:00:00,2016-05-26 05:00:00,100.0243
2016-05-26 06:00:00,2016-05-26 06:00:00,133.9759
2016-05-26 07:00:00,2016-05-26 07:00:00,152.7455
2016-05-26 08:00:00,2016-05-26 08:00:00,174.5547
2016-05-26 09:00:00,2016-05-26 09:00:00,191.489
2016-05-26 10:00:00,2016-05-26 10:00:00,211.1247
2016-05-26 11:00:00,2016-05-26 11:00:00,204.5025
2016-05-26 12:00:00,2016-05-26 12:00:00,200.7928
2016-05-26 13:00:00,2016-05-26 13:00:00,191.1779
2016-05-26 14:00:00,2016-05-26 14:00:00,195.0716
2016-05-26 15:00:00,2016-05-26 15:00:00,189.1505
2016-05-26 16:00:00,2016-05-26 16:00:00,180.6999
2016-05-26 17:00:00,2016-05-26 17:00:00,157.1573
2016-05-26 18:00:00,2016-05-26 18:00:00,152.7975
2016-05-26 19:00:00,2016-05-26 19:00:00,149.1048
2016-05-26 20:00:00,2016-05-26 20:00:00,140.3671
2016-05-26 21:00:00,2016-05-26 21:00:00,147.4465
2016-05-26 22:00:00,2016-05-26 22:00:00,142.1884
2016-05-26 23:00:00,2016-05-26 23:00:00,110.7474
2016-05-27 00:00:00,2016-05-27 00:00:00,101.5526
2016-05-27 01:00:00,2016-05-27 01:00:00,100.7345
2016-05-27 02:00:00,2016-05-27 02:00:00,99.0391
2016-05-27 03:00:00,2016-05-27 03:00:00,99.9543
2016-05-27 04:00:00,2016-05-27 04:00:00,99.0081
2016-05-27 05:00:00,2016-05-27 05:00:00,120.5673
2016-05-27 06:00:00,2016-05-27 06:00:00,141.9294
2016-05-27 07:00:00,2016-05-27 07:00:00,149.4899
2016-05-27 08:00:00,2016-05-27 08:00:00,147.5355
2016-05-27 09:00:00,2016-05-27 09:00:00,165.5209
2016-05-27 10:00:00,2016-05-27 10:00:00,161.2391
2016-05-27 11:00:00,2016-05-27 11:00:00,167.5543
2016-05-27 12:00:00,2016-05-27 12:00:00,161.2121
2016-05-27 13:00:00,2016-05-27 13:00:00,164.6538
2016-05-27 14:00:00,2016-05-27 14:00:00,163.0915
2016-05-27 15:00:00,2016-05-27 15:00:00,145.196
2016-05-27 16:00:00,2016-05-27 16:00:00,157.5964
2016-05-27 17:00:00,2016-05-27 17:00:00,135.9282
2016-05-27 18:00:00,2016-05-27 18:00:00,138.0146
2016-05-27 19:00:00,2016-05-27 19:00:00,135.0931
2016-05-27 20:00:00,2016-05-27 20:00:00,142.9116
2016-05-27 21:00:00,2016-05-27 21:00:00,146.4563
2016-05-27 22:00:00,2016-05-27 22:00:00,149.6059
2016-05-27 23:00:00,2016-05-27 23:00:00,105.8074
2016-05-28 00:00:00,2016-05-28 00:00:00,100.3113
2016-05-28 01:00:00,2016-05-28 01:00:00,100.1053
2016-05-28 02:00:00,2016-05-28 02:00:00,99.6042
2016-05-28 03:00:00,2016-05-28 03:00:00,102.5888
2016-05-28 04:00:00,2016-05-28 04:00:00,101.3396
2016-05-28 05:00:00,2016-05-28 05:00:00,117.4306
2016-05-28 06:00:00,2016-05-28 06:00:00,144.85
2016-05-28 07:00:00,2016-05-28 07:00:00,143.6827
2016-05-28 08:00:00,2016-05-28 08:00:00,131.7444
2016-05-28 09:00:00,2016-05-28 09:00:00,134.605
2016-05-28 10:00:00,2016-05-28 10:00:00,146.3872
2016-05-28 11:00:00,2016-05-28 11:00:00,137.3905
2016-05-28 12:00:00,2016-05-28 12:00:00,145.4341
2016-05-28 13:00:00,2016-05-28 13:00:00,137.0334
2016-05-28 14:00:00,2016-05-28 14:00:00,140.3991
2016-05-28 15:00:00,2016-05-28 15:00:00,136.4333
2016-05-28 16:00:00,2016-05-28 16:00:00,134.2709
2016-05-28 17:00:00,2016-05-28 17:00:00,138.9128
2016-05-28 18:00:00,2016-05-28 18:00:00,132.8516
2016-05-28 19:00:00,2016-05-28 19:00:00,144.5389
2016-05-28 20:00:00,2016-05-28 20:00:00,134.763
2016-05-28 21:00:00,2016-05-28 21:00:00,153.7166
2016-05-28 22:00:00,2016-05-28 22:00:00,137.7066
2016-05-28 23:00:00,2016-05-28 23:00:00,101.0315
2016-05-29 00:00:00,2016-05-29 00:00:00,103.694
2016-05-29 01:00:00,2016-05-29 01:00:00,99.1901
2016-05-29 02:00:00,2016-05-29 02:00:00,99.3132
2016-05-29 03:00:00,2016-05-29 03:00:00,101.6086
2016-05-29 04:00:00,2016-05-29 04:00:00,98.693
2016-05-29 05:00:00,2016-05-29 05:00:00,123.2698
2016-05-29 06:00:00,2016-05-29 06:00:00,143.5427
2016-05-29 07:00:00,2016-05-29 07:00:00,138.2957
2016-05-29 08:00:00,2016-05-29 08:00:00,134.679
2016-05-29 09:00:00,2016-05-29 09:00:00,142.2635
2016-05-29 10:00:00,2016-05-29 10:00:00,135.7672
2016-05-29 11:00:00,2016-05-29 11:00:00,134.758
2016-05-29 12:00:00,2016-05-29 12:00:00,148.7967
2016-05-29 13:00:00,2016-05-29 13:00:00,131.5644
2016-05-29 14:00:00,2016-05-29 14:00:00,137.3725
2016-05-29 15:00:00,2016-05-29 15:00:00,144.2228
2016-05-29 16:00:00,2016-05-29 16:00:00,134.86
2016-05-29 17:00:00,2016-05-29 17:00:00,140.9582
2016-05-29 18:00:00,2016-05-29 18:00:00,133.3527
2016-05-29 19:00:00,2016-05-29 19:00:00,138.3247
2016-05-29 20:00:00,2016-05-29 20:00:00,147.2904
2016-05-29 21:00:00,2016-05-29 21:00:00,147.2494
2016-05-29 22:00:00,2016-05-29 22:00:00,149.6919
2016-05-29 23:00:00,2016-05-29 23:00:00,104.4232
2016-05-30 00:00:00,2016-05-30 00:00:00,104.8913
2016-05-30 01:00:00,2016-05-30 01:00:00,101.4746
2016-05-30 02:00:00,2016-05-30 02:00:00,99.8073
2016-05-30 03:00:00,2016-05-30 03:00:00,98.9171
2016-05-30 04:00:00,2016-05-30 04:00:00,100.4854
2016-05-30 05:00:00,2016-05-30 05:00:00,122.4656
2016-05-30 06:00:00,2016-05-30 06:00:00,140.2991
2016-05-30 07:00:00,2016-05-30 07:00:00,141.7514
2016-05-30 08:00:00,2016-05-30 08:00:00,119.447
2016-05-30 09:00:00,2016-05-30 09:00:00,144.3039
2016-05-30 10:00:00,2016-05-30 10:00:00,139.5669
2016-05-30 11:00:00,2016-05-30 11:00:00,152.6895
2016-05-30 12:00:00,2016-05-30 12:00:00,145.003
2016-05-30 13:00:00,2016-05-30 13:00:00,140.7952
2016-05-30 14:00:00,2016-05-30 14:00:00,148.6077
2016-05-30 15:00:00,2016-05-30 15:00:00,143.9618
2016-05-30 16:00:00,2016-05-30 16:00:00,136.0502
2016-05-30 17:00:00,2016-05-30 17:00:00,146.3162
2016-05-30 18:00:00,2016-05-30 18:00:00,142.3685
2016-05-30 19:00:00,2016-05-30 19:00:00,146.4443
2016-05-30 20:00:00,2016-05-30 20:00:00,142.7005
2016-05-30 21:00:00,2016-05-30 21:00:00,165.6149
2016-05-30 22:00:00,2016-05-30 22:00:00,155.461
2016-05-30 23:00:00,2016-05-30 23:00:00,107.3577
2016-05-31 00:00:00,2016-05-31 00:00:00,106.5616
2016-05-31 01:00:00,2016-05-31 01:00:00,101.5406
2016-05-31 02:00:00,2016-05-31 02:00:00,102.3918
2016-05-31 03:00:00,2016-05-31 03:00:00,100.9195
2016-05-31 04:00:00,2016-05-31 04:00:00,102.5988
2016-05-31 05:00:00,2016-05-31 05:00:00,121.3674
2016-05-31 06:00:00,2016-05-31 06:00:00,143.7567
2016-05-31 07:00:00,2016-05-31 07:00:00,157.8715
2016-05-31 08:00:00,2016-05-31 08:00:00,162.6994
2016-05-31 09:00:00,2016-05-31 09:00:00,173.5305
2016-05-31 10:00:00,2016-05-31 10:00:00,184.8707
2016-05-31 11:00:00,2016-05-31 11:00:00,187.3862
2016-05-31 12:00:00,2016-05-31 12:00:00,191.858
2016-05-31 13:00:00,2016-05-31 13:00:00,188.7744
2016-05-31 14:00:00,2016-05-31 14:00:00,179.6797
2016-05-31 15:00:00,2016-05-31 15:00:00,182.2752
2016-05-31 16:00:00,2016-05-31 16:00:00,171.5211
2016-05-31 17:00:00,2016-05-31 17:00:00,151.8563
2016-05-31 18:00:00,2016-05-31 18:00:00,142.1424
2016-05-31 19:00:00,2016-05-31 19:00:00,145.8551
2016-05-31 20:00:00,2016-05-31 20:00:00,137.3845
2016-05-31 21:00:00,2016-05-31 21:00:00,154.9049
2016-05-31 22:00:00,2016-05-31 22:00:00,138.0977
2016-05-31 23:00:00,2016-05-31 23:00:00,104.9112
2016-06-01 00:00:00,2016-06-01 00:00:00,104.0981
2016-06-01 01:00:00,2016-06-01 01:00:00,97.9089
2016-06-01 02:00:00,2016-06-01 02:00:00,94.5272
2016-06-01 03:00:00,2016-06-01 03:00:00,96.6837
2016-06-01 04:00:00,2016-06-01 04:00:00,95.2064
2016-06-01 05:00:00,2016-06-01 05:00:00,114.5091
2016-06-01 06:00:00,2016-06-01 06:00:00,140.7932
2016-06-01 07:00:00,2016-06-01 07:00:00,144.1218
2016-06-01 08:00:00,2016-06-01 08:00:00,155.0979
2016-06-01 09:00:00,2016-06-01 09:00:00,173.8725
2016-06-01 10:00:00,2016-06-01 10:00:00,179.6077
2016-06-01 11:00:00,2016-06-01 11:00:00,181.584
2016-06-01 12:00:00,2016-06-01 12:00:00,177.3362
2016-06-01 13:00:00,2016-06-01 13:00:00,186.0819
2016-06-01 14:00:00,2016-06-01 14:00:00,171.8712
2016-06-01 15:00:00,2016-06-01 15:00:00,177.1972
2016-06-01 16:00:00,2016-06-01 16:00:00,171.208
2016-06-01 17:00:00,2016-06-01 17:00:00,156.5632
2016-06-01 18:00:00,2016-06-01 18:00:00,145.174
