timestamp,timestamp,meter_reading
2016-05-01 19:00:00,2016-05-01 19:00:00,10.2575
2016-05-20 18:00:00,2016-05-20 18:00:00,3.3827
2016-05-20 19:00:00,2016-05-20 19:00:00,4.3228
2016-05-20 20:00:00,2016-05-20 20:00:00,5.046
2016-05-20 21:00:00,2016-05-20 21:00:00,4.6019
2016-05-20 22:00:00,2016-05-20 22:00:00,4.4689
2016-05-20 23:00:00,2016-05-20 23:00:00,4.4619
2016-05-21 00:00:00,2016-05-21 00:00:00,4.3739
2016-05-21 01:00:00,2016-05-21 01:00:00,3.7887
2016-05-21 02:00:00,2016-05-21 02:00:00,3.9688
2016-05-21 03:00:00,2016-05-21 03:00:00,4.0278
2016-05-21 04:00:00,2016-05-21 04:00:00,3.6687
2016-05-21 05:00:00,2016-05-21 05:00:00,3.6397
2016-05-21 06:00:00,2016-05-21 06:00:00,3.4957
2016-05-21 07:00:00,2016-05-21 07:00:00,3.1316
2016-05-21 08:00:00,2016-05-21 08:00:00,6.9683
2016-05-21 09:00:00,2016-05-21 09:00:00,7.5405
2016-05-21 10:00:00,2016-05-21 10:00:00,7.6245
2016-05-21 11:00:00,2016-05-21 11:00:00,6.8793
2016-05-21 12:00:00,2016-05-21 12:00:00,4.5729
2016-05-21 13:00:00,2016-05-21 13:00:00,6.5783
2016-05-21 14:00:00,2016-05-21 14:00:00,5.227
2016-05-21 15:00:00,2016-05-21 15:00:00,5.5071
2016-05-21 16:00:00,2016-05-21 16:00:00,4.8909
2016-05-21 17:00:00,2016-05-21 17:00:00,4.8129
2016-05-21 18:00:00,2016-05-21 18:00:00,4.7939
2016-05-21 19:00:00,2016-05-21 19:00:00,5.16
2016-05-21 20:00:00,2016-05-21 20:00:00,5.6671
2016-05-21 21:00:00,2016-05-21 21:00:00,5.151
2016-05-21 22:00:00,2016-05-21 22:00:00,4.8009
2016-05-21 23:00:00,2016-05-21 23:00:00,4.5519
2016-05-22 00:00:00,2016-05-22 00:00:00,4.2438
2016-05-22 01:00:00,2016-05-22 01:00:00,4.0418
2016-05-22 02:00:00,2016-05-22 02:00:00,4.2988
2016-05-22 03:00:00,2016-05-22 03:00:00,3.7297
2016-05-22 04:00:00,2016-05-22 04:00:00,3.9698
2016-05-22 05:00:00,2016-05-22 05:00:00,4.0568
2016-05-22 06:00:00,2016-05-22 06:00:00,3.2326
2016-05-22 07:00:00,2016-05-22 07:00:00,3.0686
2016-05-22 08:00:00,2016-05-22 08:00:00,2.7025
2016-05-22 09:00:00,2016-05-22 09:00:00,3.4307
2016-05-22 10:00:00,2016-05-22 10:00:00,3.4747
2016-05-22 11:00:00,2016-05-22 11:00:00,3.7987
2016-05-22 12:00:00,2016-05-22 12:00:00,4.1298
2016-05-22 13:00:00,2016-05-22 13:00:00,4.0608
2016-05-22 14:00:00,2016-05-22 14:00:00,4.6479
2016-05-22 15:00:00,2016-05-22 15:00:00,4.4398
2016-05-22 16:00:00,2016-05-22 16:00:00,4.7489
2016-05-22 17:00:00,2016-05-22 17:00:00,4.5229
2016-05-22 18:00:00,2016-05-22 18:00:00,4.6679
2016-05-22 19:00:00,2016-05-22 19:00:00,4.2748
2016-05-22 20:00:00,2016-05-22 20:00:00,4.7309
2016-05-22 21:00:00,2016-05-22 21:00:00,4.6519
2016-05-22 22:00:00,2016-05-22 22:00:00,4.3318
2016-05-22 23:00:00,2016-05-22 23:00:00,4.4189
2016-05-23 00:00:00,2016-05-23 00:00:00,4.0208
2016-05-23 01:00:00,2016-05-23 01:00:00,3.9968
2016-05-23 02:00:00,2016-05-23 02:00:00,3.7617
2016-05-23 03:00:00,2016-05-23 03:00:00,3.8248
2016-05-23 04:00:00,2016-05-23 04:00:00,3.6067
2016-05-23 05:00:00,2016-05-23 05:00:00,3.4947
2016-05-23 06:00:00,2016-05-23 06:00:00,3.1936
2016-05-23 07:00:00,2016-05-23 07:00:00,6.4583
2016-05-23 08:00:00,2016-05-23 08:00:00,8.3256
2016-05-23 09:00:00,2016-05-23 09:00:00,7.5225
2016-05-23 10:00:00,2016-05-23 10:00:00,8.1846
2016-05-23 11:00:00,2016-05-23 11:00:00,5.7801
2016-05-23 12:00:00,2016-05-23 12:00:00,5.7141
2016-05-23 13:00:00,2016-05-23 13:00:00,10.8441
2016-05-23 14:00:00,2016-05-23 14:00:00,13.5646
2016-05-23 15:00:00,2016-05-23 15:00:00,10.195
2016-05-23 16:00:00,2016-05-23 16:00:00,6.7003
2016-05-23 17:00:00,2016-05-23 17:00:00,5.37
2016-05-23 18:00:00,2016-05-23 18:00:00,5.078
2016-05-23 19:00:00,2016-05-23 19:00:00,5.179
2016-05-23 20:00:00,2016-05-23 20:00:00,5.48
2016-05-23 21:00:00,2016-05-23 21:00:00,5.04
2016-05-23 22:00:00,2016-05-23 22:00:00,4.6679
2016-05-23 23:00:00,2016-05-23 23:00:00,4.4769
2016-05-24 00:00:00,2016-05-24 00:00:00,4.4559
2016-05-24 01:00:00,2016-05-24 01:00:00,4.0368
2016-05-24 02:00:00,2016-05-24 02:00:00,4.1858
2016-05-24 03:00:00,2016-05-24 03:00:00,3.9177
2016-05-24 04:00:00,2016-05-24 04:00:00,3.8027
2016-05-24 05:00:00,2016-05-24 05:00:00,3.7727
2016-05-24 06:00:00,2016-05-24 06:00:00,3.5047
2016-05-24 07:00:00,2016-05-24 07:00:00,3.6527
2016-05-24 08:00:00,2016-05-24 08:00:00,4.6789
2016-05-24 09:00:00,2016-05-24 09:00:00,5.7261
2016-05-24 10:00:00,2016-05-24 10:00:00,6.4092
2016-05-24 11:00:00,2016-05-24 11:00:00,6.7603
2016-05-24 12:00:00,2016-05-24 12:00:00,7.5114
2016-05-24 13:00:00,2016-05-24 13:00:00,7.8465
2016-05-24 14:00:00,2016-05-24 14:00:00,9.7849
2016-05-24 15:00:00,2016-05-24 15:00:00,9.7089
2016-05-24 16:00:00,2016-05-24 16:00:00,7.9375
2016-05-24 17:00:00,2016-05-24 17:00:00,6.9844
2016-05-24 18:00:00,2016-05-24 18:00:00,3.2816
2016-05-24 19:00:00,2016-05-24 19:00:00,3.5987
2016-05-24 20:00:00,2016-05-24 20:00:00,3.9218
2016-05-24 21:00:00,2016-05-24 21:00:00,3.7647
2016-05-24 22:00:00,2016-05-24 22:00:00,3.8267
2016-05-24 23:00:00,2016-05-24 23:00:00,3.5327
2016-05-25 00:00:00,2016-05-25 00:00:00,3.4497
