timestamp,timestamp,meter_reading
2016-05-01 19:00:00,2016-05-01 19:00:00,15.2397
2016-05-20 18:00:00,2016-05-20 18:00:00,5.044
2016-05-20 19:00:00,2016-05-20 19:00:00,6.6763
2016-05-20 20:00:00,2016-05-20 20:00:00,6.3892
2016-05-20 21:00:00,2016-05-20 21:00:00,7.0684
2016-05-20 22:00:00,2016-05-20 22:00:00,5.448
2016-05-20 23:00:00,2016-05-20 23:00:00,5.5311
2016-05-21 00:00:00,2016-05-21 00:00:00,5.302
2016-05-21 01:00:00,2016-05-21 01:00:00,5.167
2016-05-21 02:00:00,2016-05-21 02:00:00,4.9229
2016-05-21 03:00:00,2016-05-21 03:00:00,5.133
2016-05-21 04:00:00,2016-05-21 04:00:00,5.093
2016-05-21 05:00:00,2016-05-21 05:00:00,5.183
2016-05-21 06:00:00,2016-05-21 06:00:00,4.4648
2016-05-21 07:00:00,2016-05-21 07:00:00,4.4488
2016-05-21 08:00:00,2016-05-21 08:00:00,4.0138
2016-05-21 09:00:00,2016-05-21 09:00:00,4.3458
2016-05-21 10:00:00,2016-05-21 10:00:00,4.8269
2016-05-21 11:00:00,2016-05-21 11:00:00,6.2272
2016-05-21 12:00:00,2016-05-21 12:00:00,7.4314
2016-05-21 13:00:00,2016-05-21 13:00:00,7.8575
2016-05-21 14:00:00,2016-05-21 14:00:00,8.1176
2016-05-21 15:00:00,2016-05-21 15:00:00,7.6395
2016-05-21 16:00:00,2016-05-21 16:00:00,8.4126
2016-05-21 17:00:00,2016-05-21 17:00:00,8.0836
2016-05-21 18:00:00,2016-05-21 18:00:00,7.2604
2016-05-21 19:00:00,2016-05-21 19:00:00,7.1174
2016-05-21 20:00:00,2016-05-21 20:00:00,6.3072
2016-05-21 21:00:00,2016-05-21 21:00:00,6.1592
2016-05-21 22:00:00,2016-05-21 22:00:00,5.395
2016-05-21 23:00:00,2016-05-21 23:00:00,5.4761
2016-05-22 00:00:00,2016-05-22 00:00:00,5.088
2016-05-22 01:00:00,2016-05-22 01:00:00,4.4639
2016-05-22 02:00:00,2016-05-22 02:00:00,5.162
2016-05-22 03:00:00,2016-05-22 03:00:00,5.037
2016-05-22 04:00:00,2016-05-22 04:00:00,5.422
2016-05-22 05:00:00,2016-05-22 05:00:00,5.008
2016-05-22 06:00:00,2016-05-22 06:00:00,4.8419
2016-05-22 07:00:00,2016-05-22 07:00:00,4.3758
2016-05-22 08:00:00,2016-05-22 08:00:00,3.8517
2016-05-22 09:00:00,2016-05-22 09:00:00,5.257
2016-05-22 10:00:00,2016-05-22 10:00:00,5.6981
2016-05-22 11:00:00,2016-05-22 11:00:00,6.6503
2016-05-22 12:00:00,2016-05-22 12:00:00,7.1204
2016-05-22 13:00:00,2016-05-22 13:00:00,7.8355
2016-05-22 14:00:00,2016-05-22 14:00:00,7.6405
2016-05-22 15:00:00,2016-05-22 15:00:00,8.2676
2016-05-22 16:00:00,2016-05-22 16:00:00,7.8885
2016-05-22 17:00:00,2016-05-22 17:00:00,6.9343
2016-05-22 18:00:00,2016-05-22 18:00:00,6.5112
2016-05-22 19:00:00,2016-05-22 19:00:00,5.4351
2016-05-22 20:00:00,2016-05-22 20:00:00,6.1472
2016-05-22 21:00:00,2016-05-22 21:00:00,5.7711
2016-05-22 22:00:00,2016-05-22 22:00:00,4.8899
2016-05-22 23:00:00,2016-05-22 23:00:00,4.9009
2016-05-23 00:00:00,2016-05-23 00:00:00,4.989
2016-05-23 01:00:00,2016-05-23 01:00:00,4.943
2016-05-23 02:00:00,2016-05-23 02:00:00,4.4008
2016-05-23 03:00:00,2016-05-23 03:00:00,4.5889
2016-05-23 04:00:00,2016-05-23 04:00:00,4.3088
2016-05-23 05:00:00,2016-05-23 05:00:00,4.1768
2016-05-23 06:00:00,2016-05-23 06:00:00,4.2528
2016-05-23 07:00:00,2016-05-23 07:00:00,3.3146
2016-05-23 08:00:00,2016-05-23 08:00:00,4.905
2016-05-23 09:00:00,2016-05-23 09:00:00,8.0495
2016-05-23 10:00:00,2016-05-23 10:00:00,9.6058
2016-05-23 11:00:00,2016-05-23 11:00:00,12.0633
2016-05-23 12:00:00,2016-05-23 12:00:00,12.0543
2016-05-23 13:00:00,2016-05-23 13:00:00,11.2222
2016-05-23 14:00:00,2016-05-23 14:00:00,13.0745
2016-05-23 15:00:00,2016-05-23 15:00:00,13.6626
2016-05-23 16:00:00,2016-05-23 16:00:00,14.7098
2016-05-23 17:00:00,2016-05-23 17:00:00,10.8601
2016-05-23 18:00:00,2016-05-23 18:00:00,7.4244
2016-05-23 19:00:00,2016-05-23 19:00:00,6.6033
2016-05-23 20:00:00,2016-05-23 20:00:00,6.2772
2016-05-23 21:00:00,2016-05-23 21:00:00,7.1494
2016-05-23 22:00:00,2016-05-23 22:00:00,5.363
2016-05-23 23:00:00,2016-05-23 23:00:00,5.275
2016-05-24 00:00:00,2016-05-24 00:00:00,5.139
2016-05-24 01:00:00,2016-05-24 01:00:00,4.8269
2016-05-24 02:00:00,2016-05-24 02:00:00,4.8319
2016-05-24 03:00:00,2016-05-24 03:00:00,4.6599
2016-05-24 04:00:00,2016-05-24 04:00:00,4.7519
2016-05-24 05:00:00,2016-05-24 05:00:00,4.2218
2016-05-24 06:00:00,2016-05-24 06:00:00,4.7339
2016-05-24 07:00:00,2016-05-24 07:00:00,3.7817
2016-05-24 08:00:00,2016-05-24 08:00:00,4.8599
2016-05-24 09:00:00,2016-05-24 09:00:00,6.1182
2016-05-24 10:00:00,2016-05-24 10:00:00,8.9817
2016-05-24 11:00:00,2016-05-24 11:00:00,11.0071
2016-05-24 12:00:00,2016-05-24 12:00:00,12.6094
2016-05-24 13:00:00,2016-05-24 13:00:00,11.8783
2016-05-24 14:00:00,2016-05-24 14:00:00,9.4828
2016-05-24 15:00:00,2016-05-24 15:00:00,9.2708
2016-05-24 16:00:00,2016-05-24 16:00:00,7.9845
2016-05-24 17:00:00,2016-05-24 17:00:00,8.8667
2016-05-24 18:00:00,2016-05-24 18:00:00,7.4074
2016-05-24 19:00:00,2016-05-24 19:00:00,7.3414
2016-05-24 20:00:00,2016-05-24 20:00:00,6.7403
2016-05-24 21:00:00,2016-05-24 21:00:00,8.1626
2016-05-24 22:00:00,2016-05-24 22:00:00,5.9491
2016-05-24 23:00:00,2016-05-24 23:00:00,6.9133
2016-05-25 00:00:00,2016-05-25 00:00:00,5.342
2016-05-25 01:00:00,2016-05-25 01:00:00,5.8881
2016-05-25 02:00:00,2016-05-25 02:00:00,5.8701
2016-05-25 03:00:00,2016-05-25 03:00:00,5.9682
2016-05-25 04:00:00,2016-05-25 04:00:00,5.9061
2016-05-25 05:00:00,2016-05-25 05:00:00,5.6731
2016-05-25 06:00:00,2016-05-25 06:00:00,5.5351
2016-05-25 07:00:00,2016-05-25 07:00:00,5.4941
2016-05-25 08:00:00,2016-05-25 08:00:00,5.6621
2016-05-25 09:00:00,2016-05-25 09:00:00,7.1824
2016-05-25 10:00:00,2016-05-25 10:00:00,9.8369
2016-05-25 11:00:00,2016-05-25 11:00:00,10.8061
2016-05-25 12:00:00,2016-05-25 12:00:00,11.7683
2016-05-25 13:00:00,2016-05-25 13:00:00,14.3918
2016-05-25 14:00:00,2016-05-25 14:00:00,12.9495
2016-05-25 15:00:00,2016-05-25 15:00:00,13.6656
2016-05-25 16:00:00,2016-05-25 16:00:00,13.0925
2016-05-25 17:00:00,2016-05-25 17:00:00,11.2472
2016-05-25 18:00:00,2016-05-25 18:00:00,8.5406
2016-05-25 19:00:00,2016-05-25 19:00:00,7.7895
2016-05-25 20:00:00,2016-05-25 20:00:00,7.2354
2016-05-25 21:00:00,2016-05-25 21:00:00,8.6017
2016-05-25 22:00:00,2016-05-25 22:00:00,7.0604
2016-05-25 23:00:00,2016-05-25 23:00:00,6.5573
2016-05-26 00:00:00,2016-05-26 00:00:00,6.0162
2016-05-26 01:00:00,2016-05-26 01:00:00,6.0102
2016-05-26 02:00:00,2016-05-26 02:00:00,6.0552
2016-05-26 03:00:00,2016-05-26 03:00:00,5.8521
2016-05-26 04:00:00,2016-05-26 04:00:00,5.8221
2016-05-26 05:00:00,2016-05-26 05:00:00,5.369
2016-05-26 06:00:00,2016-05-26 06:00:00,5.5641
2016-05-26 07:00:00,2016-05-26 07:00:00,5.024
2016-05-26 08:00:00,2016-05-26 08:00:00,4.8679
2016-05-26 09:00:00,2016-05-26 09:00:00,7.9045
2016-05-26 10:00:00,2016-05-26 10:00:00,7.8505
2016-05-26 11:00:00,2016-05-26 11:00:00,8.6277
2016-05-26 12:00:00,2016-05-26 12:00:00,11.4822
2016-05-26 13:00:00,2016-05-26 13:00:00,10.468
2016-05-26 14:00:00,2016-05-26 14:00:00,11.4032
2016-05-26 15:00:00,2016-05-26 15:00:00,11.0571
2016-05-26 16:00:00,2016-05-26 16:00:00,11.0741
2016-05-26 17:00:00,2016-05-26 17:00:00,11.2272
2016-05-26 18:00:00,2016-05-26 18:00:00,8.8007
2016-05-26 19:00:00,2016-05-26 19:00:00,7.9615
2016-05-26 20:00:00,2016-05-26 20:00:00,7.1554
2016-05-26 21:00:00,2016-05-26 21:00:00,8.6537
2016-05-26 22:00:00,2016-05-26 22:00:00,6.1152
2016-05-26 23:00:00,2016-05-26 23:00:00,6.4462
