timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,1.5108
2016-01-01 01:00:00,2016-01-01 01:00:00,1.5108
2016-01-01 02:00:00,2016-01-01 02:00:00,1.5067
2016-01-01 03:00:00,2016-01-01 03:00:00,1.5172
2016-01-01 04:00:00,2016-01-01 04:00:00,1.4975
2016-01-01 05:00:00,2016-01-01 05:00:00,1.4858
2016-01-01 06:00:00,2016-01-01 06:00:00,1.4764
2016-01-01 07:00:00,2016-01-01 07:00:00,1.4925
2016-01-01 08:00:00,2016-01-01 08:00:00,1.5617
2016-01-01 09:00:00,2016-01-01 09:00:00,1.5681
2016-01-01 10:00:00,2016-01-01 10:00:00,1.5631
2016-01-01 11:00:00,2016-01-01 11:00:00,1.5722
2016-01-01 12:00:00,2016-01-01 12:00:00,1.5986
2016-01-01 13:00:00,2016-01-01 13:00:00,1.5611
2016-01-01 14:00:00,2016-01-01 14:00:00,1.665
2016-01-01 15:00:00,2016-01-01 15:00:00,1.7403
2016-01-01 16:00:00,2016-01-01 16:00:00,1.685
2016-01-01 17:00:00,2016-01-01 17:00:00,1.6636
2016-01-01 18:00:00,2016-01-01 18:00:00,1.75
2016-01-01 19:00:00,2016-01-01 19:00:00,1.7497
2016-01-01 20:00:00,2016-01-01 20:00:00,1.6711
2016-01-01 21:00:00,2016-01-01 21:00:00,1.6881
2016-01-01 22:00:00,2016-01-01 22:00:00,1.6636
2016-01-01 23:00:00,2016-01-01 23:00:00,1.6117
2016-01-02 00:00:00,2016-01-02 00:00:00,1.6422
2016-01-02 01:00:00,2016-01-02 01:00:00,1.6536
2016-01-02 02:00:00,2016-01-02 02:00:00,1.6442
2016-01-02 03:00:00,2016-01-02 03:00:00,1.6322
2016-01-02 04:00:00,2016-01-02 04:00:00,1.6303
2016-01-02 05:00:00,2016-01-02 05:00:00,1.6436
2016-01-02 06:00:00,2016-01-02 06:00:00,1.6339
2016-01-02 07:00:00,2016-01-02 07:00:00,1.6933
2016-01-02 08:00:00,2016-01-02 08:00:00,1.775
2016-01-02 09:00:00,2016-01-02 09:00:00,2.0536
2016-01-02 10:00:00,2016-01-02 10:00:00,2.0403
2016-01-02 11:00:00,2016-01-02 11:00:00,2.0086
2016-01-02 12:00:00,2016-01-02 12:00:00,2.0719
2016-01-02 13:00:00,2016-01-02 13:00:00,2.055
2016-01-02 14:00:00,2016-01-02 14:00:00,1.9422
2016-01-02 15:00:00,2016-01-02 15:00:00,1.9364
2016-01-02 16:00:00,2016-01-02 16:00:00,1.9414
2016-01-02 17:00:00,2016-01-02 17:00:00,1.9622
2016-01-02 18:00:00,2016-01-02 18:00:00,1.7594
2016-01-02 19:00:00,2016-01-02 19:00:00,1.6797
2016-01-02 20:00:00,2016-01-02 20:00:00,1.6756
2016-01-02 21:00:00,2016-01-02 21:00:00,1.745
2016-01-02 22:00:00,2016-01-02 22:00:00,1.7944
2016-01-02 23:00:00,2016-01-02 23:00:00,1.8406
2016-01-03 00:00:00,2016-01-03 00:00:00,1.8681
2016-01-03 01:00:00,2016-01-03 01:00:00,1.7625
2016-01-03 02:00:00,2016-01-03 02:00:00,1.6592
2016-01-03 03:00:00,2016-01-03 03:00:00,1.6542
2016-01-03 04:00:00,2016-01-03 04:00:00,1.6614
2016-01-03 05:00:00,2016-01-03 05:00:00,1.6475
2016-01-03 06:00:00,2016-01-03 06:00:00,1.6411
2016-01-03 07:00:00,2016-01-03 07:00:00,1.6494
2016-01-03 08:00:00,2016-01-03 08:00:00,1.7075
2016-01-03 09:00:00,2016-01-03 09:00:00,1.9497
2016-01-03 10:00:00,2016-01-03 10:00:00,2.3603
2016-01-03 11:00:00,2016-01-03 11:00:00,2.4817
2016-01-03 12:00:00,2016-01-03 12:00:00,2.72
2016-01-03 13:00:00,2016-01-03 13:00:00,3.6389
2016-01-03 14:00:00,2016-01-03 14:00:00,3.6847
2016-01-03 15:00:00,2016-01-03 15:00:00,3.5842
2016-01-03 16:00:00,2016-01-03 16:00:00,3.715
2016-01-03 17:00:00,2016-01-03 17:00:00,3.5067
2016-01-03 18:00:00,2016-01-03 18:00:00,2.7494
2016-01-03 19:00:00,2016-01-03 19:00:00,2.3161
2016-01-03 20:00:00,2016-01-03 20:00:00,2.4181
2016-01-03 21:00:00,2016-01-03 21:00:00,2.2164
2016-01-03 22:00:00,2016-01-03 22:00:00,1.9289
2016-01-03 23:00:00,2016-01-03 23:00:00,1.6769
2016-01-04 00:00:00,2016-01-04 00:00:00,1.6203
2016-01-04 01:00:00,2016-01-04 01:00:00,1.4672
2016-01-04 02:00:00,2016-01-04 02:00:00,1.4667
2016-01-04 03:00:00,2016-01-04 03:00:00,1.5297
2016-01-04 04:00:00,2016-01-04 04:00:00,1.6069
2016-01-04 05:00:00,2016-01-04 05:00:00,1.7036
2016-01-04 06:00:00,2016-01-04 06:00:00,1.9661
2016-01-04 07:00:00,2016-01-04 07:00:00,1.9078
2016-01-04 08:00:00,2016-01-04 08:00:00,2.3711
2016-01-04 09:00:00,2016-01-04 09:00:00,2.9306
2016-01-04 10:00:00,2016-01-04 10:00:00,3.2439
2016-01-04 11:00:00,2016-01-04 11:00:00,3.3169
2016-01-04 12:00:00,2016-01-04 12:00:00,3.3317
2016-01-04 13:00:00,2016-01-04 13:00:00,3.1792
2016-01-04 14:00:00,2016-01-04 14:00:00,3.3294
2016-01-04 15:00:00,2016-01-04 15:00:00,3.4214
2016-01-04 16:00:00,2016-01-04 16:00:00,3.4972
2016-01-04 17:00:00,2016-01-04 17:00:00,3.7125
2016-01-04 18:00:00,2016-01-04 18:00:00,3.0611
2016-01-04 19:00:00,2016-01-04 19:00:00,2.7936
2016-01-04 20:00:00,2016-01-04 20:00:00,2.8217
2016-01-04 21:00:00,2016-01-04 21:00:00,2.7681
2016-01-04 22:00:00,2016-01-04 22:00:00,2.7014
2016-01-04 23:00:00,2016-01-04 23:00:00,2.4408
2016-01-05 00:00:00,2016-01-05 00:00:00,2.285
2016-01-05 01:00:00,2016-01-05 01:00:00,2.3092
2016-01-05 02:00:00,2016-01-05 02:00:00,2.2025
2016-01-05 03:00:00,2016-01-05 03:00:00,2.1447
2016-01-05 04:00:00,2016-01-05 04:00:00,2.0783
2016-01-05 05:00:00,2016-01-05 05:00:00,2.1425
2016-01-05 06:00:00,2016-01-05 06:00:00,2.3881
2016-01-05 07:00:00,2016-01-05 07:00:00,2.2553
2016-01-05 08:00:00,2016-01-05 08:00:00,2.5328
2016-01-05 09:00:00,2016-01-05 09:00:00,2.9314
2016-01-05 10:00:00,2016-01-05 10:00:00,3.2264
2016-01-05 11:00:00,2016-01-05 11:00:00,3.5294
2016-01-05 12:00:00,2016-01-05 12:00:00,3.7192
2016-01-05 13:00:00,2016-01-05 13:00:00,3.9325
2016-01-05 14:00:00,2016-01-05 14:00:00,4.1369
2016-01-05 15:00:00,2016-01-05 15:00:00,4.1014
2016-01-05 16:00:00,2016-01-05 16:00:00,4.0711
2016-01-05 17:00:00,2016-01-05 17:00:00,3.6231
2016-01-05 18:00:00,2016-01-05 18:00:00,3.5825
2016-01-05 19:00:00,2016-01-05 19:00:00,3.5331
2016-01-05 20:00:00,2016-01-05 20:00:00,3.3194
2016-01-05 21:00:00,2016-01-05 21:00:00,3.11
2016-01-05 22:00:00,2016-01-05 22:00:00,3.0867
2016-01-05 23:00:00,2016-01-05 23:00:00,2.7511
2016-01-06 00:00:00,2016-01-06 00:00:00,2.6017
2016-01-06 01:00:00,2016-01-06 01:00:00,2.685
2016-01-06 02:00:00,2016-01-06 02:00:00,2.4689
2016-01-06 03:00:00,2016-01-06 03:00:00,2.5308
2016-01-06 04:00:00,2016-01-06 04:00:00,2.4492
2016-01-06 05:00:00,2016-01-06 05:00:00,2.4506
2016-01-06 06:00:00,2016-01-06 06:00:00,2.7703
2016-01-06 07:00:00,2016-01-06 07:00:00,2.7256
2016-01-06 08:00:00,2016-01-06 08:00:00,2.9347
2016-01-06 09:00:00,2016-01-06 09:00:00,3.1594
2016-01-06 10:00:00,2016-01-06 10:00:00,3.5042
2016-01-06 11:00:00,2016-01-06 11:00:00,3.7036
2016-01-06 12:00:00,2016-01-06 12:00:00,3.835
2016-01-06 13:00:00,2016-01-06 13:00:00,3.8533
2016-01-06 14:00:00,2016-01-06 14:00:00,3.8075
2016-01-06 15:00:00,2016-01-06 15:00:00,3.8489
2016-01-06 16:00:00,2016-01-06 16:00:00,3.6061
2016-01-06 17:00:00,2016-01-06 17:00:00,3.7794
2016-01-06 18:00:00,2016-01-06 18:00:00,3.7181
2016-01-06 19:00:00,2016-01-06 19:00:00,4.1253
2016-01-06 20:00:00,2016-01-06 20:00:00,4.3203
2016-01-06 21:00:00,2016-01-06 21:00:00,4.1903
2016-01-06 22:00:00,2016-01-06 22:00:00,4.0836
2016-01-06 23:00:00,2016-01-06 23:00:00,3.9558
2016-01-07 00:00:00,2016-01-07 00:00:00,3.2219
2016-01-07 01:00:00,2016-01-07 01:00:00,3.0883
2016-01-07 02:00:00,2016-01-07 02:00:00,3.0703
2016-01-07 03:00:00,2016-01-07 03:00:00,2.7417
2016-01-07 04:00:00,2016-01-07 04:00:00,2.2547
2016-01-07 05:00:00,2016-01-07 05:00:00,2.3367
2016-01-07 06:00:00,2016-01-07 06:00:00,2.6122
2016-01-07 07:00:00,2016-01-07 07:00:00,2.5597
2016-01-07 08:00:00,2016-01-07 08:00:00,2.6769
2016-01-07 09:00:00,2016-01-07 09:00:00,3.2017
2016-01-07 10:00:00,2016-01-07 10:00:00,3.3308
2016-01-07 11:00:00,2016-01-07 11:00:00,3.3517
2016-01-07 12:00:00,2016-01-07 12:00:00,3.4781
2016-01-07 13:00:00,2016-01-07 13:00:00,3.65
2016-01-07 14:00:00,2016-01-07 14:00:00,3.5289
2016-01-07 15:00:00,2016-01-07 15:00:00,3.5344
2016-01-07 16:00:00,2016-01-07 16:00:00,3.2758
2016-01-07 17:00:00,2016-01-07 17:00:00,3.1422
2016-01-07 18:00:00,2016-01-07 18:00:00,2.6878
2016-01-07 19:00:00,2016-01-07 19:00:00,2.3003
2016-01-07 20:00:00,2016-01-07 20:00:00,2.4925
2016-01-07 21:00:00,2016-01-07 21:00:00,2.4786
2016-01-07 22:00:00,2016-01-07 22:00:00,2.4036
2016-01-07 23:00:00,2016-01-07 23:00:00,2.2414
2016-01-08 00:00:00,2016-01-08 00:00:00,2.105
2016-01-08 01:00:00,2016-01-08 01:00:00,1.9586
2016-01-08 02:00:00,2016-01-08 02:00:00,1.9878
2016-01-08 03:00:00,2016-01-08 03:00:00,2.025
2016-01-08 04:00:00,2016-01-08 04:00:00,1.8817
2016-01-08 05:00:00,2016-01-08 05:00:00,1.9156
2016-01-08 06:00:00,2016-01-08 06:00:00,2.1092
2016-01-08 07:00:00,2016-01-08 07:00:00,2.0969
2016-01-08 08:00:00,2016-01-08 08:00:00,2.5758
2016-01-08 09:00:00,2016-01-08 09:00:00,3.2347
2016-01-08 10:00:00,2016-01-08 10:00:00,3.4486
2016-01-08 11:00:00,2016-01-08 11:00:00,3.4922
2016-01-08 12:00:00,2016-01-08 12:00:00,3.4925
2016-01-08 13:00:00,2016-01-08 13:00:00,3.9789
2016-01-08 14:00:00,2016-01-08 14:00:00,3.5428
2016-01-08 15:00:00,2016-01-08 15:00:00,3.685
2016-01-08 16:00:00,2016-01-08 16:00:00,3.8214
2016-01-08 17:00:00,2016-01-08 17:00:00,3.6564
2016-01-08 18:00:00,2016-01-08 18:00:00,2.6422
2016-01-08 19:00:00,2016-01-08 19:00:00,2.3747
2016-01-08 20:00:00,2016-01-08 20:00:00,2.3578
2016-01-08 21:00:00,2016-01-08 21:00:00,2.3631
2016-01-08 22:00:00,2016-01-08 22:00:00,2.1911
2016-01-08 23:00:00,2016-01-08 23:00:00,1.9833
2016-01-09 00:00:00,2016-01-09 00:00:00,1.8836
2016-01-09 01:00:00,2016-01-09 01:00:00,1.9692
2016-01-09 02:00:00,2016-01-09 02:00:00,1.9164
2016-01-09 03:00:00,2016-01-09 03:00:00,1.8892
2016-01-09 04:00:00,2016-01-09 04:00:00,1.8844
2016-01-09 05:00:00,2016-01-09 05:00:00,1.9247
2016-01-09 06:00:00,2016-01-09 06:00:00,2.1581
2016-01-09 07:00:00,2016-01-09 07:00:00,2.3128
2016-01-09 08:00:00,2016-01-09 08:00:00,2.6619
2016-01-09 09:00:00,2016-01-09 09:00:00,2.9022
2016-01-09 10:00:00,2016-01-09 10:00:00,2.9258
2016-01-09 11:00:00,2016-01-09 11:00:00,2.7003
2016-01-09 12:00:00,2016-01-09 12:00:00,2.4206
2016-01-09 13:00:00,2016-01-09 13:00:00,2.5425
2016-01-09 14:00:00,2016-01-09 14:00:00,2.7775
2016-01-09 15:00:00,2016-01-09 15:00:00,2.9181
2016-01-09 16:00:00,2016-01-09 16:00:00,2.8408
2016-01-09 17:00:00,2016-01-09 17:00:00,2.9453
2016-01-09 18:00:00,2016-01-09 18:00:00,2.6689
2016-01-09 19:00:00,2016-01-09 19:00:00,2.5303
2016-01-09 20:00:00,2016-01-09 20:00:00,2.4475
2016-01-09 21:00:00,2016-01-09 21:00:00,2.4222
2016-01-09 22:00:00,2016-01-09 22:00:00,2.4781
2016-01-09 23:00:00,2016-01-09 23:00:00,2.2711
2016-01-10 00:00:00,2016-01-10 00:00:00,2.1469
2016-01-10 01:00:00,2016-01-10 01:00:00,1.8325
2016-01-10 02:00:00,2016-01-10 02:00:00,1.7778
2016-01-10 03:00:00,2016-01-10 03:00:00,1.7794
2016-01-10 04:00:00,2016-01-10 04:00:00,1.7667
2016-01-10 05:00:00,2016-01-10 05:00:00,1.8228
2016-01-10 06:00:00,2016-01-10 06:00:00,1.7975
2016-01-10 07:00:00,2016-01-10 07:00:00,1.7956
2016-01-10 08:00:00,2016-01-10 08:00:00,2.0269
2016-01-10 09:00:00,2016-01-10 09:00:00,2.38
2016-01-10 10:00:00,2016-01-10 10:00:00,2.4228
2016-01-10 11:00:00,2016-01-10 11:00:00,2.4489
2016-01-10 12:00:00,2016-01-10 12:00:00,2.9544
