timestamp,timestamp,meter_reading
2017-02-19 18:00:00,2017-02-19 18:00:00,159.35
2017-02-19 19:00:00,2017-02-19 19:00:00,157.0
2017-02-19 20:00:00,2017-02-19 20:00:00,155.8833
2017-02-19 21:00:00,2017-02-19 21:00:00,163.6167
2017-02-19 22:00:00,2017-02-19 22:00:00,157.7833
2017-02-19 23:00:00,2017-02-19 23:00:00,156.9833
2017-02-20 00:00:00,2017-02-20 00:00:00,160.0333
2017-02-20 01:00:00,2017-02-20 01:00:00,156.2833
2017-02-20 02:00:00,2017-02-20 02:00:00,163.3
2017-02-20 03:00:00,2017-02-20 03:00:00,165.4667
2017-02-20 04:00:00,2017-02-20 04:00:00,157.45
2017-02-20 05:00:00,2017-02-20 05:00:00,159.5833
2017-02-20 06:00:00,2017-02-20 06:00:00,159.1833
2017-02-20 07:00:00,2017-02-20 07:00:00,193.6
2017-02-20 08:00:00,2017-02-20 08:00:00,185.4667
2017-02-20 09:00:00,2017-02-20 09:00:00,189.45
2017-02-20 10:00:00,2017-02-20 10:00:00,194.9333
2017-02-20 11:00:00,2017-02-20 11:00:00,195.95
2017-02-20 12:00:00,2017-02-20 12:00:00,194.35
2017-02-20 13:00:00,2017-02-20 13:00:00,187.5667
2017-02-20 14:00:00,2017-02-20 14:00:00,192.4833
2017-02-20 15:00:00,2017-02-20 15:00:00,211.3167
2017-02-20 16:00:00,2017-02-20 16:00:00,204.1667
2017-02-20 17:00:00,2017-02-20 17:00:00,198.6667
2017-02-20 18:00:00,2017-02-20 18:00:00,195.3167
2017-02-20 19:00:00,2017-02-20 19:00:00,196.0167
2017-02-20 20:00:00,2017-02-20 20:00:00,182.5333
2017-02-20 21:00:00,2017-02-20 21:00:00,184.9
2017-02-20 22:00:00,2017-02-20 22:00:00,193.3167
2017-02-20 23:00:00,2017-02-20 23:00:00,166.4333
2017-02-21 00:00:00,2017-02-21 00:00:00,167.4333
2017-02-21 01:00:00,2017-02-21 01:00:00,164.45
2017-02-21 02:00:00,2017-02-21 02:00:00,163.0667
2017-02-21 03:00:00,2017-02-21 03:00:00,164.4667
2017-02-21 04:00:00,2017-02-21 04:00:00,160.3667
2017-02-21 05:00:00,2017-02-21 05:00:00,171.15
2017-02-21 06:00:00,2017-02-21 06:00:00,159.1167
2017-02-21 07:00:00,2017-02-21 07:00:00,194.7667
2017-02-21 08:00:00,2017-02-21 08:00:00,120.7
2017-02-21 09:00:00,2017-02-21 09:00:00,189.1333
2017-02-21 10:00:00,2017-02-21 10:00:00,204.3333
2017-02-21 11:00:00,2017-02-21 11:00:00,196.4667
2017-02-21 12:00:00,2017-02-21 12:00:00,197.6
2017-02-21 13:00:00,2017-02-21 13:00:00,200.1
2017-02-21 14:00:00,2017-02-21 14:00:00,204.6333
2017-02-21 15:00:00,2017-02-21 15:00:00,201.35
2017-02-21 16:00:00,2017-02-21 16:00:00,203.8667
2017-02-21 17:00:00,2017-02-21 17:00:00,207.9833
2017-02-21 18:00:00,2017-02-21 18:00:00,204.25
2017-02-21 19:00:00,2017-02-21 19:00:00,186.5833
2017-02-21 20:00:00,2017-02-21 20:00:00,182.8167
2017-02-21 21:00:00,2017-02-21 21:00:00,188.45
2017-02-21 22:00:00,2017-02-21 22:00:00,181.6333
2017-02-21 23:00:00,2017-02-21 23:00:00,174.9833
2017-02-22 00:00:00,2017-02-22 00:00:00,166.1333
2017-02-22 01:00:00,2017-02-22 01:00:00,161.05
2017-02-22 02:00:00,2017-02-22 02:00:00,160.6667
2017-02-22 03:00:00,2017-02-22 03:00:00,159.6333
2017-02-22 04:00:00,2017-02-22 04:00:00,161.0833
2017-02-22 05:00:00,2017-02-22 05:00:00,161.95
2017-02-22 06:00:00,2017-02-22 06:00:00,159.05
2017-02-22 07:00:00,2017-02-22 07:00:00,198.7833
2017-02-22 08:00:00,2017-02-22 08:00:00,204.6333
2017-02-22 09:00:00,2017-02-22 09:00:00,208.9
2017-02-22 10:00:00,2017-02-22 10:00:00,209.4
2017-02-22 11:00:00,2017-02-22 11:00:00,212.7833
2017-02-22 12:00:00,2017-02-22 12:00:00,208.15
2017-02-22 13:00:00,2017-02-22 13:00:00,203.1333
2017-02-22 14:00:00,2017-02-22 14:00:00,206.8333
2017-02-22 15:00:00,2017-02-22 15:00:00,197.0333
2017-02-22 16:00:00,2017-02-22 16:00:00,209.5667
2017-02-22 17:00:00,2017-02-22 17:00:00,199.0333
2017-02-22 18:00:00,2017-02-22 18:00:00,197.8833
2017-02-22 19:00:00,2017-02-22 19:00:00,195.9833
2017-02-22 20:00:00,2017-02-22 20:00:00,177.3333
2017-02-22 21:00:00,2017-02-22 21:00:00,179.2
2017-02-22 22:00:00,2017-02-22 22:00:00,178.25
2017-02-22 23:00:00,2017-02-22 23:00:00,160.6333
2017-02-23 00:00:00,2017-02-23 00:00:00,159.6333
2017-02-23 01:00:00,2017-02-23 01:00:00,163.6667
2017-02-23 02:00:00,2017-02-23 02:00:00,162.4167
2017-02-23 03:00:00,2017-02-23 03:00:00,163.5167
2017-02-23 04:00:00,2017-02-23 04:00:00,163.0167
2017-02-23 05:00:00,2017-02-23 05:00:00,165.7667
2017-02-23 06:00:00,2017-02-23 06:00:00,172.6833
2017-02-23 07:00:00,2017-02-23 07:00:00,185.2
2017-02-23 08:00:00,2017-02-23 08:00:00,196.2167
2017-02-23 09:00:00,2017-02-23 09:00:00,199.2833
2017-02-23 10:00:00,2017-02-23 10:00:00,167.8167
2017-02-23 11:00:00,2017-02-23 11:00:00,201.9667
2017-02-23 12:00:00,2017-02-23 12:00:00,206.2167
2017-02-23 13:00:00,2017-02-23 13:00:00,195.3167
2017-02-23 14:00:00,2017-02-23 14:00:00,194.9667
2017-02-23 15:00:00,2017-02-23 15:00:00,193.0833
2017-02-23 16:00:00,2017-02-23 16:00:00,216.1
2017-02-23 17:00:00,2017-02-23 17:00:00,201.6667
2017-02-23 18:00:00,2017-02-23 18:00:00,187.8
2017-02-23 19:00:00,2017-02-23 19:00:00,197.0333
2017-02-23 20:00:00,2017-02-23 20:00:00,184.55
2017-02-23 21:00:00,2017-02-23 21:00:00,182.0667
2017-02-23 22:00:00,2017-02-23 22:00:00,180.2667
2017-02-23 23:00:00,2017-02-23 23:00:00,164.2833
2017-02-24 00:00:00,2017-02-24 00:00:00,165.75
2017-02-24 01:00:00,2017-02-24 01:00:00,159.4667
2017-02-24 02:00:00,2017-02-24 02:00:00,166.4667
2017-02-24 03:00:00,2017-02-24 03:00:00,163.0833
2017-02-24 04:00:00,2017-02-24 04:00:00,170.6333
2017-02-24 05:00:00,2017-02-24 05:00:00,169.4
2017-02-24 06:00:00,2017-02-24 06:00:00,171.9333
2017-02-24 07:00:00,2017-02-24 07:00:00,162.6833
2017-02-24 08:00:00,2017-02-24 08:00:00,176.4667
2017-02-24 09:00:00,2017-02-24 09:00:00,196.0167
2017-02-24 10:00:00,2017-02-24 10:00:00,196.85
2017-02-24 11:00:00,2017-02-24 11:00:00,221.7667
2017-02-24 12:00:00,2017-02-24 12:00:00,205.1167
2017-02-24 13:00:00,2017-02-24 13:00:00,201.5667
2017-02-24 14:00:00,2017-02-24 14:00:00,202.8
2017-02-24 15:00:00,2017-02-24 15:00:00,199.25
2017-02-24 16:00:00,2017-02-24 16:00:00,199.4167
2017-02-24 17:00:00,2017-02-24 17:00:00,205.1667
2017-02-24 18:00:00,2017-02-24 18:00:00,193.55
2017-02-24 19:00:00,2017-02-24 19:00:00,191.6333
2017-02-24 20:00:00,2017-02-24 20:00:00,195.6333
2017-02-24 21:00:00,2017-02-24 21:00:00,183.4
2017-02-24 22:00:00,2017-02-24 22:00:00,181.2333
2017-02-24 23:00:00,2017-02-24 23:00:00,162.6833
