timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,481.05
2016-01-01 01:00:00,2016-01-01 01:00:00,487.95
2016-01-01 02:00:00,2016-01-01 02:00:00,474.5667
2016-01-01 03:00:00,2016-01-01 03:00:00,481.1167
2016-01-01 04:00:00,2016-01-01 04:00:00,485.8667
2016-01-01 05:00:00,2016-01-01 05:00:00,492.7667
2016-01-01 06:00:00,2016-01-01 06:00:00,510.1167
2016-01-01 07:00:00,2016-01-01 07:00:00,498.8333
2016-01-01 08:00:00,2016-01-01 08:00:00,495.3333
2016-01-01 09:00:00,2016-01-01 09:00:00,495.0833
2016-01-01 10:00:00,2016-01-01 10:00:00,502.5833
2016-01-01 11:00:00,2016-01-01 11:00:00,506.9
2016-01-01 12:00:00,2016-01-01 12:00:00,504.2167
2016-01-01 13:00:00,2016-01-01 13:00:00,511.25
2016-01-01 14:00:00,2016-01-01 14:00:00,511.85
2016-01-01 15:00:00,2016-01-01 15:00:00,500.7333
2016-01-01 16:00:00,2016-01-01 16:00:00,497.6
2016-01-01 17:00:00,2016-01-01 17:00:00,509.1167
2016-01-01 18:00:00,2016-01-01 18:00:00,512.65
2016-01-01 19:00:00,2016-01-01 19:00:00,496.3667
2016-01-01 20:00:00,2016-01-01 20:00:00,513.3833
2016-01-01 21:00:00,2016-01-01 21:00:00,512.5667
2016-01-01 22:00:00,2016-01-01 22:00:00,493.0167
2016-01-01 23:00:00,2016-01-01 23:00:00,495.6
2016-01-02 00:00:00,2016-01-02 00:00:00,504.4833
2016-01-02 01:00:00,2016-01-02 01:00:00,491.9167
2016-01-02 02:00:00,2016-01-02 02:00:00,500.9167
2016-01-02 03:00:00,2016-01-02 03:00:00,500.1167
2016-01-02 04:00:00,2016-01-02 04:00:00,492.6833
2016-01-02 05:00:00,2016-01-02 05:00:00,504.8167
2016-01-02 06:00:00,2016-01-02 06:00:00,491.6
2016-01-02 07:00:00,2016-01-02 07:00:00,493.3167
2016-01-02 08:00:00,2016-01-02 08:00:00,491.9833
2016-01-02 09:00:00,2016-01-02 09:00:00,507.9
2016-01-02 10:00:00,2016-01-02 10:00:00,508.9667
2016-01-02 11:00:00,2016-01-02 11:00:00,528.0
2016-01-02 12:00:00,2016-01-02 12:00:00,535.3
2016-01-02 13:00:00,2016-01-02 13:00:00,541.4
2016-01-02 14:00:00,2016-01-02 14:00:00,535.6167
2016-01-02 15:00:00,2016-01-02 15:00:00,521.65
2016-01-02 16:00:00,2016-01-02 16:00:00,512.4167
2016-01-02 17:00:00,2016-01-02 17:00:00,504.25
2016-01-02 18:00:00,2016-01-02 18:00:00,498.4667
2016-01-02 19:00:00,2016-01-02 19:00:00,492.8167
2016-01-02 20:00:00,2016-01-02 20:00:00,499.2333
2016-01-02 21:00:00,2016-01-02 21:00:00,485.7
2016-01-02 22:00:00,2016-01-02 22:00:00,497.15
2016-01-02 23:00:00,2016-01-02 23:00:00,485.9167
2016-01-03 00:00:00,2016-01-03 00:00:00,493.3833
2016-01-03 01:00:00,2016-01-03 01:00:00,499.9167
2016-01-03 02:00:00,2016-01-03 02:00:00,487.7333
2016-01-03 03:00:00,2016-01-03 03:00:00,495.65
2016-01-03 04:00:00,2016-01-03 04:00:00,494.3333
2016-01-03 05:00:00,2016-01-03 05:00:00,486.65
2016-01-03 06:00:00,2016-01-03 06:00:00,490.25
2016-01-03 07:00:00,2016-01-03 07:00:00,499.05
2016-01-03 08:00:00,2016-01-03 08:00:00,510.3667
2016-01-03 09:00:00,2016-01-03 09:00:00,481.1833
2016-01-03 10:00:00,2016-01-03 10:00:00,479.15
2016-01-03 11:00:00,2016-01-03 11:00:00,476.4333
2016-01-03 12:00:00,2016-01-03 12:00:00,483.4667
2016-01-03 13:00:00,2016-01-03 13:00:00,490.2
2016-01-03 14:00:00,2016-01-03 14:00:00,494.5667
2016-01-03 15:00:00,2016-01-03 15:00:00,500.45
2016-01-03 16:00:00,2016-01-03 16:00:00,499.9833
2016-01-03 17:00:00,2016-01-03 17:00:00,509.8333
2016-01-03 18:00:00,2016-01-03 18:00:00,481.1833
2016-01-03 19:00:00,2016-01-03 19:00:00,505.3167
2016-01-03 20:00:00,2016-01-03 20:00:00,497.35
2016-01-03 21:00:00,2016-01-03 21:00:00,499.2167
2016-01-03 22:00:00,2016-01-03 22:00:00,495.95
2016-01-03 23:00:00,2016-01-03 23:00:00,492.05
2016-01-04 00:00:00,2016-01-04 00:00:00,486.7333
2016-01-04 01:00:00,2016-01-04 01:00:00,502.1333
2016-01-04 02:00:00,2016-01-04 02:00:00,488.15
2016-01-04 03:00:00,2016-01-04 03:00:00,488.1667
2016-01-04 04:00:00,2016-01-04 04:00:00,493.3667
2016-01-04 05:00:00,2016-01-04 05:00:00,507.4333
2016-01-04 06:00:00,2016-01-04 06:00:00,518.25
2016-01-04 07:00:00,2016-01-04 07:00:00,523.65
2016-01-04 08:00:00,2016-01-04 08:00:00,528.1
2016-01-04 09:00:00,2016-01-04 09:00:00,538.15
2016-01-04 10:00:00,2016-01-04 10:00:00,543.0333
2016-01-04 11:00:00,2016-01-04 11:00:00,563.9167
2016-01-04 13:00:00,2016-01-04 13:00:00,588.75
2016-01-04 14:00:00,2016-01-04 14:00:00,580.0
2016-01-04 19:00:00,2016-01-04 19:00:00,548.5333
2016-01-04 20:00:00,2016-01-04 20:00:00,521.6
2016-01-04 21:00:00,2016-01-04 21:00:00,532.15
2016-01-04 22:00:00,2016-01-04 22:00:00,508.7667
2016-01-04 23:00:00,2016-01-04 23:00:00,512.15
2016-01-05 00:00:00,2016-01-05 00:00:00,496.6833
2016-01-05 01:00:00,2016-01-05 01:00:00,489.6833
2016-01-05 02:00:00,2016-01-05 02:00:00,490.4667
2016-01-05 03:00:00,2016-01-05 03:00:00,494.0167
2016-01-05 04:00:00,2016-01-05 04:00:00,499.7
2016-01-05 05:00:00,2016-01-05 05:00:00,499.1167
2016-01-05 06:00:00,2016-01-05 06:00:00,510.9833
2016-01-05 07:00:00,2016-01-05 07:00:00,540.1167
2016-01-05 08:00:00,2016-01-05 08:00:00,533.7
2016-01-05 09:00:00,2016-01-05 09:00:00,533.1167
2016-01-05 10:00:00,2016-01-05 10:00:00,561.6
2016-01-05 11:00:00,2016-01-05 11:00:00,543.0667
2016-01-05 12:00:00,2016-01-05 12:00:00,559.75
2016-01-05 13:00:00,2016-01-05 13:00:00,571.3667
2016-01-05 14:00:00,2016-01-05 14:00:00,577.1333
2016-01-05 15:00:00,2016-01-05 15:00:00,587.7667
2016-01-05 18:00:00,2016-01-05 18:00:00,578.8833
2016-01-05 19:00:00,2016-01-05 19:00:00,542.55
2016-01-05 20:00:00,2016-01-05 20:00:00,514.9167
2016-01-05 21:00:00,2016-01-05 21:00:00,518.3667
2016-01-05 22:00:00,2016-01-05 22:00:00,510.15
2016-01-05 23:00:00,2016-01-05 23:00:00,514.25
2016-01-06 00:00:00,2016-01-06 00:00:00,506.8833
2016-01-06 01:00:00,2016-01-06 01:00:00,502.3167
2016-01-06 02:00:00,2016-01-06 02:00:00,508.7667
2016-01-06 03:00:00,2016-01-06 03:00:00,498.4667
2016-01-06 04:00:00,2016-01-06 04:00:00,498.2833
2016-01-06 05:00:00,2016-01-06 05:00:00,515.3167
2016-01-06 06:00:00,2016-01-06 06:00:00,534.3333
2016-01-06 07:00:00,2016-01-06 07:00:00,525.6833
2016-01-06 08:00:00,2016-01-06 08:00:00,538.9
2016-01-06 09:00:00,2016-01-06 09:00:00,542.1167
2016-01-06 10:00:00,2016-01-06 10:00:00,576.0833
2016-01-06 12:00:00,2016-01-06 12:00:00,584.8167
2016-01-06 13:00:00,2016-01-06 13:00:00,588.3333
2016-01-06 16:00:00,2016-01-06 16:00:00,580.2167
2016-01-06 17:00:00,2016-01-06 17:00:00,571.8167
2016-01-06 18:00:00,2016-01-06 18:00:00,553.9333
2016-01-06 19:00:00,2016-01-06 19:00:00,526.9
2016-01-06 20:00:00,2016-01-06 20:00:00,528.4167
2016-01-06 21:00:00,2016-01-06 21:00:00,514.4
2016-01-06 22:00:00,2016-01-06 22:00:00,505.4667
2016-01-06 23:00:00,2016-01-06 23:00:00,502.0833
2016-01-07 00:00:00,2016-01-07 00:00:00,499.9833
2016-01-07 01:00:00,2016-01-07 01:00:00,503.9167
2016-01-07 02:00:00,2016-01-07 02:00:00,507.1
2016-01-07 03:00:00,2016-01-07 03:00:00,495.9833
2016-01-07 04:00:00,2016-01-07 04:00:00,496.7833
2016-01-07 05:00:00,2016-01-07 05:00:00,508.2667
2016-01-07 06:00:00,2016-01-07 06:00:00,524.3
2016-01-07 07:00:00,2016-01-07 07:00:00,530.4
2016-01-07 08:00:00,2016-01-07 08:00:00,516.9167
2016-01-07 09:00:00,2016-01-07 09:00:00,536.9333
2016-01-07 10:00:00,2016-01-07 10:00:00,572.85
2016-01-07 11:00:00,2016-01-07 11:00:00,560.4167
2016-01-07 18:00:00,2016-01-07 18:00:00,584.3
2016-01-07 19:00:00,2016-01-07 19:00:00,551.5167
2016-01-07 20:00:00,2016-01-07 20:00:00,523.8
2016-01-07 21:00:00,2016-01-07 21:00:00,532.4333
2016-01-07 22:00:00,2016-01-07 22:00:00,516.6667
2016-01-07 23:00:00,2016-01-07 23:00:00,507.9
2016-01-08 00:00:00,2016-01-08 00:00:00,509.3167
2016-01-08 01:00:00,2016-01-08 01:00:00,507.65
2016-01-08 02:00:00,2016-01-08 02:00:00,499.0833
2016-01-08 03:00:00,2016-01-08 03:00:00,507.6833
2016-01-08 04:00:00,2016-01-08 04:00:00,502.55
2016-01-08 05:00:00,2016-01-08 05:00:00,499.55
2016-01-08 06:00:00,2016-01-08 06:00:00,517.1667
2016-01-08 07:00:00,2016-01-08 07:00:00,524.9667
2016-01-08 08:00:00,2016-01-08 08:00:00,535.5333
2016-01-08 09:00:00,2016-01-08 09:00:00,531.4
2016-01-08 10:00:00,2016-01-08 10:00:00,553.8
