timestamp,timestamp,meter_reading
2017-02-24 20:00:00,2017-02-24 20:00:00,786.0417
2017-02-24 21:00:00,2017-02-24 21:00:00,762.7333
2017-02-24 22:00:00,2017-02-24 22:00:00,755.2333
2017-02-24 23:00:00,2017-02-24 23:00:00,754.2667
2017-02-25 00:00:00,2017-02-25 00:00:00,738.3667
2017-02-25 01:00:00,2017-02-25 01:00:00,744.3333
2017-02-25 02:00:00,2017-02-25 02:00:00,741.95
2017-02-25 03:00:00,2017-02-25 03:00:00,735.1833
2017-02-25 04:00:00,2017-02-25 04:00:00,731.1667
2017-02-25 05:00:00,2017-02-25 05:00:00,731.4833
2017-02-25 06:00:00,2017-02-25 06:00:00,738.75
2017-02-25 07:00:00,2017-02-25 07:00:00,736.6667
2017-02-25 08:00:00,2017-02-25 08:00:00,739.55
2017-02-25 09:00:00,2017-02-25 09:00:00,736.7667
2017-02-25 10:00:00,2017-02-25 10:00:00,749.4833
2017-02-25 11:00:00,2017-02-25 11:00:00,750.3333
2017-02-25 12:00:00,2017-02-25 12:00:00,751.6667
2017-02-25 13:00:00,2017-02-25 13:00:00,750.1333
2017-02-25 14:00:00,2017-02-25 14:00:00,748.1167
2017-02-25 15:00:00,2017-02-25 15:00:00,769.2167
2017-02-25 16:00:00,2017-02-25 16:00:00,753.9333
2017-02-25 17:00:00,2017-02-25 17:00:00,755.1333
2017-02-25 18:00:00,2017-02-25 18:00:00,763.2333
2017-02-25 19:00:00,2017-02-25 19:00:00,747.1667
2017-02-25 20:00:00,2017-02-25 20:00:00,744.0667
2017-02-25 21:00:00,2017-02-25 21:00:00,741.15
2017-02-25 22:00:00,2017-02-25 22:00:00,743.45
2017-02-25 23:00:00,2017-02-25 23:00:00,733.1
2017-02-26 00:00:00,2017-02-26 00:00:00,729.4667
2017-02-26 01:00:00,2017-02-26 01:00:00,724.6167
2017-02-26 02:00:00,2017-02-26 02:00:00,736.25
2017-02-26 03:00:00,2017-02-26 03:00:00,739.15
2017-02-26 04:00:00,2017-02-26 04:00:00,717.6833
2017-02-26 05:00:00,2017-02-26 05:00:00,733.6833
2017-02-26 06:00:00,2017-02-26 06:00:00,735.1
2017-02-26 07:00:00,2017-02-26 07:00:00,726.9667
2017-02-26 08:00:00,2017-02-26 08:00:00,716.6833
2017-02-26 09:00:00,2017-02-26 09:00:00,727.7333
2017-02-26 10:00:00,2017-02-26 10:00:00,753.3167
2017-02-26 11:00:00,2017-02-26 11:00:00,749.7667
2017-02-26 12:00:00,2017-02-26 12:00:00,747.9
2017-02-26 13:00:00,2017-02-26 13:00:00,764.8333
2017-02-26 14:00:00,2017-02-26 14:00:00,765.25
2017-02-26 15:00:00,2017-02-26 15:00:00,752.1333
2017-02-26 16:00:00,2017-02-26 16:00:00,749.5833
2017-02-26 17:00:00,2017-02-26 17:00:00,755.2167
2017-02-26 18:00:00,2017-02-26 18:00:00,756.85
2017-02-26 19:00:00,2017-02-26 19:00:00,751.3667
2017-02-26 20:00:00,2017-02-26 20:00:00,747.9
2017-02-26 21:00:00,2017-02-26 21:00:00,744.1
2017-02-26 22:00:00,2017-02-26 22:00:00,758.8833
2017-02-26 23:00:00,2017-02-26 23:00:00,744.65
2017-02-27 00:00:00,2017-02-27 00:00:00,731.5333
2017-02-27 01:00:00,2017-02-27 01:00:00,750.0167
2017-02-27 02:00:00,2017-02-27 02:00:00,745.5167
2017-02-27 03:00:00,2017-02-27 03:00:00,725.9333
2017-02-27 04:00:00,2017-02-27 04:00:00,733.0667
2017-02-27 05:00:00,2017-02-27 05:00:00,742.2833
2017-02-27 06:00:00,2017-02-27 06:00:00,766.45
2017-02-27 07:00:00,2017-02-27 07:00:00,779.9167
2017-02-27 08:00:00,2017-02-27 08:00:00,813.0667
2017-02-27 09:00:00,2017-02-27 09:00:00,860.0833
2017-02-27 10:00:00,2017-02-27 10:00:00,895.4833
2017-02-27 11:00:00,2017-02-27 11:00:00,901.1667
2017-02-27 12:00:00,2017-02-27 12:00:00,888.5
2017-02-27 13:00:00,2017-02-27 13:00:00,884.6167
2017-02-27 14:00:00,2017-02-27 14:00:00,899.3
2017-02-27 15:00:00,2017-02-27 15:00:00,887.9667
2017-02-27 16:00:00,2017-02-27 16:00:00,875.3167
2017-02-27 17:00:00,2017-02-27 17:00:00,858.8667
2017-02-27 18:00:00,2017-02-27 18:00:00,832.6167
2017-02-27 19:00:00,2017-02-27 19:00:00,807.9167
2017-02-27 20:00:00,2017-02-27 20:00:00,799.1833
2017-02-27 21:00:00,2017-02-27 21:00:00,791.95
2017-02-27 22:00:00,2017-02-27 22:00:00,776.0167
2017-02-27 23:00:00,2017-02-27 23:00:00,763.6
2017-02-28 00:00:00,2017-02-28 00:00:00,750.6833
2017-02-28 01:00:00,2017-02-28 01:00:00,748.3833
2017-02-28 02:00:00,2017-02-28 02:00:00,745.3833
2017-02-28 03:00:00,2017-02-28 03:00:00,751.3167
2017-02-28 04:00:00,2017-02-28 04:00:00,744.75
2017-02-28 05:00:00,2017-02-28 05:00:00,749.6667
2017-02-28 06:00:00,2017-02-28 06:00:00,768.6667
2017-02-28 07:00:00,2017-02-28 07:00:00,786.2167
2017-02-28 08:00:00,2017-02-28 08:00:00,804.15
2017-02-28 09:00:00,2017-02-28 09:00:00,849.7
2017-02-28 10:00:00,2017-02-28 10:00:00,886.9333
2017-02-28 11:00:00,2017-02-28 11:00:00,876.5833
2017-02-28 12:00:00,2017-02-28 12:00:00,863.4667
2017-02-28 13:00:00,2017-02-28 13:00:00,878.9
2017-02-28 14:00:00,2017-02-28 14:00:00,865.0333
2017-02-28 15:00:00,2017-02-28 15:00:00,872.7167
2017-02-28 16:00:00,2017-02-28 16:00:00,865.65
2017-02-28 17:00:00,2017-02-28 17:00:00,847.1167
2017-02-28 18:00:00,2017-02-28 18:00:00,813.8333
2017-02-28 19:00:00,2017-02-28 19:00:00,789.5833
2017-02-28 20:00:00,2017-02-28 20:00:00,784.05
2017-02-28 21:00:00,2017-02-28 21:00:00,757.7333
2017-02-28 22:00:00,2017-02-28 22:00:00,743.9333
2017-02-28 23:00:00,2017-02-28 23:00:00,744.6833
2017-03-01 00:00:00,2017-03-01 00:00:00,746.8833
2017-03-01 01:00:00,2017-03-01 01:00:00,727.8
2017-03-01 02:00:00,2017-03-01 02:00:00,737.1333
2017-03-01 03:00:00,2017-03-01 03:00:00,737.8167
2017-03-01 04:00:00,2017-03-01 04:00:00,731.1667
2017-03-01 05:00:00,2017-03-01 05:00:00,725.1333
2017-03-01 06:00:00,2017-03-01 06:00:00,771.4833
2017-03-01 07:00:00,2017-03-01 07:00:00,774.8333
2017-03-01 08:00:00,2017-03-01 08:00:00,800.7167
2017-03-01 09:00:00,2017-03-01 09:00:00,857.2833
2017-03-01 10:00:00,2017-03-01 10:00:00,884.2
2017-03-01 11:00:00,2017-03-01 11:00:00,900.3
2017-03-01 12:00:00,2017-03-01 12:00:00,890.0833
2017-03-01 13:00:00,2017-03-01 13:00:00,887.3
2017-03-01 14:00:00,2017-03-01 14:00:00,899.7
2017-03-01 15:00:00,2017-03-01 15:00:00,900.8
2017-03-01 16:00:00,2017-03-01 16:00:00,880.15
2017-03-01 17:00:00,2017-03-01 17:00:00,865.5333
2017-03-01 18:00:00,2017-03-01 18:00:00,829.85
2017-03-01 19:00:00,2017-03-01 19:00:00,811.2667
2017-03-01 20:00:00,2017-03-01 20:00:00,799.8667
2017-03-01 21:00:00,2017-03-01 21:00:00,787.3167
2017-03-01 22:00:00,2017-03-01 22:00:00,775.2833
2017-03-01 23:00:00,2017-03-01 23:00:00,773.0167
2017-03-02 00:00:00,2017-03-02 00:00:00,756.15
2017-03-02 01:00:00,2017-03-02 01:00:00,750.7833
2017-03-02 02:00:00,2017-03-02 02:00:00,742.9667
2017-03-02 03:00:00,2017-03-02 03:00:00,751.4833
2017-03-02 04:00:00,2017-03-02 04:00:00,747.0167
2017-03-02 05:00:00,2017-03-02 05:00:00,757.0167
2017-03-02 06:00:00,2017-03-02 06:00:00,769.9833
2017-03-02 07:00:00,2017-03-02 07:00:00,799.3333
2017-03-02 08:00:00,2017-03-02 08:00:00,823.1833
2017-03-02 09:00:00,2017-03-02 09:00:00,857.0167
2017-03-02 10:00:00,2017-03-02 10:00:00,891.4333
2017-03-02 11:00:00,2017-03-02 11:00:00,904.3667
2017-03-02 12:00:00,2017-03-02 12:00:00,892.3833
2017-03-02 13:00:00,2017-03-02 13:00:00,886.2833
2017-03-02 14:00:00,2017-03-02 14:00:00,890.1167
2017-03-02 15:00:00,2017-03-02 15:00:00,895.9667
2017-03-02 16:00:00,2017-03-02 16:00:00,884.8667
2017-03-02 17:00:00,2017-03-02 17:00:00,859.0333
2017-03-02 18:00:00,2017-03-02 18:00:00,818.2167
2017-03-02 19:00:00,2017-03-02 19:00:00,803.05
2017-03-02 20:00:00,2017-03-02 20:00:00,784.6833
2017-03-02 21:00:00,2017-03-02 21:00:00,772.7167
2017-03-02 22:00:00,2017-03-02 22:00:00,747.7167
2017-03-02 23:00:00,2017-03-02 23:00:00,747.3667
2017-03-03 00:00:00,2017-03-03 00:00:00,748.25
2017-03-03 01:00:00,2017-03-03 01:00:00,752.1167
2017-03-03 02:00:00,2017-03-03 02:00:00,745.25
2017-03-03 03:00:00,2017-03-03 03:00:00,731.0667
2017-03-03 04:00:00,2017-03-03 04:00:00,733.0
2017-03-03 05:00:00,2017-03-03 05:00:00,756.1833
2017-03-03 06:00:00,2017-03-03 06:00:00,768.9833
2017-03-03 07:00:00,2017-03-03 07:00:00,782.3
2017-03-03 08:00:00,2017-03-03 08:00:00,815.35
2017-03-03 09:00:00,2017-03-03 09:00:00,850.8667
2017-03-03 10:00:00,2017-03-03 10:00:00,875.6667
2017-03-03 11:00:00,2017-03-03 11:00:00,890.7667
2017-03-03 12:00:00,2017-03-03 12:00:00,875.8333
2017-03-03 13:00:00,2017-03-03 13:00:00,880.5833
2017-03-03 14:00:00,2017-03-03 14:00:00,886.6667
2017-03-03 15:00:00,2017-03-03 15:00:00,876.25
2017-03-03 16:00:00,2017-03-03 16:00:00,865.8833
2017-03-03 17:00:00,2017-03-03 17:00:00,853.25
2017-03-03 18:00:00,2017-03-03 18:00:00,808.1
2017-03-03 19:00:00,2017-03-03 19:00:00,782.3333
2017-03-03 20:00:00,2017-03-03 20:00:00,773.6333
2017-03-03 21:00:00,2017-03-03 21:00:00,768.95
2017-03-03 22:00:00,2017-03-03 22:00:00,752.95
2017-03-03 23:00:00,2017-03-03 23:00:00,744.5167
2017-03-04 00:00:00,2017-03-04 00:00:00,748.0333
2017-03-04 01:00:00,2017-03-04 01:00:00,732.05
2017-03-04 02:00:00,2017-03-04 02:00:00,735.2167
2017-03-04 03:00:00,2017-03-04 03:00:00,736.8333
2017-03-04 04:00:00,2017-03-04 04:00:00,748.9333
2017-03-04 05:00:00,2017-03-04 05:00:00,742.4
2017-03-04 06:00:00,2017-03-04 06:00:00,745.35
2017-03-04 07:00:00,2017-03-04 07:00:00,736.0667
2017-03-04 08:00:00,2017-03-04 08:00:00,759.0167
2017-03-04 09:00:00,2017-03-04 09:00:00,756.5167
2017-03-04 10:00:00,2017-03-04 10:00:00,752.2833
2017-03-04 11:00:00,2017-03-04 11:00:00,750.5333
2017-03-04 12:00:00,2017-03-04 12:00:00,776.9167
2017-03-04 13:00:00,2017-03-04 13:00:00,784.0833
2017-03-04 14:00:00,2017-03-04 14:00:00,790.9667
2017-03-04 15:00:00,2017-03-04 15:00:00,777.6667
2017-03-04 16:00:00,2017-03-04 16:00:00,788.9667
2017-03-04 17:00:00,2017-03-04 17:00:00,784.65
2017-03-04 18:00:00,2017-03-04 18:00:00,794.0333
2017-03-04 19:00:00,2017-03-04 19:00:00,797.0
2017-03-04 20:00:00,2017-03-04 20:00:00,799.35
2017-03-04 21:00:00,2017-03-04 21:00:00,782.6667
2017-03-04 22:00:00,2017-03-04 22:00:00,774.6667
