timestamp,timestamp,meter_reading
2017-02-18 02:00:00,2017-02-18 02:00:00,650.5637
2017-02-18 03:00:00,2017-02-18 03:00:00,651.0555
2017-02-18 04:00:00,2017-02-18 04:00:00,666.5032
2017-02-18 05:00:00,2017-02-18 05:00:00,657.3805
2017-02-18 06:00:00,2017-02-18 06:00:00,657.3862
2017-02-18 07:00:00,2017-02-18 07:00:00,649.5667
2017-02-18 08:00:00,2017-02-18 08:00:00,623.825
2017-02-18 09:00:00,2017-02-18 09:00:00,690.4917
2017-02-18 10:00:00,2017-02-18 10:00:00,690.0722
2017-02-18 11:00:00,2017-02-18 11:00:00,699.661
2017-02-18 12:00:00,2017-02-18 12:00:00,711.7637
2017-02-18 13:00:00,2017-02-18 13:00:00,688.8862
2017-02-18 14:00:00,2017-02-18 14:00:00,661.4195
2017-02-18 15:00:00,2017-02-18 15:00:00,710.9695
2017-02-18 16:00:00,2017-02-18 16:00:00,695.1057
2017-02-18 17:00:00,2017-02-18 17:00:00,692.1192
2017-02-18 18:00:00,2017-02-18 18:00:00,690.9663
2017-02-18 19:00:00,2017-02-18 19:00:00,658.4748
2017-02-18 20:00:00,2017-02-18 20:00:00,656.2528
2017-02-18 21:00:00,2017-02-18 21:00:00,650.8972
2017-02-18 22:00:00,2017-02-18 22:00:00,635.6248
2017-02-18 23:00:00,2017-02-18 23:00:00,620.5222
2017-02-19 00:00:00,2017-02-19 00:00:00,648.778
2017-02-19 01:00:00,2017-02-19 01:00:00,639.15
2017-02-19 02:00:00,2017-02-19 02:00:00,644.9833
2017-02-19 03:00:00,2017-02-19 03:00:00,643.172
2017-02-19 04:00:00,2017-02-19 04:00:00,633.886
2017-02-19 05:00:00,2017-02-19 05:00:00,635.261
2017-02-19 06:00:00,2017-02-19 06:00:00,635.9083
2017-02-19 07:00:00,2017-02-19 07:00:00,622.5667
2017-02-19 08:00:00,2017-02-19 08:00:00,646.1862
2017-02-19 09:00:00,2017-02-19 09:00:00,657.9947
2017-02-19 10:00:00,2017-02-19 10:00:00,676.6835
2017-02-19 11:00:00,2017-02-19 11:00:00,674.8725
2017-02-19 12:00:00,2017-02-19 12:00:00,679.3055
2017-02-19 13:00:00,2017-02-19 13:00:00,686.9137
2017-02-19 14:00:00,2017-02-19 14:00:00,693.7057
2017-02-19 15:00:00,2017-02-19 15:00:00,692.9418
2017-02-19 16:00:00,2017-02-19 16:00:00,696.2722
2017-02-19 17:00:00,2017-02-19 17:00:00,680.9388
2017-02-19 18:00:00,2017-02-19 18:00:00,677.5802
2017-02-19 19:00:00,2017-02-19 19:00:00,675.9803
2017-02-19 20:00:00,2017-02-19 20:00:00,660.8417
2017-02-19 21:00:00,2017-02-19 21:00:00,577.3803
2017-02-19 22:00:00,2017-02-19 22:00:00,570.2947
2017-02-19 23:00:00,2017-02-19 23:00:00,578.9638
2017-02-20 00:00:00,2017-02-20 00:00:00,573.475
2017-02-20 01:00:00,2017-02-20 01:00:00,569.9778
2017-02-20 02:00:00,2017-02-20 02:00:00,560.5222
2017-02-20 03:00:00,2017-02-20 03:00:00,552.5833
2017-02-20 04:00:00,2017-02-20 04:00:00,567.5087
2017-02-20 05:00:00,2017-02-20 05:00:00,564.2443
2017-02-20 06:00:00,2017-02-20 06:00:00,561.4613
2017-02-20 07:00:00,2017-02-20 07:00:00,601.364
2017-02-20 08:00:00,2017-02-20 08:00:00,641.5278
2017-02-20 09:00:00,2017-02-20 09:00:00,690.9668
2017-02-20 10:00:00,2017-02-20 10:00:00,691.664
2017-02-20 11:00:00,2017-02-20 11:00:00,712.986
2017-02-20 12:00:00,2017-02-20 12:00:00,702.2998
2017-02-20 13:00:00,2017-02-20 13:00:00,685.5027
2017-02-20 14:00:00,2017-02-20 14:00:00,682.4225
2017-02-20 15:00:00,2017-02-20 15:00:00,677.8
2017-02-20 16:00:00,2017-02-20 16:00:00,654.5418
2017-02-20 17:00:00,2017-02-20 17:00:00,650.7057
2017-02-20 18:00:00,2017-02-20 18:00:00,663.4667
2017-02-20 19:00:00,2017-02-20 19:00:00,603.697
2017-02-20 20:00:00,2017-02-20 20:00:00,590.225
2017-02-20 21:00:00,2017-02-20 21:00:00,587.45
2017-02-20 22:00:00,2017-02-20 22:00:00,574.8917
2017-02-20 23:00:00,2017-02-20 23:00:00,571.1528
2017-02-21 00:00:00,2017-02-21 00:00:00,570.4358
2017-02-21 01:00:00,2017-02-21 01:00:00,563.0305
2017-02-21 02:00:00,2017-02-21 02:00:00,562.95
2017-02-21 03:00:00,2017-02-21 03:00:00,556.4802
2017-02-21 04:00:00,2017-02-21 04:00:00,558.8832
2017-02-21 05:00:00,2017-02-21 05:00:00,559.4693
2017-02-21 06:00:00,2017-02-21 06:00:00,571.8112
2017-02-21 07:00:00,2017-02-21 07:00:00,610.2248
2017-02-21 08:00:00,2017-02-21 08:00:00,604.267
2017-02-21 09:00:00,2017-02-21 09:00:00,648.6335
2017-02-21 10:00:00,2017-02-21 10:00:00,688.6557
2017-02-21 11:00:00,2017-02-21 11:00:00,709.3585
2017-02-21 12:00:00,2017-02-21 12:00:00,691.7527
2017-02-21 13:00:00,2017-02-21 13:00:00,707.0915
2017-02-21 14:00:00,2017-02-21 14:00:00,698.7752
2017-02-21 15:00:00,2017-02-21 15:00:00,684.7222
2017-02-21 16:00:00,2017-02-21 16:00:00,678.3085
