timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,236.7833
2016-01-01 01:00:00,2016-01-01 01:00:00,237.8667
2016-01-01 02:00:00,2016-01-01 02:00:00,237.4833
2016-01-01 03:00:00,2016-01-01 03:00:00,236.9667
2016-01-01 04:00:00,2016-01-01 04:00:00,236.7167
2016-01-01 05:00:00,2016-01-01 05:00:00,240.5667
2016-01-01 06:00:00,2016-01-01 06:00:00,217.5333
2016-01-01 07:00:00,2016-01-01 07:00:00,207.9833
2016-01-01 08:00:00,2016-01-01 08:00:00,199.9333
2016-01-01 09:00:00,2016-01-01 09:00:00,210.6
2016-01-01 10:00:00,2016-01-01 10:00:00,194.7
2016-01-01 11:00:00,2016-01-01 11:00:00,195.6667
2016-01-01 12:00:00,2016-01-01 12:00:00,197.4
2016-01-01 13:00:00,2016-01-01 13:00:00,194.4667
2016-01-01 14:00:00,2016-01-01 14:00:00,197.7667
2016-01-01 15:00:00,2016-01-01 15:00:00,202.8333
2016-01-01 16:00:00,2016-01-01 16:00:00,203.4333
2016-01-01 17:00:00,2016-01-01 17:00:00,220.7667
2016-01-01 18:00:00,2016-01-01 18:00:00,219.0833
2016-01-01 19:00:00,2016-01-01 19:00:00,214.7667
2016-01-01 20:00:00,2016-01-01 20:00:00,213.9333
2016-01-01 21:00:00,2016-01-01 21:00:00,217.1167
2016-01-01 22:00:00,2016-01-01 22:00:00,215.8333
2016-01-01 23:00:00,2016-01-01 23:00:00,215.0
2016-01-02 00:00:00,2016-01-02 00:00:00,211.4167
2016-01-02 01:00:00,2016-01-02 01:00:00,209.7167
2016-01-02 02:00:00,2016-01-02 02:00:00,213.7833
2016-01-02 03:00:00,2016-01-02 03:00:00,208.5167
2016-01-02 04:00:00,2016-01-02 04:00:00,216.4667
2016-01-02 05:00:00,2016-01-02 05:00:00,221.2167
2016-01-02 06:00:00,2016-01-02 06:00:00,263.0667
2016-01-02 07:00:00,2016-01-02 07:00:00,280.7667
2016-01-02 08:00:00,2016-01-02 08:00:00,289.9167
2016-01-02 09:00:00,2016-01-02 09:00:00,289.75
2016-01-02 10:00:00,2016-01-02 10:00:00,299.2333
2016-01-02 11:00:00,2016-01-02 11:00:00,299.7167
2016-01-02 12:00:00,2016-01-02 12:00:00,293.9167
2016-01-02 13:00:00,2016-01-02 13:00:00,291.3833
2016-01-02 14:00:00,2016-01-02 14:00:00,297.9333
2016-01-02 15:00:00,2016-01-02 15:00:00,304.55
2016-01-02 16:00:00,2016-01-02 16:00:00,305.7
2016-01-02 17:00:00,2016-01-02 17:00:00,320.3667
2016-01-02 18:00:00,2016-01-02 18:00:00,317.0167
2016-01-02 19:00:00,2016-01-02 19:00:00,298.9667
2016-01-02 20:00:00,2016-01-02 20:00:00,285.6167
2016-01-02 21:00:00,2016-01-02 21:00:00,294.0167
2016-01-02 22:00:00,2016-01-02 22:00:00,287.1167
2016-01-02 23:00:00,2016-01-02 23:00:00,287.3667
2016-01-03 00:00:00,2016-01-03 00:00:00,247.6333
2016-01-03 01:00:00,2016-01-03 01:00:00,247.2667
2016-01-03 02:00:00,2016-01-03 02:00:00,248.1833
2016-01-03 03:00:00,2016-01-03 03:00:00,255.85
2016-01-03 04:00:00,2016-01-03 04:00:00,245.9
