timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,116.42
2016-01-01 01:00:00,2016-01-01 01:00:00,115.94
2016-01-01 02:00:00,2016-01-01 02:00:00,115.17
2016-01-01 03:00:00,2016-01-01 03:00:00,116.32
2016-01-01 04:00:00,2016-01-01 04:00:00,116.17
2016-01-01 05:00:00,2016-01-01 05:00:00,116.99
2016-01-01 06:00:00,2016-01-01 06:00:00,109.54
2016-01-01 07:00:00,2016-01-01 07:00:00,120.51
2016-01-01 08:00:00,2016-01-01 08:00:00,120.83
2016-01-01 09:00:00,2016-01-01 09:00:00,121.22
2016-01-01 10:00:00,2016-01-01 10:00:00,122.88
2016-01-01 11:00:00,2016-01-01 11:00:00,122.0
2016-01-01 12:00:00,2016-01-01 12:00:00,121.73
2016-01-01 13:00:00,2016-01-01 13:00:00,117.52
2016-01-01 14:00:00,2016-01-01 14:00:00,118.32
2016-01-01 15:00:00,2016-01-01 15:00:00,122.59
2016-01-01 16:00:00,2016-01-01 16:00:00,122.45
2016-01-01 17:00:00,2016-01-01 17:00:00,148.26
2016-01-01 18:00:00,2016-01-01 18:00:00,179.61
2016-01-01 19:00:00,2016-01-01 19:00:00,168.55
2016-01-01 20:00:00,2016-01-01 20:00:00,166.18
2016-01-01 21:00:00,2016-01-01 21:00:00,169.91
2016-01-01 22:00:00,2016-01-01 22:00:00,127.78
2016-01-01 23:00:00,2016-01-01 23:00:00,114.93
2016-01-02 00:00:00,2016-01-02 00:00:00,113.55
2016-01-02 01:00:00,2016-01-02 01:00:00,116.24
2016-01-02 02:00:00,2016-01-02 02:00:00,115.44
2016-01-02 03:00:00,2016-01-02 03:00:00,116.4
2016-01-02 04:00:00,2016-01-02 04:00:00,115.53
2016-01-02 05:00:00,2016-01-02 05:00:00,114.69
2016-01-02 06:00:00,2016-01-02 06:00:00,110.48
2016-01-02 07:00:00,2016-01-02 07:00:00,110.37
2016-01-02 08:00:00,2016-01-02 08:00:00,109.44
2016-01-02 09:00:00,2016-01-02 09:00:00,112.94
2016-01-02 10:00:00,2016-01-02 10:00:00,132.33
2016-01-02 11:00:00,2016-01-02 11:00:00,147.01
2016-01-02 12:00:00,2016-01-02 12:00:00,143.01
2016-01-02 13:00:00,2016-01-02 13:00:00,150.08
2016-01-02 14:00:00,2016-01-02 14:00:00,158.82
2016-01-02 15:00:00,2016-01-02 15:00:00,164.53
2016-01-02 16:00:00,2016-01-02 16:00:00,171.9
2016-01-02 17:00:00,2016-01-02 17:00:00,191.2
2016-01-02 18:00:00,2016-01-02 18:00:00,189.5
2016-01-02 19:00:00,2016-01-02 19:00:00,171.64
2016-01-02 20:00:00,2016-01-02 20:00:00,168.03
2016-01-02 21:00:00,2016-01-02 21:00:00,169.31
