timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,75.14
2016-01-01 01:00:00,2016-01-01 01:00:00,75.23
2016-01-01 02:00:00,2016-01-01 02:00:00,75.04
2016-01-01 03:00:00,2016-01-01 03:00:00,75.44
2016-01-01 04:00:00,2016-01-01 04:00:00,75.22
2016-01-01 05:00:00,2016-01-01 05:00:00,97.2
2016-01-01 06:00:00,2016-01-01 06:00:00,102.53
2016-01-01 07:00:00,2016-01-01 07:00:00,102.61
2016-01-01 08:00:00,2016-01-01 08:00:00,102.6
2016-01-01 09:00:00,2016-01-01 09:00:00,102.6
2016-01-01 10:00:00,2016-01-01 10:00:00,102.54
2016-01-01 11:00:00,2016-01-01 11:00:00,99.92
2016-01-01 12:00:00,2016-01-01 12:00:00,95.63
2016-01-01 13:00:00,2016-01-01 13:00:00,100.91
2016-01-01 14:00:00,2016-01-01 14:00:00,100.31
2016-01-01 15:00:00,2016-01-01 15:00:00,102.75
2016-01-01 16:00:00,2016-01-01 16:00:00,102.46
2016-01-01 17:00:00,2016-01-01 17:00:00,102.42
2016-01-01 18:00:00,2016-01-01 18:00:00,102.72
2016-01-01 19:00:00,2016-01-01 19:00:00,103.23
2016-01-01 20:00:00,2016-01-01 20:00:00,103.27
2016-01-01 21:00:00,2016-01-01 21:00:00,81.07
2016-01-01 22:00:00,2016-01-01 22:00:00,75.84
2016-01-01 23:00:00,2016-01-01 23:00:00,75.8
2016-01-02 00:00:00,2016-01-02 00:00:00,75.97
2016-01-02 01:00:00,2016-01-02 01:00:00,76.37
2016-01-02 02:00:00,2016-01-02 02:00:00,76.43
2016-01-02 03:00:00,2016-01-02 03:00:00,76.56
2016-01-02 04:00:00,2016-01-02 04:00:00,76.4
2016-01-02 05:00:00,2016-01-02 05:00:00,84.61
2016-01-02 06:00:00,2016-01-02 06:00:00,104.08
2016-01-02 07:00:00,2016-01-02 07:00:00,104.43
2016-01-02 08:00:00,2016-01-02 08:00:00,116.49
2016-01-02 09:00:00,2016-01-02 09:00:00,115.36
2016-01-02 10:00:00,2016-01-02 10:00:00,102.67
2016-01-02 11:00:00,2016-01-02 11:00:00,90.75
2016-01-02 12:00:00,2016-01-02 12:00:00,91.45
2016-01-02 13:00:00,2016-01-02 13:00:00,91.45
2016-01-02 14:00:00,2016-01-02 14:00:00,94.32
2016-01-02 15:00:00,2016-01-02 15:00:00,104.15
2016-01-02 16:00:00,2016-01-02 16:00:00,103.89
2016-01-02 17:00:00,2016-01-02 17:00:00,103.33
2016-01-02 18:00:00,2016-01-02 18:00:00,103.13
2016-01-02 19:00:00,2016-01-02 19:00:00,102.4
2016-01-02 20:00:00,2016-01-02 20:00:00,102.76
2016-01-02 21:00:00,2016-01-02 21:00:00,80.79
2016-01-02 22:00:00,2016-01-02 22:00:00,74.39
2016-01-02 23:00:00,2016-01-02 23:00:00,74.83
2016-01-03 00:00:00,2016-01-03 00:00:00,75.03
2016-01-03 01:00:00,2016-01-03 01:00:00,75.11
2016-01-03 02:00:00,2016-01-03 02:00:00,75.17
2016-01-03 03:00:00,2016-01-03 03:00:00,75.23
2016-01-03 04:00:00,2016-01-03 04:00:00,75.23
2016-01-03 05:00:00,2016-01-03 05:00:00,74.98
2016-01-03 06:00:00,2016-01-03 06:00:00,96.78
2016-01-03 07:00:00,2016-01-03 07:00:00,102.92
2016-01-03 08:00:00,2016-01-03 08:00:00,102.56
2016-01-03 09:00:00,2016-01-03 09:00:00,103.34
2016-01-03 10:00:00,2016-01-03 10:00:00,104.42
2016-01-03 11:00:00,2016-01-03 11:00:00,93.13
2016-01-03 12:00:00,2016-01-03 12:00:00,93.12
2016-01-03 13:00:00,2016-01-03 13:00:00,91.79
2016-01-03 14:00:00,2016-01-03 14:00:00,90.8
2016-01-03 15:00:00,2016-01-03 15:00:00,99.49
2016-01-03 16:00:00,2016-01-03 16:00:00,99.31
2016-01-03 17:00:00,2016-01-03 17:00:00,99.43
2016-01-03 18:00:00,2016-01-03 18:00:00,98.85
2016-01-03 19:00:00,2016-01-03 19:00:00,99.24
2016-01-03 20:00:00,2016-01-03 20:00:00,99.63
2016-01-03 21:00:00,2016-01-03 21:00:00,78.16
2016-01-03 22:00:00,2016-01-03 22:00:00,72.37
2016-01-03 23:00:00,2016-01-03 23:00:00,72.85
2016-01-04 00:00:00,2016-01-04 00:00:00,73.25
2016-01-04 01:00:00,2016-01-04 01:00:00,73.29
2016-01-04 02:00:00,2016-01-04 02:00:00,73.63
2016-01-04 03:00:00,2016-01-04 03:00:00,73.5
2016-01-04 04:00:00,2016-01-04 04:00:00,73.52
2016-01-04 05:00:00,2016-01-04 05:00:00,95.23
2016-01-04 06:00:00,2016-01-04 06:00:00,100.75
2016-01-04 07:00:00,2016-01-04 07:00:00,114.05
2016-01-04 08:00:00,2016-01-04 08:00:00,131.9
2016-01-04 09:00:00,2016-01-04 09:00:00,145.24
2016-01-04 10:00:00,2016-01-04 10:00:00,179.43
2016-01-04 11:00:00,2016-01-04 11:00:00,164.84
2016-01-04 12:00:00,2016-01-04 12:00:00,155.13
2016-01-04 13:00:00,2016-01-04 13:00:00,147.98
2016-01-04 14:00:00,2016-01-04 14:00:00,148.92
2016-01-04 15:00:00,2016-01-04 15:00:00,158.85
2016-01-04 16:00:00,2016-01-04 16:00:00,157.56
2016-01-04 17:00:00,2016-01-04 17:00:00,147.48
2016-01-04 18:00:00,2016-01-04 18:00:00,137.77
2016-01-04 19:00:00,2016-01-04 19:00:00,127.84
2016-01-04 20:00:00,2016-01-04 20:00:00,121.38
2016-01-04 21:00:00,2016-01-04 21:00:00,82.8
2016-01-04 22:00:00,2016-01-04 22:00:00,75.95
2016-01-04 23:00:00,2016-01-04 23:00:00,75.74
