timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,214.64
2016-01-01 01:00:00,2016-01-01 01:00:00,208.75
2016-01-01 02:00:00,2016-01-01 02:00:00,208.63
2016-01-01 03:00:00,2016-01-01 03:00:00,206.1
2016-01-01 04:00:00,2016-01-01 04:00:00,206.06
2016-01-01 05:00:00,2016-01-01 05:00:00,294.13
2016-01-01 06:00:00,2016-01-01 06:00:00,314.68
2016-01-01 07:00:00,2016-01-01 07:00:00,308.16
2016-01-01 08:00:00,2016-01-01 08:00:00,295.24
2016-01-01 09:00:00,2016-01-01 09:00:00,294.11
2016-01-01 10:00:00,2016-01-01 10:00:00,287.42
2016-01-01 11:00:00,2016-01-01 11:00:00,295.12
2016-01-01 12:00:00,2016-01-01 12:00:00,288.89
2016-01-01 13:00:00,2016-01-01 13:00:00,285.24
2016-01-01 14:00:00,2016-01-01 14:00:00,288.32
2016-01-01 15:00:00,2016-01-01 15:00:00,282.39
2016-01-01 16:00:00,2016-01-01 16:00:00,283.54
2016-01-01 17:00:00,2016-01-01 17:00:00,293.76
2016-01-01 18:00:00,2016-01-01 18:00:00,298.76
2016-01-01 19:00:00,2016-01-01 19:00:00,293.39
2016-01-01 20:00:00,2016-01-01 20:00:00,301.98
2016-01-01 21:00:00,2016-01-01 21:00:00,290.24
2016-01-01 22:00:00,2016-01-01 22:00:00,230.9
2016-01-01 23:00:00,2016-01-01 23:00:00,204.88
2016-01-02 00:00:00,2016-01-02 00:00:00,207.49
2016-01-02 01:00:00,2016-01-02 01:00:00,206.57
2016-01-02 02:00:00,2016-01-02 02:00:00,206.54
2016-01-02 03:00:00,2016-01-02 03:00:00,206.47
2016-01-02 04:00:00,2016-01-02 04:00:00,206.31
2016-01-02 05:00:00,2016-01-02 05:00:00,206.9
2016-01-02 06:00:00,2016-01-02 06:00:00,205.44
2016-01-02 07:00:00,2016-01-02 07:00:00,202.99
2016-01-02 08:00:00,2016-01-02 08:00:00,346.39
2016-01-02 09:00:00,2016-01-02 09:00:00,314.62
2016-01-02 10:00:00,2016-01-02 10:00:00,295.56
2016-01-02 11:00:00,2016-01-02 11:00:00,291.56
2016-01-02 12:00:00,2016-01-02 12:00:00,284.67
2016-01-02 13:00:00,2016-01-02 13:00:00,278.15
2016-01-02 14:00:00,2016-01-02 14:00:00,284.13
2016-01-02 15:00:00,2016-01-02 15:00:00,277.34
2016-01-02 16:00:00,2016-01-02 16:00:00,266.88
2016-01-02 17:00:00,2016-01-02 17:00:00,279.63
2016-01-02 18:00:00,2016-01-02 18:00:00,280.89
2016-01-02 19:00:00,2016-01-02 19:00:00,290.75
2016-01-02 20:00:00,2016-01-02 20:00:00,210.92
2016-01-02 21:00:00,2016-01-02 21:00:00,201.0
