timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,289.26
2016-01-01 01:00:00,2016-01-01 01:00:00,297.93
2016-01-01 02:00:00,2016-01-01 02:00:00,298.61
2016-01-01 03:00:00,2016-01-01 03:00:00,294.15
2016-01-01 04:00:00,2016-01-01 04:00:00,303.81
2016-01-01 05:00:00,2016-01-01 05:00:00,516.77
2016-01-01 06:00:00,2016-01-01 06:00:00,508.3
2016-01-01 07:00:00,2016-01-01 07:00:00,491.58
2016-01-01 08:00:00,2016-01-01 08:00:00,475.28
2016-01-01 09:00:00,2016-01-01 09:00:00,475.8
2016-01-01 10:00:00,2016-01-01 10:00:00,470.54
2016-01-01 11:00:00,2016-01-01 11:00:00,474.88
2016-01-01 12:00:00,2016-01-01 12:00:00,472.29
2016-01-01 13:00:00,2016-01-01 13:00:00,480.04
2016-01-01 14:00:00,2016-01-01 14:00:00,467.28
2016-01-01 15:00:00,2016-01-01 15:00:00,463.4
2016-01-01 16:00:00,2016-01-01 16:00:00,480.61
2016-01-01 17:00:00,2016-01-01 17:00:00,470.91
2016-01-01 18:00:00,2016-01-01 18:00:00,478.39
2016-01-01 19:00:00,2016-01-01 19:00:00,477.28
2016-01-01 20:00:00,2016-01-01 20:00:00,497.24
2016-01-01 21:00:00,2016-01-01 21:00:00,485.05
2016-01-01 22:00:00,2016-01-01 22:00:00,313.96
2016-01-01 23:00:00,2016-01-01 23:00:00,314.34
2016-01-02 00:00:00,2016-01-02 00:00:00,302.13
2016-01-02 01:00:00,2016-01-02 01:00:00,311.65
2016-01-02 02:00:00,2016-01-02 02:00:00,309.21
2016-01-02 03:00:00,2016-01-02 03:00:00,314.61
2016-01-02 04:00:00,2016-01-02 04:00:00,318.33
2016-01-02 05:00:00,2016-01-02 05:00:00,301.63
2016-01-02 06:00:00,2016-01-02 06:00:00,315.07
2016-01-02 07:00:00,2016-01-02 07:00:00,308.04
2016-01-02 08:00:00,2016-01-02 08:00:00,390.43
2016-01-02 09:00:00,2016-01-02 09:00:00,388.77
2016-01-02 10:00:00,2016-01-02 10:00:00,384.29
2016-01-02 11:00:00,2016-01-02 11:00:00,385.59
