timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,56.44
2016-01-01 01:00:00,2016-01-01 01:00:00,56.15
2016-01-01 02:00:00,2016-01-01 02:00:00,56.83
2016-01-01 03:00:00,2016-01-01 03:00:00,56.75
2016-01-01 04:00:00,2016-01-01 04:00:00,57.81
2016-01-01 05:00:00,2016-01-01 05:00:00,57.44
2016-01-01 06:00:00,2016-01-01 06:00:00,118.89
2016-01-01 07:00:00,2016-01-01 07:00:00,186.65
2016-01-01 08:00:00,2016-01-01 08:00:00,286.6
2016-01-01 09:00:00,2016-01-01 09:00:00,241.64
2016-01-01 10:00:00,2016-01-01 10:00:00,205.39
2016-01-01 11:00:00,2016-01-01 11:00:00,213.27
2016-01-01 12:00:00,2016-01-01 12:00:00,159.51
2016-01-01 13:00:00,2016-01-01 13:00:00,200.28
2016-01-01 14:00:00,2016-01-01 14:00:00,161.44
2016-01-01 15:00:00,2016-01-01 15:00:00,149.95
2016-01-01 16:00:00,2016-01-01 16:00:00,159.92
2016-01-01 17:00:00,2016-01-01 17:00:00,200.46
2016-01-01 18:00:00,2016-01-01 18:00:00,169.85
2016-01-01 19:00:00,2016-01-01 19:00:00,109.81
2016-01-01 20:00:00,2016-01-01 20:00:00,74.34
2016-01-01 21:00:00,2016-01-01 21:00:00,65.4
2016-01-01 22:00:00,2016-01-01 22:00:00,64.21
2016-01-01 23:00:00,2016-01-01 23:00:00,63.87
2016-01-02 00:00:00,2016-01-02 00:00:00,60.59
2016-01-02 01:00:00,2016-01-02 01:00:00,60.45
2016-01-02 02:00:00,2016-01-02 02:00:00,61.56
2016-01-02 03:00:00,2016-01-02 03:00:00,60.94
2016-01-02 04:00:00,2016-01-02 04:00:00,61.54
2016-01-02 05:00:00,2016-01-02 05:00:00,61.85
2016-01-02 06:00:00,2016-01-02 06:00:00,82.74
2016-01-02 07:00:00,2016-01-02 07:00:00,88.52
2016-01-02 08:00:00,2016-01-02 08:00:00,83.07
2016-01-02 09:00:00,2016-01-02 09:00:00,124.4
2016-01-02 10:00:00,2016-01-02 10:00:00,188.09
2016-01-02 11:00:00,2016-01-02 11:00:00,231.25
2016-01-02 12:00:00,2016-01-02 12:00:00,195.31
2016-01-02 13:00:00,2016-01-02 13:00:00,184.83
2016-01-02 14:00:00,2016-01-02 14:00:00,158.2
2016-01-02 15:00:00,2016-01-02 15:00:00,175.7
2016-01-02 16:00:00,2016-01-02 16:00:00,126.86
2016-01-02 17:00:00,2016-01-02 17:00:00,136.76
2016-01-02 18:00:00,2016-01-02 18:00:00,158.44
2016-01-02 19:00:00,2016-01-02 19:00:00,93.56
2016-01-02 20:00:00,2016-01-02 20:00:00,73.33
2016-01-02 21:00:00,2016-01-02 21:00:00,62.14
2016-01-02 22:00:00,2016-01-02 22:00:00,58.74
2016-01-02 23:00:00,2016-01-02 23:00:00,59.03
2016-01-03 00:00:00,2016-01-03 00:00:00,61.68
2016-01-03 01:00:00,2016-01-03 01:00:00,64.34
