timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,424.84
2016-01-01 01:00:00,2016-01-01 01:00:00,402.82
2016-01-01 02:00:00,2016-01-01 02:00:00,416.11
2016-01-01 03:00:00,2016-01-01 03:00:00,420.67
2016-01-01 04:00:00,2016-01-01 04:00:00,414.92
2016-01-01 05:00:00,2016-01-01 05:00:00,418.86
2016-01-01 06:00:00,2016-01-01 06:00:00,430.03
2016-01-01 07:00:00,2016-01-01 07:00:00,429.51
2016-01-01 08:00:00,2016-01-01 08:00:00,431.59
2016-01-01 09:00:00,2016-01-01 09:00:00,433.15
2016-01-01 10:00:00,2016-01-01 10:00:00,488.02
2016-01-01 11:00:00,2016-01-01 11:00:00,489.64
2016-01-01 12:00:00,2016-01-01 12:00:00,488.91
2016-01-01 13:00:00,2016-01-01 13:00:00,482.34
2016-01-01 14:00:00,2016-01-01 14:00:00,485.45
2016-01-01 15:00:00,2016-01-01 15:00:00,414.48
2016-01-01 16:00:00,2016-01-01 16:00:00,414.15
2016-01-01 17:00:00,2016-01-01 17:00:00,433.96
2016-01-01 18:00:00,2016-01-01 18:00:00,441.42
2016-01-01 19:00:00,2016-01-01 19:00:00,447.66
2016-01-01 20:00:00,2016-01-01 20:00:00,469.22
2016-01-01 21:00:00,2016-01-01 21:00:00,469.9
2016-01-01 22:00:00,2016-01-01 22:00:00,467.21
2016-01-01 23:00:00,2016-01-01 23:00:00,507.47
2016-01-02 00:00:00,2016-01-02 00:00:00,472.92
2016-01-02 01:00:00,2016-01-02 01:00:00,449.5
2016-01-02 02:00:00,2016-01-02 02:00:00,447.91
2016-01-02 03:00:00,2016-01-02 03:00:00,476.33
2016-01-02 04:00:00,2016-01-02 04:00:00,444.41
2016-01-02 05:00:00,2016-01-02 05:00:00,441.85
2016-01-02 06:00:00,2016-01-02 06:00:00,473.24
2016-01-02 07:00:00,2016-01-02 07:00:00,518.9
2016-01-02 08:00:00,2016-01-02 08:00:00,503.36
2016-01-02 09:00:00,2016-01-02 09:00:00,461.55
2016-01-02 10:00:00,2016-01-02 10:00:00,457.49
2016-01-02 11:00:00,2016-01-02 11:00:00,454.91
2016-01-02 12:00:00,2016-01-02 12:00:00,461.27
2016-01-02 13:00:00,2016-01-02 13:00:00,439.26
2016-01-02 14:00:00,2016-01-02 14:00:00,436.79
2016-01-02 15:00:00,2016-01-02 15:00:00,434.08
2016-01-02 16:00:00,2016-01-02 16:00:00,429.71
2016-01-02 17:00:00,2016-01-02 17:00:00,422.29
2016-01-02 18:00:00,2016-01-02 18:00:00,412.35
2016-01-02 19:00:00,2016-01-02 19:00:00,431.93
2016-01-02 20:00:00,2016-01-02 20:00:00,459.27
2016-01-02 21:00:00,2016-01-02 21:00:00,459.32
2016-01-02 22:00:00,2016-01-02 22:00:00,463.21
2016-01-02 23:00:00,2016-01-02 23:00:00,474.53
2016-01-03 00:00:00,2016-01-03 00:00:00,439.24
2016-01-03 01:00:00,2016-01-03 01:00:00,437.62
2016-01-03 02:00:00,2016-01-03 02:00:00,439.77
2016-01-03 03:00:00,2016-01-03 03:00:00,442.62
2016-01-03 04:00:00,2016-01-03 04:00:00,441.89
2016-01-03 05:00:00,2016-01-03 05:00:00,456.33
2016-01-03 06:00:00,2016-01-03 06:00:00,482.1
2016-01-03 07:00:00,2016-01-03 07:00:00,482.65
