timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,46.19
2016-01-01 01:00:00,2016-01-01 01:00:00,50.47
2016-01-01 02:00:00,2016-01-01 02:00:00,50.86
2016-01-01 03:00:00,2016-01-01 03:00:00,48.87
2016-01-01 04:00:00,2016-01-01 04:00:00,47.08
2016-01-01 05:00:00,2016-01-01 05:00:00,52.29
2016-01-01 06:00:00,2016-01-01 06:00:00,95.14
2016-01-01 07:00:00,2016-01-01 07:00:00,82.56
2016-01-01 08:00:00,2016-01-01 08:00:00,98.22
2016-01-01 09:00:00,2016-01-01 09:00:00,94.65
2016-01-01 10:00:00,2016-01-01 10:00:00,91.93
2016-01-01 11:00:00,2016-01-01 11:00:00,98.84
2016-01-01 12:00:00,2016-01-01 12:00:00,99.38
2016-01-01 13:00:00,2016-01-01 13:00:00,99.32
2016-01-01 14:00:00,2016-01-01 14:00:00,99.32
2016-01-01 15:00:00,2016-01-01 15:00:00,99.76
2016-01-01 16:00:00,2016-01-01 16:00:00,95.46
2016-01-01 17:00:00,2016-01-01 17:00:00,90.11
2016-01-01 18:00:00,2016-01-01 18:00:00,71.27
2016-01-01 19:00:00,2016-01-01 19:00:00,73.09
2016-01-01 20:00:00,2016-01-01 20:00:00,52.2
2016-01-01 21:00:00,2016-01-01 21:00:00,45.75
2016-01-01 22:00:00,2016-01-01 22:00:00,51.12
2016-01-01 23:00:00,2016-01-01 23:00:00,51.34
2016-01-02 00:00:00,2016-01-02 00:00:00,51.24
2016-01-02 01:00:00,2016-01-02 01:00:00,51.35
2016-01-02 02:00:00,2016-01-02 02:00:00,51.38
2016-01-02 03:00:00,2016-01-02 03:00:00,51.38
2016-01-02 04:00:00,2016-01-02 04:00:00,45.47
2016-01-02 05:00:00,2016-01-02 05:00:00,51.86
2016-01-02 06:00:00,2016-01-02 06:00:00,51.66
2016-01-02 07:00:00,2016-01-02 07:00:00,51.71
2016-01-02 08:00:00,2016-01-02 08:00:00,51.53
2016-01-02 09:00:00,2016-01-02 09:00:00,47.21
2016-01-02 10:00:00,2016-01-02 10:00:00,46.66
2016-01-02 11:00:00,2016-01-02 11:00:00,51.53
2016-01-02 12:00:00,2016-01-02 12:00:00,46.44
2016-01-02 13:00:00,2016-01-02 13:00:00,49.71
2016-01-02 14:00:00,2016-01-02 14:00:00,51.74
2016-01-02 15:00:00,2016-01-02 15:00:00,52.08
2016-01-02 16:00:00,2016-01-02 16:00:00,51.76
2016-01-02 17:00:00,2016-01-02 17:00:00,51.41
2016-01-02 18:00:00,2016-01-02 18:00:00,50.89
2016-01-02 19:00:00,2016-01-02 19:00:00,50.77
2016-01-02 20:00:00,2016-01-02 20:00:00,50.97
2016-01-02 21:00:00,2016-01-02 21:00:00,50.79
2016-01-02 22:00:00,2016-01-02 22:00:00,51.24
2016-01-02 23:00:00,2016-01-02 23:00:00,51.3
2016-01-03 00:00:00,2016-01-03 00:00:00,51.78
2016-01-03 01:00:00,2016-01-03 01:00:00,51.45
2016-01-03 02:00:00,2016-01-03 02:00:00,51.87
2016-01-03 03:00:00,2016-01-03 03:00:00,51.74
2016-01-03 04:00:00,2016-01-03 04:00:00,52.69
