timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,33.69
2016-01-01 01:00:00,2016-01-01 01:00:00,34.01
2016-01-01 02:00:00,2016-01-01 02:00:00,33.97
2016-01-01 03:00:00,2016-01-01 03:00:00,33.84
2016-01-01 04:00:00,2016-01-01 04:00:00,33.62
2016-01-01 05:00:00,2016-01-01 05:00:00,33.38
2016-01-01 06:00:00,2016-01-01 06:00:00,33.6
2016-01-01 07:00:00,2016-01-01 07:00:00,32.82
2016-01-01 08:00:00,2016-01-01 08:00:00,31.52
2016-01-01 09:00:00,2016-01-01 09:00:00,31.51
2016-01-01 10:00:00,2016-01-01 10:00:00,31.22
2016-01-01 11:00:00,2016-01-01 11:00:00,31.04
2016-01-01 12:00:00,2016-01-01 12:00:00,31.58
2016-01-01 13:00:00,2016-01-01 13:00:00,31.37
2016-01-01 14:00:00,2016-01-01 14:00:00,31.21
2016-01-01 15:00:00,2016-01-01 15:00:00,31.27
2016-01-01 16:00:00,2016-01-01 16:00:00,31.22
2016-01-01 17:00:00,2016-01-01 17:00:00,33.12
2016-01-01 18:00:00,2016-01-01 18:00:00,33.45
2016-01-01 19:00:00,2016-01-01 19:00:00,33.65
2016-01-01 20:00:00,2016-01-01 20:00:00,32.89
2016-01-01 21:00:00,2016-01-01 21:00:00,33.29
2016-01-01 22:00:00,2016-01-01 22:00:00,33.31
2016-01-01 23:00:00,2016-01-01 23:00:00,33.46
2016-01-02 00:00:00,2016-01-02 00:00:00,33.29
2016-01-02 01:00:00,2016-01-02 01:00:00,33.33
2016-01-02 02:00:00,2016-01-02 02:00:00,33.16
2016-01-02 03:00:00,2016-01-02 03:00:00,33.6
2016-01-02 04:00:00,2016-01-02 04:00:00,33.25
2016-01-02 05:00:00,2016-01-02 05:00:00,32.77
2016-01-02 06:00:00,2016-01-02 06:00:00,32.84
2016-01-02 07:00:00,2016-01-02 07:00:00,32.38
2016-01-02 08:00:00,2016-01-02 08:00:00,30.44
2016-01-02 09:00:00,2016-01-02 09:00:00,30.83
2016-01-02 10:00:00,2016-01-02 10:00:00,30.61
2016-01-02 11:00:00,2016-01-02 11:00:00,30.88
2016-01-02 12:00:00,2016-01-02 12:00:00,31.02
2016-01-02 13:00:00,2016-01-02 13:00:00,31.29
2016-01-02 14:00:00,2016-01-02 14:00:00,31.14
2016-01-02 15:00:00,2016-01-02 15:00:00,31.29
2016-01-02 16:00:00,2016-01-02 16:00:00,31.65
2016-01-02 17:00:00,2016-01-02 17:00:00,33.91
2016-01-02 18:00:00,2016-01-02 18:00:00,33.85
2016-01-02 19:00:00,2016-01-02 19:00:00,33.96
2016-01-02 20:00:00,2016-01-02 20:00:00,33.12
2016-01-02 21:00:00,2016-01-02 21:00:00,33.3
2016-01-02 22:00:00,2016-01-02 22:00:00,33.14
2016-01-02 23:00:00,2016-01-02 23:00:00,33.37
2016-01-03 00:00:00,2016-01-03 00:00:00,33.28
2016-01-03 01:00:00,2016-01-03 01:00:00,33.23
2016-01-03 02:00:00,2016-01-03 02:00:00,32.86
2016-01-03 03:00:00,2016-01-03 03:00:00,33.28
