timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,150.58
2016-01-01 01:00:00,2016-01-01 01:00:00,150.19
2016-01-01 02:00:00,2016-01-01 02:00:00,149.62
2016-01-01 03:00:00,2016-01-01 03:00:00,148.58
2016-01-01 04:00:00,2016-01-01 04:00:00,147.23
2016-01-01 05:00:00,2016-01-01 05:00:00,145.36
2016-01-01 06:00:00,2016-01-01 06:00:00,148.69
2016-01-01 07:00:00,2016-01-01 07:00:00,158.3
2016-01-01 08:00:00,2016-01-01 08:00:00,162.74
2016-01-01 09:00:00,2016-01-01 09:00:00,165.0
2016-01-01 10:00:00,2016-01-01 10:00:00,161.49
2016-01-01 11:00:00,2016-01-01 11:00:00,160.13
2016-01-01 12:00:00,2016-01-01 12:00:00,161.43
2016-01-01 13:00:00,2016-01-01 13:00:00,161.9
2016-01-01 14:00:00,2016-01-01 14:00:00,162.71
2016-01-01 15:00:00,2016-01-01 15:00:00,162.98
2016-01-01 16:00:00,2016-01-01 16:00:00,162.63
2016-01-01 17:00:00,2016-01-01 17:00:00,167.07
2016-01-01 18:00:00,2016-01-01 18:00:00,164.16
2016-01-01 19:00:00,2016-01-01 19:00:00,164.51
2016-01-01 20:00:00,2016-01-01 20:00:00,168.84
2016-01-01 21:00:00,2016-01-01 21:00:00,144.74
2016-01-01 22:00:00,2016-01-01 22:00:00,140.78
2016-01-01 23:00:00,2016-01-01 23:00:00,137.12
2016-01-02 00:00:00,2016-01-02 00:00:00,137.23
2016-01-02 01:00:00,2016-01-02 01:00:00,137.91
2016-01-02 02:00:00,2016-01-02 02:00:00,139.45
2016-01-02 03:00:00,2016-01-02 03:00:00,139.27
2016-01-02 04:00:00,2016-01-02 04:00:00,139.87
2016-01-02 05:00:00,2016-01-02 05:00:00,140.08
2016-01-02 06:00:00,2016-01-02 06:00:00,139.64
2016-01-02 07:00:00,2016-01-02 07:00:00,139.68
2016-01-02 08:00:00,2016-01-02 08:00:00,139.62
2016-01-02 09:00:00,2016-01-02 09:00:00,142.1
2016-01-02 10:00:00,2016-01-02 10:00:00,142.25
2016-01-02 11:00:00,2016-01-02 11:00:00,139.18
2016-01-02 12:00:00,2016-01-02 12:00:00,139.04
2016-01-02 13:00:00,2016-01-02 13:00:00,141.58
2016-01-02 14:00:00,2016-01-02 14:00:00,151.42
2016-01-02 15:00:00,2016-01-02 15:00:00,147.81
2016-01-02 16:00:00,2016-01-02 16:00:00,148.46
2016-01-02 17:00:00,2016-01-02 17:00:00,149.58
2016-01-02 18:00:00,2016-01-02 18:00:00,149.07
2016-01-02 19:00:00,2016-01-02 19:00:00,150.5
2016-01-02 20:00:00,2016-01-02 20:00:00,149.6
2016-01-02 21:00:00,2016-01-02 21:00:00,148.91
2016-01-02 22:00:00,2016-01-02 22:00:00,151.9
2016-01-02 23:00:00,2016-01-02 23:00:00,146.36
2016-01-03 00:00:00,2016-01-03 00:00:00,145.74
2016-01-03 01:00:00,2016-01-03 01:00:00,146.75
2016-01-03 02:00:00,2016-01-03 02:00:00,144.68
2016-01-03 03:00:00,2016-01-03 03:00:00,143.27
2016-01-03 04:00:00,2016-01-03 04:00:00,142.43
2016-01-03 05:00:00,2016-01-03 05:00:00,141.6
