timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,55.21
2016-01-01 01:00:00,2016-01-01 01:00:00,55.06
2016-01-01 02:00:00,2016-01-01 02:00:00,54.93
2016-01-01 03:00:00,2016-01-01 03:00:00,55.19
2016-01-01 04:00:00,2016-01-01 04:00:00,55.11
2016-01-01 05:00:00,2016-01-01 05:00:00,68.32
2016-01-01 06:00:00,2016-01-01 06:00:00,69.24
2016-01-01 07:00:00,2016-01-01 07:00:00,68.42
2016-01-01 08:00:00,2016-01-01 08:00:00,67.1
2016-01-01 09:00:00,2016-01-01 09:00:00,59.73
2016-01-01 10:00:00,2016-01-01 10:00:00,59.17
2016-01-01 11:00:00,2016-01-01 11:00:00,58.58
2016-01-01 12:00:00,2016-01-01 12:00:00,60.67
2016-01-01 13:00:00,2016-01-01 13:00:00,59.63
2016-01-01 14:00:00,2016-01-01 14:00:00,58.86
2016-01-01 15:00:00,2016-01-01 15:00:00,59.95
2016-01-01 16:00:00,2016-01-01 16:00:00,59.03
2016-01-01 17:00:00,2016-01-01 17:00:00,59.33
2016-01-01 18:00:00,2016-01-01 18:00:00,68.66
2016-01-01 19:00:00,2016-01-01 19:00:00,67.35
2016-01-01 20:00:00,2016-01-01 20:00:00,67.89
2016-01-01 21:00:00,2016-01-01 21:00:00,68.17
2016-01-01 22:00:00,2016-01-01 22:00:00,56.17
2016-01-01 23:00:00,2016-01-01 23:00:00,54.92
2016-01-02 00:00:00,2016-01-02 00:00:00,54.86
2016-01-02 01:00:00,2016-01-02 01:00:00,54.72
2016-01-02 02:00:00,2016-01-02 02:00:00,54.93
2016-01-02 03:00:00,2016-01-02 03:00:00,54.93
2016-01-02 04:00:00,2016-01-02 04:00:00,55.15
2016-01-02 05:00:00,2016-01-02 05:00:00,54.54
2016-01-02 06:00:00,2016-01-02 06:00:00,54.58
2016-01-02 07:00:00,2016-01-02 07:00:00,54.55
2016-01-02 08:00:00,2016-01-02 08:00:00,49.45
2016-01-02 09:00:00,2016-01-02 09:00:00,61.58
2016-01-02 10:00:00,2016-01-02 10:00:00,61.7
2016-01-02 11:00:00,2016-01-02 11:00:00,62.47
2016-01-02 12:00:00,2016-01-02 12:00:00,64.95
2016-01-02 13:00:00,2016-01-02 13:00:00,62.86
2016-01-02 14:00:00,2016-01-02 14:00:00,62.15
2016-01-02 15:00:00,2016-01-02 15:00:00,61.94
2016-01-02 16:00:00,2016-01-02 16:00:00,59.76
2016-01-02 17:00:00,2016-01-02 17:00:00,60.07
2016-01-02 18:00:00,2016-01-02 18:00:00,57.37
2016-01-02 19:00:00,2016-01-02 19:00:00,55.02
2016-01-02 20:00:00,2016-01-02 20:00:00,55.18
2016-01-02 21:00:00,2016-01-02 21:00:00,55.23
2016-01-02 22:00:00,2016-01-02 22:00:00,55.63
2016-01-02 23:00:00,2016-01-02 23:00:00,54.86
2016-01-03 00:00:00,2016-01-03 00:00:00,54.98
2016-01-03 01:00:00,2016-01-03 01:00:00,54.56
2016-01-03 02:00:00,2016-01-03 02:00:00,55.0
2016-01-03 03:00:00,2016-01-03 03:00:00,55.18
2016-01-03 04:00:00,2016-01-03 04:00:00,55.21
2016-01-03 05:00:00,2016-01-03 05:00:00,54.66
2016-01-03 06:00:00,2016-01-03 06:00:00,54.52
2016-01-03 07:00:00,2016-01-03 07:00:00,54.34
2016-01-03 08:00:00,2016-01-03 08:00:00,49.65
2016-01-03 09:00:00,2016-01-03 09:00:00,60.3
2016-01-03 10:00:00,2016-01-03 10:00:00,62.37
2016-01-03 11:00:00,2016-01-03 11:00:00,60.77
2016-01-03 12:00:00,2016-01-03 12:00:00,59.92
2016-01-03 13:00:00,2016-01-03 13:00:00,59.69
2016-01-03 14:00:00,2016-01-03 14:00:00,60.73
2016-01-03 15:00:00,2016-01-03 15:00:00,59.19
2016-01-03 16:00:00,2016-01-03 16:00:00,59.16
2016-01-03 17:00:00,2016-01-03 17:00:00,58.45
2016-01-03 18:00:00,2016-01-03 18:00:00,54.28
2016-01-03 19:00:00,2016-01-03 19:00:00,54.94
2016-01-03 20:00:00,2016-01-03 20:00:00,54.67
2016-01-03 21:00:00,2016-01-03 21:00:00,55.06
2016-01-03 22:00:00,2016-01-03 22:00:00,54.99
2016-01-03 23:00:00,2016-01-03 23:00:00,54.84
2016-01-04 00:00:00,2016-01-04 00:00:00,54.87
2016-01-04 01:00:00,2016-01-04 01:00:00,54.77
2016-01-04 02:00:00,2016-01-04 02:00:00,55.0
2016-01-04 03:00:00,2016-01-04 03:00:00,54.99
2016-01-04 04:00:00,2016-01-04 04:00:00,54.95
2016-01-04 05:00:00,2016-01-04 05:00:00,69.44
2016-01-04 06:00:00,2016-01-04 06:00:00,71.33
2016-01-04 07:00:00,2016-01-04 07:00:00,73.01
2016-01-04 08:00:00,2016-01-04 08:00:00,104.09
2016-01-04 09:00:00,2016-01-04 09:00:00,119.59
2016-01-04 10:00:00,2016-01-04 10:00:00,117.06
2016-01-04 11:00:00,2016-01-04 11:00:00,117.55
2016-01-04 12:00:00,2016-01-04 12:00:00,115.95
2016-01-04 13:00:00,2016-01-04 13:00:00,113.36
2016-01-04 14:00:00,2016-01-04 14:00:00,106.28
2016-01-04 15:00:00,2016-01-04 15:00:00,108.72
2016-01-04 16:00:00,2016-01-04 16:00:00,105.45
2016-01-04 17:00:00,2016-01-04 17:00:00,92.11
2016-01-04 18:00:00,2016-01-04 18:00:00,94.32
2016-01-04 19:00:00,2016-01-04 19:00:00,87.63
2016-01-04 20:00:00,2016-01-04 20:00:00,82.85
2016-01-04 21:00:00,2016-01-04 21:00:00,76.92
2016-01-04 22:00:00,2016-01-04 22:00:00,57.34
2016-01-04 23:00:00,2016-01-04 23:00:00,55.41
2016-01-05 00:00:00,2016-01-05 00:00:00,55.58
2016-01-05 01:00:00,2016-01-05 01:00:00,55.16
2016-01-05 02:00:00,2016-01-05 02:00:00,55.36
2016-01-05 03:00:00,2016-01-05 03:00:00,55.62
2016-01-05 04:00:00,2016-01-05 04:00:00,55.88
2016-01-05 05:00:00,2016-01-05 05:00:00,70.27
2016-01-05 06:00:00,2016-01-05 06:00:00,72.96
2016-01-05 07:00:00,2016-01-05 07:00:00,73.16
2016-01-05 08:00:00,2016-01-05 08:00:00,90.62
2016-01-05 09:00:00,2016-01-05 09:00:00,107.84
2016-01-05 10:00:00,2016-01-05 10:00:00,113.69
