timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,129.79
2016-01-01 01:00:00,2016-01-01 01:00:00,129.82
2016-01-01 02:00:00,2016-01-01 02:00:00,128.01
2016-01-01 03:00:00,2016-01-01 03:00:00,123.15
2016-01-01 04:00:00,2016-01-01 04:00:00,130.57
2016-01-01 05:00:00,2016-01-01 05:00:00,138.22
2016-01-01 06:00:00,2016-01-01 06:00:00,138.17
2016-01-01 07:00:00,2016-01-01 07:00:00,133.83
2016-01-01 08:00:00,2016-01-01 08:00:00,133.23
2016-01-01 09:00:00,2016-01-01 09:00:00,140.25
2016-01-01 10:00:00,2016-01-01 10:00:00,137.45
2016-01-01 11:00:00,2016-01-01 11:00:00,140.04
2016-01-01 12:00:00,2016-01-01 12:00:00,128.52
2016-01-01 13:00:00,2016-01-01 13:00:00,131.59
2016-01-01 14:00:00,2016-01-01 14:00:00,126.39
2016-01-01 15:00:00,2016-01-01 15:00:00,120.19
2016-01-01 16:00:00,2016-01-01 16:00:00,132.28
2016-01-01 17:00:00,2016-01-01 17:00:00,122.32
2016-01-01 18:00:00,2016-01-01 18:00:00,125.4
2016-01-01 19:00:00,2016-01-01 19:00:00,135.41
2016-01-01 20:00:00,2016-01-01 20:00:00,140.4
2016-01-01 21:00:00,2016-01-01 21:00:00,142.91
2016-01-01 22:00:00,2016-01-01 22:00:00,139.8
2016-01-01 23:00:00,2016-01-01 23:00:00,142.66
2016-01-02 00:00:00,2016-01-02 00:00:00,135.59
2016-01-02 01:00:00,2016-01-02 01:00:00,132.75
2016-01-02 02:00:00,2016-01-02 02:00:00,138.67
2016-01-02 03:00:00,2016-01-02 03:00:00,141.11
2016-01-02 04:00:00,2016-01-02 04:00:00,144.52
2016-01-02 05:00:00,2016-01-02 05:00:00,142.01
2016-01-02 06:00:00,2016-01-02 06:00:00,144.79
2016-01-02 07:00:00,2016-01-02 07:00:00,141.05
2016-01-02 08:00:00,2016-01-02 08:00:00,148.31
2016-01-02 09:00:00,2016-01-02 09:00:00,134.86
2016-01-02 10:00:00,2016-01-02 10:00:00,138.99
2016-01-02 11:00:00,2016-01-02 11:00:00,131.0
2016-01-02 12:00:00,2016-01-02 12:00:00,128.57
2016-01-02 13:00:00,2016-01-02 13:00:00,124.86
2016-01-02 14:00:00,2016-01-02 14:00:00,124.52
2016-01-02 15:00:00,2016-01-02 15:00:00,124.74
2016-01-02 16:00:00,2016-01-02 16:00:00,119.25
2016-01-02 17:00:00,2016-01-02 17:00:00,120.81
2016-01-02 18:00:00,2016-01-02 18:00:00,122.32
2016-01-02 19:00:00,2016-01-02 19:00:00,137.35
2016-01-02 20:00:00,2016-01-02 20:00:00,132.58
2016-01-02 21:00:00,2016-01-02 21:00:00,140.3
2016-01-02 22:00:00,2016-01-02 22:00:00,140.51
2016-01-02 23:00:00,2016-01-02 23:00:00,142.01
2016-01-03 00:00:00,2016-01-03 00:00:00,141.82
2016-01-03 01:00:00,2016-01-03 01:00:00,135.54
2016-01-03 02:00:00,2016-01-03 02:00:00,142.04
2016-01-03 03:00:00,2016-01-03 03:00:00,134.12
2016-01-03 04:00:00,2016-01-03 04:00:00,142.58
2016-01-03 05:00:00,2016-01-03 05:00:00,138.99
2016-01-03 06:00:00,2016-01-03 06:00:00,143.68
2016-01-03 07:00:00,2016-01-03 07:00:00,141.65
2016-01-03 08:00:00,2016-01-03 08:00:00,144.53
2016-01-03 09:00:00,2016-01-03 09:00:00,136.54
2016-01-03 10:00:00,2016-01-03 10:00:00,129.75
2016-01-03 11:00:00,2016-01-03 11:00:00,130.46
2016-01-03 12:00:00,2016-01-03 12:00:00,127.93
2016-01-03 13:00:00,2016-01-03 13:00:00,126.97
2016-01-03 14:00:00,2016-01-03 14:00:00,132.51
2016-01-03 15:00:00,2016-01-03 15:00:00,129.45
2016-01-03 16:00:00,2016-01-03 16:00:00,133.66
2016-01-03 17:00:00,2016-01-03 17:00:00,124.7
2016-01-03 18:00:00,2016-01-03 18:00:00,122.72
2016-01-03 19:00:00,2016-01-03 19:00:00,128.65
2016-01-03 20:00:00,2016-01-03 20:00:00,125.96
2016-01-03 21:00:00,2016-01-03 21:00:00,138.87
2016-01-03 22:00:00,2016-01-03 22:00:00,137.68
2016-01-03 23:00:00,2016-01-03 23:00:00,138.76
2016-01-04 00:00:00,2016-01-04 00:00:00,136.32
2016-01-04 01:00:00,2016-01-04 01:00:00,140.3
2016-01-04 02:00:00,2016-01-04 02:00:00,142.47
2016-01-04 03:00:00,2016-01-04 03:00:00,139.71
2016-01-04 04:00:00,2016-01-04 04:00:00,147.15
2016-01-04 05:00:00,2016-01-04 05:00:00,142.06
2016-01-04 06:00:00,2016-01-04 06:00:00,145.36
2016-01-04 07:00:00,2016-01-04 07:00:00,158.8
2016-01-04 08:00:00,2016-01-04 08:00:00,188.29
2016-01-04 09:00:00,2016-01-04 09:00:00,198.7
2016-01-04 10:00:00,2016-01-04 10:00:00,205.44
2016-01-04 11:00:00,2016-01-04 11:00:00,192.39
2016-01-04 12:00:00,2016-01-04 12:00:00,202.73
2016-01-04 13:00:00,2016-01-04 13:00:00,183.44
2016-01-04 14:00:00,2016-01-04 14:00:00,196.12
2016-01-04 15:00:00,2016-01-04 15:00:00,182.75
2016-01-04 16:00:00,2016-01-04 16:00:00,179.16
2016-01-04 17:00:00,2016-01-04 17:00:00,175.34
2016-01-04 18:00:00,2016-01-04 18:00:00,184.52
2016-01-04 19:00:00,2016-01-04 19:00:00,183.5
2016-01-04 20:00:00,2016-01-04 20:00:00,170.82
2016-01-04 21:00:00,2016-01-04 21:00:00,165.71
2016-01-04 22:00:00,2016-01-04 22:00:00,166.3
2016-01-04 23:00:00,2016-01-04 23:00:00,163.69
2016-01-05 00:00:00,2016-01-05 00:00:00,159.67
2016-01-05 01:00:00,2016-01-05 01:00:00,160.05
2016-01-05 02:00:00,2016-01-05 02:00:00,152.27
2016-01-05 03:00:00,2016-01-05 03:00:00,154.76
2016-01-05 04:00:00,2016-01-05 04:00:00,150.61
2016-01-05 05:00:00,2016-01-05 05:00:00,158.65
2016-01-05 06:00:00,2016-01-05 06:00:00,155.55
2016-01-05 07:00:00,2016-01-05 07:00:00,170.23
2016-01-05 08:00:00,2016-01-05 08:00:00,199.31
2016-01-05 09:00:00,2016-01-05 09:00:00,214.75
2016-01-05 10:00:00,2016-01-05 10:00:00,207.44
2016-01-05 11:00:00,2016-01-05 11:00:00,218.14
2016-01-05 12:00:00,2016-01-05 12:00:00,226.02
2016-01-05 13:00:00,2016-01-05 13:00:00,212.93
2016-01-05 14:00:00,2016-01-05 14:00:00,205.08
2016-01-05 15:00:00,2016-01-05 15:00:00,199.09
