timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,92.58
2016-01-01 01:00:00,2016-01-01 01:00:00,92.38
2016-01-01 02:00:00,2016-01-01 02:00:00,92.59
2016-01-01 03:00:00,2016-01-01 03:00:00,92.61
2016-01-01 04:00:00,2016-01-01 04:00:00,92.31
2016-01-01 05:00:00,2016-01-01 05:00:00,92.62
2016-01-01 06:00:00,2016-01-01 06:00:00,91.88
2016-01-01 07:00:00,2016-01-01 07:00:00,92.36
2016-01-01 08:00:00,2016-01-01 08:00:00,92.38
2016-01-01 09:00:00,2016-01-01 09:00:00,91.91
2016-01-01 10:00:00,2016-01-01 10:00:00,91.36
2016-01-01 11:00:00,2016-01-01 11:00:00,91.61
2016-01-01 12:00:00,2016-01-01 12:00:00,90.82
2016-01-01 13:00:00,2016-01-01 13:00:00,91.56
2016-01-01 14:00:00,2016-01-01 14:00:00,91.45
2016-01-01 15:00:00,2016-01-01 15:00:00,90.72
2016-01-01 16:00:00,2016-01-01 16:00:00,90.43
2016-01-01 17:00:00,2016-01-01 17:00:00,90.6
2016-01-01 18:00:00,2016-01-01 18:00:00,91.88
2016-01-01 19:00:00,2016-01-01 19:00:00,92.13
2016-01-01 20:00:00,2016-01-01 20:00:00,92.98
2016-01-01 21:00:00,2016-01-01 21:00:00,92.9
2016-01-01 22:00:00,2016-01-01 22:00:00,92.98
2016-01-01 23:00:00,2016-01-01 23:00:00,92.86
2016-01-02 00:00:00,2016-01-02 00:00:00,93.03
2016-01-02 01:00:00,2016-01-02 01:00:00,93.04
2016-01-02 02:00:00,2016-01-02 02:00:00,93.72
2016-01-02 03:00:00,2016-01-02 03:00:00,93.22
2016-01-02 04:00:00,2016-01-02 04:00:00,93.17
2016-01-02 05:00:00,2016-01-02 05:00:00,93.24
2016-01-02 06:00:00,2016-01-02 06:00:00,92.91
2016-01-02 07:00:00,2016-01-02 07:00:00,92.76
2016-01-02 08:00:00,2016-01-02 08:00:00,92.15
2016-01-02 09:00:00,2016-01-02 09:00:00,91.3
2016-01-02 10:00:00,2016-01-02 10:00:00,91.01
2016-01-02 11:00:00,2016-01-02 11:00:00,90.85
2016-01-02 12:00:00,2016-01-02 12:00:00,91.0
2016-01-02 13:00:00,2016-01-02 13:00:00,91.14
2016-01-02 14:00:00,2016-01-02 14:00:00,91.16
2016-01-02 15:00:00,2016-01-02 15:00:00,91.23
2016-01-02 16:00:00,2016-01-02 16:00:00,90.94
2016-01-02 17:00:00,2016-01-02 17:00:00,91.02
2016-01-02 18:00:00,2016-01-02 18:00:00,91.78
2016-01-02 19:00:00,2016-01-02 19:00:00,91.94
2016-01-02 20:00:00,2016-01-02 20:00:00,92.29
2016-01-02 21:00:00,2016-01-02 21:00:00,91.86
2016-01-02 22:00:00,2016-01-02 22:00:00,92.79
2016-01-02 23:00:00,2016-01-02 23:00:00,92.58
2016-01-03 00:00:00,2016-01-03 00:00:00,92.88
2016-01-03 01:00:00,2016-01-03 01:00:00,93.0
2016-01-03 02:00:00,2016-01-03 02:00:00,93.28
2016-01-03 03:00:00,2016-01-03 03:00:00,92.96
2016-01-03 04:00:00,2016-01-03 04:00:00,93.05
2016-01-03 05:00:00,2016-01-03 05:00:00,92.6
2016-01-03 06:00:00,2016-01-03 06:00:00,92.25
2016-01-03 07:00:00,2016-01-03 07:00:00,91.61
2016-01-03 08:00:00,2016-01-03 08:00:00,92.46
2016-01-03 09:00:00,2016-01-03 09:00:00,100.28
2016-01-03 10:00:00,2016-01-03 10:00:00,102.0
2016-01-03 11:00:00,2016-01-03 11:00:00,102.69
2016-01-03 12:00:00,2016-01-03 12:00:00,102.9
2016-01-03 13:00:00,2016-01-03 13:00:00,103.1
2016-01-03 14:00:00,2016-01-03 14:00:00,93.18
2016-01-03 15:00:00,2016-01-03 15:00:00,91.43
2016-01-03 16:00:00,2016-01-03 16:00:00,91.42
2016-01-03 17:00:00,2016-01-03 17:00:00,89.41
2016-01-03 18:00:00,2016-01-03 18:00:00,90.72
2016-01-03 19:00:00,2016-01-03 19:00:00,90.67
2016-01-03 20:00:00,2016-01-03 20:00:00,91.12
2016-01-03 21:00:00,2016-01-03 21:00:00,91.74
2016-01-03 22:00:00,2016-01-03 22:00:00,91.44
2016-01-03 23:00:00,2016-01-03 23:00:00,91.99
2016-01-04 00:00:00,2016-01-04 00:00:00,92.04
2016-01-04 01:00:00,2016-01-04 01:00:00,91.84
2016-01-04 02:00:00,2016-01-04 02:00:00,92.15
2016-01-04 03:00:00,2016-01-04 03:00:00,91.87
2016-01-04 04:00:00,2016-01-04 04:00:00,91.81
2016-01-04 05:00:00,2016-01-04 05:00:00,91.61
2016-01-04 06:00:00,2016-01-04 06:00:00,90.63
2016-01-04 07:00:00,2016-01-04 07:00:00,143.64
2016-01-04 08:00:00,2016-01-04 08:00:00,181.89
2016-01-04 09:00:00,2016-01-04 09:00:00,182.1
2016-01-04 10:00:00,2016-01-04 10:00:00,188.54
2016-01-04 11:00:00,2016-01-04 11:00:00,185.58
2016-01-04 12:00:00,2016-01-04 12:00:00,189.09
2016-01-04 13:00:00,2016-01-04 13:00:00,181.41
2016-01-04 14:00:00,2016-01-04 14:00:00,164.26
2016-01-04 15:00:00,2016-01-04 15:00:00,160.26
2016-01-04 16:00:00,2016-01-04 16:00:00,168.81
2016-01-04 17:00:00,2016-01-04 17:00:00,165.79
2016-01-04 18:00:00,2016-01-04 18:00:00,163.49
2016-01-04 19:00:00,2016-01-04 19:00:00,152.31
2016-01-04 20:00:00,2016-01-04 20:00:00,128.24
2016-01-04 21:00:00,2016-01-04 21:00:00,103.61
2016-01-04 22:00:00,2016-01-04 22:00:00,99.07
2016-01-04 23:00:00,2016-01-04 23:00:00,97.84
2016-01-05 00:00:00,2016-01-05 00:00:00,98.47
2016-01-05 01:00:00,2016-01-05 01:00:00,98.62
2016-01-05 02:00:00,2016-01-05 02:00:00,98.97
2016-01-05 03:00:00,2016-01-05 03:00:00,98.67
2016-01-05 04:00:00,2016-01-05 04:00:00,98.83
2016-01-05 05:00:00,2016-01-05 05:00:00,98.45
