timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,89.47
2016-01-01 01:00:00,2016-01-01 01:00:00,81.07
2016-01-01 02:00:00,2016-01-01 02:00:00,82.78
2016-01-01 03:00:00,2016-01-01 03:00:00,82.45
2016-01-01 04:00:00,2016-01-01 04:00:00,315.28
2016-01-01 05:00:00,2016-01-01 05:00:00,339.04
2016-01-01 06:00:00,2016-01-01 06:00:00,316.21
2016-01-01 07:00:00,2016-01-01 07:00:00,327.97
2016-01-01 08:00:00,2016-01-01 08:00:00,325.75
2016-01-01 09:00:00,2016-01-01 09:00:00,350.08
2016-01-01 10:00:00,2016-01-01 10:00:00,351.4
2016-01-01 11:00:00,2016-01-01 11:00:00,333.31
2016-01-01 12:00:00,2016-01-01 12:00:00,329.44
2016-01-01 13:00:00,2016-01-01 13:00:00,324.01
2016-01-01 14:00:00,2016-01-01 14:00:00,317.17
2016-01-01 15:00:00,2016-01-01 15:00:00,323.05
2016-01-01 16:00:00,2016-01-01 16:00:00,327.01
2016-01-01 17:00:00,2016-01-01 17:00:00,303.04
2016-01-01 18:00:00,2016-01-01 18:00:00,297.79
2016-01-01 19:00:00,2016-01-01 19:00:00,298.27
2016-01-01 20:00:00,2016-01-01 20:00:00,303.19
2016-01-01 21:00:00,2016-01-01 21:00:00,127.15
2016-01-01 22:00:00,2016-01-01 22:00:00,97.96
2016-01-01 23:00:00,2016-01-01 23:00:00,96.04
2016-01-02 00:00:00,2016-01-02 00:00:00,96.37
2016-01-02 01:00:00,2016-01-02 01:00:00,94.78
2016-01-02 02:00:00,2016-01-02 02:00:00,104.92
2016-01-02 03:00:00,2016-01-02 03:00:00,89.08
2016-01-02 04:00:00,2016-01-02 04:00:00,86.8
2016-01-02 05:00:00,2016-01-02 05:00:00,94.84
2016-01-02 06:00:00,2016-01-02 06:00:00,106.12
2016-01-02 07:00:00,2016-01-02 07:00:00,205.09
2016-01-02 08:00:00,2016-01-02 08:00:00,353.89
2016-01-02 09:00:00,2016-01-02 09:00:00,335.26
2016-01-02 10:00:00,2016-01-02 10:00:00,360.34
2016-01-02 11:00:00,2016-01-02 11:00:00,360.82
2016-01-02 12:00:00,2016-01-02 12:00:00,365.14
2016-01-02 13:00:00,2016-01-02 13:00:00,346.87
2016-01-02 14:00:00,2016-01-02 14:00:00,330.49
2016-01-02 15:00:00,2016-01-02 15:00:00,318.49
2016-01-02 16:00:00,2016-01-02 16:00:00,319.96
2016-01-02 17:00:00,2016-01-02 17:00:00,244.81
2016-01-02 18:00:00,2016-01-02 18:00:00,205.6
2016-01-02 19:00:00,2016-01-02 19:00:00,205.51
2016-01-02 20:00:00,2016-01-02 20:00:00,201.91
2016-01-02 21:00:00,2016-01-02 21:00:00,121.87
2016-01-02 22:00:00,2016-01-02 22:00:00,119.83
2016-01-02 23:00:00,2016-01-02 23:00:00,137.08
2016-01-03 00:00:00,2016-01-03 00:00:00,118.63
2016-01-03 01:00:00,2016-01-03 01:00:00,104.14
2016-01-03 02:00:00,2016-01-03 02:00:00,106.63
2016-01-03 03:00:00,2016-01-03 03:00:00,104.95
2016-01-03 04:00:00,2016-01-03 04:00:00,102.46
2016-01-03 05:00:00,2016-01-03 05:00:00,105.67
2016-01-03 06:00:00,2016-01-03 06:00:00,87.46
2016-01-03 07:00:00,2016-01-03 07:00:00,201.88
2016-01-03 08:00:00,2016-01-03 08:00:00,341.29
2016-01-03 09:00:00,2016-01-03 09:00:00,370.81
2016-01-03 10:00:00,2016-01-03 10:00:00,362.95
2016-01-03 11:00:00,2016-01-03 11:00:00,352.0
2016-01-03 12:00:00,2016-01-03 12:00:00,358.24
2016-01-03 13:00:00,2016-01-03 13:00:00,347.17
2016-01-03 14:00:00,2016-01-03 14:00:00,324.64
2016-01-03 15:00:00,2016-01-03 15:00:00,326.05
2016-01-03 16:00:00,2016-01-03 16:00:00,321.67
2016-01-03 17:00:00,2016-01-03 17:00:00,286.63
2016-01-03 18:00:00,2016-01-03 18:00:00,255.16
2016-01-03 19:00:00,2016-01-03 19:00:00,244.0
2016-01-03 20:00:00,2016-01-03 20:00:00,210.7
2016-01-03 21:00:00,2016-01-03 21:00:00,108.16
2016-01-03 22:00:00,2016-01-03 22:00:00,89.56
2016-01-03 23:00:00,2016-01-03 23:00:00,86.83
2016-01-04 00:00:00,2016-01-04 00:00:00,93.64
2016-01-04 01:00:00,2016-01-04 01:00:00,97.42
2016-01-04 02:00:00,2016-01-04 02:00:00,86.56
2016-01-04 03:00:00,2016-01-04 03:00:00,86.41
2016-01-04 04:00:00,2016-01-04 04:00:00,319.9
2016-01-04 05:00:00,2016-01-04 05:00:00,356.59
2016-01-04 06:00:00,2016-01-04 06:00:00,351.19
2016-01-04 07:00:00,2016-01-04 07:00:00,357.7
2016-01-04 08:00:00,2016-01-04 08:00:00,381.61
2016-01-04 09:00:00,2016-01-04 09:00:00,424.54
2016-01-04 10:00:00,2016-01-04 10:00:00,425.5
2016-01-04 11:00:00,2016-01-04 11:00:00,393.01
2016-01-04 12:00:00,2016-01-04 12:00:00,409.06
2016-01-04 13:00:00,2016-01-04 13:00:00,405.31
2016-01-04 14:00:00,2016-01-04 14:00:00,404.02
2016-01-04 15:00:00,2016-01-04 15:00:00,375.07
2016-01-04 16:00:00,2016-01-04 16:00:00,390.01
2016-01-04 17:00:00,2016-01-04 17:00:00,404.59
2016-01-04 18:00:00,2016-01-04 18:00:00,433.81
2016-01-04 19:00:00,2016-01-04 19:00:00,399.31
2016-01-04 20:00:00,2016-01-04 20:00:00,419.32
2016-01-04 21:00:00,2016-01-04 21:00:00,171.46
2016-01-04 22:00:00,2016-01-04 22:00:00,130.36
2016-01-04 23:00:00,2016-01-04 23:00:00,141.1
2016-01-05 00:00:00,2016-01-05 00:00:00,141.16
2016-01-05 01:00:00,2016-01-05 01:00:00,110.08
2016-01-05 02:00:00,2016-01-05 02:00:00,136.21
2016-01-05 03:00:00,2016-01-05 03:00:00,127.48
2016-01-05 04:00:00,2016-01-05 04:00:00,365.2
2016-01-05 05:00:00,2016-01-05 05:00:00,375.4
2016-01-05 06:00:00,2016-01-05 06:00:00,400.09
2016-01-05 07:00:00,2016-01-05 07:00:00,428.14
2016-01-05 08:00:00,2016-01-05 08:00:00,474.88
2016-01-05 09:00:00,2016-01-05 09:00:00,485.23
2016-01-05 10:00:00,2016-01-05 10:00:00,432.88
2016-01-05 11:00:00,2016-01-05 11:00:00,422.38
2016-01-05 12:00:00,2016-01-05 12:00:00,432.88
2016-01-05 13:00:00,2016-01-05 13:00:00,410.59
2016-01-05 14:00:00,2016-01-05 14:00:00,408.19
2016-01-05 15:00:00,2016-01-05 15:00:00,399.04
2016-01-05 16:00:00,2016-01-05 16:00:00,426.31
2016-01-05 17:00:00,2016-01-05 17:00:00,424.45
2016-01-05 18:00:00,2016-01-05 18:00:00,433.06
2016-01-05 19:00:00,2016-01-05 19:00:00,454.15
2016-01-05 20:00:00,2016-01-05 20:00:00,435.76
2016-01-05 21:00:00,2016-01-05 21:00:00,196.6
2016-01-05 22:00:00,2016-01-05 22:00:00,185.71
2016-01-05 23:00:00,2016-01-05 23:00:00,138.88
2016-01-06 00:00:00,2016-01-06 00:00:00,139.78
2016-01-06 01:00:00,2016-01-06 01:00:00,122.56
2016-01-06 02:00:00,2016-01-06 02:00:00,134.74
2016-01-06 03:00:00,2016-01-06 03:00:00,119.98
2016-01-06 04:00:00,2016-01-06 04:00:00,364.42
2016-01-06 05:00:00,2016-01-06 05:00:00,378.97
2016-01-06 06:00:00,2016-01-06 06:00:00,373.0
2016-01-06 07:00:00,2016-01-06 07:00:00,392.02
2016-01-06 08:00:00,2016-01-06 08:00:00,429.46
2016-01-06 09:00:00,2016-01-06 09:00:00,424.0
2016-01-06 10:00:00,2016-01-06 10:00:00,418.36
2016-01-06 11:00:00,2016-01-06 11:00:00,417.85
2016-01-06 12:00:00,2016-01-06 12:00:00,391.0
2016-01-06 13:00:00,2016-01-06 13:00:00,376.75
2016-01-06 14:00:00,2016-01-06 14:00:00,362.2
2016-01-06 15:00:00,2016-01-06 15:00:00,363.37
2016-01-06 16:00:00,2016-01-06 16:00:00,360.4
2016-01-06 17:00:00,2016-01-06 17:00:00,397.18
2016-01-06 18:00:00,2016-01-06 18:00:00,394.3
2016-01-06 19:00:00,2016-01-06 19:00:00,395.65
2016-01-06 20:00:00,2016-01-06 20:00:00,392.98
2016-01-06 21:00:00,2016-01-06 21:00:00,202.66
2016-01-06 22:00:00,2016-01-06 22:00:00,177.31
2016-01-06 23:00:00,2016-01-06 23:00:00,132.58
2016-01-07 00:00:00,2016-01-07 00:00:00,133.96
2016-01-07 01:00:00,2016-01-07 01:00:00,94.69
2016-01-07 02:00:00,2016-01-07 02:00:00,89.53
2016-01-07 03:00:00,2016-01-07 03:00:00,88.24
2016-01-07 04:00:00,2016-01-07 04:00:00,323.32
2016-01-07 05:00:00,2016-01-07 05:00:00,355.72
2016-01-07 06:00:00,2016-01-07 06:00:00,336.61
2016-01-07 07:00:00,2016-01-07 07:00:00,346.24
2016-01-07 08:00:00,2016-01-07 08:00:00,379.36
2016-01-07 09:00:00,2016-01-07 09:00:00,403.57
2016-01-07 10:00:00,2016-01-07 10:00:00,386.68
2016-01-07 11:00:00,2016-01-07 11:00:00,391.75
2016-01-07 12:00:00,2016-01-07 12:00:00,395.08
2016-01-07 13:00:00,2016-01-07 13:00:00,360.49
2016-01-07 14:00:00,2016-01-07 14:00:00,364.42
2016-01-07 15:00:00,2016-01-07 15:00:00,357.64
2016-01-07 16:00:00,2016-01-07 16:00:00,352.09
2016-01-07 17:00:00,2016-01-07 17:00:00,364.09
2016-01-07 18:00:00,2016-01-07 18:00:00,396.88
2016-01-07 19:00:00,2016-01-07 19:00:00,345.28
2016-01-07 20:00:00,2016-01-07 20:00:00,366.79
2016-01-07 21:00:00,2016-01-07 21:00:00,176.98
2016-01-07 22:00:00,2016-01-07 22:00:00,154.6
2016-01-07 23:00:00,2016-01-07 23:00:00,117.13
2016-01-08 00:00:00,2016-01-08 00:00:00,105.85
2016-01-08 01:00:00,2016-01-08 01:00:00,92.5
2016-01-08 02:00:00,2016-01-08 02:00:00,82.09
2016-01-08 03:00:00,2016-01-08 03:00:00,83.35
2016-01-08 04:00:00,2016-01-08 04:00:00,285.34
2016-01-08 05:00:00,2016-01-08 05:00:00,309.22
2016-01-08 06:00:00,2016-01-08 06:00:00,323.32
2016-01-08 07:00:00,2016-01-08 07:00:00,342.94
2016-01-08 08:00:00,2016-01-08 08:00:00,388.45
2016-01-08 09:00:00,2016-01-08 09:00:00,398.32
2016-01-08 10:00:00,2016-01-08 10:00:00,387.67
2016-01-08 11:00:00,2016-01-08 11:00:00,381.22
2016-01-08 12:00:00,2016-01-08 12:00:00,348.64
2016-01-08 13:00:00,2016-01-08 13:00:00,368.48
2016-01-08 14:00:00,2016-01-08 14:00:00,359.29
2016-01-08 15:00:00,2016-01-08 15:00:00,354.62
2016-01-08 16:00:00,2016-01-08 16:00:00,355.57
2016-01-08 17:00:00,2016-01-08 17:00:00,354.19
2016-01-08 18:00:00,2016-01-08 18:00:00,376.03
2016-01-08 19:00:00,2016-01-08 19:00:00,361.05
2016-01-08 20:00:00,2016-01-08 20:00:00,355.34
2016-01-08 21:00:00,2016-01-08 21:00:00,162.88
2016-01-08 22:00:00,2016-01-08 22:00:00,146.64
2016-01-08 23:00:00,2016-01-08 23:00:00,130.15
2016-01-09 00:00:00,2016-01-09 00:00:00,154.73
2016-01-09 01:00:00,2016-01-09 01:00:00,226.29
2016-01-09 02:00:00,2016-01-09 02:00:00,236.47
2016-01-09 03:00:00,2016-01-09 03:00:00,226.22
2016-01-09 04:00:00,2016-01-09 04:00:00,217.6
2016-01-09 05:00:00,2016-01-09 05:00:00,230.68
2016-01-09 06:00:00,2016-01-09 06:00:00,226.37
2016-01-09 07:00:00,2016-01-09 07:00:00,411.55
2016-01-09 08:00:00,2016-01-09 08:00:00,723.75
2016-01-09 09:00:00,2016-01-09 09:00:00,703.21
2016-01-09 10:00:00,2016-01-09 10:00:00,691.53
2016-01-09 11:00:00,2016-01-09 11:00:00,681.64
2016-01-09 12:00:00,2016-01-09 12:00:00,670.75
2016-01-09 13:00:00,2016-01-09 13:00:00,664.48
2016-01-09 14:00:00,2016-01-09 14:00:00,667.17
2016-01-09 15:00:00,2016-01-09 15:00:00,642.26
2016-01-09 16:00:00,2016-01-09 16:00:00,645.19
2016-01-09 17:00:00,2016-01-09 17:00:00,493.72
2016-01-09 18:00:00,2016-01-09 18:00:00,435.44
2016-01-09 19:00:00,2016-01-09 19:00:00,438.27
2016-01-09 20:00:00,2016-01-09 20:00:00,426.99
2016-01-09 21:00:00,2016-01-09 21:00:00,228.86
2016-01-09 22:00:00,2016-01-09 22:00:00,199.73
2016-01-09 23:00:00,2016-01-09 23:00:00,211.98
2016-01-10 00:00:00,2016-01-10 00:00:00,195.72
2016-01-10 01:00:00,2016-01-10 01:00:00,177.71
2016-01-10 02:00:00,2016-01-10 02:00:00,175.99
2016-01-10 03:00:00,2016-01-10 03:00:00,183.11
2016-01-10 04:00:00,2016-01-10 04:00:00,175.65
2016-01-10 05:00:00,2016-01-10 05:00:00,180.64
2016-01-10 06:00:00,2016-01-10 06:00:00,215.92
2016-01-10 07:00:00,2016-01-10 07:00:00,372.55
2016-01-10 08:00:00,2016-01-10 08:00:00,637.44
2016-01-10 09:00:00,2016-01-10 09:00:00,649.38
2016-01-10 10:00:00,2016-01-10 10:00:00,655.71
2016-01-10 11:00:00,2016-01-10 11:00:00,662.84
2016-01-10 12:00:00,2016-01-10 12:00:00,695.13
2016-01-10 13:00:00,2016-01-10 13:00:00,696.45
2016-01-10 14:00:00,2016-01-10 14:00:00,709.23
2016-01-10 15:00:00,2016-01-10 15:00:00,712.36
2016-01-10 16:00:00,2016-01-10 16:00:00,708.63
2016-01-10 17:00:00,2016-01-10 17:00:00,583.53
2016-01-10 18:00:00,2016-01-10 18:00:00,573.83
2016-01-10 19:00:00,2016-01-10 19:00:00,514.97
2016-01-10 20:00:00,2016-01-10 20:00:00,445.13
2016-01-10 21:00:00,2016-01-10 21:00:00,275.51
2016-01-10 22:00:00,2016-01-10 22:00:00,239.18
2016-01-10 23:00:00,2016-01-10 23:00:00,234.49
2016-01-11 00:00:00,2016-01-11 00:00:00,220.81
2016-01-11 01:00:00,2016-01-11 01:00:00,206.6
2016-01-11 02:00:00,2016-01-11 02:00:00,210.41
2016-01-11 03:00:00,2016-01-11 03:00:00,186.15
2016-01-11 04:00:00,2016-01-11 04:00:00,638.94
2016-01-11 05:00:00,2016-01-11 05:00:00,710.37
2016-01-11 06:00:00,2016-01-11 06:00:00,599.08
2016-01-11 07:00:00,2016-01-11 07:00:00,334.23
2016-01-11 08:00:00,2016-01-11 08:00:00,445.92
2016-01-11 09:00:00,2016-01-11 09:00:00,841.0
2016-01-11 10:00:00,2016-01-11 10:00:00,797.73
2016-01-11 11:00:00,2016-01-11 11:00:00,750.62
2016-01-11 12:00:00,2016-01-11 12:00:00,752.6
2016-01-11 13:00:00,2016-01-11 13:00:00,756.32
2016-01-11 14:00:00,2016-01-11 14:00:00,706.89
2016-01-11 15:00:00,2016-01-11 15:00:00,681.82
2016-01-11 16:00:00,2016-01-11 16:00:00,694.11
2016-01-11 17:00:00,2016-01-11 17:00:00,703.39
2016-01-11 18:00:00,2016-01-11 18:00:00,761.96
2016-01-11 19:00:00,2016-01-11 19:00:00,704.85
2016-01-11 20:00:00,2016-01-11 20:00:00,680.39
2016-01-11 21:00:00,2016-01-11 21:00:00,282.78
2016-01-11 22:00:00,2016-01-11 22:00:00,261.29
