timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,188.88
2016-01-01 01:00:00,2016-01-01 01:00:00,185.73
2016-01-01 02:00:00,2016-01-01 02:00:00,186.81
2016-01-01 03:00:00,2016-01-01 03:00:00,187.14
2016-01-01 04:00:00,2016-01-01 04:00:00,194.79
2016-01-01 05:00:00,2016-01-01 05:00:00,211.05
2016-01-01 06:00:00,2016-01-01 06:00:00,211.56
2016-01-01 07:00:00,2016-01-01 07:00:00,218.49
2016-01-01 08:00:00,2016-01-01 08:00:00,236.52
2016-01-01 09:00:00,2016-01-01 09:00:00,246.33
2016-01-01 10:00:00,2016-01-01 10:00:00,245.58
2016-01-01 11:00:00,2016-01-01 11:00:00,247.32
2016-01-01 12:00:00,2016-01-01 12:00:00,261.18
2016-01-01 13:00:00,2016-01-01 13:00:00,254.04
2016-01-01 14:00:00,2016-01-01 14:00:00,249.63
2016-01-01 15:00:00,2016-01-01 15:00:00,242.4
2016-01-01 16:00:00,2016-01-01 16:00:00,239.43
2016-01-01 17:00:00,2016-01-01 17:00:00,232.02
2016-01-01 18:00:00,2016-01-01 18:00:00,230.88
2016-01-01 19:00:00,2016-01-01 19:00:00,227.1
2016-01-01 20:00:00,2016-01-01 20:00:00,219.87
2016-01-01 21:00:00,2016-01-01 21:00:00,180.15
2016-01-01 22:00:00,2016-01-01 22:00:00,180.3
2016-01-01 23:00:00,2016-01-01 23:00:00,179.46
2016-01-02 00:00:00,2016-01-02 00:00:00,179.25
2016-01-02 01:00:00,2016-01-02 01:00:00,159.54
2016-01-02 02:00:00,2016-01-02 02:00:00,164.76
2016-01-02 03:00:00,2016-01-02 03:00:00,160.38
2016-01-02 04:00:00,2016-01-02 04:00:00,170.37
2016-01-02 05:00:00,2016-01-02 05:00:00,166.56
2016-01-02 06:00:00,2016-01-02 06:00:00,171.45
2016-01-02 07:00:00,2016-01-02 07:00:00,167.73
2016-01-02 08:00:00,2016-01-02 08:00:00,200.04
2016-01-02 09:00:00,2016-01-02 09:00:00,196.08
2016-01-02 10:00:00,2016-01-02 10:00:00,198.09
2016-01-02 11:00:00,2016-01-02 11:00:00,209.22
2016-01-02 12:00:00,2016-01-02 12:00:00,211.47
2016-01-02 13:00:00,2016-01-02 13:00:00,214.71
2016-01-02 14:00:00,2016-01-02 14:00:00,216.9
2016-01-02 15:00:00,2016-01-02 15:00:00,216.9
2016-01-02 16:00:00,2016-01-02 16:00:00,211.14
2016-01-02 17:00:00,2016-01-02 17:00:00,195.6
2016-01-02 18:00:00,2016-01-02 18:00:00,200.16
2016-01-02 19:00:00,2016-01-02 19:00:00,182.19
2016-01-02 20:00:00,2016-01-02 20:00:00,179.25
2016-01-02 21:00:00,2016-01-02 21:00:00,164.22
2016-01-02 22:00:00,2016-01-02 22:00:00,168.12
2016-01-02 23:00:00,2016-01-02 23:00:00,166.38
2016-01-03 00:00:00,2016-01-03 00:00:00,168.18
2016-01-03 01:00:00,2016-01-03 01:00:00,168.27
2016-01-03 02:00:00,2016-01-03 02:00:00,169.98
2016-01-03 03:00:00,2016-01-03 03:00:00,168.45
2016-01-03 04:00:00,2016-01-03 04:00:00,172.86
2016-01-03 05:00:00,2016-01-03 05:00:00,170.64
2016-01-03 06:00:00,2016-01-03 06:00:00,184.29
2016-01-03 07:00:00,2016-01-03 07:00:00,195.03
2016-01-03 08:00:00,2016-01-03 08:00:00,198.12
2016-01-03 09:00:00,2016-01-03 09:00:00,203.13
2016-01-03 10:00:00,2016-01-03 10:00:00,206.16
2016-01-03 11:00:00,2016-01-03 11:00:00,205.35
2016-01-03 12:00:00,2016-01-03 12:00:00,214.68
2016-01-03 13:00:00,2016-01-03 13:00:00,221.94
2016-01-03 14:00:00,2016-01-03 14:00:00,218.43
2016-01-03 15:00:00,2016-01-03 15:00:00,220.86
2016-01-03 16:00:00,2016-01-03 16:00:00,212.79
2016-01-03 17:00:00,2016-01-03 17:00:00,215.31
2016-01-03 18:00:00,2016-01-03 18:00:00,208.89
2016-01-03 19:00:00,2016-01-03 19:00:00,191.07
2016-01-03 20:00:00,2016-01-03 20:00:00,183.84
2016-01-03 21:00:00,2016-01-03 21:00:00,167.19
2016-01-03 22:00:00,2016-01-03 22:00:00,169.32
2016-01-03 23:00:00,2016-01-03 23:00:00,166.95
2016-01-04 00:00:00,2016-01-04 00:00:00,165.36
2016-01-04 01:00:00,2016-01-04 01:00:00,163.92
2016-01-04 02:00:00,2016-01-04 02:00:00,166.92
2016-01-04 03:00:00,2016-01-04 03:00:00,168.18
2016-01-04 04:00:00,2016-01-04 04:00:00,189.27
2016-01-04 05:00:00,2016-01-04 05:00:00,198.99
2016-01-04 06:00:00,2016-01-04 06:00:00,199.8
2016-01-04 07:00:00,2016-01-04 07:00:00,204.42
2016-01-04 08:00:00,2016-01-04 08:00:00,254.88
2016-01-04 09:00:00,2016-01-04 09:00:00,288.48
2016-01-04 10:00:00,2016-01-04 10:00:00,301.65
2016-01-04 11:00:00,2016-01-04 11:00:00,304.98
2016-01-04 12:00:00,2016-01-04 12:00:00,300.0
2016-01-04 13:00:00,2016-01-04 13:00:00,302.88
2016-01-04 14:00:00,2016-01-04 14:00:00,296.76
2016-01-04 15:00:00,2016-01-04 15:00:00,299.7
2016-01-04 16:00:00,2016-01-04 16:00:00,302.7
2016-01-04 17:00:00,2016-01-04 17:00:00,294.3
2016-01-04 18:00:00,2016-01-04 18:00:00,282.21
2016-01-04 19:00:00,2016-01-04 19:00:00,268.23
2016-01-04 20:00:00,2016-01-04 20:00:00,253.41
2016-01-04 21:00:00,2016-01-04 21:00:00,188.76
2016-01-04 22:00:00,2016-01-04 22:00:00,179.49
2016-01-04 23:00:00,2016-01-04 23:00:00,177.3
2016-01-05 00:00:00,2016-01-05 00:00:00,175.86
2016-01-05 01:00:00,2016-01-05 01:00:00,168.54
2016-01-05 02:00:00,2016-01-05 02:00:00,167.73
2016-01-05 03:00:00,2016-01-05 03:00:00,166.8
2016-01-05 04:00:00,2016-01-05 04:00:00,191.7
2016-01-05 05:00:00,2016-01-05 05:00:00,202.17
2016-01-05 06:00:00,2016-01-05 06:00:00,203.61
2016-01-05 07:00:00,2016-01-05 07:00:00,208.77
2016-01-05 08:00:00,2016-01-05 08:00:00,225.0
2016-01-05 09:00:00,2016-01-05 09:00:00,243.36
2016-01-05 10:00:00,2016-01-05 10:00:00,266.16
2016-01-05 11:00:00,2016-01-05 11:00:00,265.32
2016-01-05 12:00:00,2016-01-05 12:00:00,268.29
2016-01-05 13:00:00,2016-01-05 13:00:00,264.9
2016-01-05 14:00:00,2016-01-05 14:00:00,255.93
2016-01-05 15:00:00,2016-01-05 15:00:00,254.34
2016-01-05 16:00:00,2016-01-05 16:00:00,254.79
2016-01-05 17:00:00,2016-01-05 17:00:00,243.87
2016-01-05 18:00:00,2016-01-05 18:00:00,238.89
2016-01-05 19:00:00,2016-01-05 19:00:00,236.85
2016-01-05 20:00:00,2016-01-05 20:00:00,222.51
2016-01-05 21:00:00,2016-01-05 21:00:00,178.08
2016-01-05 22:00:00,2016-01-05 22:00:00,169.65
2016-01-05 23:00:00,2016-01-05 23:00:00,167.07
2016-01-06 00:00:00,2016-01-06 00:00:00,169.74
2016-01-06 01:00:00,2016-01-06 01:00:00,169.8
2016-01-06 02:00:00,2016-01-06 02:00:00,171.3
2016-01-06 03:00:00,2016-01-06 03:00:00,166.83
2016-01-06 04:00:00,2016-01-06 04:00:00,188.7
2016-01-06 05:00:00,2016-01-06 05:00:00,203.91
2016-01-06 06:00:00,2016-01-06 06:00:00,206.07
2016-01-06 07:00:00,2016-01-06 07:00:00,205.8
2016-01-06 08:00:00,2016-01-06 08:00:00,235.41
2016-01-06 09:00:00,2016-01-06 09:00:00,252.24
2016-01-06 10:00:00,2016-01-06 10:00:00,259.44
2016-01-06 11:00:00,2016-01-06 11:00:00,255.87
2016-01-06 12:00:00,2016-01-06 12:00:00,269.16
2016-01-06 13:00:00,2016-01-06 13:00:00,268.5
2016-01-06 14:00:00,2016-01-06 14:00:00,265.89
2016-01-06 15:00:00,2016-01-06 15:00:00,268.89
2016-01-06 16:00:00,2016-01-06 16:00:00,269.4
2016-01-06 17:00:00,2016-01-06 17:00:00,263.43
2016-01-06 18:00:00,2016-01-06 18:00:00,259.29
2016-01-06 19:00:00,2016-01-06 19:00:00,243.9
2016-01-06 20:00:00,2016-01-06 20:00:00,227.07
2016-01-06 21:00:00,2016-01-06 21:00:00,178.56
2016-01-06 22:00:00,2016-01-06 22:00:00,182.01
2016-01-06 23:00:00,2016-01-06 23:00:00,185.28
2016-01-07 00:00:00,2016-01-07 00:00:00,181.17
2016-01-07 01:00:00,2016-01-07 01:00:00,183.99
2016-01-07 02:00:00,2016-01-07 02:00:00,176.55
2016-01-07 03:00:00,2016-01-07 03:00:00,181.86
2016-01-07 04:00:00,2016-01-07 04:00:00,200.07
2016-01-07 05:00:00,2016-01-07 05:00:00,215.04
2016-01-07 06:00:00,2016-01-07 06:00:00,211.29
2016-01-07 07:00:00,2016-01-07 07:00:00,212.7
2016-01-07 08:00:00,2016-01-07 08:00:00,232.05
2016-01-07 09:00:00,2016-01-07 09:00:00,252.15
2016-01-07 10:00:00,2016-01-07 10:00:00,265.65
2016-01-07 11:00:00,2016-01-07 11:00:00,268.02
2016-01-07 12:00:00,2016-01-07 12:00:00,266.94
2016-01-07 13:00:00,2016-01-07 13:00:00,273.93
2016-01-07 14:00:00,2016-01-07 14:00:00,268.68
2016-01-07 15:00:00,2016-01-07 15:00:00,268.71
2016-01-07 16:00:00,2016-01-07 16:00:00,261.39
2016-01-07 17:00:00,2016-01-07 17:00:00,260.1
2016-01-07 18:00:00,2016-01-07 18:00:00,252.09
2016-01-07 19:00:00,2016-01-07 19:00:00,246.51
2016-01-07 20:00:00,2016-01-07 20:00:00,235.47
