timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,102.92
2016-01-01 01:00:00,2016-01-01 01:00:00,103.94
2016-01-01 02:00:00,2016-01-01 02:00:00,104.95
2016-01-01 03:00:00,2016-01-01 03:00:00,103.46
2016-01-01 04:00:00,2016-01-01 04:00:00,103.94
2016-01-01 05:00:00,2016-01-01 05:00:00,120.97
2016-01-01 06:00:00,2016-01-01 06:00:00,125.94
2016-01-01 07:00:00,2016-01-01 07:00:00,126.1
2016-01-01 08:00:00,2016-01-01 08:00:00,122.08
2016-01-01 09:00:00,2016-01-01 09:00:00,124.95
2016-01-01 10:00:00,2016-01-01 10:00:00,124.14
2016-01-01 11:00:00,2016-01-01 11:00:00,121.78
2016-01-01 12:00:00,2016-01-01 12:00:00,122.38
2016-01-01 13:00:00,2016-01-01 13:00:00,121.48
2016-01-01 14:00:00,2016-01-01 14:00:00,124.09
2016-01-01 15:00:00,2016-01-01 15:00:00,123.78
2016-01-01 16:00:00,2016-01-01 16:00:00,123.84
2016-01-01 17:00:00,2016-01-01 17:00:00,126.8
2016-01-01 18:00:00,2016-01-01 18:00:00,122.91
2016-01-01 19:00:00,2016-01-01 19:00:00,119.3
2016-01-01 20:00:00,2016-01-01 20:00:00,108.91
2016-01-01 21:00:00,2016-01-01 21:00:00,108.03
2016-01-01 22:00:00,2016-01-01 22:00:00,109.33
2016-01-01 23:00:00,2016-01-01 23:00:00,110.04
2016-01-02 00:00:00,2016-01-02 00:00:00,110.71
2016-01-02 01:00:00,2016-01-02 01:00:00,111.99
2016-01-02 02:00:00,2016-01-02 02:00:00,110.72
2016-01-02 03:00:00,2016-01-02 03:00:00,114.72
2016-01-02 04:00:00,2016-01-02 04:00:00,109.18
2016-01-02 05:00:00,2016-01-02 05:00:00,111.04
2016-01-02 06:00:00,2016-01-02 06:00:00,114.32
2016-01-02 07:00:00,2016-01-02 07:00:00,110.63
2016-01-02 08:00:00,2016-01-02 08:00:00,114.55
2016-01-02 09:00:00,2016-01-02 09:00:00,108.39
2016-01-02 10:00:00,2016-01-02 10:00:00,109.28
2016-01-02 11:00:00,2016-01-02 11:00:00,112.01
2016-01-02 12:00:00,2016-01-02 12:00:00,109.03
2016-01-02 13:00:00,2016-01-02 13:00:00,112.18
2016-01-02 14:00:00,2016-01-02 14:00:00,107.32
2016-01-02 15:00:00,2016-01-02 15:00:00,106.88
2016-01-02 16:00:00,2016-01-02 16:00:00,106.75
2016-01-02 17:00:00,2016-01-02 17:00:00,106.25
2016-01-02 18:00:00,2016-01-02 18:00:00,107.14
2016-01-02 19:00:00,2016-01-02 19:00:00,112.76
2016-01-02 20:00:00,2016-01-02 20:00:00,122.88
2016-01-02 21:00:00,2016-01-02 21:00:00,104.55
2016-01-02 22:00:00,2016-01-02 22:00:00,111.05
2016-01-02 23:00:00,2016-01-02 23:00:00,107.02
2016-01-03 00:00:00,2016-01-03 00:00:00,108.8
2016-01-03 01:00:00,2016-01-03 01:00:00,115.09
2016-01-03 02:00:00,2016-01-03 02:00:00,107.76
2016-01-03 03:00:00,2016-01-03 03:00:00,110.9
2016-01-03 04:00:00,2016-01-03 04:00:00,111.76
2016-01-03 05:00:00,2016-01-03 05:00:00,111.44
2016-01-03 06:00:00,2016-01-03 06:00:00,115.6
2016-01-03 07:00:00,2016-01-03 07:00:00,109.26
2016-01-03 08:00:00,2016-01-03 08:00:00,111.92
2016-01-03 09:00:00,2016-01-03 09:00:00,112.22
2016-01-03 10:00:00,2016-01-03 10:00:00,108.67
2016-01-03 11:00:00,2016-01-03 11:00:00,109.12
2016-01-03 12:00:00,2016-01-03 12:00:00,105.64
2016-01-03 13:00:00,2016-01-03 13:00:00,110.23
