timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,567.13
2016-01-01 01:00:00,2016-01-01 01:00:00,551.65
2016-01-01 02:00:00,2016-01-01 02:00:00,550.38
2016-01-01 03:00:00,2016-01-01 03:00:00,553.18
2016-01-01 04:00:00,2016-01-01 04:00:00,557.38
2016-01-01 05:00:00,2016-01-01 05:00:00,678.05
2016-01-01 06:00:00,2016-01-01 06:00:00,691.98
2016-01-01 07:00:00,2016-01-01 07:00:00,689.95
2016-01-01 08:00:00,2016-01-01 08:00:00,694.44
2016-01-01 09:00:00,2016-01-01 09:00:00,695.48
2016-01-01 10:00:00,2016-01-01 10:00:00,701.36
2016-01-01 11:00:00,2016-01-01 11:00:00,706.83
2016-01-01 12:00:00,2016-01-01 12:00:00,694.31
2016-01-01 13:00:00,2016-01-01 13:00:00,689.81
2016-01-01 14:00:00,2016-01-01 14:00:00,696.49
2016-01-01 15:00:00,2016-01-01 15:00:00,706.69
2016-01-01 16:00:00,2016-01-01 16:00:00,707.35
2016-01-01 17:00:00,2016-01-01 17:00:00,704.66
2016-01-01 18:00:00,2016-01-01 18:00:00,694.74
2016-01-01 19:00:00,2016-01-01 19:00:00,698.19
2016-01-01 20:00:00,2016-01-01 20:00:00,698.64
2016-01-01 21:00:00,2016-01-01 21:00:00,668.79
2016-01-01 22:00:00,2016-01-01 22:00:00,552.5
2016-01-01 23:00:00,2016-01-01 23:00:00,555.56
2016-01-02 00:00:00,2016-01-02 00:00:00,557.43
2016-01-02 01:00:00,2016-01-02 01:00:00,559.47
2016-01-02 02:00:00,2016-01-02 02:00:00,558.92
2016-01-02 03:00:00,2016-01-02 03:00:00,560.42
2016-01-02 04:00:00,2016-01-02 04:00:00,565.56
2016-01-02 05:00:00,2016-01-02 05:00:00,688.75
2016-01-02 06:00:00,2016-01-02 06:00:00,706.2
2016-01-02 07:00:00,2016-01-02 07:00:00,704.94
2016-01-02 08:00:00,2016-01-02 08:00:00,704.93
2016-01-02 09:00:00,2016-01-02 09:00:00,705.03
2016-01-02 10:00:00,2016-01-02 10:00:00,706.46
2016-01-02 11:00:00,2016-01-02 11:00:00,704.37
2016-01-02 12:00:00,2016-01-02 12:00:00,700.7
2016-01-02 13:00:00,2016-01-02 13:00:00,691.97
2016-01-02 14:00:00,2016-01-02 14:00:00,694.35
2016-01-02 15:00:00,2016-01-02 15:00:00,687.65
2016-01-02 16:00:00,2016-01-02 16:00:00,688.7
2016-01-02 17:00:00,2016-01-02 17:00:00,693.29
2016-01-02 18:00:00,2016-01-02 18:00:00,699.31
2016-01-02 19:00:00,2016-01-02 19:00:00,700.67
2016-01-02 20:00:00,2016-01-02 20:00:00,699.88
2016-01-02 21:00:00,2016-01-02 21:00:00,668.06
2016-01-02 22:00:00,2016-01-02 22:00:00,551.21
2016-01-02 23:00:00,2016-01-02 23:00:00,558.13
2016-01-03 00:00:00,2016-01-03 00:00:00,561.05
2016-01-03 01:00:00,2016-01-03 01:00:00,560.91
2016-01-03 02:00:00,2016-01-03 02:00:00,562.74
2016-01-03 03:00:00,2016-01-03 03:00:00,560.66
2016-01-03 04:00:00,2016-01-03 04:00:00,564.91
2016-01-03 05:00:00,2016-01-03 05:00:00,681.26
2016-01-03 06:00:00,2016-01-03 06:00:00,700.9
2016-01-03 07:00:00,2016-01-03 07:00:00,699.9
2016-01-03 08:00:00,2016-01-03 08:00:00,703.8
2016-01-03 09:00:00,2016-01-03 09:00:00,712.89
2016-01-03 10:00:00,2016-01-03 10:00:00,720.5
2016-01-03 11:00:00,2016-01-03 11:00:00,731.69
2016-01-03 12:00:00,2016-01-03 12:00:00,724.32
2016-01-03 13:00:00,2016-01-03 13:00:00,708.23
2016-01-03 14:00:00,2016-01-03 14:00:00,700.23
2016-01-03 15:00:00,2016-01-03 15:00:00,689.68
2016-01-03 16:00:00,2016-01-03 16:00:00,690.69
2016-01-03 17:00:00,2016-01-03 17:00:00,689.5
2016-01-03 18:00:00,2016-01-03 18:00:00,704.56
2016-01-03 19:00:00,2016-01-03 19:00:00,717.11
2016-01-03 20:00:00,2016-01-03 20:00:00,708.32
2016-01-03 21:00:00,2016-01-03 21:00:00,677.51
2016-01-03 22:00:00,2016-01-03 22:00:00,559.26
2016-01-03 23:00:00,2016-01-03 23:00:00,558.61
2016-01-04 00:00:00,2016-01-04 00:00:00,556.66
2016-01-04 01:00:00,2016-01-04 01:00:00,560.94
2016-01-04 02:00:00,2016-01-04 02:00:00,559.67
2016-01-04 03:00:00,2016-01-04 03:00:00,561.91
2016-01-04 04:00:00,2016-01-04 04:00:00,567.66
2016-01-04 05:00:00,2016-01-04 05:00:00,687.66
2016-01-04 06:00:00,2016-01-04 06:00:00,708.97
2016-01-04 07:00:00,2016-01-04 07:00:00,733.32
2016-01-04 08:00:00,2016-01-04 08:00:00,770.48
2016-01-04 09:00:00,2016-01-04 09:00:00,835.62
2016-01-04 10:00:00,2016-01-04 10:00:00,858.82
2016-01-04 11:00:00,2016-01-04 11:00:00,864.82
2016-01-04 12:00:00,2016-01-04 12:00:00,850.1
2016-01-04 13:00:00,2016-01-04 13:00:00,847.58
2016-01-04 14:00:00,2016-01-04 14:00:00,844.3
2016-01-04 15:00:00,2016-01-04 15:00:00,830.66
2016-01-04 16:00:00,2016-01-04 16:00:00,833.25
2016-01-04 17:00:00,2016-01-04 17:00:00,826.89
2016-01-04 18:00:00,2016-01-04 18:00:00,819.78
2016-01-04 19:00:00,2016-01-04 19:00:00,809.5
2016-01-04 20:00:00,2016-01-04 20:00:00,806.3
2016-01-04 21:00:00,2016-01-04 21:00:00,766.4
2016-01-04 22:00:00,2016-01-04 22:00:00,624.44
2016-01-04 23:00:00,2016-01-04 23:00:00,628.09
2016-01-05 00:00:00,2016-01-05 00:00:00,599.48
2016-01-05 01:00:00,2016-01-05 01:00:00,593.81
2016-01-05 02:00:00,2016-01-05 02:00:00,594.14
2016-01-05 03:00:00,2016-01-05 03:00:00,598.62
2016-01-05 04:00:00,2016-01-05 04:00:00,600.01
2016-01-05 05:00:00,2016-01-05 05:00:00,736.09
2016-01-05 06:00:00,2016-01-05 06:00:00,750.21
2016-01-05 07:00:00,2016-01-05 07:00:00,769.05
2016-01-05 08:00:00,2016-01-05 08:00:00,819.19
2016-01-05 09:00:00,2016-01-05 09:00:00,878.43
2016-01-05 10:00:00,2016-01-05 10:00:00,869.94
2016-01-05 11:00:00,2016-01-05 11:00:00,831.02
2016-01-05 12:00:00,2016-01-05 12:00:00,825.95
2016-01-05 13:00:00,2016-01-05 13:00:00,812.21
2016-01-05 14:00:00,2016-01-05 14:00:00,815.79
2016-01-05 15:00:00,2016-01-05 15:00:00,815.57
2016-01-05 16:00:00,2016-01-05 16:00:00,797.61
2016-01-05 17:00:00,2016-01-05 17:00:00,783.64
2016-01-05 18:00:00,2016-01-05 18:00:00,763.64
2016-01-05 19:00:00,2016-01-05 19:00:00,738.48
2016-01-05 20:00:00,2016-01-05 20:00:00,731.49
2016-01-05 21:00:00,2016-01-05 21:00:00,699.74
2016-01-05 22:00:00,2016-01-05 22:00:00,572.45
2016-01-05 23:00:00,2016-01-05 23:00:00,574.75
2016-01-06 00:00:00,2016-01-06 00:00:00,554.22
2016-01-06 01:00:00,2016-01-06 01:00:00,545.99
2016-01-06 02:00:00,2016-01-06 02:00:00,547.4
2016-01-06 03:00:00,2016-01-06 03:00:00,544.26
2016-01-06 04:00:00,2016-01-06 04:00:00,547.79
2016-01-06 05:00:00,2016-01-06 05:00:00,668.52
2016-01-06 06:00:00,2016-01-06 06:00:00,677.26
2016-01-06 07:00:00,2016-01-06 07:00:00,700.9
2016-01-06 08:00:00,2016-01-06 08:00:00,730.39
2016-01-06 09:00:00,2016-01-06 09:00:00,798.41
2016-01-06 10:00:00,2016-01-06 10:00:00,815.54
2016-01-06 11:00:00,2016-01-06 11:00:00,822.46
2016-01-06 12:00:00,2016-01-06 12:00:00,809.76
2016-01-06 13:00:00,2016-01-06 13:00:00,796.14
2016-01-06 14:00:00,2016-01-06 14:00:00,796.28
2016-01-06 15:00:00,2016-01-06 15:00:00,785.94
2016-01-06 16:00:00,2016-01-06 16:00:00,777.33
2016-01-06 17:00:00,2016-01-06 17:00:00,778.37
2016-01-06 18:00:00,2016-01-06 18:00:00,768.58
2016-01-06 19:00:00,2016-01-06 19:00:00,767.19
2016-01-06 20:00:00,2016-01-06 20:00:00,767.29
2016-01-06 21:00:00,2016-01-06 21:00:00,735.44
2016-01-06 22:00:00,2016-01-06 22:00:00,612.18
2016-01-06 23:00:00,2016-01-06 23:00:00,619.67
2016-01-07 00:00:00,2016-01-07 00:00:00,587.69
2016-01-07 01:00:00,2016-01-07 01:00:00,587.56
2016-01-07 02:00:00,2016-01-07 02:00:00,585.04
2016-01-07 03:00:00,2016-01-07 03:00:00,589.21
2016-01-07 04:00:00,2016-01-07 04:00:00,594.12
2016-01-07 05:00:00,2016-01-07 05:00:00,715.07
2016-01-07 06:00:00,2016-01-07 06:00:00,728.91
2016-01-07 07:00:00,2016-01-07 07:00:00,738.77
2016-01-07 08:00:00,2016-01-07 08:00:00,745.13
2016-01-07 09:00:00,2016-01-07 09:00:00,778.61
2016-01-07 10:00:00,2016-01-07 10:00:00,795.84
2016-01-07 11:00:00,2016-01-07 11:00:00,792.43
2016-01-07 12:00:00,2016-01-07 12:00:00,784.22
2016-01-07 13:00:00,2016-01-07 13:00:00,769.17
2016-01-07 14:00:00,2016-01-07 14:00:00,775.81
2016-01-07 15:00:00,2016-01-07 15:00:00,773.13
2016-01-07 16:00:00,2016-01-07 16:00:00,765.51
2016-01-07 17:00:00,2016-01-07 17:00:00,762.31
2016-01-07 18:00:00,2016-01-07 18:00:00,765.98
2016-01-07 19:00:00,2016-01-07 19:00:00,760.89
2016-01-07 20:00:00,2016-01-07 20:00:00,754.0
2016-01-07 21:00:00,2016-01-07 21:00:00,720.89
2016-01-07 22:00:00,2016-01-07 22:00:00,599.88
2016-01-07 23:00:00,2016-01-07 23:00:00,594.98
2016-01-08 00:00:00,2016-01-08 00:00:00,578.78
2016-01-08 01:00:00,2016-01-08 01:00:00,224.96
2016-01-08 02:00:00,2016-01-08 02:00:00,225.0
2016-01-08 03:00:00,2016-01-08 03:00:00,224.26
2016-01-08 04:00:00,2016-01-08 04:00:00,226.71
2016-01-08 05:00:00,2016-01-08 05:00:00,326.75
2016-01-08 06:00:00,2016-01-08 06:00:00,330.21
2016-01-08 07:00:00,2016-01-08 07:00:00,337.0
2016-01-08 08:00:00,2016-01-08 08:00:00,343.88
2016-01-08 09:00:00,2016-01-08 09:00:00,387.01
2016-01-08 10:00:00,2016-01-08 10:00:00,399.73
2016-01-08 11:00:00,2016-01-08 11:00:00,404.51
2016-01-08 12:00:00,2016-01-08 12:00:00,402.53
2016-01-08 13:00:00,2016-01-08 13:00:00,388.32
2016-01-08 14:00:00,2016-01-08 14:00:00,396.86
2016-01-08 15:00:00,2016-01-08 15:00:00,393.34
2016-01-08 16:00:00,2016-01-08 16:00:00,384.97
2016-01-08 17:00:00,2016-01-08 17:00:00,360.53
2016-01-08 18:00:00,2016-01-08 18:00:00,358.23
2016-01-08 19:00:00,2016-01-08 19:00:00,348.28
2016-01-08 20:00:00,2016-01-08 20:00:00,336.71
2016-01-08 21:00:00,2016-01-08 21:00:00,328.28
2016-01-08 22:00:00,2016-01-08 22:00:00,223.18
2016-01-08 23:00:00,2016-01-08 23:00:00,217.03
2016-01-09 00:00:00,2016-01-09 00:00:00,217.97
2016-01-09 01:00:00,2016-01-09 01:00:00,218.05
2016-01-09 02:00:00,2016-01-09 02:00:00,219.0
2016-01-09 03:00:00,2016-01-09 03:00:00,219.53
2016-01-09 04:00:00,2016-01-09 04:00:00,221.34
2016-01-09 05:00:00,2016-01-09 05:00:00,316.79
2016-01-09 06:00:00,2016-01-09 06:00:00,321.65
2016-01-09 07:00:00,2016-01-09 07:00:00,320.1
2016-01-09 08:00:00,2016-01-09 08:00:00,319.51
2016-01-09 09:00:00,2016-01-09 09:00:00,321.4
2016-01-09 10:00:00,2016-01-09 10:00:00,319.13
2016-01-09 11:00:00,2016-01-09 11:00:00,328.95
2016-01-09 12:00:00,2016-01-09 12:00:00,327.54
2016-01-09 13:00:00,2016-01-09 13:00:00,319.05
2016-01-09 14:00:00,2016-01-09 14:00:00,313.36
2016-01-09 15:00:00,2016-01-09 15:00:00,313.14
2016-01-09 16:00:00,2016-01-09 16:00:00,313.18
2016-01-09 17:00:00,2016-01-09 17:00:00,313.36
2016-01-09 18:00:00,2016-01-09 18:00:00,318.99
2016-01-09 19:00:00,2016-01-09 19:00:00,319.76
2016-01-09 20:00:00,2016-01-09 20:00:00,317.97
2016-01-09 21:00:00,2016-01-09 21:00:00,314.97
2016-01-09 22:00:00,2016-01-09 22:00:00,213.58
2016-01-09 23:00:00,2016-01-09 23:00:00,211.35
2016-01-10 00:00:00,2016-01-10 00:00:00,212.78
2016-01-10 01:00:00,2016-01-10 01:00:00,212.3
2016-01-10 02:00:00,2016-01-10 02:00:00,211.68
2016-01-10 03:00:00,2016-01-10 03:00:00,211.21
2016-01-10 04:00:00,2016-01-10 04:00:00,213.26
2016-01-10 05:00:00,2016-01-10 05:00:00,302.1
2016-01-10 06:00:00,2016-01-10 06:00:00,309.09
2016-01-10 07:00:00,2016-01-10 07:00:00,309.5
2016-01-10 08:00:00,2016-01-10 08:00:00,314.19
2016-01-10 09:00:00,2016-01-10 09:00:00,326.65
2016-01-10 10:00:00,2016-01-10 10:00:00,344.88
2016-01-10 11:00:00,2016-01-10 11:00:00,335.38
2016-01-10 12:00:00,2016-01-10 12:00:00,324.91
2016-01-10 13:00:00,2016-01-10 13:00:00,313.09
2016-01-10 14:00:00,2016-01-10 14:00:00,308.82
2016-01-10 15:00:00,2016-01-10 15:00:00,291.93
2016-01-10 16:00:00,2016-01-10 16:00:00,291.44
2016-01-10 17:00:00,2016-01-10 17:00:00,298.46
2016-01-10 18:00:00,2016-01-10 18:00:00,306.65
2016-01-10 19:00:00,2016-01-10 19:00:00,311.02
2016-01-10 20:00:00,2016-01-10 20:00:00,311.25
2016-01-10 21:00:00,2016-01-10 21:00:00,309.52
2016-01-10 22:00:00,2016-01-10 22:00:00,210.09
2016-01-10 23:00:00,2016-01-10 23:00:00,212.33
2016-01-11 00:00:00,2016-01-11 00:00:00,215.79
2016-01-11 01:00:00,2016-01-11 01:00:00,217.18
2016-01-11 02:00:00,2016-01-11 02:00:00,216.5
2016-01-11 03:00:00,2016-01-11 03:00:00,220.35
2016-01-11 04:00:00,2016-01-11 04:00:00,227.22
2016-01-11 05:00:00,2016-01-11 05:00:00,329.85
2016-01-11 06:00:00,2016-01-11 06:00:00,335.6
2016-01-11 07:00:00,2016-01-11 07:00:00,345.6
2016-01-11 08:00:00,2016-01-11 08:00:00,357.01
2016-01-11 09:00:00,2016-01-11 09:00:00,393.5
2016-01-11 10:00:00,2016-01-11 10:00:00,413.83
2016-01-11 11:00:00,2016-01-11 11:00:00,416.15
2016-01-11 12:00:00,2016-01-11 12:00:00,407.82
2016-01-11 13:00:00,2016-01-11 13:00:00,396.2
2016-01-11 14:00:00,2016-01-11 14:00:00,401.55
2016-01-11 15:00:00,2016-01-11 15:00:00,408.4
2016-01-11 16:00:00,2016-01-11 16:00:00,394.8
2016-01-11 17:00:00,2016-01-11 17:00:00,390.59
2016-01-11 18:00:00,2016-01-11 18:00:00,404.3
2016-01-11 19:00:00,2016-01-11 19:00:00,397.81
2016-01-11 20:00:00,2016-01-11 20:00:00,393.53
2016-01-11 21:00:00,2016-01-11 21:00:00,390.76
2016-01-11 22:00:00,2016-01-11 22:00:00,274.12
2016-01-11 23:00:00,2016-01-11 23:00:00,262.68
2016-01-12 00:00:00,2016-01-12 00:00:00,237.89
2016-01-12 01:00:00,2016-01-12 01:00:00,227.61
2016-01-12 02:00:00,2016-01-12 02:00:00,227.22
2016-01-12 03:00:00,2016-01-12 03:00:00,227.34
2016-01-12 04:00:00,2016-01-12 04:00:00,229.74
2016-01-12 05:00:00,2016-01-12 05:00:00,329.53
2016-01-12 06:00:00,2016-01-12 06:00:00,332.52
2016-01-12 07:00:00,2016-01-12 07:00:00,338.96
2016-01-12 08:00:00,2016-01-12 08:00:00,349.31
2016-01-12 09:00:00,2016-01-12 09:00:00,389.88
2016-01-12 10:00:00,2016-01-12 10:00:00,433.62
2016-01-12 11:00:00,2016-01-12 11:00:00,449.94
2016-01-12 12:00:00,2016-01-12 12:00:00,433.9
2016-01-12 13:00:00,2016-01-12 13:00:00,423.74
2016-01-12 14:00:00,2016-01-12 14:00:00,428.46
2016-01-12 15:00:00,2016-01-12 15:00:00,423.45
2016-01-12 16:00:00,2016-01-12 16:00:00,414.87
2016-01-12 17:00:00,2016-01-12 17:00:00,411.86
2016-01-12 18:00:00,2016-01-12 18:00:00,419.3
2016-01-12 19:00:00,2016-01-12 19:00:00,417.78
2016-01-12 20:00:00,2016-01-12 20:00:00,415.05
2016-01-12 21:00:00,2016-01-12 21:00:00,410.01
2016-01-12 22:00:00,2016-01-12 22:00:00,282.11
2016-01-12 23:00:00,2016-01-12 23:00:00,284.88
2016-01-13 00:00:00,2016-01-13 00:00:00,260.14
2016-01-13 01:00:00,2016-01-13 01:00:00,252.71
2016-01-13 02:00:00,2016-01-13 02:00:00,253.99
2016-01-13 03:00:00,2016-01-13 03:00:00,254.68
2016-01-13 04:00:00,2016-01-13 04:00:00,256.46
2016-01-13 05:00:00,2016-01-13 05:00:00,371.89
2016-01-13 06:00:00,2016-01-13 06:00:00,374.26
2016-01-13 07:00:00,2016-01-13 07:00:00,385.88
2016-01-13 08:00:00,2016-01-13 08:00:00,395.02
2016-01-13 09:00:00,2016-01-13 09:00:00,446.36
2016-01-13 10:00:00,2016-01-13 10:00:00,455.38
2016-01-13 11:00:00,2016-01-13 11:00:00,456.57
2016-01-13 12:00:00,2016-01-13 12:00:00,451.92
2016-01-13 13:00:00,2016-01-13 13:00:00,437.96
2016-01-13 14:00:00,2016-01-13 14:00:00,432.4
2016-01-13 15:00:00,2016-01-13 15:00:00,428.53
2016-01-13 16:00:00,2016-01-13 16:00:00,427.38
2016-01-13 17:00:00,2016-01-13 17:00:00,424.08
2016-01-13 18:00:00,2016-01-13 18:00:00,433.39
2016-01-13 19:00:00,2016-01-13 19:00:00,425.18
2016-01-13 20:00:00,2016-01-13 20:00:00,419.24
2016-01-13 21:00:00,2016-01-13 21:00:00,414.2
2016-01-13 22:00:00,2016-01-13 22:00:00,300.61
2016-01-13 23:00:00,2016-01-13 23:00:00,308.34
2016-01-14 00:00:00,2016-01-14 00:00:00,297.88
2016-01-14 01:00:00,2016-01-14 01:00:00,279.33
2016-01-14 02:00:00,2016-01-14 02:00:00,272.72
2016-01-14 03:00:00,2016-01-14 03:00:00,281.85
2016-01-14 04:00:00,2016-01-14 04:00:00,282.98
2016-01-14 05:00:00,2016-01-14 05:00:00,388.66
2016-01-14 06:00:00,2016-01-14 06:00:00,377.56
2016-01-14 07:00:00,2016-01-14 07:00:00,381.13
2016-01-14 08:00:00,2016-01-14 08:00:00,387.33
2016-01-14 09:00:00,2016-01-14 09:00:00,427.61
2016-01-14 10:00:00,2016-01-14 10:00:00,435.48
2016-01-14 11:00:00,2016-01-14 11:00:00,431.62
2016-01-14 12:00:00,2016-01-14 12:00:00,429.87
2016-01-14 13:00:00,2016-01-14 13:00:00,416.71
2016-01-14 14:00:00,2016-01-14 14:00:00,426.84
2016-01-14 15:00:00,2016-01-14 15:00:00,422.83
2016-01-14 16:00:00,2016-01-14 16:00:00,418.43
2016-01-14 17:00:00,2016-01-14 17:00:00,416.08
