timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,78.4
2016-01-01 01:00:00,2016-01-01 01:00:00,78.42
2016-01-01 02:00:00,2016-01-01 02:00:00,78.2
2016-01-01 03:00:00,2016-01-01 03:00:00,78.91
2016-01-01 04:00:00,2016-01-01 04:00:00,80.7
2016-01-01 05:00:00,2016-01-01 05:00:00,78.67
2016-01-01 06:00:00,2016-01-01 06:00:00,78.25
2016-01-01 07:00:00,2016-01-01 07:00:00,80.97
2016-01-01 08:00:00,2016-01-01 08:00:00,78.46
2016-01-01 09:00:00,2016-01-01 09:00:00,78.79
2016-01-01 10:00:00,2016-01-01 10:00:00,78.08
2016-01-01 11:00:00,2016-01-01 11:00:00,76.42
2016-01-01 12:00:00,2016-01-01 12:00:00,74.35
2016-01-01 13:00:00,2016-01-01 13:00:00,73.15
2016-01-01 14:00:00,2016-01-01 14:00:00,76.74
2016-01-01 15:00:00,2016-01-01 15:00:00,75.81
2016-01-01 16:00:00,2016-01-01 16:00:00,76.63
2016-01-01 17:00:00,2016-01-01 17:00:00,74.49
2016-01-01 18:00:00,2016-01-01 18:00:00,77.3
2016-01-01 19:00:00,2016-01-01 19:00:00,78.82
2016-01-01 20:00:00,2016-01-01 20:00:00,81.32
2016-01-01 21:00:00,2016-01-01 21:00:00,82.31
2016-01-01 22:00:00,2016-01-01 22:00:00,80.66
2016-01-01 23:00:00,2016-01-01 23:00:00,83.82
2016-01-02 00:00:00,2016-01-02 00:00:00,80.68
2016-01-02 01:00:00,2016-01-02 01:00:00,81.44
2016-01-02 02:00:00,2016-01-02 02:00:00,79.78
2016-01-02 03:00:00,2016-01-02 03:00:00,80.75
2016-01-02 04:00:00,2016-01-02 04:00:00,82.82
2016-01-02 05:00:00,2016-01-02 05:00:00,82.2
2016-01-02 06:00:00,2016-01-02 06:00:00,80.37
2016-01-02 07:00:00,2016-01-02 07:00:00,81.26
2016-01-02 08:00:00,2016-01-02 08:00:00,82.46
2016-01-02 09:00:00,2016-01-02 09:00:00,79.32
2016-01-02 10:00:00,2016-01-02 10:00:00,76.14
2016-01-02 11:00:00,2016-01-02 11:00:00,74.25
2016-01-02 12:00:00,2016-01-02 12:00:00,75.27
2016-01-02 13:00:00,2016-01-02 13:00:00,77.6
2016-01-02 14:00:00,2016-01-02 14:00:00,80.63
2016-01-02 15:00:00,2016-01-02 15:00:00,80.41
2016-01-02 16:00:00,2016-01-02 16:00:00,76.9
2016-01-02 17:00:00,2016-01-02 17:00:00,76.01
2016-01-02 18:00:00,2016-01-02 18:00:00,76.49
2016-01-02 19:00:00,2016-01-02 19:00:00,81.72
2016-01-02 20:00:00,2016-01-02 20:00:00,81.69
2016-01-02 21:00:00,2016-01-02 21:00:00,80.88
2016-01-02 22:00:00,2016-01-02 22:00:00,78.99
2016-01-02 23:00:00,2016-01-02 23:00:00,77.6
2016-01-03 00:00:00,2016-01-03 00:00:00,79.07
2016-01-03 01:00:00,2016-01-03 01:00:00,80.09
2016-01-03 02:00:00,2016-01-03 02:00:00,80.14
2016-01-03 03:00:00,2016-01-03 03:00:00,80.97
2016-01-03 04:00:00,2016-01-03 04:00:00,80.0
2016-01-03 05:00:00,2016-01-03 05:00:00,82.58
2016-01-03 06:00:00,2016-01-03 06:00:00,82.84
2016-01-03 07:00:00,2016-01-03 07:00:00,81.43
2016-01-03 08:00:00,2016-01-03 08:00:00,78.55
2016-01-03 09:00:00,2016-01-03 09:00:00,78.87
2016-01-03 10:00:00,2016-01-03 10:00:00,80.06
2016-01-03 11:00:00,2016-01-03 11:00:00,81.03
2016-01-03 12:00:00,2016-01-03 12:00:00,82.67
2016-01-03 13:00:00,2016-01-03 13:00:00,83.92
2016-01-03 14:00:00,2016-01-03 14:00:00,86.61
2016-01-03 15:00:00,2016-01-03 15:00:00,80.29
2016-01-03 16:00:00,2016-01-03 16:00:00,75.85
2016-01-03 17:00:00,2016-01-03 17:00:00,75.57
2016-01-03 18:00:00,2016-01-03 18:00:00,78.24
2016-01-03 19:00:00,2016-01-03 19:00:00,82.16
2016-01-03 20:00:00,2016-01-03 20:00:00,83.99
2016-01-03 21:00:00,2016-01-03 21:00:00,82.93
2016-01-03 22:00:00,2016-01-03 22:00:00,79.94
2016-01-03 23:00:00,2016-01-03 23:00:00,79.58
2016-01-04 00:00:00,2016-01-04 00:00:00,80.38
2016-01-04 01:00:00,2016-01-04 01:00:00,81.36
2016-01-04 02:00:00,2016-01-04 02:00:00,79.93
2016-01-04 03:00:00,2016-01-04 03:00:00,79.46
2016-01-04 04:00:00,2016-01-04 04:00:00,79.52
2016-01-04 05:00:00,2016-01-04 05:00:00,82.96
2016-01-04 06:00:00,2016-01-04 06:00:00,86.63
2016-01-04 07:00:00,2016-01-04 07:00:00,102.28
2016-01-04 08:00:00,2016-01-04 08:00:00,122.19
2016-01-04 09:00:00,2016-01-04 09:00:00,137.05
2016-01-04 10:00:00,2016-01-04 10:00:00,142.77
2016-01-04 11:00:00,2016-01-04 11:00:00,152.19
