timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,60.63
2016-01-01 01:00:00,2016-01-01 01:00:00,61.53
2016-01-01 02:00:00,2016-01-01 02:00:00,60.56
2016-01-01 03:00:00,2016-01-01 03:00:00,61.14
2016-01-01 04:00:00,2016-01-01 04:00:00,61.19
2016-01-01 05:00:00,2016-01-01 05:00:00,108.79
2016-01-01 06:00:00,2016-01-01 06:00:00,132.48
2016-01-01 07:00:00,2016-01-01 07:00:00,132.75
2016-01-01 08:00:00,2016-01-01 08:00:00,131.56
2016-01-01 09:00:00,2016-01-01 09:00:00,131.3
2016-01-01 10:00:00,2016-01-01 10:00:00,130.57
2016-01-01 11:00:00,2016-01-01 11:00:00,130.68
2016-01-01 12:00:00,2016-01-01 12:00:00,131.99
2016-01-01 13:00:00,2016-01-01 13:00:00,130.49
2016-01-01 14:00:00,2016-01-01 14:00:00,130.55
2016-01-01 15:00:00,2016-01-01 15:00:00,130.9
2016-01-01 16:00:00,2016-01-01 16:00:00,130.26
2016-01-01 17:00:00,2016-01-01 17:00:00,130.88
2016-01-01 18:00:00,2016-01-01 18:00:00,132.5
2016-01-01 19:00:00,2016-01-01 19:00:00,133.47
2016-01-01 20:00:00,2016-01-01 20:00:00,133.44
2016-01-01 21:00:00,2016-01-01 21:00:00,132.37
2016-01-01 22:00:00,2016-01-01 22:00:00,67.13
2016-01-01 23:00:00,2016-01-01 23:00:00,61.88
2016-01-02 00:00:00,2016-01-02 00:00:00,61.35
2016-01-02 01:00:00,2016-01-02 01:00:00,61.44
2016-01-02 02:00:00,2016-01-02 02:00:00,60.06
2016-01-02 03:00:00,2016-01-02 03:00:00,61.94
2016-01-02 04:00:00,2016-01-02 04:00:00,60.52
2016-01-02 05:00:00,2016-01-02 05:00:00,60.76
2016-01-02 06:00:00,2016-01-02 06:00:00,60.77
2016-01-02 07:00:00,2016-01-02 07:00:00,60.52
2016-01-02 08:00:00,2016-01-02 08:00:00,59.54
2016-01-02 09:00:00,2016-01-02 09:00:00,80.8
2016-01-02 10:00:00,2016-01-02 10:00:00,126.68
2016-01-02 11:00:00,2016-01-02 11:00:00,131.09
2016-01-02 12:00:00,2016-01-02 12:00:00,130.9
2016-01-02 13:00:00,2016-01-02 13:00:00,129.82
2016-01-02 14:00:00,2016-01-02 14:00:00,129.85
2016-01-02 15:00:00,2016-01-02 15:00:00,129.03
2016-01-02 16:00:00,2016-01-02 16:00:00,129.61
2016-01-02 17:00:00,2016-01-02 17:00:00,74.86
2016-01-02 18:00:00,2016-01-02 18:00:00,69.44
2016-01-02 19:00:00,2016-01-02 19:00:00,61.12
2016-01-02 20:00:00,2016-01-02 20:00:00,58.93
2016-01-02 21:00:00,2016-01-02 21:00:00,58.4
2016-01-02 22:00:00,2016-01-02 22:00:00,59.74
2016-01-02 23:00:00,2016-01-02 23:00:00,59.43
2016-01-03 00:00:00,2016-01-03 00:00:00,59.91
2016-01-03 01:00:00,2016-01-03 01:00:00,60.95
2016-01-03 02:00:00,2016-01-03 02:00:00,61.26
2016-01-03 03:00:00,2016-01-03 03:00:00,60.68
2016-01-03 04:00:00,2016-01-03 04:00:00,61.18
2016-01-03 05:00:00,2016-01-03 05:00:00,59.93
2016-01-03 06:00:00,2016-01-03 06:00:00,60.08
2016-01-03 07:00:00,2016-01-03 07:00:00,61.04
2016-01-03 08:00:00,2016-01-03 08:00:00,59.58
2016-01-03 09:00:00,2016-01-03 09:00:00,70.8
2016-01-03 10:00:00,2016-01-03 10:00:00,125.19
2016-01-03 11:00:00,2016-01-03 11:00:00,130.31
2016-01-03 12:00:00,2016-01-03 12:00:00,129.23
2016-01-03 13:00:00,2016-01-03 13:00:00,129.76
2016-01-03 14:00:00,2016-01-03 14:00:00,129.35
2016-01-03 15:00:00,2016-01-03 15:00:00,128.5
2016-01-03 16:00:00,2016-01-03 16:00:00,128.66
2016-01-03 17:00:00,2016-01-03 17:00:00,79.48
2016-01-03 18:00:00,2016-01-03 18:00:00,68.69
2016-01-03 19:00:00,2016-01-03 19:00:00,61.42
2016-01-03 20:00:00,2016-01-03 20:00:00,59.61
2016-01-03 21:00:00,2016-01-03 21:00:00,60.25
2016-01-03 22:00:00,2016-01-03 22:00:00,60.93
2016-01-03 23:00:00,2016-01-03 23:00:00,61.13
2016-01-04 00:00:00,2016-01-04 00:00:00,64.74
2016-01-04 01:00:00,2016-01-04 01:00:00,61.33
2016-01-04 02:00:00,2016-01-04 02:00:00,60.64
2016-01-04 03:00:00,2016-01-04 03:00:00,61.06
2016-01-04 04:00:00,2016-01-04 04:00:00,61.72
2016-01-04 05:00:00,2016-01-04 05:00:00,109.86
2016-01-04 06:00:00,2016-01-04 06:00:00,138.84
2016-01-04 07:00:00,2016-01-04 07:00:00,150.77
2016-01-04 08:00:00,2016-01-04 08:00:00,168.58
2016-01-04 09:00:00,2016-01-04 09:00:00,202.37
2016-01-04 10:00:00,2016-01-04 10:00:00,211.24
2016-01-04 11:00:00,2016-01-04 11:00:00,215.49
2016-01-04 12:00:00,2016-01-04 12:00:00,214.15
2016-01-04 13:00:00,2016-01-04 13:00:00,213.39
2016-01-04 14:00:00,2016-01-04 14:00:00,204.18
2016-01-04 15:00:00,2016-01-04 15:00:00,201.63
2016-01-04 16:00:00,2016-01-04 16:00:00,192.91
2016-01-04 17:00:00,2016-01-04 17:00:00,181.69
2016-01-04 18:00:00,2016-01-04 18:00:00,172.73
2016-01-04 19:00:00,2016-01-04 19:00:00,169.17
2016-01-04 20:00:00,2016-01-04 20:00:00,158.98
2016-01-04 21:00:00,2016-01-04 21:00:00,152.91
2016-01-04 22:00:00,2016-01-04 22:00:00,88.02
2016-01-04 23:00:00,2016-01-04 23:00:00,82.14
2016-01-05 00:00:00,2016-01-05 00:00:00,81.5
2016-01-05 01:00:00,2016-01-05 01:00:00,82.39
2016-01-05 02:00:00,2016-01-05 02:00:00,80.81
2016-01-05 03:00:00,2016-01-05 03:00:00,83.56
2016-01-05 04:00:00,2016-01-05 04:00:00,81.62
2016-01-05 05:00:00,2016-01-05 05:00:00,130.62
2016-01-05 06:00:00,2016-01-05 06:00:00,157.54
2016-01-05 07:00:00,2016-01-05 07:00:00,169.6
2016-01-05 08:00:00,2016-01-05 08:00:00,179.02
2016-01-05 09:00:00,2016-01-05 09:00:00,216.02
2016-01-05 10:00:00,2016-01-05 10:00:00,241.12
2016-01-05 11:00:00,2016-01-05 11:00:00,244.47
2016-01-05 12:00:00,2016-01-05 12:00:00,241.14
2016-01-05 13:00:00,2016-01-05 13:00:00,248.35
2016-01-05 14:00:00,2016-01-05 14:00:00,245.02
2016-01-05 15:00:00,2016-01-05 15:00:00,238.3
2016-01-05 16:00:00,2016-01-05 16:00:00,209.83
2016-01-05 17:00:00,2016-01-05 17:00:00,186.4
2016-01-05 18:00:00,2016-01-05 18:00:00,177.83
2016-01-05 19:00:00,2016-01-05 19:00:00,175.98
2016-01-05 20:00:00,2016-01-05 20:00:00,172.63
2016-01-05 21:00:00,2016-01-05 21:00:00,167.84
2016-01-05 22:00:00,2016-01-05 22:00:00,92.65
2016-01-05 23:00:00,2016-01-05 23:00:00,85.51
2016-01-06 00:00:00,2016-01-06 00:00:00,78.39
2016-01-06 01:00:00,2016-01-06 01:00:00,77.89
2016-01-06 02:00:00,2016-01-06 02:00:00,78.09
2016-01-06 03:00:00,2016-01-06 03:00:00,76.85
2016-01-06 04:00:00,2016-01-06 04:00:00,76.57
2016-01-06 05:00:00,2016-01-06 05:00:00,125.53
2016-01-06 06:00:00,2016-01-06 06:00:00,153.01
2016-01-06 07:00:00,2016-01-06 07:00:00,165.05
2016-01-06 08:00:00,2016-01-06 08:00:00,179.08
2016-01-06 09:00:00,2016-01-06 09:00:00,209.85
2016-01-06 10:00:00,2016-01-06 10:00:00,223.42
2016-01-06 11:00:00,2016-01-06 11:00:00,213.81
2016-01-06 12:00:00,2016-01-06 12:00:00,209.33
2016-01-06 13:00:00,2016-01-06 13:00:00,208.44
2016-01-06 14:00:00,2016-01-06 14:00:00,215.64
2016-01-06 15:00:00,2016-01-06 15:00:00,210.44
2016-01-06 16:00:00,2016-01-06 16:00:00,198.42
2016-01-06 17:00:00,2016-01-06 17:00:00,182.6
2016-01-06 18:00:00,2016-01-06 18:00:00,178.15
2016-01-06 19:00:00,2016-01-06 19:00:00,174.35
2016-01-06 20:00:00,2016-01-06 20:00:00,164.09
2016-01-06 21:00:00,2016-01-06 21:00:00,157.42
2016-01-06 22:00:00,2016-01-06 22:00:00,81.96
2016-01-06 23:00:00,2016-01-06 23:00:00,74.57
2016-01-07 00:00:00,2016-01-07 00:00:00,75.54
2016-01-07 01:00:00,2016-01-07 01:00:00,76.26
2016-01-07 02:00:00,2016-01-07 02:00:00,75.37
2016-01-07 03:00:00,2016-01-07 03:00:00,74.02
2016-01-07 04:00:00,2016-01-07 04:00:00,75.08
2016-01-07 05:00:00,2016-01-07 05:00:00,124.91
2016-01-07 06:00:00,2016-01-07 06:00:00,149.2
2016-01-07 07:00:00,2016-01-07 07:00:00,166.61
2016-01-07 08:00:00,2016-01-07 08:00:00,178.38
2016-01-07 09:00:00,2016-01-07 09:00:00,209.3
2016-01-07 10:00:00,2016-01-07 10:00:00,220.68
2016-01-07 11:00:00,2016-01-07 11:00:00,215.97
2016-01-07 12:00:00,2016-01-07 12:00:00,211.48
2016-01-07 13:00:00,2016-01-07 13:00:00,212.49
2016-01-07 14:00:00,2016-01-07 14:00:00,213.72
2016-01-07 15:00:00,2016-01-07 15:00:00,211.59
2016-01-07 16:00:00,2016-01-07 16:00:00,200.78
2016-01-07 17:00:00,2016-01-07 17:00:00,186.67
2016-01-07 18:00:00,2016-01-07 18:00:00,171.97
2016-01-07 19:00:00,2016-01-07 19:00:00,166.6
2016-01-07 20:00:00,2016-01-07 20:00:00,161.88
2016-01-07 21:00:00,2016-01-07 21:00:00,155.93
2016-01-07 22:00:00,2016-01-07 22:00:00,85.99
2016-01-07 23:00:00,2016-01-07 23:00:00,78.65
2016-01-08 00:00:00,2016-01-08 00:00:00,80.26
2016-01-08 01:00:00,2016-01-08 01:00:00,79.07
2016-01-08 02:00:00,2016-01-08 02:00:00,80.64
2016-01-08 03:00:00,2016-01-08 03:00:00,78.72
2016-01-08 04:00:00,2016-01-08 04:00:00,80.11
2016-01-08 05:00:00,2016-01-08 05:00:00,129.52
2016-01-08 06:00:00,2016-01-08 06:00:00,152.04
2016-01-08 07:00:00,2016-01-08 07:00:00,157.05
2016-01-08 08:00:00,2016-01-08 08:00:00,171.62
2016-01-08 09:00:00,2016-01-08 09:00:00,205.9
2016-01-08 10:00:00,2016-01-08 10:00:00,225.06
2016-01-08 11:00:00,2016-01-08 11:00:00,223.18
2016-01-08 12:00:00,2016-01-08 12:00:00,218.79
2016-01-08 13:00:00,2016-01-08 13:00:00,219.42
2016-01-08 14:00:00,2016-01-08 14:00:00,215.9
2016-01-08 15:00:00,2016-01-08 15:00:00,210.18
2016-01-08 16:00:00,2016-01-08 16:00:00,199.55
2016-01-08 17:00:00,2016-01-08 17:00:00,181.69
2016-01-08 18:00:00,2016-01-08 18:00:00,171.83
2016-01-08 19:00:00,2016-01-08 19:00:00,167.04
2016-01-08 20:00:00,2016-01-08 20:00:00,164.01
2016-01-08 21:00:00,2016-01-08 21:00:00,159.64
2016-01-08 22:00:00,2016-01-08 22:00:00,80.75
2016-01-08 23:00:00,2016-01-08 23:00:00,72.66
2016-01-09 00:00:00,2016-01-09 00:00:00,72.23
