timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,66.03
2016-01-01 01:00:00,2016-01-01 01:00:00,66.39
2016-01-01 02:00:00,2016-01-01 02:00:00,65.86
2016-01-01 03:00:00,2016-01-01 03:00:00,72.52
2016-01-01 04:00:00,2016-01-01 04:00:00,69.13
2016-01-01 05:00:00,2016-01-01 05:00:00,62.13
2016-01-01 06:00:00,2016-01-01 06:00:00,62.44
2016-01-01 07:00:00,2016-01-01 07:00:00,69.8
2016-01-01 08:00:00,2016-01-01 08:00:00,59.79
2016-01-01 09:00:00,2016-01-01 09:00:00,105.64
2016-01-01 10:00:00,2016-01-01 10:00:00,115.29
2016-01-01 11:00:00,2016-01-01 11:00:00,97.62
2016-01-01 12:00:00,2016-01-01 12:00:00,83.97
2016-01-01 13:00:00,2016-01-01 13:00:00,85.46
2016-01-01 14:00:00,2016-01-01 14:00:00,81.17
2016-01-01 15:00:00,2016-01-01 15:00:00,85.35
2016-01-01 16:00:00,2016-01-01 16:00:00,72.75
2016-01-01 17:00:00,2016-01-01 17:00:00,59.0
2016-01-01 18:00:00,2016-01-01 18:00:00,61.46
2016-01-01 19:00:00,2016-01-01 19:00:00,64.39
2016-01-01 20:00:00,2016-01-01 20:00:00,65.0
2016-01-01 21:00:00,2016-01-01 21:00:00,72.33
2016-01-01 22:00:00,2016-01-01 22:00:00,61.63
2016-01-01 23:00:00,2016-01-01 23:00:00,65.28
2016-01-02 00:00:00,2016-01-02 00:00:00,64.61
2016-01-02 01:00:00,2016-01-02 01:00:00,66.16
2016-01-02 02:00:00,2016-01-02 02:00:00,61.69
2016-01-02 03:00:00,2016-01-02 03:00:00,68.27
2016-01-02 04:00:00,2016-01-02 04:00:00,70.04
2016-01-02 05:00:00,2016-01-02 05:00:00,69.25
2016-01-02 06:00:00,2016-01-02 06:00:00,67.27
2016-01-02 07:00:00,2016-01-02 07:00:00,76.25
2016-01-02 08:00:00,2016-01-02 08:00:00,71.51
2016-01-02 09:00:00,2016-01-02 09:00:00,68.13
2016-01-02 10:00:00,2016-01-02 10:00:00,70.13
2016-01-02 11:00:00,2016-01-02 11:00:00,64.83
2016-01-02 12:00:00,2016-01-02 12:00:00,61.27
2016-01-02 13:00:00,2016-01-02 13:00:00,65.49
2016-01-02 14:00:00,2016-01-02 14:00:00,68.76
2016-01-02 15:00:00,2016-01-02 15:00:00,64.63
2016-01-02 16:00:00,2016-01-02 16:00:00,53.92
2016-01-02 17:00:00,2016-01-02 17:00:00,52.89
2016-01-02 18:00:00,2016-01-02 18:00:00,58.38
2016-01-02 19:00:00,2016-01-02 19:00:00,61.48
2016-01-02 20:00:00,2016-01-02 20:00:00,68.43
2016-01-02 21:00:00,2016-01-02 21:00:00,70.17
2016-01-02 22:00:00,2016-01-02 22:00:00,78.24
2016-01-02 23:00:00,2016-01-02 23:00:00,63.72
2016-01-03 00:00:00,2016-01-03 00:00:00,62.46
2016-01-03 01:00:00,2016-01-03 01:00:00,73.52
2016-01-03 02:00:00,2016-01-03 02:00:00,72.05
2016-01-03 03:00:00,2016-01-03 03:00:00,73.36
2016-01-03 04:00:00,2016-01-03 04:00:00,70.03
2016-01-03 05:00:00,2016-01-03 05:00:00,69.36
2016-01-03 06:00:00,2016-01-03 06:00:00,62.05
2016-01-03 07:00:00,2016-01-03 07:00:00,64.16
2016-01-03 08:00:00,2016-01-03 08:00:00,61.17
2016-01-03 09:00:00,2016-01-03 09:00:00,59.3
2016-01-03 10:00:00,2016-01-03 10:00:00,55.54
2016-01-03 11:00:00,2016-01-03 11:00:00,62.0
2016-01-03 12:00:00,2016-01-03 12:00:00,55.99
2016-01-03 13:00:00,2016-01-03 13:00:00,56.24
2016-01-03 14:00:00,2016-01-03 14:00:00,55.9
2016-01-03 15:00:00,2016-01-03 15:00:00,55.88
2016-01-03 16:00:00,2016-01-03 16:00:00,49.52
2016-01-03 17:00:00,2016-01-03 17:00:00,58.32
2016-01-03 18:00:00,2016-01-03 18:00:00,53.9
2016-01-03 19:00:00,2016-01-03 19:00:00,58.4
2016-01-03 20:00:00,2016-01-03 20:00:00,66.98
2016-01-03 21:00:00,2016-01-03 21:00:00,57.16
2016-01-03 22:00:00,2016-01-03 22:00:00,56.79
2016-01-03 23:00:00,2016-01-03 23:00:00,66.05
2016-01-04 00:00:00,2016-01-04 00:00:00,59.64
2016-01-04 01:00:00,2016-01-04 01:00:00,61.65
2016-01-04 02:00:00,2016-01-04 02:00:00,59.85
2016-01-04 03:00:00,2016-01-04 03:00:00,60.04
2016-01-04 04:00:00,2016-01-04 04:00:00,59.13
2016-01-04 05:00:00,2016-01-04 05:00:00,58.75
2016-01-04 06:00:00,2016-01-04 06:00:00,59.59
2016-01-04 07:00:00,2016-01-04 07:00:00,83.0
2016-01-04 08:00:00,2016-01-04 08:00:00,90.21
2016-01-04 09:00:00,2016-01-04 09:00:00,187.04
2016-01-04 10:00:00,2016-01-04 10:00:00,210.03
2016-01-04 11:00:00,2016-01-04 11:00:00,217.21
2016-01-04 12:00:00,2016-01-04 12:00:00,217.13
2016-01-04 13:00:00,2016-01-04 13:00:00,205.65
2016-01-04 14:00:00,2016-01-04 14:00:00,202.22
2016-01-04 15:00:00,2016-01-04 15:00:00,210.95
2016-01-04 16:00:00,2016-01-04 16:00:00,167.13
2016-01-04 17:00:00,2016-01-04 17:00:00,104.46
2016-01-04 18:00:00,2016-01-04 18:00:00,90.81
2016-01-04 19:00:00,2016-01-04 19:00:00,86.78
2016-01-04 20:00:00,2016-01-04 20:00:00,86.6
2016-01-04 21:00:00,2016-01-04 21:00:00,86.89
2016-01-04 22:00:00,2016-01-04 22:00:00,94.77
2016-01-04 23:00:00,2016-01-04 23:00:00,79.77
2016-01-05 00:00:00,2016-01-05 00:00:00,80.33
2016-01-05 01:00:00,2016-01-05 01:00:00,79.58
2016-01-05 02:00:00,2016-01-05 02:00:00,85.72
2016-01-05 03:00:00,2016-01-05 03:00:00,86.72
2016-01-05 04:00:00,2016-01-05 04:00:00,85.29
2016-01-05 05:00:00,2016-01-05 05:00:00,83.02
2016-01-05 06:00:00,2016-01-05 06:00:00,86.28
2016-01-05 07:00:00,2016-01-05 07:00:00,96.94
2016-01-05 08:00:00,2016-01-05 08:00:00,103.29
2016-01-05 09:00:00,2016-01-05 09:00:00,270.78
2016-01-05 10:00:00,2016-01-05 10:00:00,288.5
2016-01-05 11:00:00,2016-01-05 11:00:00,285.52
2016-01-05 12:00:00,2016-01-05 12:00:00,287.34
2016-01-05 13:00:00,2016-01-05 13:00:00,273.76
2016-01-05 14:00:00,2016-01-05 14:00:00,278.51
2016-01-05 15:00:00,2016-01-05 15:00:00,249.4
2016-01-05 16:00:00,2016-01-05 16:00:00,170.55
2016-01-05 17:00:00,2016-01-05 17:00:00,115.03
2016-01-05 18:00:00,2016-01-05 18:00:00,102.67
2016-01-05 19:00:00,2016-01-05 19:00:00,91.16
2016-01-05 20:00:00,2016-01-05 20:00:00,83.21
2016-01-05 21:00:00,2016-01-05 21:00:00,81.57
2016-01-05 22:00:00,2016-01-05 22:00:00,80.14
2016-01-05 23:00:00,2016-01-05 23:00:00,86.42
2016-01-06 00:00:00,2016-01-06 00:00:00,76.28
2016-01-06 01:00:00,2016-01-06 01:00:00,80.17
2016-01-06 02:00:00,2016-01-06 02:00:00,79.34
2016-01-06 03:00:00,2016-01-06 03:00:00,75.64
2016-01-06 04:00:00,2016-01-06 04:00:00,73.33
2016-01-06 05:00:00,2016-01-06 05:00:00,77.51
2016-01-06 06:00:00,2016-01-06 06:00:00,76.57
2016-01-06 07:00:00,2016-01-06 07:00:00,83.64
2016-01-06 08:00:00,2016-01-06 08:00:00,100.22
2016-01-06 09:00:00,2016-01-06 09:00:00,223.93
2016-01-06 10:00:00,2016-01-06 10:00:00,243.17
2016-01-06 11:00:00,2016-01-06 11:00:00,235.4
2016-01-06 12:00:00,2016-01-06 12:00:00,224.81
2016-01-06 13:00:00,2016-01-06 13:00:00,209.64
2016-01-06 14:00:00,2016-01-06 14:00:00,203.31
2016-01-06 15:00:00,2016-01-06 15:00:00,196.38
2016-01-06 16:00:00,2016-01-06 16:00:00,139.35
2016-01-06 17:00:00,2016-01-06 17:00:00,82.89
2016-01-06 18:00:00,2016-01-06 18:00:00,70.7
2016-01-06 19:00:00,2016-01-06 19:00:00,69.58
2016-01-06 20:00:00,2016-01-06 20:00:00,65.7
2016-01-06 21:00:00,2016-01-06 21:00:00,61.93
2016-01-06 22:00:00,2016-01-06 22:00:00,70.6
2016-01-06 23:00:00,2016-01-06 23:00:00,68.62
2016-01-07 00:00:00,2016-01-07 00:00:00,64.22
2016-01-07 01:00:00,2016-01-07 01:00:00,66.78
2016-01-07 02:00:00,2016-01-07 02:00:00,67.77
2016-01-07 03:00:00,2016-01-07 03:00:00,68.04
2016-01-07 04:00:00,2016-01-07 04:00:00,66.93
2016-01-07 05:00:00,2016-01-07 05:00:00,68.82
2016-01-07 06:00:00,2016-01-07 06:00:00,68.99
2016-01-07 07:00:00,2016-01-07 07:00:00,81.12
2016-01-07 08:00:00,2016-01-07 08:00:00,84.27
2016-01-07 09:00:00,2016-01-07 09:00:00,196.0
2016-01-07 10:00:00,2016-01-07 10:00:00,220.54
2016-01-07 11:00:00,2016-01-07 11:00:00,207.03
2016-01-07 12:00:00,2016-01-07 12:00:00,211.22
2016-01-07 13:00:00,2016-01-07 13:00:00,196.86
2016-01-07 14:00:00,2016-01-07 14:00:00,185.47
2016-01-07 15:00:00,2016-01-07 15:00:00,192.75
2016-01-07 16:00:00,2016-01-07 16:00:00,137.39
2016-01-07 17:00:00,2016-01-07 17:00:00,73.5
2016-01-07 18:00:00,2016-01-07 18:00:00,73.47
2016-01-07 19:00:00,2016-01-07 19:00:00,64.52
2016-01-07 20:00:00,2016-01-07 20:00:00,65.87
2016-01-07 21:00:00,2016-01-07 21:00:00,64.58
2016-01-07 22:00:00,2016-01-07 22:00:00,67.22
2016-01-07 23:00:00,2016-01-07 23:00:00,64.55
2016-01-08 00:00:00,2016-01-08 00:00:00,65.45
2016-01-08 01:00:00,2016-01-08 01:00:00,66.36
2016-01-08 02:00:00,2016-01-08 02:00:00,66.23
2016-01-08 03:00:00,2016-01-08 03:00:00,68.67
2016-01-08 04:00:00,2016-01-08 04:00:00,69.91
2016-01-08 05:00:00,2016-01-08 05:00:00,67.66
2016-01-08 06:00:00,2016-01-08 06:00:00,69.42
2016-01-08 07:00:00,2016-01-08 07:00:00,81.69
2016-01-08 08:00:00,2016-01-08 08:00:00,89.33
2016-01-08 09:00:00,2016-01-08 09:00:00,186.01
2016-01-08 10:00:00,2016-01-08 10:00:00,219.81
2016-01-08 11:00:00,2016-01-08 11:00:00,211.78
2016-01-08 12:00:00,2016-01-08 12:00:00,208.96
2016-01-08 13:00:00,2016-01-08 13:00:00,200.03
2016-01-08 14:00:00,2016-01-08 14:00:00,195.75
2016-01-08 15:00:00,2016-01-08 15:00:00,188.93
2016-01-08 16:00:00,2016-01-08 16:00:00,140.1
2016-01-08 17:00:00,2016-01-08 17:00:00,109.27
2016-01-08 18:00:00,2016-01-08 18:00:00,86.55
2016-01-08 19:00:00,2016-01-08 19:00:00,78.92
2016-01-08 20:00:00,2016-01-08 20:00:00,75.87
2016-01-08 21:00:00,2016-01-08 21:00:00,70.32
2016-01-08 22:00:00,2016-01-08 22:00:00,70.81
2016-01-08 23:00:00,2016-01-08 23:00:00,64.75
2016-01-09 00:00:00,2016-01-09 00:00:00,70.06
2016-01-09 01:00:00,2016-01-09 01:00:00,74.24
2016-01-09 02:00:00,2016-01-09 02:00:00,67.53
2016-01-09 03:00:00,2016-01-09 03:00:00,72.44
2016-01-09 04:00:00,2016-01-09 04:00:00,66.07
2016-01-09 05:00:00,2016-01-09 05:00:00,64.79
2016-01-09 06:00:00,2016-01-09 06:00:00,79.89
2016-01-09 07:00:00,2016-01-09 07:00:00,67.95
2016-01-09 08:00:00,2016-01-09 08:00:00,72.34
2016-01-09 09:00:00,2016-01-09 09:00:00,70.8
2016-01-09 10:00:00,2016-01-09 10:00:00,75.59
2016-01-09 11:00:00,2016-01-09 11:00:00,76.39
2016-01-09 12:00:00,2016-01-09 12:00:00,74.98
2016-01-09 13:00:00,2016-01-09 13:00:00,76.66
2016-01-09 14:00:00,2016-01-09 14:00:00,64.99
2016-01-09 15:00:00,2016-01-09 15:00:00,65.18
2016-01-09 16:00:00,2016-01-09 16:00:00,64.9
2016-01-09 17:00:00,2016-01-09 17:00:00,61.04
2016-01-09 18:00:00,2016-01-09 18:00:00,66.08
2016-01-09 19:00:00,2016-01-09 19:00:00,65.97
2016-01-09 20:00:00,2016-01-09 20:00:00,71.16
2016-01-09 21:00:00,2016-01-09 21:00:00,63.29
2016-01-09 22:00:00,2016-01-09 22:00:00,68.46
2016-01-09 23:00:00,2016-01-09 23:00:00,75.18
2016-01-10 00:00:00,2016-01-10 00:00:00,73.13
2016-01-10 01:00:00,2016-01-10 01:00:00,73.63
2016-01-10 02:00:00,2016-01-10 02:00:00,68.03
2016-01-10 03:00:00,2016-01-10 03:00:00,62.33
2016-01-10 04:00:00,2016-01-10 04:00:00,65.18
2016-01-10 05:00:00,2016-01-10 05:00:00,67.18
2016-01-10 06:00:00,2016-01-10 06:00:00,77.83
2016-01-10 07:00:00,2016-01-10 07:00:00,73.07
2016-01-10 08:00:00,2016-01-10 08:00:00,67.75
2016-01-10 09:00:00,2016-01-10 09:00:00,63.37
2016-01-10 10:00:00,2016-01-10 10:00:00,63.79
2016-01-10 11:00:00,2016-01-10 11:00:00,66.19
2016-01-10 12:00:00,2016-01-10 12:00:00,68.57
2016-01-10 13:00:00,2016-01-10 13:00:00,68.22
2016-01-10 14:00:00,2016-01-10 14:00:00,69.59
2016-01-10 15:00:00,2016-01-10 15:00:00,67.47
2016-01-10 16:00:00,2016-01-10 16:00:00,74.41
2016-01-10 17:00:00,2016-01-10 17:00:00,70.06
2016-01-10 18:00:00,2016-01-10 18:00:00,86.17
2016-01-10 19:00:00,2016-01-10 19:00:00,81.77
2016-01-10 20:00:00,2016-01-10 20:00:00,70.98
2016-01-10 21:00:00,2016-01-10 21:00:00,74.81
2016-01-10 22:00:00,2016-01-10 22:00:00,80.97
2016-01-10 23:00:00,2016-01-10 23:00:00,76.61
2016-01-11 00:00:00,2016-01-11 00:00:00,85.22
2016-01-11 01:00:00,2016-01-11 01:00:00,83.76
2016-01-11 02:00:00,2016-01-11 02:00:00,92.81
2016-01-11 03:00:00,2016-01-11 03:00:00,88.87
2016-01-11 04:00:00,2016-01-11 04:00:00,91.42
2016-01-11 05:00:00,2016-01-11 05:00:00,94.21
2016-01-11 06:00:00,2016-01-11 06:00:00,94.81
2016-01-11 07:00:00,2016-01-11 07:00:00,107.22
2016-01-11 08:00:00,2016-01-11 08:00:00,117.31
2016-01-11 09:00:00,2016-01-11 09:00:00,256.33
2016-01-11 10:00:00,2016-01-11 10:00:00,260.72
2016-01-11 11:00:00,2016-01-11 11:00:00,253.78
2016-01-11 12:00:00,2016-01-11 12:00:00,238.16
2016-01-11 13:00:00,2016-01-11 13:00:00,230.02
2016-01-11 14:00:00,2016-01-11 14:00:00,228.93
2016-01-11 15:00:00,2016-01-11 15:00:00,211.84
2016-01-11 16:00:00,2016-01-11 16:00:00,162.56
2016-01-11 17:00:00,2016-01-11 17:00:00,86.37
2016-01-11 18:00:00,2016-01-11 18:00:00,81.65
2016-01-11 19:00:00,2016-01-11 19:00:00,81.55
2016-01-11 20:00:00,2016-01-11 20:00:00,82.32
2016-01-11 21:00:00,2016-01-11 21:00:00,80.21
2016-01-11 22:00:00,2016-01-11 22:00:00,76.29
2016-01-11 23:00:00,2016-01-11 23:00:00,78.28
2016-01-12 00:00:00,2016-01-12 00:00:00,74.5
2016-01-12 01:00:00,2016-01-12 01:00:00,82.06
2016-01-12 02:00:00,2016-01-12 02:00:00,86.17
2016-01-12 03:00:00,2016-01-12 03:00:00,73.59
2016-01-12 04:00:00,2016-01-12 04:00:00,80.26
2016-01-12 05:00:00,2016-01-12 05:00:00,81.12
2016-01-12 06:00:00,2016-01-12 06:00:00,89.1
2016-01-12 07:00:00,2016-01-12 07:00:00,87.86
2016-01-12 08:00:00,2016-01-12 08:00:00,93.76
2016-01-12 09:00:00,2016-01-12 09:00:00,150.77
2016-01-12 10:00:00,2016-01-12 10:00:00,154.87
2016-01-12 11:00:00,2016-01-12 11:00:00,146.24
2016-01-12 12:00:00,2016-01-12 12:00:00,142.36
2016-01-12 13:00:00,2016-01-12 13:00:00,146.69
2016-01-12 14:00:00,2016-01-12 14:00:00,151.79
2016-01-12 15:00:00,2016-01-12 15:00:00,146.28
2016-01-12 16:00:00,2016-01-12 16:00:00,124.42
2016-01-12 17:00:00,2016-01-12 17:00:00,95.29
2016-01-12 18:00:00,2016-01-12 18:00:00,107.43
2016-01-12 19:00:00,2016-01-12 19:00:00,96.58
2016-01-12 20:00:00,2016-01-12 20:00:00,95.02
2016-01-12 21:00:00,2016-01-12 21:00:00,86.07
2016-01-12 22:00:00,2016-01-12 22:00:00,98.0
2016-01-12 23:00:00,2016-01-12 23:00:00,91.51
2016-01-13 00:00:00,2016-01-13 00:00:00,97.14
2016-01-13 01:00:00,2016-01-13 01:00:00,90.39
2016-01-13 02:00:00,2016-01-13 02:00:00,99.18
2016-01-13 03:00:00,2016-01-13 03:00:00,92.3
2016-01-13 04:00:00,2016-01-13 04:00:00,102.21
2016-01-13 05:00:00,2016-01-13 05:00:00,98.36
2016-01-13 06:00:00,2016-01-13 06:00:00,98.57
2016-01-13 07:00:00,2016-01-13 07:00:00,107.46
2016-01-13 08:00:00,2016-01-13 08:00:00,116.19
2016-01-13 09:00:00,2016-01-13 09:00:00,222.16
2016-01-13 10:00:00,2016-01-13 10:00:00,234.34
2016-01-13 11:00:00,2016-01-13 11:00:00,242.81
2016-01-13 12:00:00,2016-01-13 12:00:00,231.93
2016-01-13 13:00:00,2016-01-13 13:00:00,216.12
2016-01-13 14:00:00,2016-01-13 14:00:00,264.08
2016-01-13 15:00:00,2016-01-13 15:00:00,254.63
2016-01-13 16:00:00,2016-01-13 16:00:00,188.86
2016-01-13 17:00:00,2016-01-13 17:00:00,104.59
2016-01-13 18:00:00,2016-01-13 18:00:00,101.35
2016-01-13 19:00:00,2016-01-13 19:00:00,100.04
