timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,86.71
2016-01-01 01:00:00,2016-01-01 01:00:00,86.54
2016-01-01 02:00:00,2016-01-01 02:00:00,86.66
2016-01-01 03:00:00,2016-01-01 03:00:00,86.69
2016-01-01 04:00:00,2016-01-01 04:00:00,86.73
2016-01-01 05:00:00,2016-01-01 05:00:00,86.73
2016-01-01 06:00:00,2016-01-01 06:00:00,86.46
2016-01-01 07:00:00,2016-01-01 07:00:00,88.44
2016-01-01 08:00:00,2016-01-01 08:00:00,87.31
2016-01-01 09:00:00,2016-01-01 09:00:00,86.1
2016-01-01 10:00:00,2016-01-01 10:00:00,84.3
2016-01-01 11:00:00,2016-01-01 11:00:00,83.55
2016-01-01 12:00:00,2016-01-01 12:00:00,82.95
2016-01-01 13:00:00,2016-01-01 13:00:00,83.43
2016-01-01 14:00:00,2016-01-01 14:00:00,83.46
2016-01-01 15:00:00,2016-01-01 15:00:00,83.28
2016-01-01 16:00:00,2016-01-01 16:00:00,83.39
2016-01-01 17:00:00,2016-01-01 17:00:00,85.21
2016-01-01 18:00:00,2016-01-01 18:00:00,86.53
2016-01-01 19:00:00,2016-01-01 19:00:00,86.41
2016-01-01 20:00:00,2016-01-01 20:00:00,86.28
2016-01-01 21:00:00,2016-01-01 21:00:00,86.65
2016-01-01 22:00:00,2016-01-01 22:00:00,86.41
2016-01-01 23:00:00,2016-01-01 23:00:00,86.5
2016-01-02 00:00:00,2016-01-02 00:00:00,86.87
2016-01-02 01:00:00,2016-01-02 01:00:00,86.7
2016-01-02 02:00:00,2016-01-02 02:00:00,86.9
2016-01-02 03:00:00,2016-01-02 03:00:00,86.67
2016-01-02 04:00:00,2016-01-02 04:00:00,86.77
2016-01-02 05:00:00,2016-01-02 05:00:00,86.99
2016-01-02 06:00:00,2016-01-02 06:00:00,86.91
2016-01-02 07:00:00,2016-01-02 07:00:00,87.98
2016-01-02 08:00:00,2016-01-02 08:00:00,87.15
2016-01-02 09:00:00,2016-01-02 09:00:00,85.96
2016-01-02 10:00:00,2016-01-02 10:00:00,86.22
2016-01-02 11:00:00,2016-01-02 11:00:00,92.76
2016-01-02 12:00:00,2016-01-02 12:00:00,94.32
2016-01-02 13:00:00,2016-01-02 13:00:00,91.92
2016-01-02 14:00:00,2016-01-02 14:00:00,95.5
2016-01-02 15:00:00,2016-01-02 15:00:00,94.85
