timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,134.98
2016-01-01 01:00:00,2016-01-01 01:00:00,136.09
2016-01-01 02:00:00,2016-01-01 02:00:00,136.14
2016-01-01 03:00:00,2016-01-01 03:00:00,136.11
2016-01-01 04:00:00,2016-01-01 04:00:00,147.16
2016-01-01 05:00:00,2016-01-01 05:00:00,148.0
2016-01-01 06:00:00,2016-01-01 06:00:00,147.55
2016-01-01 07:00:00,2016-01-01 07:00:00,147.34
2016-01-01 08:00:00,2016-01-01 08:00:00,145.24
2016-01-01 09:00:00,2016-01-01 09:00:00,137.68
2016-01-01 10:00:00,2016-01-01 10:00:00,134.07
2016-01-01 11:00:00,2016-01-01 11:00:00,136.14
2016-01-01 12:00:00,2016-01-01 12:00:00,134.98
2016-01-01 13:00:00,2016-01-01 13:00:00,135.88
2016-01-01 14:00:00,2016-01-01 14:00:00,135.96
2016-01-01 15:00:00,2016-01-01 15:00:00,135.11
2016-01-01 16:00:00,2016-01-01 16:00:00,133.83
2016-01-01 17:00:00,2016-01-01 17:00:00,131.62
2016-01-01 18:00:00,2016-01-01 18:00:00,145.35
2016-01-01 19:00:00,2016-01-01 19:00:00,148.05
2016-01-01 20:00:00,2016-01-01 20:00:00,147.91
2016-01-01 21:00:00,2016-01-01 21:00:00,136.64
2016-01-01 22:00:00,2016-01-01 22:00:00,134.26
2016-01-01 23:00:00,2016-01-01 23:00:00,138.09
2016-01-02 00:00:00,2016-01-02 00:00:00,136.86
2016-01-02 01:00:00,2016-01-02 01:00:00,134.98
2016-01-02 02:00:00,2016-01-02 02:00:00,138.3
2016-01-02 03:00:00,2016-01-02 03:00:00,136.26
2016-01-02 04:00:00,2016-01-02 04:00:00,137.24
2016-01-02 05:00:00,2016-01-02 05:00:00,139.33
2016-01-02 06:00:00,2016-01-02 06:00:00,137.87
2016-01-02 07:00:00,2016-01-02 07:00:00,136.68
2016-01-02 08:00:00,2016-01-02 08:00:00,128.73
2016-01-02 09:00:00,2016-01-02 09:00:00,124.2
2016-01-02 10:00:00,2016-01-02 10:00:00,120.63
2016-01-02 11:00:00,2016-01-02 11:00:00,122.38
2016-01-02 12:00:00,2016-01-02 12:00:00,123.73
2016-01-02 13:00:00,2016-01-02 13:00:00,121.47
2016-01-02 14:00:00,2016-01-02 14:00:00,121.42
2016-01-02 15:00:00,2016-01-02 15:00:00,121.12
2016-01-02 16:00:00,2016-01-02 16:00:00,123.04
2016-01-02 17:00:00,2016-01-02 17:00:00,120.47
2016-01-02 18:00:00,2016-01-02 18:00:00,132.27
2016-01-02 19:00:00,2016-01-02 19:00:00,136.3
2016-01-02 20:00:00,2016-01-02 20:00:00,136.93
2016-01-02 21:00:00,2016-01-02 21:00:00,136.7
2016-01-02 22:00:00,2016-01-02 22:00:00,135.61
2016-01-02 23:00:00,2016-01-02 23:00:00,137.54
2016-01-03 00:00:00,2016-01-03 00:00:00,137.64
2016-01-03 01:00:00,2016-01-03 01:00:00,137.12
2016-01-03 02:00:00,2016-01-03 02:00:00,139.64
2016-01-03 03:00:00,2016-01-03 03:00:00,138.11
2016-01-03 04:00:00,2016-01-03 04:00:00,137.41
2016-01-03 05:00:00,2016-01-03 05:00:00,140.25
2016-01-03 06:00:00,2016-01-03 06:00:00,138.71
2016-01-03 07:00:00,2016-01-03 07:00:00,137.02
2016-01-03 08:00:00,2016-01-03 08:00:00,130.5
2016-01-03 09:00:00,2016-01-03 09:00:00,123.65
2016-01-03 10:00:00,2016-01-03 10:00:00,121.34
2016-01-03 11:00:00,2016-01-03 11:00:00,122.96
2016-01-03 12:00:00,2016-01-03 12:00:00,116.84
2016-01-03 13:00:00,2016-01-03 13:00:00,108.22
2016-01-03 14:00:00,2016-01-03 14:00:00,107.62
2016-01-03 15:00:00,2016-01-03 15:00:00,107.89
