timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,146.94
2016-01-01 01:00:00,2016-01-01 01:00:00,142.26
2016-01-01 02:00:00,2016-01-01 02:00:00,145.88
2016-01-01 03:00:00,2016-01-01 03:00:00,143.46
2016-01-01 04:00:00,2016-01-01 04:00:00,152.22
2016-01-01 05:00:00,2016-01-01 05:00:00,152.39
2016-01-01 06:00:00,2016-01-01 06:00:00,149.84
2016-01-01 07:00:00,2016-01-01 07:00:00,151.41
2016-01-01 08:00:00,2016-01-01 08:00:00,151.02
2016-01-01 09:00:00,2016-01-01 09:00:00,155.95
2016-01-01 10:00:00,2016-01-01 10:00:00,147.51
2016-01-01 11:00:00,2016-01-01 11:00:00,138.92
2016-01-01 12:00:00,2016-01-01 12:00:00,134.52
2016-01-01 13:00:00,2016-01-01 13:00:00,135.69
2016-01-01 14:00:00,2016-01-01 14:00:00,133.84
2016-01-01 15:00:00,2016-01-01 15:00:00,138.52
2016-01-01 16:00:00,2016-01-01 16:00:00,141.29
2016-01-01 17:00:00,2016-01-01 17:00:00,146.08
2016-01-01 18:00:00,2016-01-01 18:00:00,149.9
2016-01-01 19:00:00,2016-01-01 19:00:00,154.7
2016-01-01 20:00:00,2016-01-01 20:00:00,159.68
2016-01-01 21:00:00,2016-01-01 21:00:00,161.13
2016-01-01 22:00:00,2016-01-01 22:00:00,159.72
2016-01-01 23:00:00,2016-01-01 23:00:00,158.21
2016-01-02 00:00:00,2016-01-02 00:00:00,155.39
2016-01-02 01:00:00,2016-01-02 01:00:00,162.51
2016-01-02 02:00:00,2016-01-02 02:00:00,159.18
2016-01-02 03:00:00,2016-01-02 03:00:00,163.8
2016-01-02 04:00:00,2016-01-02 04:00:00,163.17
2016-01-02 05:00:00,2016-01-02 05:00:00,158.88
2016-01-02 06:00:00,2016-01-02 06:00:00,162.64
2016-01-02 07:00:00,2016-01-02 07:00:00,163.3
2016-01-02 08:00:00,2016-01-02 08:00:00,162.88
2016-01-02 09:00:00,2016-01-02 09:00:00,159.79
2016-01-02 10:00:00,2016-01-02 10:00:00,140.02
2016-01-02 11:00:00,2016-01-02 11:00:00,139.38
2016-01-02 12:00:00,2016-01-02 12:00:00,136.05
2016-01-02 13:00:00,2016-01-02 13:00:00,136.22
2016-01-02 14:00:00,2016-01-02 14:00:00,131.05
2016-01-02 15:00:00,2016-01-02 15:00:00,126.88
2016-01-02 16:00:00,2016-01-02 16:00:00,126.23
2016-01-02 17:00:00,2016-01-02 17:00:00,133.26
2016-01-02 18:00:00,2016-01-02 18:00:00,142.11
2016-01-02 19:00:00,2016-01-02 19:00:00,147.22
2016-01-02 20:00:00,2016-01-02 20:00:00,146.33
2016-01-02 21:00:00,2016-01-02 21:00:00,146.54
2016-01-02 22:00:00,2016-01-02 22:00:00,148.21
2016-01-02 23:00:00,2016-01-02 23:00:00,144.91
2016-01-03 00:00:00,2016-01-03 00:00:00,148.31
2016-01-03 01:00:00,2016-01-03 01:00:00,149.32
2016-01-03 02:00:00,2016-01-03 02:00:00,151.87
2016-01-03 03:00:00,2016-01-03 03:00:00,151.32
2016-01-03 04:00:00,2016-01-03 04:00:00,151.63
2016-01-03 05:00:00,2016-01-03 05:00:00,153.37
2016-01-03 06:00:00,2016-01-03 06:00:00,153.57
2016-01-03 07:00:00,2016-01-03 07:00:00,154.94
2016-01-03 08:00:00,2016-01-03 08:00:00,154.15
2016-01-03 09:00:00,2016-01-03 09:00:00,147.05
2016-01-03 10:00:00,2016-01-03 10:00:00,132.58
2016-01-03 11:00:00,2016-01-03 11:00:00,125.22
2016-01-03 12:00:00,2016-01-03 12:00:00,124.78
2016-01-03 13:00:00,2016-01-03 13:00:00,125.56
2016-01-03 14:00:00,2016-01-03 14:00:00,128.62
2016-01-03 15:00:00,2016-01-03 15:00:00,133.48
2016-01-03 16:00:00,2016-01-03 16:00:00,134.37
2016-01-03 17:00:00,2016-01-03 17:00:00,140.2
2016-01-03 18:00:00,2016-01-03 18:00:00,128.53
2016-01-03 19:00:00,2016-01-03 19:00:00,137.35
2016-01-03 20:00:00,2016-01-03 20:00:00,137.25
2016-01-03 21:00:00,2016-01-03 21:00:00,139.81
2016-01-03 22:00:00,2016-01-03 22:00:00,142.26
2016-01-03 23:00:00,2016-01-03 23:00:00,142.75
2016-01-04 00:00:00,2016-01-04 00:00:00,145.99
2016-01-04 01:00:00,2016-01-04 01:00:00,142.78
2016-01-04 02:00:00,2016-01-04 02:00:00,147.33
2016-01-04 03:00:00,2016-01-04 03:00:00,145.64
2016-01-04 04:00:00,2016-01-04 04:00:00,146.57
2016-01-04 05:00:00,2016-01-04 05:00:00,149.59
2016-01-04 06:00:00,2016-01-04 06:00:00,152.8
2016-01-04 07:00:00,2016-01-04 07:00:00,152.34
