timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,82.64
2016-01-01 01:00:00,2016-01-01 01:00:00,83.32
2016-01-01 02:00:00,2016-01-01 02:00:00,83.4
2016-01-01 03:00:00,2016-01-01 03:00:00,82.75
2016-01-01 04:00:00,2016-01-01 04:00:00,82.82
2016-01-01 05:00:00,2016-01-01 05:00:00,82.27
2016-01-01 06:00:00,2016-01-01 06:00:00,82.2
2016-01-01 07:00:00,2016-01-01 07:00:00,79.24
2016-01-01 08:00:00,2016-01-01 08:00:00,71.78
2016-01-01 09:00:00,2016-01-01 09:00:00,71.97
2016-01-01 10:00:00,2016-01-01 10:00:00,70.79
2016-01-01 11:00:00,2016-01-01 11:00:00,71.63
2016-01-01 12:00:00,2016-01-01 12:00:00,71.31
2016-01-01 13:00:00,2016-01-01 13:00:00,71.07
2016-01-01 14:00:00,2016-01-01 14:00:00,73.83
2016-01-01 15:00:00,2016-01-01 15:00:00,71.9
2016-01-01 16:00:00,2016-01-01 16:00:00,72.01
2016-01-01 17:00:00,2016-01-01 17:00:00,74.99
2016-01-01 18:00:00,2016-01-01 18:00:00,82.68
2016-01-01 19:00:00,2016-01-01 19:00:00,81.86
2016-01-01 20:00:00,2016-01-01 20:00:00,81.76
2016-01-01 21:00:00,2016-01-01 21:00:00,82.7
2016-01-01 22:00:00,2016-01-01 22:00:00,82.82
2016-01-01 23:00:00,2016-01-01 23:00:00,82.86
2016-01-02 00:00:00,2016-01-02 00:00:00,82.15
2016-01-02 01:00:00,2016-01-02 01:00:00,82.03
2016-01-02 02:00:00,2016-01-02 02:00:00,82.19
2016-01-02 03:00:00,2016-01-02 03:00:00,81.57
2016-01-02 04:00:00,2016-01-02 04:00:00,82.07
2016-01-02 05:00:00,2016-01-02 05:00:00,81.73
2016-01-02 06:00:00,2016-01-02 06:00:00,81.77
2016-01-02 07:00:00,2016-01-02 07:00:00,78.39
2016-01-02 08:00:00,2016-01-02 08:00:00,71.56
2016-01-02 09:00:00,2016-01-02 09:00:00,70.49
2016-01-02 10:00:00,2016-01-02 10:00:00,70.98
2016-01-02 11:00:00,2016-01-02 11:00:00,71.82
2016-01-02 12:00:00,2016-01-02 12:00:00,70.77
2016-01-02 13:00:00,2016-01-02 13:00:00,72.17
2016-01-02 14:00:00,2016-01-02 14:00:00,74.61
2016-01-02 15:00:00,2016-01-02 15:00:00,74.08
2016-01-02 16:00:00,2016-01-02 16:00:00,74.58
2016-01-02 17:00:00,2016-01-02 17:00:00,77.31
2016-01-02 18:00:00,2016-01-02 18:00:00,83.48
2016-01-02 19:00:00,2016-01-02 19:00:00,83.76
2016-01-02 20:00:00,2016-01-02 20:00:00,85.24
2016-01-02 21:00:00,2016-01-02 21:00:00,81.71
2016-01-02 22:00:00,2016-01-02 22:00:00,81.91
2016-01-02 23:00:00,2016-01-02 23:00:00,81.19
2016-01-03 00:00:00,2016-01-03 00:00:00,81.56
2016-01-03 01:00:00,2016-01-03 01:00:00,80.42
2016-01-03 02:00:00,2016-01-03 02:00:00,80.69
2016-01-03 03:00:00,2016-01-03 03:00:00,79.8
2016-01-03 04:00:00,2016-01-03 04:00:00,80.44
2016-01-03 05:00:00,2016-01-03 05:00:00,80.43
2016-01-03 06:00:00,2016-01-03 06:00:00,80.84
2016-01-03 07:00:00,2016-01-03 07:00:00,77.31
2016-01-03 08:00:00,2016-01-03 08:00:00,72.07
2016-01-03 09:00:00,2016-01-03 09:00:00,70.45
2016-01-03 10:00:00,2016-01-03 10:00:00,71.57
2016-01-03 11:00:00,2016-01-03 11:00:00,72.65
2016-01-03 12:00:00,2016-01-03 12:00:00,74.25
2016-01-03 13:00:00,2016-01-03 13:00:00,76.07
2016-01-03 14:00:00,2016-01-03 14:00:00,77.65
2016-01-03 15:00:00,2016-01-03 15:00:00,78.44
2016-01-03 16:00:00,2016-01-03 16:00:00,76.67
2016-01-03 17:00:00,2016-01-03 17:00:00,79.7
2016-01-03 18:00:00,2016-01-03 18:00:00,85.67
2016-01-03 19:00:00,2016-01-03 19:00:00,82.95
2016-01-03 20:00:00,2016-01-03 20:00:00,82.76
2016-01-03 21:00:00,2016-01-03 21:00:00,83.26
2016-01-03 22:00:00,2016-01-03 22:00:00,83.48
2016-01-03 23:00:00,2016-01-03 23:00:00,84.3
2016-01-04 00:00:00,2016-01-04 00:00:00,82.82
2016-01-04 01:00:00,2016-01-04 01:00:00,83.33
2016-01-04 02:00:00,2016-01-04 02:00:00,83.21
2016-01-04 03:00:00,2016-01-04 03:00:00,82.92
2016-01-04 04:00:00,2016-01-04 04:00:00,82.95
2016-01-04 05:00:00,2016-01-04 05:00:00,83.48
2016-01-04 06:00:00,2016-01-04 06:00:00,84.8
2016-01-04 07:00:00,2016-01-04 07:00:00,99.86
2016-01-04 08:00:00,2016-01-04 08:00:00,121.59
2016-01-04 09:00:00,2016-01-04 09:00:00,162.82
2016-01-04 10:00:00,2016-01-04 10:00:00,183.32
2016-01-04 11:00:00,2016-01-04 11:00:00,191.14
2016-01-04 12:00:00,2016-01-04 12:00:00,187.55
2016-01-04 13:00:00,2016-01-04 13:00:00,184.21
2016-01-04 14:00:00,2016-01-04 14:00:00,177.04
2016-01-04 15:00:00,2016-01-04 15:00:00,174.97
2016-01-04 16:00:00,2016-01-04 16:00:00,160.08
2016-01-04 17:00:00,2016-01-04 17:00:00,146.08
2016-01-04 18:00:00,2016-01-04 18:00:00,140.86
2016-01-04 19:00:00,2016-01-04 19:00:00,129.16
2016-01-04 20:00:00,2016-01-04 20:00:00,122.26
2016-01-04 21:00:00,2016-01-04 21:00:00,117.85
2016-01-04 22:00:00,2016-01-04 22:00:00,116.6
2016-01-04 23:00:00,2016-01-04 23:00:00,115.48
2016-01-05 00:00:00,2016-01-05 00:00:00,112.25
2016-01-05 01:00:00,2016-01-05 01:00:00,108.08
