timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,366.0
2016-01-01 01:00:00,2016-01-01 01:00:00,333.0
2016-01-01 02:00:00,2016-01-01 02:00:00,333.33
2016-01-01 03:00:00,2016-01-01 03:00:00,337.71
2016-01-01 04:00:00,2016-01-01 04:00:00,344.7
2016-01-01 05:00:00,2016-01-01 05:00:00,379.68
2016-01-01 06:00:00,2016-01-01 06:00:00,382.98
2016-01-01 07:00:00,2016-01-01 07:00:00,409.83
2016-01-01 08:00:00,2016-01-01 08:00:00,409.8
2016-01-01 09:00:00,2016-01-01 09:00:00,412.23
2016-01-01 10:00:00,2016-01-01 10:00:00,411.99
2016-01-01 11:00:00,2016-01-01 11:00:00,407.94
2016-01-01 12:00:00,2016-01-01 12:00:00,407.79
2016-01-01 13:00:00,2016-01-01 13:00:00,407.88
2016-01-01 14:00:00,2016-01-01 14:00:00,409.59
2016-01-01 15:00:00,2016-01-01 15:00:00,411.09
2016-01-01 16:00:00,2016-01-01 16:00:00,408.03
2016-01-01 17:00:00,2016-01-01 17:00:00,425.58
2016-01-01 18:00:00,2016-01-01 18:00:00,444.18
2016-01-01 19:00:00,2016-01-01 19:00:00,446.25
2016-01-01 20:00:00,2016-01-01 20:00:00,449.1
2016-01-01 21:00:00,2016-01-01 21:00:00,439.98
2016-01-01 22:00:00,2016-01-01 22:00:00,404.61
2016-01-01 23:00:00,2016-01-01 23:00:00,401.58
2016-01-02 00:00:00,2016-01-02 00:00:00,368.82
2016-01-02 01:00:00,2016-01-02 01:00:00,333.48
2016-01-02 02:00:00,2016-01-02 02:00:00,335.22
2016-01-02 03:00:00,2016-01-02 03:00:00,337.71
2016-01-02 04:00:00,2016-01-02 04:00:00,333.27
2016-01-02 05:00:00,2016-01-02 05:00:00,333.36
2016-01-02 06:00:00,2016-01-02 06:00:00,362.01
2016-01-02 07:00:00,2016-01-02 07:00:00,359.76
2016-01-02 08:00:00,2016-01-02 08:00:00,365.73
2016-01-02 09:00:00,2016-01-02 09:00:00,363.75
2016-01-02 10:00:00,2016-01-02 10:00:00,360.66
2016-01-02 11:00:00,2016-01-02 11:00:00,359.61
2016-01-02 12:00:00,2016-01-02 12:00:00,363.03
2016-01-02 13:00:00,2016-01-02 13:00:00,358.86
2016-01-02 14:00:00,2016-01-02 14:00:00,360.09
2016-01-02 15:00:00,2016-01-02 15:00:00,360.75
2016-01-02 16:00:00,2016-01-02 16:00:00,358.71
2016-01-02 17:00:00,2016-01-02 17:00:00,399.75
2016-01-02 18:00:00,2016-01-02 18:00:00,432.03
2016-01-02 19:00:00,2016-01-02 19:00:00,427.56
2016-01-02 20:00:00,2016-01-02 20:00:00,429.03
2016-01-02 21:00:00,2016-01-02 21:00:00,425.19
2016-01-02 22:00:00,2016-01-02 22:00:00,423.63
2016-01-02 23:00:00,2016-01-02 23:00:00,422.94
2016-01-03 00:00:00,2016-01-03 00:00:00,390.54
2016-01-03 01:00:00,2016-01-03 01:00:00,358.98
2016-01-03 02:00:00,2016-01-03 02:00:00,359.04
2016-01-03 03:00:00,2016-01-03 03:00:00,361.32
2016-01-03 04:00:00,2016-01-03 04:00:00,366.0
2016-01-03 05:00:00,2016-01-03 05:00:00,365.61
2016-01-03 06:00:00,2016-01-03 06:00:00,369.36
2016-01-03 07:00:00,2016-01-03 07:00:00,368.1
2016-01-03 08:00:00,2016-01-03 08:00:00,368.16
2016-01-03 09:00:00,2016-01-03 09:00:00,383.1
